Timestamp,Total Collisions,Current Collision Status,Smoothness Metric,Current Smoothness,Obstacle Clearance,Distance Traveled,Current Velocity,IMU Acceleration Magnitude,Is Rough Terrain,Notes
1733877536,3,0,250.8644,12.5432,0.6537,0.8798,0.9348,6.6668,0,Normal operation
1733877537,3,0,451.331,11.2833,0.8675,1.0845,0.5688,6.8328,0,Normal operation
1733877538,3,0,663.4946,11.0582,0.8625,1.3379,0.2392,10.0087,0,Normal operation
1733877539,3,0,892.3086,11.1539,0.824,1.599,0.2565,9.8826,0,Normal operation
1733877540,4,0,1097.0877,10.9709,0.7366,2.0155,0.3263,8.4326,0,Normal operation
1733877541,24,0,1346.5577,10.9569,0.6414,2.1949,0.3798,7.6556,0,Normal operation
1733877542,31,0,1712.4173,12.6109,0.5106,3.1566,0.6298,33.5141,1,Normal operation
1733877543,31,0,1896.0915,12.4269,0.5807,3.512,0.6077,9.6945,0,Normal operation
1733877544,31,0,2124.5732,12.4222,0.6743,3.7108,0.3146,9.7988,0,Normal operation
1733877545,31,0,2333.8319,12.4523,0.8121,3.8684,0.1734,9.6839,0,Normal operation
1733877546,31,0,2555.4778,12.1678,1.0025,4.035,0.1545,9.4777,0,Normal operation
1733877547,31,0,2774.7685,10.9597,1.1196,4.1661,0.146,12.3288,0,Normal operation
1733877548,31,0,2999.7769,11.0369,1.0666,4.2554,0.1073,10.9523,0,Normal operation
1733877549,31,0,3257.9441,11.3337,0.9938,4.395,0.1146,10.9075,0,Normal operation
1733877550,31,0,3487.6352,11.538,0.9392,4.6068,0.1631,9.3124,0,Normal operation
1733877551,31,0,3717.4319,11.6195,0.8278,4.923,0.2504,6.7145,0,Normal operation
1733877552,39,0,3933.3287,11.7096,0.6671,5.2139,0.2988,10.4232,0,Normal operation
1733877553,59,0,4282.4616,12.9376,0.5124,5.4072,0.3339,9.1098,0,Normal operation
1733877554,69,0,4476.8258,12.2986,0.3954,6.1048,0.5045,4.6569,0,Normal operation
1733877555,77,0,4689.5623,12.1132,0.286,6.6954,0.6375,9.3423,0,Normal operation
1733877556,88,0,5360.3155,16.4978,0.2178,7.3609,0.7137,0.0477,0,Normal operation
1733877557,88,0,5664.5124,17.3118,0.3208,8.3475,0.8303,13.9305,0,Normal operation
1733877558,88,0,5877.0779,15.9462,0.5239,8.5246,0.5879,11.1414,0,Normal operation
1733877559,88,0,6096.1027,16.1928,0.6943,8.6784,0.1866,14.036,0,Normal operation
1733877560,88,0,6307.7937,16.2765,0.8513,8.8071,0.1386,11.1172,0,Normal operation
1733877561,88,0,6521.1159,11.6165,1.0036,8.9371,0.1279,6.1317,0,Normal operation
1733877562,88,0,6762.0026,11.1151,1.0483,9.0627,0.1244,11.0623,0,Normal operation
1733877563,88,0,6995.596,11.2966,0.9845,9.1794,0.1182,9.7985,0,Normal operation
