Timestamp,Total Collisions,Current Collision Status,Smoothness Metric,Current Smoothness,Obstacle Clearance,Distance Traveled,Current Velocity,IMU Acceleration Magnitude,Is Rough Terrain,Notes
1731872110,5,1,37.0843,9.2711,0.1507,0.0026,0.104,9.689,0,Normal operation
1731872111,10,1,96.4589,10.7177,0.1508,0.0042,0.0938,9.778,0,Normal operation
1731872112,14,1,143.6629,11.051,0.1508,0.009,0.1207,7.5422,0,Normal operation
1731872113,19,1,196.7537,10.9308,0.1507,0.0108,0.1159,9.72,0,Normal operation
1731872114,23,1,243.0617,11.0483,0.1507,0.0144,0.115,9.8195,0,Normal operation
1731872115,28,1,291.5147,10.7968,0.1507,0.0166,0.119,9.5981,0,Normal operation
1731872116,32,1,324.8711,10.4797,0.1507,0.0206,0.1307,9.5323,0,Normal operation
1731872117,36,1,370.7026,10.2973,0.1507,0.0253,0.127,9.8204,0,Normal operation
1731872118,41,1,415.7873,10.3947,0.1507,0.028,0.1229,7.4648,0,Normal operation
1731872119,45,1,454.6091,10.332,0.1507,0.0304,0.1233,9.997,0,Normal operation
1731872120,50,1,507.7523,10.3623,0.1507,0.0341,0.1252,5.0954,0,Normal operation
1731872121,54,1,554.18,10.4562,0.1507,0.0363,0.1266,17.889,1,Normal operation
1731872122,58,1,591.0153,10.3687,0.1507,0.0374,0.1259,9.7099,0,Normal operation
1731872123,63,1,637.825,10.2875,0.1507,0.0388,0.1182,9.7233,0,Normal operation
1731872124,67,1,680.9701,10.3177,0.1507,0.0397,0.1176,13.7529,0,Normal operation
1731872125,71,1,724.3715,10.2024,0.1507,0.0444,0.1119,9.816,0,Normal operation
1731872126,76,1,782.7747,10.437,0.1507,0.0467,0.1088,24.8239,1,Normal operation
1731872127,80,1,820.7109,10.3887,0.1507,0.05,0.1122,7.7329,0,Normal operation
1731872128,84,1,854.6004,10.2964,0.1507,0.0524,0.1158,7.3195,0,Normal operation
1731872129,89,1,904.7744,10.2815,0.1507,0.0556,0.1193,16.2781,1,Normal operation
1731872130,93,1,942.7426,10.2472,0.1507,0.0605,0.1119,7.1781,0,Normal operation
1731872131,97,1,986.907,10.2803,0.1507,0.0615,0.105,9.7863,0,Normal operation
1731872132,102,1,1038.8304,10.2908,0.1506,0.0627,0.1069,9.7888,0,Normal operation
1731872133,106,1,1082.7233,10.3152,0.1506,0.065,0.1113,10.5604,0,Normal operation
1731872134,110,1,1121.7864,10.2533,0.1506,0.0671,0.1083,9.8712,0,Normal operation
1731872135,114,1,1162.7245,10.1168,0.1506,0.0688,0.1071,9.8635,0,Normal operation
1731872136,119,1,1208.287,10.1153,0.1506,0.072,0.1068,7.6103,0,Normal operation
1731872137,123,1,1244.9094,10.0185,0.1506,0.0743,0.112,7.3683,0,Normal operation
1731872138,127,1,1284.5732,10.0267,0.1507,0.0771,0.1109,7.5553,0,Normal operation
1731872139,131,1,1339.5238,10.2425,0.1507,0.0808,0.1105,9.7386,0,Normal operation
1731872140,136,1,1382.9112,10.2209,0.1507,0.083,0.1154,7.7088,0,Normal operation
1731872141,140,1,1425.6812,10.174,0.1506,0.0884,0.1158,9.1624,0,Normal operation
1731872142,145,1,1476.7356,10.2213,0.1507,0.0931,0.1183,10.9316,0,Normal operation
1731872143,149,1,1522.0898,10.1958,0.1506,0.1013,0.1205,18.1892,1,Normal operation
1731872144,153,1,1557.706,10.2146,0.1506,0.104,0.1172,6.0247,0,Normal operation
1731872145,158,1,1607.4505,10.1644,0.1506,0.111,0.1001,9.7443,0,Normal operation
1731872146,162,1,1645.9914,10.1791,0.1506,0.1259,0.088,9.6765,0,Normal operation
1731872147,167,1,1696.3668,10.154,0.1506,0.1382,0.0763,9.9688,0,Normal operation
1731872148,171,1,1736.4908,10.2196,0.1506,0.151,0.063,9.6695,0,Normal operation
1731872149,176,1,1806.5997,10.2383,0.1505,0.1606,0.0431,9.6674,0,Normal operation
1731872150,180,1,1857.9405,10.3723,0.1509,0.1693,0.0344,9.6773,0,Normal operation
1731872151,185,1,1904.7778,10.4019,0.1518,0.1758,0.0238,1.4052,0,Normal operation
1731872152,189,1,1965.3137,10.6054,0.1531,0.1836,0.0141,14.824,0,Normal operation
1731872153,193,1,2028.2792,10.7255,0.1547,0.1884,0.0027,15.595,1,Normal operation
1731872154,194,1,2072.2673,10.7744,0.1573,0.1912,0.0012,9.6786,0,Normal operation
1731872155,194,1,2117.8866,10.7906,0.1598,0.1928,0.0013,9.8402,0,Normal operation
1731872156,194,1,2169.2628,10.7675,0.1634,0.1952,0.0013,10.6104,0,Normal operation
1731872157,194,1,2208.1526,10.7849,0.1668,0.1975,0.0011,9.6753,0,Normal operation
1731872158,194,1,2240.4788,10.7775,0.1707,0.1993,0.0012,9.6758,0,Normal operation
1731872159,194,1,2291.2024,10.7322,0.1763,0.2022,0.0011,9.9597,0,Normal operation
1731872160,194,1,2327.9249,10.7071,0.1813,0.2038,0.0011,9.6724,0,Normal operation
1731872161,194,1,2380.4209,10.5904,0.1871,0.2083,0.0011,9.6133,0,Normal operation
1731872162,194,1,2424.6041,10.6901,0.1956,0.2127,0.0013,12.679,0,Normal operation
1731872163,194,0,2476.3296,10.6998,0.2036,0.2216,0.0013,9.6725,0,Normal operation
1731872164,194,0,2522.4022,10.7867,0.2153,0.2316,0.0012,9.6919,0,Normal operation
1731872165,194,0,2562.3718,10.757,0.2253,0.2367,0.0013,9.6716,0,Normal operation
1731872166,194,0,2619.7697,10.7814,0.2385,0.2409,0.0014,7.0159,0,Normal operation
1731872167,194,0,2659.3111,10.8186,0.2494,0.246,0.0013,9.674,0,Normal operation
1731872168,194,0,2711.3674,10.8378,0.2636,0.2493,0.0012,11.2532,0,Normal operation
