Timestamp,Total Collisions,Current Collision Status,Smoothness Metric,Current Smoothness,Obstacle Clearance,Distance Traveled,Current Velocity,IMU Acceleration Magnitude,Is Rough Terrain,Vertical Roughness,Notes
1737050323,0,0,238.2857,11.9143,2.9834,0.295,0.2781,10.7274,0,8.607,Normal operation
1737050324,0,0,487.596,12.1899,2.9039,0.6633,0.3173,16.6362,1,16.3334,Normal operation
1737050325,0,0,712.6465,11.8774,2.86,0.8663,0.2786,10.0581,0,9.6793,Normal operation
1737050326,0,0,928.114,11.6014,2.8313,1.003,0.1627,7.1815,0,4.6791,Normal operation
1737050327,0,0,1152.6896,11.5269,2.7915,1.371,0.2383,9.0246,0,8.9397,Normal operation
1737050328,0,0,1366.4599,11.3872,2.7047,1.6786,0.3211,7.3334,0,5.8627,Normal operation
1737050329,0,0,1586.8526,11.3347,2.614,2.2064,0.3986,18.3626,1,12.8398,Normal operation
1737050330,0,0,1819.3299,11.3708,2.5216,2.77,0.519,16.4327,1,16.2341,Normal operation
1737050331,0,0,2012.525,11.2432,2.4475,3.1829,0.4651,18.052,1,12.884,Normal operation
1737050332,0,0,2225.2473,11.1821,2.4148,3.4117,0.3039,10.8838,0,9.6064,Normal operation
1737050333,0,0,2455.7414,11.2134,2.4159,3.6296,0.2165,10.428,0,7.8189,Normal operation
1737050334,0,0,2731.8068,11.4302,2.4658,4.05,0.3141,6.4209,0,6.3554,Normal operation
1737050335,0,0,3006.1885,11.6069,2.5419,4.5295,0.4328,5.864,0,4.1649,Normal operation
1737050336,0,0,3210.4611,11.507,2.5986,5.068,0.4938,2.8214,0,2.5611,Normal operation
1737050337,0,0,3430.8059,11.4743,2.5768,5.6382,0.5278,11.7825,0,7.3796,Normal operation
1737050338,0,0,3700.2974,11.5997,2.5746,6.3423,0.5966,26.053,1,16.7241,Normal operation
1737050339,0,0,4033.3858,11.8979,2.5005,6.7762,0.5281,20.3651,1,12.8695,Normal operation
1737050340,0,0,4287.4132,11.9427,2.3959,7.5621,0.572,3.1282,0,2.0424,Normal operation
1737050341,0,0,4616.7967,12.1815,2.2715,8.4428,0.7903,1.1013,0,1.0866,Normal operation
1737050342,0,0,4845.5909,12.1443,2.0571,9.2455,0.7693,10.4701,0,9.4834,Normal operation
1737050343,0,0,5039.7716,12.0281,1.8283,10.0299,0.7282,9.0555,0,8.9833,Normal operation
1737050344,0,0,5309.0678,12.0935,1.6889,10.3957,0.5542,11.6882,0,9.6882,Normal operation
1737050345,0,0,5588.2592,12.1749,1.581,10.8178,0.3748,7.909,0,5.894,Normal operation
1737050346,0,0,5833.537,12.1786,1.5282,11.1532,0.365,17.3897,1,16.067,Normal operation
1737050347,0,0,6035.4026,12.1193,1.6034,11.4012,0.2983,4.7131,0,4.357,Normal operation
1737050348,0,0,6242.1554,12.0505,1.6743,12.1667,0.4876,9.4372,0,8.2822,Normal operation
1737050349,0,0,6528.6929,12.1351,1.7451,12.6865,0.6165,10.8055,0,9.563,Normal operation
1737050350,0,0,6910.772,12.3849,1.8409,13.3567,0.5823,35.4833,1,34.3837,Normal operation
1737050351,0,0,7194.0119,12.4464,1.9929,13.9455,0.6131,33.5397,1,32.4695,Normal operation
1737050352,0,0,7413.8047,12.3977,2.0707,14.5523,0.5787,5.6133,0,3.7582,Normal operation
1737050353,0,0,7716.1863,12.4857,2.1507,15.3751,0.6941,0.6108,0,0.3391,Normal operation
1737050354,0,0,8017.2732,12.5663,2.3512,16.3046,0.8487,50.6481,1,34.3122,Normal operation
1737050355,0,0,8179.5513,12.4309,2.5366,17.2999,0.9411,24.3675,1,15.9828,Normal operation
1737050356,0,0,8436.8082,12.4437,2.5894,18.1397,0.9014,7.76,0,7.7476,Normal operation
1737050357,0,0,8634.146,12.3698,2.7623,18.3845,0.5209,17.0189,1,13.6213,Normal operation
1737050358,0,0,8855.7758,12.3339,2.9404,18.9841,0.4123,1.4484,0,1.4264,Normal operation
1737050359,0,0,9084.2034,12.3092,2.7951,19.9718,0.7891,1.8478,0,1.1634,Normal operation
1737050360,0,0,9308.0044,12.2797,2.5024,20.7648,0.887,14.4584,0,9.7609,Normal operation
1737050361,0,0,9568.5087,12.3306,2.2967,21.0726,0.5933,6.1411,0,4.8568,Normal operation
1737050362,0,0,9842.8601,12.3654,2.235,22.0454,0.6864,3.8082,0,3.6954,Normal operation
1737050363,0,0,10116.1196,12.3972,2.2138,22.7928,0.8535,14.8663,0,9.4958,Normal operation
1737050364,0,0,10315.7665,12.3394,2.4202,23.6106,0.7617,0.0133,0,0.0015,Normal operation
1737050365,0,0,10520.0627,12.3042,2.7785,24.6789,0.8947,1.2316,0,0.7642,Normal operation
1737050366,0,0,10788.7751,12.33,2.9619,25.4889,0.8709,26.5277,1,19.4293,Normal operation
1737050367,0,0,10950.1986,12.2623,3.3301,26.0928,0.5221,9.8003,0,9.6337,Normal operation
1737050368,0,0,11168.751,12.233,3.6514,26.1146,0.106,26.1154,1,15.1012,Normal operation
1737050369,0,0,11617.0356,12.4513,3.9369,27.0133,0.3115,1.1642,0,1.1017,Normal operation
