Timestamp,Total Collisions,Current Collision Status,Smoothness Metric,Current Smoothness,Obstacle Clearance,Distance Traveled,Current Velocity,IMU Acceleration Magnitude,Is Rough Terrain,Notes
1731863385,13,1,147.7393,11.3646,0.1505,0.0212,0.0679,7.5022,0,Normal operation
1731863386,20,1,224.4248,10.6869,0.1506,0.0308,0.0521,9.7887,0,Normal operation
1731863387,27,1,289.0629,10.3237,0.1506,0.0427,0.0542,9.7107,0,Normal operation
1731863388,34,1,354.0396,10.1154,0.1505,0.0544,0.0581,9.7227,0,Normal operation
1731863389,41,1,425.0506,10.3671,0.1506,0.0723,0.0619,6.9366,0,Normal operation
1731863390,48,1,497.2047,10.3584,0.1506,0.0881,0.0616,10.5505,0,Normal operation
1731863391,54,1,555.2777,10.2829,0.1505,0.1126,0.0606,9.0059,0,Normal operation
1731863392,61,1,622.4646,10.2043,0.1506,0.13,0.0666,9.7895,0,Normal operation
1731863393,68,1,693.1082,10.1928,0.1506,0.1428,0.063,9.8165,0,Normal operation
1731863394,75,1,785.4062,10.4721,0.1506,0.155,0.0646,18.0639,1,Normal operation
1731863395,83,1,861.3232,10.3774,0.1506,0.1788,0.0627,9.5717,0,Normal operation
1731863396,90,1,930.7071,10.3412,0.1506,0.1875,0.0686,4.4643,0,Normal operation
1731863397,97,1,994.3672,10.2512,0.1506,0.2088,0.0703,7.0643,0,Normal operation
1731863398,104,1,1072.6735,10.2572,0.1506,0.2302,0.0706,8.3511,0,Normal operation
1731863399,112,1,1146.5363,10.0638,0.1506,0.242,0.0668,10.2669,0,Normal operation
1731863400,119,1,1209.3603,10.0237,0.1506,0.2494,0.0671,6.0128,0,Normal operation
1731863401,126,1,1272.321,10.0297,0.1505,0.259,0.0631,9.8126,0,Normal operation
1731863402,133,1,1348.615,10.1495,0.1506,0.2763,0.0608,6.959,0,Normal operation
1731863403,140,1,1420.0814,10.0214,0.1506,0.2907,0.0634,9.5166,0,Normal operation
1731863404,147,1,1496.5705,10.1003,0.1506,0.309,0.0693,9.7989,0,Normal operation
1731863405,154,1,1571.7471,10.1647,0.1506,0.3125,0.0765,10.0021,0,Normal operation
1731863406,161,1,1642.0071,10.0966,0.1506,0.3159,0.0698,7.7407,0,Normal operation
1731863407,168,1,1699.0717,10.0596,0.1506,0.3188,0.0774,9.7787,0,Normal operation
1731863408,175,1,1820.6341,10.3523,0.1506,0.3381,0.0767,18.9796,1,Normal operation
1731863409,182,1,1884.2581,10.3254,0.1506,0.3526,0.0776,10.9005,0,Normal operation
1731863410,189,1,1945.5874,10.1946,0.1506,0.3556,0.0688,10.9309,0,Normal operation
1731863411,196,1,2009.5278,10.2238,0.1506,0.3613,0.0633,9.514,0,Normal operation
1731863412,203,1,2096.5939,10.4225,0.1506,0.3673,0.0734,27.5563,1,Normal operation
1731863413,211,1,2193.5781,10.5735,0.1506,0.377,0.073,31.4491,1,Normal operation
1731863414,218,1,2259.7143,10.5655,0.1506,0.3883,0.0698,14.8272,0,Normal operation
1731863415,225,1,2329.0859,10.6665,0.1506,0.4033,0.0728,6.1752,0,Normal operation
1731863416,232,1,2441.9265,11.0058,0.1506,0.4224,0.0757,9.7978,0,Normal operation
1731863417,239,1,2526.0133,11.1553,0.1507,0.4332,0.0846,10.9265,0,Normal operation
1731863418,247,1,2637.636,11.4107,0.1507,0.4399,0.0765,6.4914,0,Normal operation
1731863419,254,1,2712.5086,11.4076,0.1506,0.4562,0.0762,6.4342,0,Normal operation
1731863420,260,1,2764.3635,11.4073,0.1507,0.4661,0.0766,9.7992,0,Normal operation
1731863421,268,1,2837.1421,11.3807,0.1506,0.4803,0.0731,9.8314,0,Normal operation
1731863422,276,1,2912.9027,10.8466,0.1507,0.5025,0.071,9.8147,0,Normal operation
1731863423,283,1,2982.2616,10.919,0.1506,0.5346,0.0663,6.6432,0,Normal operation
1731863424,291,1,3057.5936,10.9232,0.1506,0.5459,0.0722,8.3004,0,Normal operation
1731863425,298,1,3125.2911,10.9845,0.1506,0.5674,0.073,9.7555,0,Normal operation
1731863426,305,1,3202.4929,10.8064,0.1507,0.5741,0.0732,9.7639,0,Normal operation
1731863427,313,1,3272.1018,10.6386,0.1506,0.5867,0.068,7.6922,0,Normal operation
1731863428,320,1,3345.4618,10.6608,0.1506,0.5983,0.0589,14.0165,0,Normal operation
1731863429,327,1,3415.4731,10.2369,0.1506,0.6101,0.0614,8.3504,0,Normal operation
1731863430,335,1,3503.0584,10.1939,0.1506,0.621,0.058,18.3398,1,Normal operation
1731863431,342,1,3564.6953,9.7086,0.1506,0.6307,0.0582,9.7798,0,Normal operation
1731863432,349,1,3651.4704,9.88,0.1506,0.6377,0.0595,9.8286,0,Normal operation
1731863433,357,1,3713.9853,9.7392,0.1506,0.6421,0.0684,7.5454,0,Normal operation
1731863434,364,1,3782.8664,9.8181,0.1506,0.6634,0.0765,6.2434,0,Normal operation
1731863435,371,1,3861.9727,9.8827,0.1506,0.6788,0.0788,7.078,0,Normal operation
1731863436,379,1,3938.7155,9.953,0.1506,0.6823,0.0831,10.9138,0,Normal operation
1731863437,386,1,4003.5138,9.9158,0.1506,0.6921,0.0812,7.5765,0,Normal operation
1731863438,393,1,4069.5867,9.9224,0.1506,0.7021,0.0909,8.9535,0,Normal operation
1731863439,400,1,4157.7149,10.0413,0.1506,0.7176,0.0866,16.8319,1,Normal operation
1731863440,408,1,4230.7531,10.1085,0.1506,0.7387,0.0843,9.7042,0,Normal operation
1731863441,415,1,4297.4622,10.0568,0.1506,0.7616,0.0846,9.7964,0,Normal operation
1731863442,422,1,4371.3091,10.0737,0.1506,0.7705,0.0772,9.8052,0,Normal operation
1731863443,429,1,4439.906,10.0478,0.1507,0.7877,0.0754,9.7795,0,Normal operation
1731863444,436,1,4511.9759,9.8937,0.1507,0.7952,0.069,9.7812,0,Normal operation
1731863445,443,1,4568.6133,9.921,0.1507,0.7988,0.0657,9.7891,0,Normal operation
1731863446,450,1,4701.4889,10.4233,0.1507,0.8126,0.0667,15.2007,1,Normal operation
1731863447,457,1,4766.0767,10.5209,0.1507,0.8148,0.0655,9.766,0,Normal operation
1731863448,464,1,4844.9876,10.6212,0.1507,0.8216,0.0676,23.7775,1,Normal operation
1731863449,472,1,4930.9424,10.6897,0.1506,0.8398,0.0677,9.7752,0,Normal operation
1731863450,479,1,5026.6663,10.8795,0.1506,0.8575,0.0752,12.1617,0,Normal operation
1731863451,486,1,5099.8703,10.9636,0.1506,0.8736,0.0783,9.7695,0,Normal operation
1731863452,493,1,5160.3988,10.9081,0.1506,0.8752,0.0758,7.6194,0,Normal operation
