[0.019s] Invoking command in '/home/jack/src/RoboTerrain/ros2_ws/build/roverrobotics_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jack/ros2_ws/install/unity_slam_example:/home/jack/ros2_ws/install/camera_subscriber:/home/jack/rover_workspace/install/rover_metrics:/opt/ros/humble /usr/bin/cmake --build /home/jack/src/RoboTerrain/ros2_ws/build/roverrobotics_description -- -j24 -l24
[0.206s] -- Found ament_cmake: 1.3.10 (/opt/ros/humble/share/ament_cmake/cmake)
[0.206s] [0mCMake Error: The current CMakeCache.txt directory /home/jack/src/RoboTerrain/ros2_ws/build/roverrobotics_description/CMakeCache.txt is different than the directory /home/jack/rover_workspace/build/roverrobotics_description where CMakeCache.txt was created. This may result in binaries being created in the wrong place. If you are not sure, reedit the CMakeCache.txt[0m
[0.206s] -- Configuring done
[0.208s] -- Generating done
[0.208s] -- Build files have been written to: /home/jack/rover_workspace/build/roverrobotics_description
[0.224s] Invoked command in '/home/jack/src/RoboTerrain/ros2_ws/build/roverrobotics_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jack/ros2_ws/install/unity_slam_example:/home/jack/ros2_ws/install/camera_subscriber:/home/jack/rover_workspace/install/rover_metrics:/opt/ros/humble /usr/bin/cmake --build /home/jack/src/RoboTerrain/ros2_ws/build/roverrobotics_description -- -j24 -l24
[0.246s] Invoking command in '/home/jack/src/RoboTerrain/ros2_ws/build/roverrobotics_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jack/ros2_ws/install/unity_slam_example:/home/jack/ros2_ws/install/camera_subscriber:/home/jack/rover_workspace/install/rover_metrics:/opt/ros/humble /usr/bin/cmake --install /home/jack/src/RoboTerrain/ros2_ws/build/roverrobotics_description
[0.251s] -- Install configuration: ""
[0.251s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/rviz
[0.251s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/rviz/urdf.rviz
[0.251s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/launch
[0.251s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/launch/display_miti65.launch.py
[0.251s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/launch/display_2wd_rover.launch.py
[0.251s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/launch/display_4wd_rover.launch.py
[0.251s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/launch/display_mini.launch.py
[0.251s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/launch/display_flipper.launch.py
[0.251s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/launch/display_max.launch.py
[0.251s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/launch/display_miti.launch.py
[0.251s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/meshes
[0.251s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/meshes/rover_payload.dae
[0.251s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/meshes/hub_6.5in.dae
[0.251s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/meshes/castor.dae
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/meshes/mini_chassis.dae
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/meshes/pro_tire.dae
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/meshes/max_wheels.dae
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/meshes/max_chassis.dae
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/meshes/flipper.dae
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/meshes/flipper_chassis.dae
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/meshes/castor_housing.dae
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/meshes/rplidar_s2.dae
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/meshes/miti_chassis.dae
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/meshes/flipper_track.dae
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/meshes/hub_10in.dae
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/meshes/rover_2wd_core.dae
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/max.urdf
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/mini.urdf
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/#rover_4wd_flat.sdf#
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/accessories
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/accessories/rover_dev_payload.urdf
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/accessories/rplidar_s2.urdf
[0.252s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/accessories/imu.urdf
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/rover_4wd.sdf~
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/flipper.urdf
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/camera_rover_4wd.sdf
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/camera_rover_4wd.sdf~
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/origin_rover_4wd.sdf
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/rover_4wd_flat.sdf
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/miti65.urdf
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/rover_4wd_temp.urdf
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/origin_rover_4wd.sdf~
