step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,dmin,goals
1,1757690873.7822273,-21.871552436438524,-20.43764594274414,nan,5.617410433467089,2.676821247917267,2.676821247917267,0
2,1757690874.7781339,-22.216740792209073,-20.30469553604774,0.37142689237609716,4.99476428834843,3.8879652676679854,3.8879652676679854,0
3,1757690875.7740471,-22.619745546115276,-20.18852742434842,0.421134777374568,4.698286442978262,5.18167863493545,4.698286442978262,0
4,1757690876.7821999,-23.0193365542182,-20.160123787041297,0.39735966323073335,4.6919709048698826,6.4698400404849385,4.6919709048698826,0
5,1757690877.7814462,-23.396699267778278,-20.47407834316489,0.49125726644142115,4.922272489813697,7.588029350723192,4.922272489813697,0
6,1757690878.774953,-23.64339054367401,-21.051121658767006,0.631664811008289,5.104682903642487,8.209799340919952,5.104682903642487,0
7,1757690879.7764251,-23.698736511726807,-21.669181348970135,0.6196205738460652,5.116049425720963,7.3607303904708115,5.116049425720963,0
8,1757690880.7793767,-23.722929226462625,-22.07042951572595,0.40079384666143675,5.144760139996083,6.37585449858096,5.144760139996083,1
9,1757690881.7748978,-23.63017211435418,-22.119009387387887,0.10517966799251577,5.216347747034436,5.238275371924976,5.216347747034436,1
10,1757690882.7760684,-23.130390312211244,-22.327032961135952,0.5407131747611371,5.017243150134808,3.571217213237599,3.571217213237599,1
11,1757690883.7798853,-22.471901144093696,-22.346153481887104,0.6562618619684482,5.043815486778933,2.173033956373022,2.173033956373022,1
12,1757690884.7773812,-21.86448684949701,-22.42609874839054,0.6141907340917507,4.977331801039659,1.8647604352566813,1.8647604352566813,1
13,1757690885.7829685,-21.391218799540425,-22.47512216375397,0.4731566310545739,4.194512986832668,2.8426658267450486,2.8426658267450486,1
14,1757690886.7777572,-20.781819912826833,-22.478090860732763,0.612598585360069,3.2341849965313236,4.172512771891871,3.2341849965313236,1
15,1757690887.7801008,-20.146642780723504,-22.550077467783453,0.6377486875081088,2.0742739468283027,5.441376498971177,2.0742739468283027,1
16,1757690888.7812583,-19.546481692414652,-22.515060236679076,0.6004867081193999,0.9967694467772177,6.1839520814268205,0.9967694467772177,1
17,1757690889.7763164,-19.402564507974972,-22.471008618392876,0.15125563914506998,0.8018396434143763,6.410775341292098,0.8018396434143763,1
18,1757690890.7778592,-19.741021633154368,-22.50365429941656,0.33950410096537004,1.9586575829608845,6.252209342291291,1.9586575829608845,1
19,1757690891.7804897,-19.37283172937957,-22.384921627636015,0.3858458097436975,2.8376468813431983,6.948384800913883,2.8376468813431983,1
20,1757690892.7821324,-18.75023276189749,-22.314038613540717,0.6255933340097783,3.9071862189681155,7.617490283206248,3.9071862189681155,1
21,1757690893.7802815,-18.11384685680054,-22.21897577788602,0.6446400665365383,5.0308109047372795,7.218161878424246,5.0308109047372795,1
22,1757690894.779706,-17.50667580528106,-21.944749586110394,0.6666093670305031,6.007909076867708,6.817211745691234,6.007909076867708,1
23,1757690895.7802563,-16.95637925209638,-21.567973967289426,0.6665561207375317,6.83911760127329,6.401991341079231,6.401991341079231,1
24,1757690896.7746572,-16.395624174349923,-21.222937869436937,0.6621114337321925,7.668403602050897,6.077180223223187,6.077180223223187,1
25,1757690897.775849,-15.979920491778962,-20.907335873266952,0.5213117825775543,8.395671139896505,5.744102751147695,5.744102751147695,1
26,1757690898.7737432,-15.374026974384709,-20.859705714701427,0.6090453914427616,9.299459202212775,5.58826239323009,5.58826239323009,1
27,1757690899.7768095,-14.857244107043755,-20.662422487142607,0.5514683253123687,9.939963314615076,5.4429092460918955,5.4429092460918955,1
28,1757690900.7789974,-14.430416496363826,-20.257700431380865,0.5869179776909491,9.863954635271057,5.454762864543596,5.454762864543596,1
29,1757690901.7746737,-14.342095601438947,-19.909705362215288,0.36058713924318175,8.72815824839823,5.336983153142416,5.336983153142416,2
30,1757690902.7784774,-14.251676939435393,-20.01411822481288,0.13759822771034416,8.001665087506971,5.067925256946544,5.067925256946544,2
31,1757690903.7769594,-14.498362027426401,-19.87961664308389,0.28139728382813683,6.937820377419028,5.0269953093066215,5.0269953093066215,2
32,1757690904.7817993,-14.793148073004346,-19.862898350901197,0.29383759607857163,5.96665538965989,5.089591248616517,5.089591248616517,2
33,1757690905.7793512,-15.01958420226401,-20.21334451360055,0.4182598792112223,5.374960250830038,4.979679802368344,4.979679802368344,2
34,1757690906.7767806,-14.960475132555539,-20.83790840880361,0.6289715699288138,5.155821122099031,5.087925517345997,5.087925517345997,2
35,1757690907.7797613,-15.024157322249305,-21.437094652168007,0.6007701270123195,4.855528364990454,5.523428798105505,4.855528364990454,2
36,1757690908.78232,-15.16624414952402,-22.066676560037013,0.6437689629228383,4.562259160486276,6.156288273099044,4.562259160486276,2
37,1757690909.7765589,-15.298543052290825,-22.694620456343586,0.6454478524702121,4.2559262921621865,7.008564166701142,4.2559262921621865,2
38,1757690910.7761674,-15.447033789591627,-23.108075744195354,0.43948375551605107,3.8144434475305267,7.960229380009948,3.8144434475305267,2
39,1757690911.778941,-15.871849137142336,-23.481812711317584,0.5642507319005252,3.1693559721607003,8.453287024317284,3.1693559721607003,2
40,1757690912.7755318,-15.751534929129402,-23.360019338283294,0.17178474687119605,2.94739191295333,9.432572311398253,2.94739191295333,2
41,1757690913.7737174,-15.859777822169093,-23.540104117675423,0.21049391076772894,2.880546266688065,9.766339838481459,2.880546266688065,2
42,1757690914.7742486,-15.792767371755662,-23.39595705581923,0.1588771597999461,3.3200097649813958,10.00056424896375,3.3200097649813958,3
43,1757690915.7793927,-15.694249930625993,-23.188145710880416,0.22880396366538816,4.084511875018245,10.286390096202124,4.084511875018245,3
44,1757690916.778183,-16.208407538098296,-22.813865733138467,0.6367290360297351,4.687529336482698,9.992704788702335,4.687529336482698,3
45,1757690917.7761059,-16.5023576498257,-22.332410155288713,0.5652717623174407,4.43086024945397,9.906853714149523,4.43086024945397,3
46,1757690918.7754276,-16.85041231199641,-21.888733469737076,0.5642897089937796,3.960454059958303,8.75337428765521,3.960454059958303,3
47,1757690919.7756405,-17.35756648404101,-21.486735904823966,0.6470155474484796,3.2899789053683652,7.2771683857141625,3.2899789053683652,3
48,1757690920.7763577,-17.865863158873676,-21.166762985962414,0.6001927223719753,2.4306297210347028,5.8524666928103795,2.4306297210347028,3
49,1757690921.7807767,-18.222160990613467,-20.900309964529892,0.4429530563856441,1.5040707065213272,4.6326241660287995,1.5040707065213272,3
50,1757690922.7829506,-18.29788551288813,-20.659062244769846,0.2523045662735202,0.5978150258462368,3.834170940290321,0.5978150258462368,3
51,1757690923.7770872,-18.51210378858344,-20.13542806241749,0.5690949462959695,0.23008454837913,3.3635059272433665,0.23008454837913,3
52,1757690924.7746756,-18.829352647907466,-20.073968770507083,0.3239283411169008,1.4091000746890237,3.007278074898691,1.4091000746890237,3
53,1757690925.77918,-19.40073377151682,-19.84285262573542,0.6135891557011576,2.5681214455078303,3.3496753442854668,2.5681214455078303,3
