step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1757787925.8868244,-19.798748466527144,-22.202677575811485,nan,11.196531552047515,6.000393353015667,6.522291484345169,6.000393353015667,0
2,1757787926.889042,-19.44332036384963,-22.071207236985533,0.3781253275506945,10.934049105088738,6.478175067376293,5.899473618861123,5.899473618861123,1
3,1757787927.8926795,-19.91523952881473,-21.938131190135408,0.48854618159734675,9.886071207746909,6.252381411322531,4.433508263554313,4.433508263554313,1
4,1757787928.8853743,-20.20615388144759,-21.79904679315468,0.3248254205995441,8.863754384479737,6.206395603391165,2.9897060897925734,2.9897060897925734,1
5,1757787929.8916929,-20.608670149593472,-21.717192605637745,0.40817565111422727,7.889925144901909,4.824651759087745,1.569370807007696,1.569370807007696,1
6,1757787930.8886955,-20.579408558516484,-21.79220078345142,0.08075582920265903,7.038062924570874,3.955485035908679,0.915307449545723,0.915307449545723,1
7,1757787931.8872862,-20.328720651943836,-22.12312237716677,0.41574072392542305,6.304003544319355,3.3090603730580153,1.3577704689453263,1.3577704689453263,1
8,1757787932.8854141,-20.301631104789397,-22.185777447316873,0.06838856812183551,5.430273584098238,2.3960659827403226,2.294763612102488,2.294763612102488,1
9,1757787933.8875873,-20.70622062627186,-22.328223170887462,0.42800280828307824,4.81998353343042,1.0390222601879215,3.730894827947006,1.0390222601879215,1
10,1757787934.8867428,-20.590792867149375,-22.39472813220633,0.13332849848166303,3.946438755540658,0.25823454217386366,4.63643349630972,0.25823454217386366,1
11,1757787935.8897088,-20.658505744299575,-22.129994148855307,0.27244843939501995,2.990879049373636,1.0530391634252072,5.695767642988624,1.0530391634252072,1
12,1757787936.8852715,-20.84719799947525,-21.903538345561277,0.2960797731075212,2.4593207022199643,2.2821585419479464,6.7069889629313115,2.2821585419479464,1
13,1757787937.8864462,-21.259793741717225,-21.966303364263933,0.4168527462116451,2.6637140544635787,3.5292344132123286,7.735028868761097,2.6637140544635787,1
14,1757787938.885166,-21.472055074366395,-22.15417439943017,0.28382484295254756,2.9372891976513755,4.598229944905497,7.306151806481316,2.9372891976513755,1
15,1757787939.889284,-21.5160218022473,-22.15516750966327,0.043797585567201085,3.3100159009748378,5.663838507230876,6.383927677846942,3.3100159009748378,2
16,1757787940.8852632,-21.372397411634115,-21.867495440126532,0.3228305588331187,3.9762111096715294,5.540082586844606,5.318521596806515,3.9762111096715294,2
17,1757787941.8933773,-20.74686897438796,-21.92150336595008,0.622802143262659,4.416264289805503,4.268106217371286,3.72585439311405,3.72585439311405,2
18,1757787942.8845508,-20.412977586004395,-21.755390431080688,0.3762512225396289,4.9443207076679405,3.3821807839126445,2.4678518679589483,2.4678518679589483,2
19,1757787943.891487,-20.139821760390202,-21.395071493817508,0.4490400906083678,4.641099675501434,3.039361588504041,1.3020320360568882,1.3020320360568882,2
20,1757787944.8867302,-19.99469637907977,-21.036466866944753,0.38870636407737774,4.210671879939723,3.3378803430248007,0.22714128793460114,0.22714128793460114,3
21,1757787945.8853838,-20.380548472170396,-21.34340896016561,0.49371164984769617,3.26270475101141,3.282738178814572,0.6546826764722724,0.6546826764722724,3
22,1757787946.888454,-20.533172886205136,-21.315950469913723,0.15460011730495724,2.5390898538828663,3.8502989747027536,1.3735842135520981,1.3735842135520981,3
23,1757787947.889,-20.957079870590345,-21.336162662809958,0.4241569962198153,2.3566083693584314,4.218644971241465,2.032846057885148,2.032846057885148,3
24,1757787948.8832028,-21.27610651603363,-21.596828258129698,0.4143786127433132,2.7286850989436293,4.470860251371408,2.859563801483374,2.7286850989436293,3
25,1757787949.885726,-21.69577333568355,-21.993067889143866,0.5757181160657382,3.9124405370993713,4.274917518294025,3.712451453721913,3.712451453721913,3
26,1757787950.8865576,-22.27002376059737,-22.348340090224994,0.6747032233686193,5.460285645295165,3.5137954560341362,4.404916517898863,3.5137954560341362,3
27,1757787951.8833477,-22.85993177134316,-22.68074584130974,0.6792956603700393,7.0760273601531605,3.113163234515585,5.170908275829542,3.113163234515585,3
28,1757787952.8851645,-23.409981844108362,-22.935333537929996,0.6050113785114458,8.583083989696158,3.337026912246073,4.897012076519824,3.337026912246073,3
29,1757787953.8839073,-23.982436262469978,-22.984965331485366,0.575325216350895,9.945380738103196,3.7939245234793075,4.163938287415767,3.7939245234793075,3
30,1757787954.886938,-24.553592979954832,-23.015041804266115,0.5702198567352484,11.236491983047134,3.0577653063914134,3.632435243797209,3.0577653063914134,3
31,1757787955.887094,-25.07012936683712,-23.117519288496133,0.5265216177618381,12.424706171568367,2.603693757132481,3.6947716380468463,2.603693757132481,3
32,1757787956.8897605,-25.296183382794325,-23.20151770891838,0.24051454256544105,13.365055393627049,2.6884889580036853,4.148514252126222,2.6884889580036853,3
33,1757787957.8845086,-25.417721810151736,-23.331841122560174,0.17914235420962213,14.169916036559218,3.165718492725639,4.883891864108419,3.165718492725639,3
34,1757787958.8896954,-25.254831045621117,-23.144517545880387,0.24695992712865553,14.068636695347564,3.4836091659838067,5.465314883792874,3.4836091659838067,3
35,1757787959.8841343,-25.466192332140974,-23.63581260766521,0.5378221071676442,13.735582840595384,4.530488958559374,6.759228023946009,4.530488958559374,4
36,1757787960.8864312,-25.293934448106512,-23.290137179249793,0.3853328378370868,12.513937902861409,5.025217948756448,7.494721658854315,5.025217948756448,4
37,1757787961.8865483,-25.081520611480297,-23.090607783848924,0.2913961844667877,11.399510307576158,5.719531063474353,8.274445821037478,5.719531063474353,4
38,1757787962.8853014,-24.506948317515274,-23.01235092534452,0.5806010734069346,10.19767294268652,6.04649053213923,8.680099149696062,6.04649053213923,4
39,1757787963.8852375,-23.918096968496,-22.78709672206944,0.6305046929217216,8.812207470858297,6.418591386239328,8.97657716672105,6.418591386239328,4
40,1757787964.8882294,-23.251700651772172,-22.698115069260282,0.6703052841619047,7.545864377084438,6.750242339497504,9.099294438028632,6.750242339497504,4
41,1757787965.8912468,-22.595736734884586,-22.549449548436353,0.6705760939588322,6.20883104930452,6.590293885513824,9.041579639190118,6.20883104930452,4
42,1757787966.8913143,-22.123238141137588,-22.291569925982813,0.5382543297707175,4.991626542347939,5.5441676484885,7.824625670886866,4.991626542347939,4
43,1757787967.893122,-21.631053153134374,-21.863931856612897,0.6508360522282661,3.7033767435302067,4.431196923177731,6.416092596623136,3.7033767435302067,4
44,1757787968.8885553,-21.140421057575708,-21.391783010515546,0.6840381511235913,2.6572295337421448,3.6380681560708674,5.029085254424696,2.6572295337421448,4
45,1757787969.892017,-20.685226534501794,-20.93276169584169,0.6442238368822285,2.3115272528024033,3.397259972290416,3.7403796800901956,2.3115272528024033,4
46,1757787970.8857646,-20.138817519565315,-20.59269422948591,0.6476397006159412,2.7130101864452816,3.9116456645106807,2.381634434375304,2.381634434375304,4
47,1757787971.88373,-19.649713767192267,-20.253669408350714,0.5963270201738926,3.6870158252550054,4.998350813564537,1.3641980367170703,1.3641980367170703,4
48,1757787972.8897212,-19.229535018218193,-19.890438899846203,0.5521078851629381,4.9160307553096,6.257798822226132,1.3524031145163047,1.3524031145163047,4
49,1757787973.891056,-18.788145732200352,-19.481058301781587,0.6012082209794463,6.262735953418422,7.536996735449685,2.37896181703976,2.37896181703976,4
50,1757787974.8836741,-18.15021780955267,-19.260767249358885,0.6799117706929217,7.384129732872819,8.71115408240369,3.7519899577264715,3.7519899577264715,4
51,1757787975.8832881,-17.57499589797079,-19.144396380504787,0.5871017583061289,6.984713156853728,9.043369970719446,5.163819652100935,5.163819652100935,5
52,1757787976.8846128,-17.96458805249105,-19.049504188219185,0.400451553735398,6.261985654911657,8.436054114148165,5.6460961803874525,5.6460961803874525,5
53,1757787977.8877895,-18.147207860569207,-19.319616515012168,0.3250206707335832,5.100132927408177,7.9898957295654816,6.353340735756153,5.100132927408177,5
54,1757787978.8831766,-18.678302620872866,-19.560926977094056,0.5860492522978078,3.8046183802439293,7.368350067704168,6.7198628232047914,3.8046183802439293,5
55,1757787979.8845687,-19.32991062371234,-19.715274544575177,0.6687079030226898,2.6589959260133456,6.508254074792305,7.050543379052724,2.6589959260133456,5
56,1757787980.8855083,-19.891537611509285,-19.680516753778296,0.5621732771190892,1.8700146173601406,5.1175300949211815,6.184652452650725,1.8700146173601406,6
57,1757787981.8921485,-20.46712008273958,-19.419443655902995,0.6278549259027604,1.9487372517466597,3.8869389037617634,4.841210090354942,1.9487372517466597,6
58,1757787982.8893511,-20.748585211305464,-19.279889757000213,0.315043525832972,2.33940387310781,3.163359145273939,3.718496801553158,2.33940387310781,6
59,1757787983.888831,-20.92180550503942,-19.607503493703618,0.3707816536531491,3.329355099722356,2.528403573641234,2.5723327083880245,2.528403573641234,6
60,1757787984.890966,-20.874230417581746,-20.223232028782533,0.6162480630841315,4.756902965624229,2.0103134487645167,1.5141347629089095,1.5141347629089095,6
61,1757787985.8865025,-20.90897971152357,-20.786425179202126,0.566794004074426,6.323460812774386,1.8114227068885196,0.4194330859164287,0.4194330859164287,6
62,1757787986.8866742,-21.131850399555656,-21.4058815863734,0.6582163983236842,7.986385426894594,2.175863834128836,1.0870963757945504,1.0870963757945504,6
63,1757787987.8891509,-21.39012784244316,-22.002493794664648,0.6485117979437077,9.60133497932021,2.965350867519256,2.5013683430072797,2.5013683430072797,6
64,1757787988.884404,-21.532531199809622,-22.5894580729169,0.6068723103980717,11.064067502905274,3.8272211012125066,3.7566683629736826,3.7566683629736826,6
65,1757787989.884153,-21.405908855179685,-23.049113898608915,0.4768971347448392,12.182660539030216,4.518859835734604,4.75240056214977,4.518859835734604,6
66,1757787990.8865893,-21.148876095036837,-23.231242686934714,0.3142529811536256,12.761549368475945,5.100004827782904,5.4257770054698256,5.100004827782904,7
67,1757787991.890801,-20.74986862897736,-22.931472709630203,0.49697503690940775,11.394130431075114,4.286631732813803,5.887350116567465,4.286631732813803,7
68,1757787992.8854055,-20.30663649990585,-22.422935003719154,0.678244703687881,9.831606329386808,3.3696674712297416,6.243373833164999,3.3696674712297416,7
69,1757787993.8862693,-19.937157364241074,-21.88290828992189,0.6537621797401051,8.26860119108084,2.833150284729372,6.5631190302861935,2.833150284729372,7
70,1757787994.8891556,-19.569247740927104,-21.32102986965982,0.6696807203320211,6.647940113524913,3.046812102109916,5.438514497540271,3.046812102109916,7
71,1757787995.8856857,-19.347455999469783,-20.731654016701988,0.6319192305566714,5.044885150780064,3.955676215044004,4.4999695199615015,3.955676215044004,7
72,1757787996.8859103,-19.007081290970476,-20.315228778207192,0.5377127792871857,3.5881891539480186,5.1179714942808685,3.4138454547139307,3.4138454547139307,7
73,1757787997.8858569,-18.693400031021515,-19.82300563593866,0.5837087853076653,2.067961740249203,6.429602885375362,2.677316430111535,2.067961740249203,7
74,1757787998.8874722,-18.761030636579907,-19.900551738965095,0.10272865507684849,1.2044431835268177,7.061666637363884,1.9294492834756274,1.2044431835268177,7
75,1757787999.889848,-18.98383439757067,-19.415333037060986,0.532662100581961,0.5972964179445793,7.7610731320865725,1.964286121648181,0.5972964179445793,7
76,1757788000.889304,-19.16304773151241,-19.078615403249085,0.38164726364640333,1.72199427023806,7.8173735351398035,2.1218021495992216,1.72199427023806,7
77,1757788001.8843503,-19.065321970643023,-19.301653216312165,0.24472034329917575,2.406827085467212,7.4284918627421685,2.303554861000227,2.303554861000227,7
78,1757788002.8918564,-18.699435312356467,-19.311976881703146,0.3633052556150056,3.3697279142004612,7.508753469614109,3.277553022726104,3.277553022726104,7
79,1757788003.8929188,-19.041019889710178,-19.209544422284395,0.35623397925867906,4.4493504060335605,7.070147175711543,3.7825908109974025,3.7825908109974025,7
80,1757788004.8844657,-19.530854878728185,-19.190144501411563,0.49439821831172254,5.4571628134577415,6.5497687746520645,4.173658927594123,4.173658927594123,7
81,1757788005.8877516,-19.747251282813032,-19.03223870343479,0.26700628837122536,6.577024621686041,5.667730550776377,4.8117935920819015,4.8117935920819015,7
82,1757788006.8850956,-19.559991931006373,-18.9246061186362,0.21656323921697235,7.635991468186957,5.159112242586402,5.869488614604782,5.159112242586402,7
83,1757788007.8841228,-19.065950920921274,-18.794932494673763,0.5112729933660081,7.361908428526105,5.051806057177578,7.288747374131285,5.051806057177578,7
84,1757788008.8861687,-18.81843922868513,-18.489584616604915,0.39226155558514897,6.951003854088336,4.940563385908633,7.17889008769462,4.940563385908633,7
85,1757788009.8853252,-18.63173870411056,-18.385025218799093,0.21416605939433161,6.170052503785046,4.776643311239191,6.682678106324829,4.776643311239191,7
86,1757788010.8877125,-18.22785101173132,-18.465640994919674,0.41087367862053764,5.131954742959303,4.7677682321456825,6.2647218498780735,4.7677682321456825,8
87,1757788011.8866668,-18.245451494513805,-18.754146862372185,0.2893448021421026,3.7943306023930057,4.451071071843908,5.264914344960265,3.7943306023930057,8
88,1757788012.8836632,-18.57826888813975,-18.960299467423862,0.39267184700063956,2.402787050651995,4.338226926838802,3.9776869450283048,2.402787050651995,8
89,1757788013.8884003,-19.20495484932957,-18.955943860813683,0.6237463243416042,1.3105325320005896,4.7806896173576465,2.604251076198528,1.3105325320005896,8
90,1757788014.885438,-19.87318909812134,-18.984847985567097,0.6708463553813137,1.3616239113681958,5.660396568120023,2.0429574912983366,1.3616239113681958,8
91,1757788015.8841836,-20.543015590462893,-18.922750491442223,0.6735436044500979,2.4541921570480865,6.838457328572841,3.0395662075024066,2.4541921570480865,8
92,1757788016.889632,-21.2220515808771,-18.82767668030426,0.6819440041131483,3.7353376035221104,7.4475294386333175,4.602999765381971,3.7353376035221104,8
93,1757788017.8857722,-21.866397879804644,-18.717834330455876,0.656174392034181,4.955588981902034,7.406340902665534,6.281083367981235,4.955588981902034,8
94,1757788018.8879762,-22.52677784064512,-18.681854052658803,0.6599050209695458,6.230550159138311,7.164826855468666,7.897755099046405,6.230550159138311,8
95,1757788019.891079,-23.132356980275873,-18.60864864800912,0.6081010045053314,7.382472671512418,6.822929888516574,9.394274891289374,6.822929888516574,8
96,1757788020.8915298,-23.643036992611215,-18.497148751771,0.5224749759279183,8.368708099284424,6.493097396092648,10.681366734821854,6.493097396092648,8
97,1757788021.8853962,-24.227882442473664,-18.320646600675335,0.6146687958057305,9.226300559875188,6.308651950110483,11.798334236192204,6.308651950110483,8
98,1757788022.887587,-24.862144240623223,-18.15016996165918,0.6553369187492313,9.991214489793231,6.206650402026044,11.461492135039181,6.206650402026044,9
99,1757788023.8885832,-24.887320285501215,-18.13706474616127,0.028354495354295937,9.407180229074852,5.929971572164842,10.500476989876153,5.929971572164842,9
100,1757788024.893028,-24.203449582555027,-18.205285596696722,0.6842237674631976,8.220680256567789,5.811371007854848,8.868835747870733,5.811371007854848,9
101,1757788025.8907921,-23.66948342884903,-18.247309229090334,0.5368175150636322,7.163599318434474,5.860169406206102,7.387723693453703,5.860169406206102,9
102,1757788026.891612,-23.389015241735596,-18.347189224436807,0.2974781385880497,6.367729394301363,5.038074974526641,6.232630883191509,5.038074974526641,9
103,1757788027.8836493,-22.87565833223579,-18.542411973999542,0.5536326276991981,5.4544597634462,4.4822502493972625,4.686704243887209,4.4822502493972625,9
104,1757788028.890958,-22.225342262370717,-18.776614951459603,0.6861881587813746,4.4670845259069205,4.273721143827004,3.1233824630523386,3.1233824630523386,9
105,1757788029.885137,-21.577272479783932,-19.02067278363436,0.6965563937718512,3.514309585818184,4.55356233022965,1.748208937852715,1.748208937852715,9
106,1757788030.8839874,-20.970879856147654,-19.31946388543815,0.6767870478542056,2.657915491974204,4.6962395670542065,1.39474360647764,1.39474360647764,9
107,1757788031.8886967,-20.348634933804096,-19.572806397706994,0.6686925906808269,1.8803339021093446,4.456920653176189,2.5175944139771476,1.8803339021093446,9
108,1757788032.8881133,-19.790665728356068,-19.722322001799878,0.5779915579567461,1.5204472664921802,4.225806729247616,3.995496471253621,1.5204472664921802,9
109,1757788033.886823,-19.202629168462728,-19.78364409926841,0.5919891901606179,1.84067667542447,4.078053042881318,5.434330652200422,1.84067667542447,9
110,1757788034.8905299,-18.678253314466122,-19.96034003968821,0.5513020858355514,2.540432274153473,3.870955024923606,6.958635269624012,2.540432274153473,9
111,1757788035.89274,-18.22776162144066,-20.380652938325106,0.6147627843739393,3.140045979422222,3.4985709998031647,8.343267258708144,3.140045979422222,9
112,1757788036.8909554,-17.82659761257512,-20.893140342394474,0.6519906085589693,3.6616652706849204,3.0573996913816037,8.32702475115115,3.0573996913816037,9
113,1757788037.8853927,-17.3331738970191,-21.289232926162544,0.6362766159176364,4.3941086205919175,2.7732025885300144,8.108710630683627,2.7732025885300144,9
114,1757788038.8860395,-16.756876363130132,-21.58008971812929,0.6451185584307534,5.28772076843311,2.6401940637445054,7.807451354086617,2.6401940637445054,9
115,1757788039.8866308,-16.251545315182902,-21.811207963652258,0.5553470006424799,5.190303369591792,2.5335675473909762,7.2984828057907745,2.5335675473909762,9
116,1757788040.8925505,-16.38822297271298,-21.514299090981744,0.32493373965573297,4.757632644267807,2.866611338376261,5.9881947047189765,2.866611338376261,10
117,1757788041.8841677,-16.633570440956856,-21.620498899064,0.2696058561510177,3.8027843604935585,3.021932410621402,4.557502695367378,3.021932410621402,10
