step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1757871856.064017,-19.49747733903381,-21.71607897668771,nan,3.2216082050871475,4.411301674243172,2.4790795607909404,2.4790795607909404,1
2,1757871857.0617743,-18.9049554613246,-21.59740139757208,0.6056484657602079,4.206502775362981,3.645911125898431,3.8984940557418475,3.645911125898431,1
3,1757871858.0581384,-18.52598921123516,-21.629165558778862,0.3816828774994929,5.381248547967745,3.0009992376004453,5.294107767834451,3.0009992376004453,1
4,1757871859.0640833,-18.248432714743096,-21.883372938099328,0.37415182190277446,6.859657135144305,2.6030450282259494,6.604350551151631,2.6030450282259494,1
5,1757871860.0583875,-17.81391249055075,-22.364431281667223,0.6519610559997119,8.417607893859488,2.917056624031895,8.136290134295175,2.917056624031895,1
6,1757871861.0631318,-17.364914044880106,-22.801448181770876,0.623606172079838,9.872058695599796,4.119827852227684,9.727996264660673,4.119827852227684,1
7,1757871862.0614126,-17.105653472133767,-23.177424843717187,0.45748609418371067,11.10993189685297,5.428865108158701,9.972959676457922,5.428865108158701,1
8,1757871863.0622587,-17.295452312748328,-23.471705721134068,0.34988223789836,12.155085244118279,6.278476633032674,9.214791377630851,6.278476633032674,1
9,1757871864.0606775,-17.751507226005298,-23.34890795283609,0.4730459500141392,12.456473467590989,6.846124195406256,7.903419063705539,6.846124195406256,1
10,1757871865.0594382,-18.1745684163818,-22.906037124929878,0.6132265755548229,11.049196461563994,7.229362737403018,6.296411436681556,6.296411436681556,1
11,1757871866.0576398,-18.390075800056152,-22.532530068171916,0.43199720784658535,9.704071862415574,7.3231328915134455,4.789272846944795,4.789272846944795,1
12,1757871867.0610142,-18.35178072157074,-22.63605374766777,0.110008435815083,8.785669395182069,7.444328695380652,3.746992755142522,3.746992755142522,1
13,1757871868.0655017,-18.89531901833564,-22.710462562295046,0.5461569433529283,7.899429841814699,7.118333054451146,2.199647916931431,2.199647916931431,1
14,1757871869.061151,-19.40346170369104,-22.80166385315954,0.5185181019521086,7.090290865570716,7.002644399018924,1.4593848897803208,1.4593848897803208,2
15,1757871870.0612285,-19.108399412253686,-22.872582979650833,0.3034419358172631,6.22590019268176,7.618266585028832,1.5991954216125275,1.5991954216125275,2
16,1757871871.0637789,-19.153075541996895,-22.505160286130202,0.36918732415094446,4.779813365467571,6.446100331889567,2.333494133743525,2.333494133743525,2
17,1757871872.0624816,-18.972701915326535,-22.078273755450876,0.4640313001370898,3.3843737043185564,5.530592659635612,3.191190678894135,3.191190678894135,2
18,1757871873.064351,-18.410204580294383,-21.7723803577983,0.6390973842519119,2.00546742045448,5.111224874895842,3.665434281948455,2.00546742045448,2
19,1757871874.0666418,-17.883499266864344,-21.33713049108361,0.6817106131297851,0.8752322279718106,4.674929975686646,4.124811799746924,0.8752322279718106,2
20,1757871875.0582275,-17.50003811915417,-21.188428232286096,0.4147743692843605,1.1567214257229663,4.264450220202589,4.483026105375328,1.1567214257229663,2
21,1757871876.0668924,-16.845917488163987,-21.36509124022975,0.6717366014564791,2.23536506465886,4.102376175512816,3.0239715481262928,2.23536506465886,2
22,1757871877.061766,-16.229838416899664,-21.52933617053488,0.6408823779525916,3.291853470471053,3.9478510457357796,1.5340597690583408,1.5340597690583408,2
23,1757871878.0602176,-15.803045142730268,-21.715970507115234,0.4665386900323523,4.1950134368488925,3.581547216625095,0.8033127713895853,0.8033127713895853,2
24,1757871879.0597732,-15.56431559879887,-22.030074182895344,0.39470413562854617,4.882983049113214,3.0730952759693904,1.5835184922702785,1.5835184922702785,2
25,1757871880.057842,-15.509875945203701,-22.155000473236047,0.13653639663745004,5.635247585183277,2.6291972509812314,2.599744820455976,2.599744820455976,2
26,1757871881.0584147,-15.664454848128303,-22.554320238648916,0.42794986764158144,4.841666139548322,2.1043111643277146,3.5087917073365196,2.1043111643277146,3
27,1757871882.05903,-15.385522389420842,-22.23886412167579,0.4208299584251964,4.738365259697445,2.643425854324687,4.640662673752064,2.643425854324687,3
28,1757871883.0626967,-15.273225755163867,-22.18695479195384,0.12326187656827504,4.286689057891001,3.181734372076243,5.7135297540948065,3.181734372076243,3
29,1757871884.0578513,-15.125453372556594,-22.626985780114666,0.46644102712953844,3.788294690009126,3.7639641939474635,6.941841286819329,3.7639641939474635,3
30,1757871885.0627909,-15.100288137220806,-22.7091306347984,0.08549084500134098,3.6458325271657124,4.784202825495644,8.015862575872275,3.6458325271657124,3
31,1757871886.0668328,-14.693071629019608,-22.95602316782861,0.4742984335630477,4.315833974482357,6.291901667523446,9.452673061232979,4.315833974482357,3
32,1757871887.0627904,-14.178304418242089,-23.19706207259005,0.5707127374520908,5.398296946745177,7.921693368577427,10.98500255427716,5.398296946745177,3
33,1757871888.066659,-13.974205627114507,-23.6203187021374,0.46808542969841366,6.583286849691863,9.250216407218703,12.295774112362313,6.583286849691863,3
34,1757871889.0582654,-14.107659930045354,-23.942084145542168,0.3512918730262967,7.700281756790517,10.153110061753065,13.287701948483017,7.700281756790517,3
35,1757871890.0661612,-14.200810409313608,-23.93533332556043,0.09266314117357491,8.623000824268681,10.925769374628555,12.831984037898312,8.623000824268681,3
36,1757871891.0606575,-14.063720715365696,-23.985798486457057,0.14689169359355125,9.722948352540177,11.55535835315886,12.222756905293586,9.722948352540177,4
37,1757871892.0598938,-14.201340085093808,-23.654946197780056,0.3586065571086009,10.342537377493024,11.586753746667329,11.086368410837458,10.342537377493024,4
38,1757871893.0595663,-14.247235667223322,-23.180784973798136,0.47653334198726854,10.8006071640463,11.703456504057312,9.830014823460775,9.830014823460775,4
39,1757871894.0621204,-14.430257792879583,-22.580314454066997,0.6261442492417425,11.000243389374223,11.676455423759897,8.284589538034014,8.284589538034014,4
40,1757871895.0586927,-14.76015594299215,-21.998302378219933,0.6713084320045717,11.049329412961018,11.515119163766533,6.696147612191194,6.696147612191194,4
41,1757871896.0623076,-15.112521181967303,-21.426002373545337,0.6696570459487564,10.978628474639683,10.468961918783094,5.006820903779561,5.006820903779561,4
42,1757871897.0636206,-15.351745662132537,-20.904013324854812,0.5734429748670107,9.568354969081163,9.331263014371693,3.620375292439746,3.620375292439746,4
43,1757871898.0584254,-15.786646324610299,-20.474925597423905,0.6141364016358671,8.102932438471196,8.005494884171622,2.4302023827858155,2.4302023827858155,4
44,1757871899.0591507,-15.50696288309063,-20.55191723816625,0.28987688638442455,7.3468743020430844,7.413363121573539,2.0832013782901484,2.0832013782901484,4
45,1757871900.0591943,-15.821085215291154,-20.626453210044676,0.3228302281176346,6.48080913221616,6.28345395579283,1.972673428943529,1.972673428943529,4
46,1757871901.0647016,-16.236163540998664,-20.952024991290326,0.5246398346318931,5.677062751830761,5.141179627742754,2.429801039010493,2.429801039010493,5
47,1757871902.0648835,-16.67667832918052,-21.1117121174638,0.46847988144163566,4.770704104684636,3.9035174550330467,3.3161886171150456,3.3161886171150456,5
48,1757871903.060042,-17.293967704849198,-21.213670811782574,0.628696935502147,3.7389557204075916,2.8214656335449875,4.34526973963601,2.8214656335449875,5
49,1757871904.0653658,-17.96522872043851,-21.20227579834169,0.6678024222865306,2.644414784478207,2.401641477566267,3.9829753983548337,2.401641477566267,5
50,1757871905.0592382,-18.6419327366984,-21.298977421163205,0.6877929910466495,1.732195067850162,2.8591324898371964,3.5656889905957847,1.732195067850162,5
51,1757871906.065791,-19.299015247513772,-21.459046334039385,0.6718956402162081,1.2293177277359744,3.9157352436933177,3.1271908606717633,1.2293177277359744,5
52,1757871907.0577605,-19.947323773986216,-21.599833985742293,0.6687899156401889,1.3866206182454952,4.69605860059422,2.78992560823441,1.3866206182454952,5
53,1757871908.062985,-20.608261955381067,-21.72491250434562,0.6691731739770208,2.1314301621824128,4.543529363401886,2.4547489334991353,2.1314301621824128,5
54,1757871909.0615587,-21.275363851012376,-21.828942104431107,0.676128804523776,3.0379665205461692,4.215891974212365,2.268119729169288,2.268119729169288,5
