step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1757789754.1604776,-21.70841647179373,-19.064661675817693,nan,3.247807757632713,4.558849547576773,8.005826887815829,3.247807757632713,0
2,1757789755.1673455,-22.07665453715354,-19.157476417458668,0.3771646617987138,4.080640391233713,4.04218661116159,7.3303452474512385,4.04218661116159,0
3,1757789756.1589434,-22.19469304391137,-19.233350394352726,0.1415098615994591,4.9262395584344985,3.329826867291975,6.429815793327485,3.329826867291975,0
4,1757789757.1625724,-22.616936388350116,-19.379097993796513,0.4450746682342599,6.1684807717557595,2.281136372949973,5.763988978842357,2.281136372949973,0
5,1757789758.1633008,-23.210599889453203,-19.621175900557752,0.6406558705504262,7.593042065245256,1.4863886728505813,5.1914447826149726,1.4863886728505813,0
6,1757789759.1673436,-23.714660628225303,-19.988699459158997,0.6213076585040558,9.004855227690678,1.7960427416613662,4.59633982268874,1.7960427416613662,1
7,1757789760.1660657,-24.124466263746008,-20.249415628055843,0.4863308508197608,10.184578811079444,2.8101570307320447,3.9485564085750786,2.8101570307320447,1
8,1757789761.1627333,-24.264378097868537,-20.766870230198226,0.5378282399367187,11.329206766572616,3.6278837160814046,3.1188978394696423,3.1188978394696423,1
9,1757789762.160517,-24.20828030616121,-21.430661641847692,0.6676373500833933,12.197252067651855,4.3105899759880755,2.425507274494909,2.425507274494909,1
10,1757789763.1668756,-24.12726756820273,-22.10526598118454,0.6751582298481679,11.856814526154833,5.0164746952398085,2.426114133074872,2.426114133074872,1
11,1757789764.1590965,-23.900906607866506,-22.722182867966847,0.662286490630713,11.42204858156528,5.589910009235839,3.095160151001161,3.095160151001161,1
12,1757789765.1601007,-23.542758924251533,-23.252377147158825,0.6391828908778787,10.81329368243693,6.101761641628894,4.142574372131601,4.142574372131601,1
13,1757789766.1682348,-23.618249090465664,-23.163143476598822,0.11593898565668641,9.878015287810044,7.154970259283551,4.702384818217278,4.702384818217278,1
14,1757789767.1584277,-23.56317112838923,-23.051064124612516,0.1261182514690207,8.970446285087908,7.309673550059785,5.1670620452575795,5.1670620452575795,1
15,1757789768.1583397,-23.137834984116026,-22.77490046104689,0.5071710379638554,7.695735907512598,6.226410441378847,4.667558242497111,4.667558242497111,2
16,1757789769.162302,-22.688790298086946,-22.562632609995976,0.49472755169650495,6.4265024900916945,4.925523981565771,4.087925267014505,4.087925267014505,2
17,1757789770.1613784,-22.10869042535411,-22.342992435471253,0.6208618241890747,5.162361850393283,3.5244208007156237,3.4545559472550225,3.4545559472550225,2
18,1757789771.1664155,-21.59988140836893,-21.92020627839844,0.6582241609080248,3.792485725605891,2.6166552371290877,2.5126788564223763,2.5126788564223763,2
19,1757789772.1643581,-21.138882954511967,-21.664025915515737,0.5284845973397925,2.7667255347363318,2.617246007462108,1.6506611827059405,1.6506611827059405,2
20,1757789773.1610453,-20.580275562722655,-21.388589505467188,0.6248923124971864,2.0260848959131676,3.5953428824921065,0.7461738446212846,0.7461738446212846,2
21,1757789774.1592338,-20.138743927743953,-20.92776774802052,0.6393641940953337,2.3233442263248785,4.966635217175085,0.44917848154803536,0.44917848154803536,2
22,1757789775.1598094,-19.66465820305202,-20.704522626466236,0.5237173363634778,3.0901430996004517,6.167125001783981,1.3833586220571725,1.3833586220571725,2
23,1757789776.1610482,-19.100573681265395,-20.50958531186958,0.5960797129234238,4.109384359075637,7.3142143780932924,2.204533420993206,2.204533420993206,2
24,1757789777.1639872,-18.675486890222825,-20.11982662017222,0.5750340226028319,5.5091992657783475,7.616911690763155,3.2004203011926737,3.2004203011926737,2
25,1757789778.1661077,-18.198823384514093,-19.845721274906374,0.5486926975090713,6.782846754628628,7.933018630339261,3.990384519067353,3.990384519067353,2
26,1757789779.1601846,-17.519911833822597,-19.76771126738544,0.6874504971733091,6.509642104977365,8.51673103102998,4.397540968200388,4.397540968200388,2
27,1757789780.1677694,-16.97494579518863,-19.658373674307384,0.5516420349926571,6.051066100922188,9.065015594594607,4.747427348353928,4.747427348353928,2
28,1757789781.1631043,-16.56961855528213,-19.269878903296092,0.5640745883999145,5.728790541539887,9.19275162152498,4.865941438269328,4.865941438269328,2
29,1757789782.160887,-16.371957911761754,-19.07760475005954,0.27636462625359287,5.072076353137601,8.599612948512835,4.188691826646715,4.188691826646715,3
30,1757789783.163116,-16.663613433025837,-19.13001124730471,0.29566744673889944,3.897246458742217,7.526234123518087,3.603628052600478,3.603628052600478,3
31,1757789784.1588078,-16.647228109455668,-19.04952129814998,0.08249621041914479,3.0090565485311154,6.834338488970378,3.2130764092300814,3.0090565485311154,3
32,1757789785.1664484,-16.763799471275636,-19.128808478832035,0.13991092216140047,2.054003664680242,6.058144206708256,2.903059234845858,2.054003664680242,3
33,1757789786.1597881,-17.34561363226593,-19.036106745837916,0.5931032609359986,1.1790546835799158,5.093839450330086,2.784394936546712,1.1790546835799158,3
34,1757789787.1587963,-17.971932861844788,-19.041083996957738,0.6269608390532145,1.507259556633516,4.368285276518588,2.6169382032140205,1.507259556633516,3
35,1757789788.1624007,-18.353412306089158,-19.193313327193973,0.40925633533359623,2.761226799624078,4.047889190032385,2.6081319298457464,2.6081319298457464,3
36,1757789789.1648595,-18.903174615698003,-19.341854508044975,0.5680793451487052,4.13558204134293,4.122673040150404,2.6386001071110536,2.6386001071110536,3
37,1757789790.1661503,-19.56881557593527,-19.323233760169977,0.66504292301,5.3822913179568355,4.867484048618687,2.740110775258941,2.740110775258941,3
38,1757789791.162465,-20.245335135659385,-19.218412331122675,0.6871242443560093,6.465446389649015,6.052555957871774,2.900490330986041,2.900490330986041,3
39,1757789792.1583037,-20.925457367494992,-19.16386004560523,0.6851577173537642,7.485682826474535,7.226764632610879,3.108846362979716,3.108846362979716,3
40,1757789793.1607018,-21.59537033961806,-19.14432323574496,0.6685944905856543,8.455695590109963,7.190884550774247,3.2860645541426607,3.2860645541426607,3
41,1757789794.1625588,-22.03304666649457,-19.398791709824483,0.5053369587632499,9.451387900084722,6.6574817381333595,3.8010606090212558,3.8010606090212558,3
42,1757789795.1658971,-22.516736436838453,-19.806647707416914,0.6305893631442768,9.240732176615392,5.8885964986231984,3.9619810868087737,3.9619810868087737,3
43,1757789796.1582365,-22.907732058913492,-19.825927629232805,0.39449274005001267,8.602259665873552,5.342098125983787,2.927282889518456,2.927282889518456,3
44,1757789797.1587937,-22.656767235675797,-20.105418702786345,0.37542176040510217,7.844503169456215,4.340676987059711,2.459352152328876,2.459352152328876,3
45,1757789798.1634552,-22.745310162143966,-20.586672300094833,0.48706058604375924,7.429664011168734,3.571035604684129,1.65297668952723,1.65297668952723,3
46,1757789799.1674411,-22.69324575158128,-20.73623806478811,0.1577398906438763,6.736362030375811,3.461139572300536,0.8609370453271253,0.8609370453271253,3
47,1757789800.1598613,-22.915120563900988,-20.838704411179485,0.2462592819657081,6.216215392577996,3.58185752395585,1.0853380471963232,1.0853380471963232,3
48,1757789801.1636987,-23.505522996878536,-20.702309185063548,0.6036363509902645,5.994455240174352,3.7193659884909014,2.7316054650448542,2.7316054650448542,3
49,1757789802.161264,-23.924971697332882,-20.637758748033235,0.4254223711319494,5.920187550010226,3.2112999360217294,4.354841448055137,3.2112999360217294,3
50,1757789803.1627903,-24.269262832459766,-20.666254106154764,0.34494183202868167,5.902615178353124,2.2800707941369422,5.900569704581223,2.2800707941369422,3
51,1757789804.1642485,-24.28813724443569,-20.59165836278347,0.07683449160482679,5.779812940899778,1.7993260331600611,7.0743646309797,1.7993260331600611,3
52,1757789805.1581993,-23.881468264054096,-20.328325887144366,0.4874314198296092,5.447008219953351,2.1186948075993746,7.855118334390884,2.1186948075993746,3
53,1757789806.1615355,-23.48760131867118,-20.059718937459213,0.47515462184922524,5.443062015112932,2.5765077529176903,8.572390678974054,2.5765077529176903,3
54,1757789807.1611621,-23.506727930338933,-19.774355556078877,0.28611047127085704,6.06241651333675,1.7494473263681292,9.538359742477914,1.7494473263681292,3
55,1757789808.163859,-23.38078260772789,-19.544064121707216,0.26177523540173736,6.6967443781516,1.5058650162702623,10.230682277000087,1.5058650162702623,3
