step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1757781729.0813682,-17.031951510996617,-22.938358946176425,nan,1.693031114649106,1.2087509606368105,8.223760342608248,1.2087509606368105,1
2,1757781730.07595,-17.471953396358668,-22.936874709913948,0.44240145277444043,1.832888955962636,1.9974182000163028,8.773010181887841,1.832888955962636,1
3,1757781731.0760694,-18.125592990747425,-22.7210912446456,0.688254352067141,2.578587598747033,2.4031494615803815,9.05985140122778,2.4031494615803815,1
4,1757781732.077751,-18.790007275094606,-22.642650820654424,0.6679054531160179,3.5051300163397157,2.3054258913812684,8.169949666485307,2.3054258913812684,1
5,1757781733.0797894,-19.456274196140733,-22.638072036936926,0.6649272141758746,3.7419637180657324,2.048152132380667,6.879778044357263,2.048152132380667,1
6,1757781734.0850081,-20.13421477687987,-22.699218807549112,0.67715864025954,3.224980254734462,1.7288527907445328,5.470292825921495,1.7288527907445328,2
7,1757781735.0851908,-20.194809609238,-22.720415369464504,0.0641835112969241,2.523087254349604,1.703770369431662,4.465088205871865,1.703770369431662,2
8,1757781736.0752687,-20.011218737978112,-22.560079664938765,0.24619083254459134,1.8344836771616662,2.6529317107170507,3.4136505640121455,1.8344836771616662,2
9,1757781737.0797222,-19.843600463589283,-22.02777756846945,0.555595059027868,1.397778231242384,4.040338540218246,2.0980736898302084,1.397778231242384,2
10,1757781738.0827518,-19.410961587840273,-21.684512367172935,0.5506066366022523,0.723488966894577,5.426779222771093,1.03867312286125,0.723488966894577,2
11,1757781739.078425,-19.598564600871477,-21.66809733624204,0.18913815798556705,1.4545391403337375,5.999586536786889,0.6548008625891691,0.6548008625891691,2
12,1757781740.0774875,-19.243576357117483,-21.96727241346793,0.4646794992173849,2.705791238656918,6.593064550383838,1.42346199813274,1.42346199813274,2
13,1757781741.0759225,-18.774781201212804,-22.334155770966575,0.5962248537195597,4.210858053789583,7.0011266471155515,2.006954461683957,2.006954461683957,2
14,1757781742.0751913,-18.614867501874453,-22.28653029501108,0.16697705715713482,5.365500599503891,7.271555194053591,2.86454519008885,2.86454519008885,2
15,1757781743.0758293,-18.113716346865957,-22.009189880685938,0.572408912393854,6.256590506684458,7.960864392069019,3.362219654124932,3.362219654124932,2
16,1757781744.0794594,-17.561058812657695,-21.64615521640815,0.6588378621416393,7.1048476102373925,8.6959070307519,3.7375608108812424,3.7375608108812424,3
