step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1757801736.1488135,-15.417673993748242,-18.58540996980021,nan,3.993988751861536,7.676309478382795,5.678651929698074,3.993988751861536,0
2,1757801737.149696,-15.751588766381158,-18.820410662959677,0.40795891939784334,3.3251514829876956,6.665495909309603,6.0882376367387625,3.3251514829876956,0
3,1757801738.146987,-16.330214490518156,-18.969135563593827,0.5990564656302877,2.3875511362396824,5.626331633104975,6.28651546373926,2.3875511362396824,0
4,1757801739.1496096,-16.988789681937114,-19.026864405265563,0.6593712533737164,1.4710278229917155,4.822498381309526,6.495155988393438,1.4710278229917155,0
5,1757801740.1440957,-16.992272109893243,-19.029475628170953,0.004376809452429725,1.635360325864582,4.729917187634108,7.372154958732328,1.635360325864582,0
6,1757801741.1456423,-17.56134581814839,-19.17689940400419,0.5869515919410485,1.809718517098194,4.586443635993236,7.661931473780175,1.809718517098194,0
7,1757801742.1470845,-18.225387206714785,-19.26371122922673,0.6687274785440703,2.439792188742621,5.0211591185490585,7.966470683184291,2.439792188742621,0
8,1757801743.1522758,-18.897026474930673,-19.315307314320368,0.6701392760143234,3.3613134389820507,5.891682805908432,7.224999286158701,3.3613134389820507,0
9,1757801744.147018,-19.561197764085914,-19.394317189102072,0.6723896106005027,4.28787131117652,5.953099888709939,5.875447626264389,4.28787131117652,0
10,1757801745.1456637,-20.154453932765666,-19.37907147485675,0.5942567842755119,5.390582191002706,5.788552722124664,4.470963457182081,4.470963457182081,0
11,1757801746.1462889,-20.801052704019888,-19.35238197663418,0.646745062741038,6.505517251869146,5.560855078850831,2.840948920684704,2.840948920684704,0
12,1757801747.1501584,-21.354522923300223,-19.670626837005464,0.6359817423056178,7.301676530966408,4.96173108091958,1.2954112622445002,1.2954112622445002,0
13,1757801748.147024,-21.731446107617188,-19.866660029111337,0.4261889170665476,6.839764043981814,4.464969493754455,0.689547211408622,0.689547211408622,0
14,1757801749.1428368,-22.355819287901564,-19.926161243324245,0.6298391353060734,6.4605705534425475,4.250236408421892,2.254502116771277,2.254502116771277,0
15,1757801750.1450462,-22.86822051548281,-19.964233241207744,0.5126809472793432,6.094566809873592,4.150817884469462,4.005321415531376,4.005321415531376,0
16,1757801751.1498456,-23.436632188022863,-20.0431784913668,0.5711266930888166,5.7961802527250965,4.075906411442319,5.732549478167679,4.075906411442319,1
17,1757801752.1486661,-23.933584902496783,-20.234518940187314,0.5331447061019178,5.652399810243388,3.9198567920888303,7.347764884314384,3.9198567920888303,1
18,1757801753.1423566,-24.37683829076693,-20.6454087974294,0.6082415783020699,5.750231935615609,3.187654230521923,8.724648954750672,3.187654230521923,1
19,1757801754.1458282,-24.476011387835456,-21.20930170315388,0.5705666023070322,5.982320592099019,1.9066125879372695,9.662801111403795,1.9066125879372695,1
20,1757801755.1491992,-24.52524587640618,-21.875087012162528,0.665360329980404,6.731830513714169,1.3731264744480192,10.38410335292205,1.3731264744480192,1
21,1757801756.1451037,-24.710678605372173,-22.384774058446006,0.5446013341812675,7.880035539482315,2.1272529984053015,11.134196772976203,2.1272529984053015,1
22,1757801757.1481705,-25.088119579321468,-22.84172320614342,0.5908634226572983,9.290925525506488,3.287099484363228,10.793143461764577,3.287099484363228,1
23,1757801758.142811,-25.316752070202508,-23.174801512260046,0.4061743477976326,10.594612018166638,2.9983442838601566,10.131891753758737,2.9983442838601566,2
24,1757801759.1501088,-25.328911584750113,-23.14508992142391,0.03187087852169575,11.45449107034959,2.655714457805018,9.206453731270697,2.655714457805018,2
25,1757801760.1496918,-25.148334804092357,-23.028414534040273,0.21508066330234396,12.134399200391943,2.478458193779228,8.12939931689068,2.478458193779228,2
26,1757801761.1519897,-24.61242792904214,-23.29445244375573,0.596936217359801,12.827265324170199,2.5779362508231642,6.787603627431173,2.5779362508231642,2
27,1757801762.1436388,-24.05565740871254,-23.30568342570363,0.5615733972749798,13.27128740712131,2.576395728128665,5.498206103837414,2.576395728128665,2
28,1757801763.1490836,-23.55639244080661,-23.137371873956717,0.5240190125241013,13.462494526197624,2.6829576062250178,4.233661684839139,2.6829576062250178,2
29,1757801764.143268,-23.118787703250412,-22.769042379998872,0.5753288020063101,12.205042158859547,2.9871370896850657,3.1047171700148564,2.9871370896850657,2
30,1757801765.151319,-22.716593337471977,-22.417818649935906,0.5297002347640513,10.782470450428066,3.581547810654746,2.2417755464189346,2.2417755464189346,2
31,1757801766.1466162,-22.175658788332495,-22.028769445809793,0.6694586749597925,9.281551663782071,4.130541286061634,1.9662567040387957,1.9662567040387957,2
32,1757801767.143658,-21.781318317483464,-21.50899675913534,0.6543682284537837,7.763752833907509,4.96448230904069,2.452907258378991,2.452907258378991,2
33,1757801768.1463032,-21.28673878097676,-21.061778516652023,0.6650339433064096,6.237285063244139,5.76944993683215,3.5674807010859504,3.5674807010859504,2
34,1757801769.14247,-20.83711053889785,-20.639063183331814,0.6195082997500738,4.758489673138647,5.930721654536317,4.758135525234438,4.758135525234438,2
35,1757801770.1440012,-20.316642520286397,-20.410940234155607,0.5673978047488796,3.4263695618153016,5.189429882407364,6.165475916236257,3.4263695618153016,2
36,1757801771.1477418,-19.64733799609379,-20.34382360185069,0.6701545272748792,2.1836577658216725,4.398405566582768,6.582016444567006,2.1836577658216725,2
37,1757801772.1493819,-19.085532718641833,-20.30891808655179,0.5619669185231899,1.0006837531444066,4.09136517294867,6.394153262561542,1.0006837531444066,2
38,1757801773.1494052,-19.18919042229239,-20.213290564143445,0.1410269944425165,0.7103218862950444,4.299528895635489,5.389296996153871,0.7103218862950444,3
39,1757801774.1423564,-19.376926824766297,-20.151448808029066,0.19906286997354375,1.5410501512361898,4.70980036971648,4.178105666411702,1.5410501512361898,3
40,1757801775.1492043,-19.52609606485497,-20.252712622863548,0.17906748266574263,2.4258599090737825,5.165225693183481,2.9584380043898597,2.4258599090737825,3
41,1757801776.1445632,-19.550476665537182,-19.976148219748396,0.2789314988882021,3.4819695178111116,6.046479479633656,1.8914237396147848,1.8914237396147848,3
42,1757801777.1491556,-19.707256428948792,-19.41968174652021,0.5754875811794318,5.1045262739041535,6.923389888301735,1.6254651293797127,1.6254651293797127,3
43,1757801778.1513226,-20.080027441619748,-18.946361797014443,0.6011837593667712,6.5476542973459075,7.409015072603986,2.670720053217707,2.670720053217707,3
44,1757801779.1495879,-20.645420189863838,-18.561352643834965,0.6852215765262331,7.992577920737423,6.725763215554571,4.30423739370692,4.30423739370692,3
45,1757801780.1436708,-21.17542873756908,-18.169024922589877,0.6633415253755176,8.366483977596655,6.000546204808386,5.989221452139183,5.989221452139183,4
46,1757801781.1475382,-20.999982332198893,-18.172549851847595,0.1748057701334696,7.636028429900413,5.693838852192912,6.832396596577263,5.693838852192912,4
47,1757801782.1443572,-20.83971679623013,-18.288819395344355,0.19863095426761987,6.707701999277647,5.47740147507576,7.534023274484594,5.47740147507576,4
48,1757801783.146183,-20.947481993100784,-18.756951483894028,0.4795004076706295,5.415622337727529,4.917508157205464,8.120964016603727,4.917508157205464,4
49,1757801784.1422734,-20.947076929020938,-19.251827797264607,0.4968188360362652,4.061505367735422,4.056326481366746,8.472927748511022,4.056326481366746,4
50,1757801785.1473825,-20.723237380685365,-19.80102561763484,0.5900472825584693,2.6590073434251025,3.405859168423937,7.120947072025734,2.6590073434251025,4
51,1757801786.147615,-20.336138369778734,-20.197771429024726,0.5541751402236548,1.7384008616977802,2.9638335921125702,5.628020875596929,1.7384008616977802,4
52,1757801787.1521523,-20.20375165738795,-20.25898792059045,0.145196261233303,2.0451274401325144,2.4964337156790575,4.4820172251430055,2.0451274401325144,4
53,1757801788.150702,-19.796241792059874,-20.2966475679228,0.4098406985453654,2.7514833645402628,2.4408667809726747,3.1478400913027667,2.4408667809726747,5
54,1757801789.1450007,-20.17258199897118,-20.553758137056246,0.45839607448189734,4.276447675293609,2.1152349989012436,2.3665920805795704,2.1152349989012436,5
55,1757801790.1424408,-20.43713490891279,-20.49840849182904,0.27097468004493114,5.48400308140167,2.733168083607458,1.6963892583230304,1.6963892583230304,5
56,1757801791.1513958,-21.03421611625874,-20.302492967258104,0.6228244368126497,6.5994221795743195,3.9572358021712426,1.3376038223333195,1.3376038223333195,5
57,1757801792.1519341,-21.537007811200567,-20.0003795804629,0.5862608840787641,7.49563622577657,5.411037013928308,0.9763459786019729,0.9763459786019729,5
58,1757801793.1434202,-21.925498556429268,-19.479789692890048,0.6551461000244241,8.03987151693924,6.981773815462867,0.9282732026585744,0.9282732026585744,5
59,1757801794.144256,-22.323610304257826,-18.985112864686613,0.6344485080101011,8.542875280880672,8.313024919358895,1.1449088595522867,1.1449088595522867,5
60,1757801795.143787,-22.65657088523461,-18.47634247427909,0.6083233060091461,8.825321831911602,8.392498456046601,1.5859973275201902,1.5859973275201902,5
61,1757801796.1490407,-22.75563680843351,-18.500215362053307,0.10136920310483878,8.422473867384245,7.7855278299402695,2.010033798329572,2.010033798329572,5
62,1757801797.1437612,-22.5811600632971,-18.466023442475244,0.1787391102304981,7.47261564896817,6.982775634774657,2.938681701868245,2.938681701868245,6
63,1757801798.1468105,-22.533308492372214,-18.748483903236245,0.28561410737414894,6.822290150999826,6.093766740912111,3.830475798614599,3.830475798614599,6
64,1757801799.147044,-22.300836676959733,-19.277144839100654,0.5773819247122837,6.312287184662521,5.054282105381921,3.681673558330728,3.681673558330728,6
65,1757801800.146235,-21.865223214185363,-19.738589961240947,0.6350929048591882,5.59762008243845,4.465730279073641,3.4571706049932938,3.4571706049932938,6
66,1757801801.1496284,-21.29967718018361,-20.038808513099553,0.6381263016190625,4.650359232551021,4.68298161752515,3.1530821872398396,3.1530821872398396,6
67,1757801802.1505437,-20.681120295539095,-20.27589520964592,0.6618311896537802,3.6678883933577553,5.433920115424787,2.7882658915237064,2.7882658915237064,6
