step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1757808403.46939,-22.824212925306252,-20.283540821453386,nan,4.231159453897279,7.0256934657431165,9.167991254799064,4.231159453897279,0
2,1757808404.4627862,-22.282068848206407,-20.177643906217217,0.5560617534717819,3.9741367449895653,5.924903949990483,9.305441228172159,3.9741367449895653,0
3,1757808405.4637651,-21.823033001128636,-19.75857236995256,0.6209505360443661,3.9499791551940846,5.252452096506631,8.145318959366493,3.9499791551940846,0
4,1757808406.4636183,-21.43734997416636,-19.2831251993462,0.6123001915998574,4.14983203966849,5.0872769782531435,7.0210371559137945,4.14983203966849,0
5,1757808407.463423,-21.021550407760007,-18.941778409567856,0.5380705951847603,4.531886582980042,5.323985179153568,5.864435913960531,4.531886582980042,0
6,1757808408.4622495,-20.80156928482906,-18.805585568831187,0.25903198529512445,5.29555621112969,5.746457415242786,4.847753481677477,4.847753481677477,0
7,1757808409.4675689,-20.950804268837004,-18.922639886684316,0.18866139408271837,6.374315432263681,5.9891399580877,3.9973445230456432,3.9973445230456432,0
8,1757808410.4668021,-20.867496078941798,-18.428845455483426,0.5011568619850635,6.73937843040111,6.885284949774404,3.4951517386781585,3.4951517386781585,1
9,1757808411.4619367,-20.95478971840971,-18.66958768951256,0.25733209657516437,7.728563140716667,6.959954921436415,2.594151223369716,2.594151223369716,1
10,1757808412.4687848,-20.857945172854407,-18.853065210578958,0.2060566527613188,8.431479435113081,6.344467997072197,1.8612859601441278,1.8612859601441278,1
11,1757808413.4688156,-20.67763854178955,-19.333271524366094,0.5129253370813913,8.130056171330063,5.777952502629346,1.5340832280811219,1.5340832280811219,1
12,1757808414.4686005,-20.773566072164385,-19.973975807948424,0.6479850662169447,7.816975666517517,5.266034527270997,1.9419189718737413,1.9419189718737413,1
13,1757808415.4626565,-21.025485686728498,-20.59944080435848,0.6783241553628958,7.548351420713295,5.052661530200752,2.751106852506106,2.751106852506106,1
14,1757808416.4655006,-21.2866946189282,-21.219728984593768,0.6711347140350253,7.295056035478194,4.519269491138383,3.7409374700518074,3.7409374700518074,1
15,1757808417.4642994,-21.45960596265456,-21.84485569135624,0.6493798288663998,7.009988365040771,3.591456020628563,4.872945887363802,3.591456020628563,1
16,1757808418.4659324,-21.44219650509853,-22.21946885560049,0.37440610378130496,6.4504115513016576,2.8073228846071183,6.058723652313346,2.8073228846071183,1
17,1757808419.4632761,-21.23903335124578,-22.556481537853347,0.3945614668803984,5.785927235170446,2.1528265780083173,6.011381877914005,2.1528265780083173,1
18,1757808420.4661255,-20.92698727295605,-22.555456414378238,0.3111611580654124,4.779684321325594,1.4275995859010526,5.551646474756713,1.4275995859010526,1
19,1757808421.4623055,-20.866771681123517,-22.399508993582714,0.16781014771586875,3.787042133051762,0.4583397843681648,4.597583344709204,0.4583397843681648,1
20,1757808422.4620135,-20.759845398921478,-22.721786132477888,0.3396515284900277,3.1487509567909027,0.3670463315762759,3.977903072081657,0.3670463315762759,1
21,1757808423.463714,-20.793324533965464,-23.09905388095387,0.3781073878468459,2.77364398168206,1.313646935789454,3.312791037276858,1.313646935789454,1
22,1757808424.461772,-20.63216441553338,-22.570823265871823,0.553342748563741,2.015991955588449,2.0980649174847414,2.0716635140648307,2.015991955588449,1
