step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1757796168.5426793,-19.107527036696602,-23.423226440132655,nan,2.7677556360966507,7.565502892724425,2.8430832590577704,2.7677556360966507,0
2,1757796169.5341306,-19.771727821596414,-23.457466179527398,0.670817374534659,3.014684433876536,7.173761075313153,2.790168289571466,2.790168289571466,0
3,1757796170.5370548,-20.462813384016467,-23.429168622072048,0.6896479918885454,2.7384105318086394,5.5894624872948775,2.7850566947865496,2.7384105318086394,0
4,1757796171.5343392,-21.14132468176179,-23.42466834665069,0.6803738365476081,2.6869844077788665,4.088302638983132,2.8428172528904576,2.6869844077788665,0
5,1757796172.538936,-21.795913185338897,-23.32862870412169,0.658569092398369,3.027290494297427,2.6420070572659,2.8645139326962252,2.6420070572659,0
6,1757796173.535097,-22.440224986279386,-23.119721515483857,0.6799432520274323,3.681914287553827,1.4826570001508312,2.8291740209885643,1.4826570001508312,0
7,1757796174.5371068,-23.07532760283673,-23.008213770955287,0.6435238707564641,4.552876806180847,1.7661660580782677,2.8993361486183753,1.7661660580782677,0
8,1757796175.5360563,-23.710070679790746,-23.107385107162592,0.643119138721963,5.684165360328495,3.063799246912222,3.221473579442983,3.063799246912222,0
9,1757796176.5377364,-24.315594768307577,-23.059235027477925,0.6064166092164822,6.860976282900464,4.498957187717236,3.452245759248012,3.452245759248012,0
10,1757796177.5386355,-24.88305925782753,-22.925639345381907,0.5824546757709803,8.030233678179782,5.935519896665333,3.6210286999022094,3.6210286999022094,0
11,1757796178.5430431,-25.484535572756958,-22.89493175781486,0.5996167752507454,9.273648234783893,7.494836362727926,3.9352486269068483,3.9352486269068483,0
12,1757796179.5345674,-25.78168696997939,-22.845788389574242,0.3037623108504365,10.323884080980035,8.709231964590696,4.179432706877215,4.179432706877215,1
13,1757796180.5365417,-25.66910332467017,-22.708441996860568,0.17724259792541835,11.02631459121484,9.580380430287656,3.789949535465128,3.789949535465128,1
14,1757796181.542038,-25.5144296666107,-22.755082490160113,0.16066962124815168,11.806575210869699,9.062835745630881,3.592351145853307,3.592351145853307,1
15,1757796182.542327,-24.931288058227853,-22.439288593742447,0.6629674728327716,11.979625861104534,7.699681064901057,3.0148892638149722,3.0148892638149722,1
16,1757796183.537561,-24.506441549251168,-22.127504251056283,0.5294999010241923,12.20274493773833,6.419783640361498,2.6117364497837037,2.6117364497837037,1
17,1757796184.5371165,-24.01080651511684,-21.67113511457549,0.6740405078474895,12.172891577755786,5.054194292330812,2.386845979007696,2.386845979007696,1
18,1757796185.5365965,-23.459458231285616,-21.288259610116068,0.6716007305628374,11.350338214567907,3.891188976180038,2.593806167234713,2.593806167234713,1
19,1757796186.5396144,-22.90880573378179,-20.999744327805054,0.6197880005184516,9.960053911620545,3.251375775973234,3.1830591590078234,3.1830591590078234,1
20,1757796187.5358512,-22.24721376997492,-20.891595695519598,0.6729053468213222,8.619319182860536,3.384260142908732,3.7054571713394795,3.384260142908732,1
21,1757796188.536555,-21.563584169394137,-20.880443857091905,0.6832396807336644,7.400401037581566,4.193314695460287,4.231596736657837,4.193314695460287,1
