step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1757794246.2950666,-19.541580186538763,-21.71233465980532,nan,3.5658450781109705,3.2881052610650423,0.48431866463409484,0.48431866463409484,0
2,1757794247.2908537,-19.433904562964152,-22.055343365158016,0.3610331668172972,5.113267631046171,2.5159438861403647,1.4096346455768263,1.4096346455768263,0
3,1757794248.2932649,-19.34122991807183,-21.66451714861596,0.4006975591001222,5.873582084990642,1.8483434215376409,2.1336880831461205,1.8483434215376409,0
4,1757794249.2938802,-19.14294823405904,-21.042048178204915,0.652884737528186,6.3697602295471825,2.0072833839822724,3.0590619913106787,2.0072833839822724,0
5,1757794250.2958412,-18.789118189025228,-20.511353051084026,0.6365862915940587,6.833662768769347,2.7189238448881534,4.318186320371622,2.7189238448881534,0
6,1757794251.293029,-18.534749697566838,-19.981061068179613,0.5898022296613348,7.257775043748155,3.584672653844262,5.460856197886949,3.584672653844262,0
7,1757794252.292463,-18.456318178708134,-19.65613703575271,0.3344453824558441,7.784221745697386,4.430772334187203,6.420174723140674,4.430772334187203,0
8,1757794253.2921917,-18.423531661688866,-19.62821292101533,0.04307805397182939,8.468143771823772,5.096858059427284,7.375901048289191,5.096858059427284,0
9,1757794254.293344,-18.650391574327774,-19.80122468820047,0.28497583767782303,8.695619985116338,5.328742925999903,7.750964805305789,5.328742925999903,1
10,1757794255.2894063,-19.19334692208573,-19.766879625973356,0.5461912740945766,7.723977024244739,5.226388259714527,6.6039249154297766,5.226388259714527,1
11,1757794256.2981765,-19.85034517194932,-19.76297170513476,0.6512978420001649,6.868182550549401,5.0449696710053935,5.155030025655347,5.0449696710053935,1
12,1757794257.2978108,-20.52561107942294,-19.701276939564792,0.678326467467976,6.06247680257593,4.877382211041894,3.5364341167789566,3.5364341167789566,1
13,1757794258.293387,-21.164069536798397,-19.611574685622934,0.6475940281682306,5.371309655167001,4.754706195308045,1.9131130707433541,1.9131130707433541,1
14,1757794259.2915292,-21.719724569960544,-19.481505035791166,0.5717377406966071,4.836330181243813,4.732946954926061,0.8782867330219859,0.8782867330219859,1
15,1757794260.2897553,-22.27183255632042,-19.586981416903583,0.5630917913985247,4.6734825960408966,4.5751163220655275,1.8713956164254504,1.8713956164254504,1
16,1757794261.2952962,-22.832805546339085,-19.764622762097822,0.5851852647170455,4.779482160672384,4.421123816631745,3.495571164039238,3.495571164039238,1
17,1757794262.2903955,-23.29786267974459,-20.084531299050557,0.5672438904865947,4.969591508654673,4.1920636307966,5.013261559007601,4.1920636307966,1
18,1757794263.28986,-23.68902324345955,-20.52521410689569,0.5895592201596014,5.227566663768758,3.8580951910683954,6.532426217144196,3.8580951910683954,1
19,1757794264.2964308,-23.976763817321764,-21.139364685630934,0.6737876542027641,5.44158793985497,2.573452147979653,7.781468559042472,2.573452147979653,1
