step,time_s,rx,ry,speed_mps,d1_lower,d2_upper,dmin,goals
1,1767387122.5365624,-11.744598016472263,-0.8861168491923554,nan,5.202102098336498,7.181976286065976,5.202102098336498,0
2,1767387123.5379403,-11.979229002776934,-0.7662516891703078,0.26311301005838944,6.0318512533457955,7.601052006183994,6.0318512533457955,0
3,1767387124.5395913,-11.957531976401777,-0.5889828803345676,0.1782973119091331,6.59528232335706,7.554831894986812,6.59528232335706,0
4,1767387125.5403564,-11.837508671441427,-0.36505904678796697,0.25386772452728856,6.982120074128529,7.485710914355573,6.982120074128529,0
5,1767387126.5387032,-11.542072640126046,-0.35232990284806315,0.2961998037009734,7.358153531054905,7.152087169632403,7.152087169632403,0
6,1767387127.5373285,-11.223923836852581,-0.411522041619317,0.32405384326085274,7.724350944738353,6.814123957504585,6.814123957504585,0
7,1767387128.535963,-11.203870415309346,-0.43308723521075787,0.029488477953806966,8.395369828762846,6.823885153101266,6.823885153101266,0
8,1767387129.5412564,-11.029611053279464,-0.4532474822485392,0.1744979834858556,8.908847739056187,6.765885013918973,6.765885013918973,0
9,1767387130.542969,-11.12570898633463,-0.45417374744948813,0.09593809716646132,9.621471023094438,7.044858031048636,7.044858031048636,0
10,1767387131.5352345,-11.112164944107098,-0.4170154180369028,0.039858030885229746,9.020855801012777,7.328488306331932,7.328488306331932,0
11,1767387132.5361505,-11.36948384047342,-0.2392367258014975,0.31247291060838295,8.513861285602708,7.927585137741356,7.927585137741356,0
12,1767387133.541419,-11.628429972995455,-0.018399505736534205,0.3385429360747845,8.036739122771781,8.57972262868525,8.036739122771781,0
13,1767387134.5444398,-11.728952219066414,0.16095041834656473,0.20498021286583865,7.5466939850574235,9.006726451869719,7.5466939850574235,0
14,1767387135.536623,-11.819248888119988,0.2752288969540929,0.14679449805643258,6.962638945638135,9.558401300613118,6.962638945638135,0
15,1767387136.54295,-11.982640278598506,0.46843578046255346,0.25144204357831845,6.589518996996805,10.162198661302257,6.589518996996805,0
16,1767387137.5365596,-11.99391112111203,0.4828901797888018,0.018447137316786315,6.1093065139689235,10.595875746107735,6.1093065139689235,0
17,1767387138.5422626,-11.913307994388257,0.32880259053219996,0.1729099864814672,5.52421737427567,10.033107789760775,5.52421737427567,0
18,1767387139.5372033,-11.800297483287025,0.2101384254707395,0.16470076758958974,4.971504520045886,9.450761058225549,4.971504520045886,0
19,1767387140.5434942,-11.58847124059868,0.14890841533600432,0.21911977074749092,4.449931430786336,8.832009850156647,4.449931430786336,0
20,1767387141.5375097,-11.385147172679572,0.20964717477827172,0.21348001588310622,4.134306470114204,8.271081933728604,4.134306470114204,0
21,1767387142.5360384,-11.347693840110438,0.32368578367548256,0.12020834129099645,4.1482124298991,7.939117768604085,4.1482124298991,0
22,1767387143.5398092,-11.401121368612058,0.6522889769459121,0.3316675858646823,4.491884029883576,7.798892476135091,4.491884029883576,0
23,1767387144.54171,-11.39023048764597,0.66803254659643,0.019107123047877473,4.616508173646314,7.6599857133323495,4.616508173646314,0
24,1767387145.5380912,-11.25245943644483,0.5674153109014861,0.17122056794271376,4.6272270890299465,7.40938129388143,4.6272270890299465,0
25,1767387146.5361462,-11.207523251716472,0.5577078860350458,0.04606235359377677,4.76857650793845,7.315592036563024,4.76857650793845,0
26,1767387147.539756,-11.107300414800575,0.5521674642344705,0.1000148171525081,4.903378082229145,7.2007363667390205,4.903378082229145,0
27,1767387148.5380025,-10.95460891018803,0.6658199906644605,0.19068035172408493,4.998127428038832,7.138846440738072,4.998127428038832,0
28,1767387149.536591,-10.735687448061604,0.9102564483752641,0.32860369530591116,5.237146497652475,7.209882111237386,5.237146497652475,0
29,1767387150.536162,-10.63177572314045,1.0411434263749333,0.16719161079414394,5.592079389220598,7.408945991629181,5.592079389220598,0
30,1767387151.5346928,-10.958552669333622,1.0054440571334973,0.3292048315247051,6.399931575258094,7.825958145962408,6.399931575258094,0
31,1767387152.5416286,-10.861332317494051,0.9746763276068987,0.10127039570605399,6.853133515214868,8.024153721855647,6.853133515214868,0
32,1767387153.5383801,-8.520253686714838,-0.5631441972108925,2.8101178474505275,5.6211967084842565,6.006611117935926,5.6211967084842565,0
33,1767387154.5343707,-8.519706481138074,-0.620294488539651,0.057382987215443236,6.284513357609696,5.6664251604567255,5.6664251604567255,0
34,1767387155.5354621,-8.525659880135814,-0.6259751598757023,0.00821981832723276,6.9354925160909415,5.269907447691516,5.269907447691516,0
35,1767387156.5372798,-8.746870379799423,-0.6795471569175633,0.22719204985521319,7.513178762286951,4.955071567325107,4.955071567325107,0
36,1767387157.5379436,-8.518594715245513,-0.7744018462473162,0.24703471642524744,6.591613916235825,4.4755154107051665,4.4755154107051665,0
37,1767387158.534652,-8.260191850994085,-1.0509339411413154,0.37972320075984695,5.713561471773857,3.942799840849779,3.942799840849779,0
38,1767387159.5354214,-8.013828363103494,-1.528616679650867,0.537058442538337,4.968219696977494,3.5736717997816876,3.5736717997816876,0
39,1767387160.534352,-7.789863255195703,-2.0733830550469525,0.5896388015710187,4.260972118032149,3.6330863157160724,3.6330863157160724,0
40,1767387161.5402122,-7.576790839365006,-2.6449937831952766,0.606477689213848,3.6931551960696067,4.174752120406422,3.6931551960696067,0
41,1767387162.5401325,-7.4820875667939735,-3.093077727446576,0.45801892988708554,3.3722342580156495,4.884274487285051,3.3722342580156495,0
42,1767387163.5391967,-7.34262820056909,-3.6749702954955015,0.5989314941845553,3.063578095357093,5.885617086774483,3.063578095357093,0
43,1767387164.539282,-7.144588725690587,-4.156969951914289,0.5210536956963217,2.826032394619613,6.915208672311591,2.826032394619613,0
44,1767387165.536335,-6.951467401017881,-4.5280296061872285,0.4195438728768398,2.708676880850356,7.92904724886158,2.708676880850356,0
45,1767387166.543721,-6.776640254682278,-4.782331373601405,0.3063373370758085,2.756736357368279,8.844907882368133,2.756736357368279,1
46,1767387167.5377305,-6.912667343380709,-4.545193107883992,0.27502994876906656,2.521365486057941,8.332226438487272,2.521365486057941,1
47,1767387168.534776,-6.941871792742852,-4.416829274196794,0.13203421029245666,2.7085365338322824,7.4384996228262015,2.7085365338322824,1
48,1767387169.5422487,-7.1322371456535345,-4.295894287502881,0.22385817772192232,3.0220505387218908,6.720962298998337,3.0220505387218908,1
49,1767387170.5443313,-7.220803336857557,-3.9973787144700057,0.31072968822931496,3.357730584475969,5.820695542549125,3.357730584475969,1
50,1767387171.5430455,-7.278583789561026,-3.634783877598501,0.3676424221431302,3.784970369105425,4.813508653116597,3.784970369105425,1
51,1767387172.5416925,-7.545536548118069,-3.2858378620546578,0.43994374667294234,4.443275514197015,4.0584408654354025,4.0584408654354025,2
52,1767387173.5386667,-7.527983392481207,-3.3144442056865144,0.033664282356453974,5.232884541908574,3.383123232183458,3.383123232183458,2
53,1767387174.540889,-7.540107444576827,-3.211549284944952,0.10337700908177881,6.025665000398817,2.776836775605557,2.776836775605557,2
54,1767387175.5353725,-7.375204422077022,-2.7989418978285188,0.44680461613789957,6.482160522997473,2.310647510566201,2.310647510566201,2
55,1767387176.537803,-7.4009912209428625,-2.863036674891986,0.06892011534987215,7.3975532253749146,2.3218412836967257,2.3218412836967257,2
56,1767387177.5392737,-7.45151091261,-3.1823110419149594,0.3227718600222471,8.261764903451398,2.3853577230659315,2.3853577230659315,2
57,1767387178.5394547,-7.497276680920671,-3.1084725129059003,0.08685564681264311,7.376529643140286,2.9432384756224845,2.9432384756224845,2
58,1767387179.5366976,-7.616682760028465,-2.616086032421037,0.5080586844633908,6.192359540559917,3.689995051566862,3.689995051566862,2
59,1767387180.5360146,-7.6106898743328415,-2.8177461297929605,0.20188702809608033,5.46260206003947,2.934863568336826,2.934863568336826,2
60,1767387181.5403807,-7.481409752785349,-3.158016657663685,0.36241951690364793,4.874694366428033,2.2635205898693886,2.2635205898693886,2
61,1767387182.543613,-7.398575299449423,-3.359213966358867,0.21688093567588906,4.140119868419314,2.0869846071635725,2.0869846071635725,2
62,1767387183.5377944,-7.439397963114983,-3.161645046426403,0.20292305990631787,3.139601298643896,2.4797659315404643,2.4797659315404643,2
63,1767387184.5348358,-7.439956228810106,-3.1754453810367633,0.013852605204208814,2.3101434914367296,3.0456856895772693,2.3101434914367296,2
64,1767387185.5412047,-7.480753477589871,-3.030221894362044,0.14989057298299255,1.4380380283501215,3.7081753880746593,1.4380380283501215,2
65,1767387186.537945,-7.386639375121452,-3.3624977512433207,0.3464766257038398,1.2964488130989147,4.5412487852743775,1.2964488130989147,2
66,1767387187.534964,-7.364288466844457,-3.4613336335191165,0.10163457506631549,1.34658463373851,5.392665768976187,1.34658463373851,2
67,1767387188.5386078,-7.378623341301833,-3.1447151453593634,0.31579215909068387,1.236532928607175,5.917299866974135,1.236532928607175,2
68,1767387189.5369627,-7.282183456608772,-2.8821686089759906,0.2801595377109886,1.4415319681767882,6.390312549914989,1.4415319681767882,2
