step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1766606493.025494,-17.240625089689793,-19.46771817305083,nan,4.791977468041986,8.879583398541394,5.855835745150888,4.791977468041986,0
2,1766606494.0296135,-16.78113051785426,-19.652399122873724,0.4931878251651438,6.117964577301202,9.248098978195054,5.404939262589666,5.404939262589666,0
3,1766606495.0288115,-16.379105116355387,-19.970263139449504,0.5129169472309394,7.465681084956915,9.694842184301766,4.88007987519777,4.88007987519777,0
4,1766606496.0287962,-15.999457629669447,-20.2975714359527,0.5012689928756183,8.819379827782097,9.26467504964596,4.339318073113543,4.339318073113543,1
5,1766606497.0263307,-16.206263993714636,-19.945745326245113,0.40911463776897855,9.29065822672879,8.214074518714108,3.425378898720491,3.425378898720491,1
6,1766606498.0258777,-16.156014589160005,-19.573675020730725,0.37561830541155417,8.023319395755967,7.49013929534071,3.0557025586212303,3.0557025586212303,1
7,1766606499.0296812,-16.53188064588122,-19.549506087389076,0.37521518254224895,6.931161606798844,6.424367091467778,2.5795203322901568,2.5795203322901568,1
8,1766606500.0286233,-17.13646045633434,-19.545899408510202,0.6052308197851207,5.850950559312647,5.199974868791707,2.7941297183568077,2.7941297183568077,1
9,1766606501.0331278,-17.720152944614316,-19.452377532830052,0.5884864583988977,4.671560081283043,4.3194773754445785,3.787612328868426,3.787612328868426,1
10,1766606502.033994,-18.285451929535224,-19.448831008615002,0.5648208761991413,3.68254232075275,3.8049681909786415,5.013409261600954,3.68254232075275,1
11,1766606503.0278647,-18.778241727605263,-19.598050413273132,0.5180619436576137,2.9345284126791444,3.70148008354753,6.251258893808263,2.9345284126791444,1
12,1766606504.0264392,-19.30829934573109,-19.96453803850205,0.645337698566223,2.3933572329958865,3.90560631851479,6.119921275974302,2.3933572329958865,1
13,1766606505.0277662,-19.675878994065663,-20.40751731785838,0.5748632632107336,2.1074358227931635,4.426538250076773,5.237477930095133,2.1074358227931635,1
14,1766606506.0295272,-19.83709342779036,-20.68525155132461,0.3205684831113586,1.6640524594096833,5.187025679809751,4.244943308609982,1.6640524594096833,1
15,1766606507.0255365,-19.692968092016056,-20.98733323734697,0.3360430731308595,1.2039418295373807,4.763391808984897,3.001946307149022,1.2039418295373807,1
16,1766606508.0281298,-19.53442457153038,-21.157630291648957,0.23207205278456586,1.0706566642807447,3.990475720720053,1.8049759973895312,1.0706566642807447,1
17,1766606509.0319319,-19.6600444398665,-21.102223016702712,0.13677642588704977,1.881637629267392,3.557937202019687,0.9709717690104357,0.9709717690104357,2
18,1766606510.0304618,-19.80379154517455,-20.86551286117218,0.2773462150026904,3.0109219271089716,3.511620843641015,0.2829517174714869,0.2829517174714869,2
19,1766606511.0293038,-19.783178954843226,-20.269082837688526,0.5974779811393739,4.4734633222326154,4.153628939366035,1.0028800831521683,1.0028800831521683,2
20,1766606512.0319157,-19.871687855663165,-19.755188858484086,0.5201018614638683,5.9761688633368575,4.962417118274414,1.8420959868185807,1.8420959868185807,2
21,1766606513.0269644,-20.238393755029787,-19.584142925531538,0.4066489654323631,7.128735500770843,5.440120079316932,2.3226815845991586,2.3226815845991586,2
22,1766606514.0300858,-20.752581676475824,-19.745341829980966,0.5371871393789871,6.164940368411021,5.560063372664842,2.703918639345266,2.703918639345266,2
23,1766606515.0303583,-21.22123909740018,-20.20240925637947,0.6544592693752321,5.025790971759152,5.443378410176876,3.1971888006090707,3.1971888006090707,2
24,1766606516.0254853,-21.663130429164212,-20.665366315068137,0.6431318078702213,4.21302301362349,4.932844871931853,3.889308354568558,3.889308354568558,2
25,1766606517.0274365,-22.251904856805265,-20.942676637830942,0.6495446603073294,4.013691146172801,3.910585592792355,4.497686232903373,3.910585592792355,2
26,1766606518.0330923,-22.82525399391402,-21.13997892321369,0.602937537225387,4.285997085338955,3.0855186462218915,3.621511256983769,3.0855186462218915,2
27,1766606519.0264375,-23.36065139503879,-21.5066413183498,0.6532630752077292,4.909761345438554,2.7409842821796793,2.655210023369869,2.655210023369869,2
28,1766606520.0301206,-23.895205867708214,-21.905089052743293,0.6642685814324865,5.838497237404497,3.091146885754261,2.2840527293460777,2.2840527293460777,2
29,1766606521.0279698,-24.442679790543192,-22.1902495870072,0.6186183069220413,6.943604063345387,2.2366591218494554,2.662888255450369,2.2366591218494554,2
