step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1766597956.0105093,-23.87650909095286,-21.895505494302164,nan,8.266614794612325,2.866072920347711,9.811388970327007,2.866072920347711,0
2,1766597957.0096772,-23.3444443139242,-22.089964484557044,0.56695849463881,7.3673122812576395,2.419636116376288,8.33027786288412,2.419636116376288,0
3,1766597958.013157,-22.86670263306784,-22.323958487594563,0.5301236513561494,6.393931604088984,1.9977905791668802,6.863942663883549,1.9977905791668802,0
4,1766597959.0129287,-22.619661163364018,-22.43586813450791,0.2712689313336108,5.57742181588955,1.3728798479517499,5.6923583748035,1.3728798479517499,1
5,1766597960.0057733,-22.79274421738018,-22.476160080370146,0.1789917183405467,5.112008929708728,0.8937636858776179,4.944778440215015,0.8937636858776179,1
6,1766597961.0066066,-22.933034653304322,-22.77638237237062,0.33110730597009697,4.850647720596021,1.5896954680812974,4.358069688607047,1.5896954680812974,1
7,1766597962.009593,-22.917430287288717,-22.230260354626427,0.5447181411356797,4.373647605345234,2.3183956493520115,3.373635549041667,2.3183956493520115,1
8,1766597963.0084383,-22.78919407703507,-21.569294767517956,0.6740687731982044,4.307534366675458,3.3973922926870177,2.275830133778556,2.275830133778556,1
9,1766597964.0088606,-22.576145490006724,-20.98911927748592,0.617795207731717,4.702830377774355,4.455524730292703,1.1466042276230028,1.1466042276230028,1
10,1766597965.01055,-22.37944779466065,-20.770560407697634,0.2935414306397829,5.290110036530321,5.357145663436945,0.6490069738071571,0.6490069738071571,1
11,1766597966.0055578,-21.984037681639897,-20.450808131770962,0.5110695021186251,6.025007278439698,6.199131066059719,1.590936408957848,1.590936408957848,1
12,1766597967.0090346,-21.51821461975622,-20.360195439114214,0.4729100602878776,6.7001420085956855,6.754134819945163,2.996255117299917,2.996255117299917,1
13,1766597968.007919,-20.914539311461958,-20.315489229907943,0.6060044769173073,5.6390088965661365,5.945215592314748,4.497488265870592,4.497488265870592,2
14,1766597969.01163,-20.339731876612408,-20.072949790711405,0.6215755162196024,4.781957657828511,5.19023354375624,6.00707938016441,4.781957657828511,2
15,1766597970.0120819,-19.742887412456568,-19.889657138020006,0.6240733178776108,3.889772871632359,4.659394236072067,6.064630096048773,3.889772871632359,2
16,1766597971.0092504,-19.07962964399813,-19.80108450783174,0.671045746327231,2.9094365949541734,4.624485340517197,5.724851661183657,2.9094365949541734,2
17,1766597972.0073695,-18.407898430087517,-19.754848431607165,0.6745894008386445,1.9053805249173748,5.276193671131001,5.502717673948939,1.9053805249173748,2
18,1766597973.0102382,-17.779091347034118,-19.806396887829738,0.6291117662013447,1.1656438126049107,6.342065200049574,5.182693210219295,1.1656438126049107,2
19,1766597974.0055044,-17.11101234935908,-19.98517572756679,0.6948755654380118,1.3942697736460208,7.613153204579115,4.938359805644036,1.3942697736460208,2
20,1766597975.0105107,-16.517650674054966,-20.260078075718404,0.6506914988103905,2.4642335200950027,8.865087543063444,4.636032574145192,2.4642335200950027,2
21,1766597976.0063772,-16.290134140351917,-20.385675218103387,0.2609602102160673,3.3609401387289406,9.705975511974966,3.933750342368369,3.3609401387289406,2
22,1766597977.008749,-16.306473331681836,-20.204333781204486,0.18164522034692285,3.920349647829079,9.882236645930526,3.1482243307444464,3.1482243307444464,2
23,1766597978.0140097,-16.09317206208908,-19.805304932515007,0.45009373860425,4.622271761161119,10.046672834993357,2.878318461101875,2.878318461101875,2
24,1766597979.0134482,-16.113566422890436,-19.974413040216113,0.17042913552746541,5.645618285440995,9.886058726249795,2.384247284526394,2.384247284526394,2
25,1766597980.007546,-16.467204937803483,-19.836400042390178,0.38186921722472755,6.290645828726914,9.548559132780541,2.484483973237663,2.484483973237663,2
26,1766597981.006424,-16.512565977218216,-20.243320529208045,0.409900876153902,7.644771323282741,9.560559797851452,2.606279984594869,2.606279984594869,2
27,1766597982.0125146,-16.25211895453697,-20.76215302978572,0.5770196580214597,9.162552653869838,8.944018891103562,2.8102303527153003,2.8102303527153003,2
28,1766597983.0070357,-16.10116545388245,-21.341732352241117,0.6022144254802383,10.618820825883247,8.235609217561171,3.1436268485599324,3.1436268485599324,2
29,1766597984.0121183,-16.25081620663187,-21.925547254437603,0.5996422140742961,10.362348103252174,7.220737139900892,2.375597278890012,2.375597278890012,2
30,1766597985.006773,-16.481817390753818,-22.48724083177658,0.610603347094377,9.913535763772462,6.1340980749549505,1.3381395842141115,1.3381395842141115,2
31,1766597986.0096164,-16.792380247068934,-22.99321766891829,0.5920016874932448,9.36643921536675,4.920591138567561,0.8969638635872007,0.8969638635872007,2
32,1766597987.0132933,-17.118914628902914,-23.41957415786824,0.535065728626352,8.831579422360223,3.745017492852329,1.3115108373250368,1.3115108373250368,2
33,1766597988.0121193,-17.490076576997733,-23.863303769732642,0.579175537303446,8.194665959351756,2.550917640121866,2.1408637016123424,2.1408637016123424,3
