step,time_s,rx,ry,speed_mps,d1_triangle,d2_triangle2,d3_triangle3,dmin,goals
1,1769942922.78,nan,nan,nan,nan,nan,nan,nan,0
2,1769942923.78,nan,nan,nan,nan,nan,nan,nan,0
3,1769942924.78,nan,nan,nan,nan,nan,nan,nan,0
4,1769942925.77,nan,nan,nan,nan,nan,nan,nan,0
5,1769942926.77,nan,nan,nan,nan,nan,nan,nan,0
6,1769942927.77,nan,nan,nan,nan,nan,nan,nan,0
7,1769942928.77,nan,nan,nan,nan,nan,nan,nan,0
8,1769942929.78,nan,nan,nan,nan,nan,nan,nan,0
9,1769942930.78,nan,nan,nan,nan,nan,nan,nan,0
10,1769942931.78,nan,nan,nan,nan,nan,nan,nan,0
11,1769942932.78,nan,nan,nan,nan,nan,nan,nan,0
12,1769942933.77,nan,nan,nan,nan,nan,nan,nan,0
13,1769942934.77,nan,nan,nan,nan,nan,nan,nan,0
14,1769942935.78,nan,nan,nan,nan,nan,nan,nan,0
15,1769942936.78,nan,nan,nan,nan,nan,nan,nan,0
16,1769942937.78,nan,nan,nan,nan,nan,nan,nan,0
17,1769942938.78,nan,nan,nan,nan,nan,nan,nan,0
18,1769942939.77,nan,nan,nan,nan,nan,nan,nan,0
19,1769942940.77,nan,nan,nan,nan,nan,nan,nan,0
20,1769942941.78,nan,nan,nan,nan,nan,nan,nan,0
21,1769942942.78,nan,nan,nan,nan,nan,nan,nan,0
22,1769942943.78,nan,nan,nan,nan,nan,nan,nan,0
23,1769942944.77,nan,nan,nan,nan,nan,nan,nan,0
24,1769942945.77,nan,nan,nan,nan,nan,nan,nan,0
25,1769942946.77,nan,nan,nan,nan,nan,nan,nan,0
26,1769942947.78,nan,nan,nan,nan,nan,nan,nan,0
27,1769942948.78,nan,nan,nan,nan,nan,nan,nan,0
28,1769942949.78,nan,nan,nan,nan,nan,nan,nan,0
29,1769942950.78,nan,nan,nan,nan,nan,nan,nan,0
30,1769942951.77,nan,nan,nan,nan,nan,nan,nan,0
31,1769942952.77,nan,nan,nan,nan,nan,nan,nan,0
32,1769942953.78,nan,nan,nan,nan,nan,nan,nan,0
33,1769942954.78,nan,nan,nan,nan,nan,nan,nan,0
34,1769942955.77,nan,nan,nan,nan,nan,nan,nan,0
35,1769942956.78,nan,nan,nan,nan,nan,nan,nan,0
36,1769942957.78,nan,nan,nan,nan,nan,nan,nan,0
37,1769942958.78,nan,nan,nan,nan,nan,nan,nan,0
38,1769942959.78,nan,nan,nan,nan,nan,nan,nan,0
39,1769942960.77,nan,nan,nan,nan,nan,nan,nan,0
40,1769942961.77,nan,nan,nan,nan,nan,nan,nan,0
41,1769942962.77,nan,nan,nan,nan,nan,nan,nan,0
42,1769942963.78,nan,nan,nan,nan,nan,nan,nan,0
43,1769942964.78,nan,nan,nan,nan,nan,nan,nan,0
44,1769942965.77,nan,nan,nan,nan,nan,nan,nan,0
45,1769942966.77,nan,nan,nan,nan,nan,nan,nan,0
46,1769942967.78,nan,nan,nan,nan,nan,nan,nan,0
