step,time_s,rx,ry,speed_mps,d1_triangle,d2_triangle2,d3_triangle3,dmin,goals
1,1767015937.6993513,-6.6657598124352475,-2.7057522611541054,nan,2.2894808570164886,2.922889805550404,2.3015897837419064,2.2894808570164886,0
2,1767015938.6973565,-6.5993360608322975,-3.0760719494477122,0.3769817201994128,3.185493367609096,3.9763808260045908,3.0474552028024844,3.0474552028024844,0
3,1767015939.7002554,-6.577430725084256,-2.737025848266148,0.3387709284195409,1.8020045880982654,2.634443753638038,3.521683969960415,1.8020045880982654,0
4,1767015940.70225,-6.366975958940747,-2.1374913678984613,0.6341348664449127,0.8373567353192382,1.8133714194565786,3.9050171391964685,0.8373567353192382,0
5,1767015941.7057858,-6.2876504822059385,-1.6303185022151885,0.5115302782369081,1.711299388581134,2.005518966994554,4.455631780344215,1.711299388581134,0
6,1767015942.7046826,-6.202158582773557,-1.5331032612422393,0.12960210842163455,2.646517884520362,2.625403401740843,5.165146873172505,2.625403401740843,0
7,1767015943.7005513,-5.979533902097063,-1.4762805973265456,0.23071512893862767,2.7961969059453833,2.8187317267584273,5.070681812219868,2.7961969059453833,0
8,1767015944.6982095,-5.960418278491107,-1.4335056268259716,0.046961922403213584,2.0970513978769385,2.414725457255364,4.271848701428392,2.0970513978769385,0
9,1767015945.6993575,-6.109520636690391,-1.663468562834368,0.27375591509643665,1.2840471582306376,2.0996924160574073,3.5463481654432423,1.2840471582306376,0
10,1767015946.7000203,-6.378649900766424,-1.8518827108361375,0.32831009834166647,1.40988728809936,2.4065715155948144,2.8019544823666562,1.40988728809936,0
11,1767015947.6972353,-6.858467587423747,-2.224156973394629,0.6089959094413958,1.8753648049738194,2.7524918462192076,2.4276423459334016,1.8753648049738194,0
12,1767015948.6982546,-7.309154734835702,-2.3888841411583246,0.4793592530331197,1.7222148338437622,2.3000551546986574,1.9723290116920145,1.7222148338437622,1
13,1767015949.7009344,-7.106396111221193,-2.5171752518659,0.2392955310247507,2.1135527880848266,2.3473897189045227,1.9246723198378304,1.9246723198378304,1
14,1767015950.7014253,-7.020745333651216,-2.4509542684289607,0.1082117127516938,2.7010024124127368,2.535666653441426,1.903578079195022,1.903578079195022,1
15,1767015951.704108,-6.98660696786573,-1.854633527905363,0.595699049965817,3.1918946983743184,2.671472684938184,0.7472785507439323,0.7472785507439323,1
16,1767015952.704326,-6.894232471492764,-1.1843036300195837,0.6765173533740918,3.818074138705602,3.082766464082631,1.483553644865638,1.483553644865638,1
17,1767015953.700541,-6.770569486383233,-0.5582838649646874,0.6405413617305992,4.435930217730453,3.5929521753438425,3.0915529913092232,3.0915529913092232,1
18,1767015954.6973438,-6.783198121719207,0.07751417766877435,0.6379631407416627,5.0004783877733106,4.068139148648817,4.5157542398455615,4.068139148648817,1
19,1767015955.6964552,-6.8316263105144825,0.5641309271925015,0.4894555265839099,4.654908877002935,3.702928524275697,4.8027958935380255,3.702928524275697,2
20,1767015956.7055717,-6.855162905040968,1.2415441218682357,0.6716984790873469,3.7244140918527937,2.7269147838748107,4.573380059105465,2.7269147838748107,2
21,1767015957.7016735,-6.742234079738024,1.7758606061730888,0.5482571582934069,2.7027140788275092,1.7701197955180954,4.168108725169025,1.7701197955180954,2
22,1767015958.700414,-6.40611501418753,2.070733734195531,0.4476949644650802,1.9636732340140195,1.6124106848167332,3.8994137131848516,1.6124106848167332,2
23,1767015959.701672,-5.88191045345265,2.054670500293109,0.5237916158574664,2.1740807168117415,2.597447278275309,3.952773333425479,2.1740807168117415,2
24,1767015960.7031586,-5.381653817711581,1.7535869157957384,0.5830066339890952,3.036775566586827,3.7729663524468107,3.4168876688235343,3.036775566586827,2
25,1767015961.6968596,-4.991413996894115,1.2218859697748397,0.663720791413606,3.8032041598966764,4.645610668329903,2.385127616706019,2.385127616706019,2
26,1767015962.6971025,-4.7106888258185045,0.6111194898131873,0.6720289025396667,3.9465681827984875,4.854896782614472,1.1701019177144025,1.1701019177144025,2
27,1767015963.705443,-4.4446954226121065,-0.008664225462431075,0.668872506332122,3.668189926658396,4.545013831973123,0.7884181260347765,0.7884181260347765,2
28,1767015964.7021797,-4.2306777010353525,-0.6637427382263756,0.6914089292400255,3.3488270932900424,4.154200522122309,2.016129723489451,2.016129723489451,2
29,1767015965.6979034,-4.031933463181113,-1.2504165399424727,0.6220836603130011,3.166534008870803,3.8600319251041437,3.230020638825769,3.166534008870803,2
30,1767015966.6995409,-3.943452667763899,-1.8491607961605692,0.6042572269616125,2.927234459470166,3.538935483455703,4.28745187682415,2.927234459470166,2
31,1767015967.697575,-3.94487392774218,-1.9483821759912527,0.09942700821865745,2.7240746399823976,3.488116802545407,3.980058356751162,2.7240746399823976,3
32,1767015968.7036777,-3.8856536419001513,-1.7291730612445082,0.22569027428795188,3.000208424382082,3.9190119645830435,3.125877493465965,3.000208424382082,3
33,1767015969.706396,-4.211419817846334,-1.5990306169690283,0.34984897802669623,3.2260820018609984,4.215128527596433,2.455550499716224,2.455550499716224,3
34,1767015970.7026868,-4.462098526592482,-1.1332915554615701,0.530885746250367,3.643087397724523,4.64181303507684,1.830589953150552,1.830589953150552,3
