step,time_s,rx,ry,speed_mps,d1_triangle,d2_triangle2,d3_triangle3,dmin,goals
1,1767021234.6710522,-6.054254117369274,0.05409713892840268,nan,3.7678487511646614,3.885840017055435,3.6984959452009947,3.6984959452009947,0
2,1767021235.669682,-6.220805449610088,0.6986646492292875,0.666651091946527,3.5647057980483554,3.854153832413979,2.6186995310774086,2.6186995310774086,0
3,1767021236.6746428,-6.390305759569639,1.3242908304328664,0.64498128850922,3.44404637546247,3.9112180361433677,1.7284455365600468,1.7284455365600468,0
4,1767021237.6730185,-6.3485899401779795,1.9499533242282785,0.6280718510458939,3.654613162579711,4.2608575418570265,1.8284191193675252,1.8284191193675252,0
5,1767021238.6698854,-6.3361432135873414,2.2516960825321295,0.302948515022714,3.582284270720938,4.168182158993537,2.636652064698372,2.636652064698372,1
6,1767021239.670305,-6.522411889875549,1.9701109626556634,0.3374768120244672,2.586643425357686,3.0754795187589075,3.0016959097133205,2.586643425357686,1
7,1767021240.671076,-6.725771628998917,1.9967086101538507,0.20493371828739118,2.058487223591852,2.1236606888289473,3.484142652537471,2.058487223591852,1
8,1767021241.6683226,-6.654937759518964,1.8476853835858358,0.16545667255984017,1.9882444724851116,1.4258917471672274,3.6399136259089158,1.4258917471672274,1
9,1767021242.6682472,-6.467339819401851,1.4014377015166244,0.4841128937009783,2.4253176786560204,1.4453226948615405,3.903983020726625,1.4453226948615405,1
10,1767021243.6743352,-6.311818727008596,0.7966252469055716,0.6207088355799733,3.3226457143167094,2.3549293291547504,4.175812389164366,2.3549293291547504,1
11,1767021244.6711922,-6.145849732345674,0.15476514999525337,0.665060991025062,4.2290344650658245,3.3159883663022742,4.331933706926438,3.3159883663022742,1
12,1767021245.6693656,-6.112348051328768,-0.5205556732284293,0.6773885643193569,4.620056089807238,3.80667259225999,3.7567920031207174,3.7567920031207174,1
13,1767021246.6780539,-6.046577516116276,-1.165527148219814,0.6427320632105853,4.1156000753858315,3.4287753299852306,2.3500002533581896,2.3500002533581896,1
14,1767021247.674741,-5.961632480835201,-1.7603530912163732,0.6028578471646744,3.5281225222628967,3.027685903620811,1.326950203286517,1.326950203286517,1
15,1767021248.6720335,-6.106286894501904,-2.313352650755127,0.5731578079786541,3.100186552543746,2.902511248111676,1.7952896711063195,1.7952896711063195,1
16,1767021249.6696248,-6.23507568839426,-2.5154989429585832,0.2402653597268036,2.577376747479855,2.729424906825558,2.5793944823190245,2.577376747479855,2
17,1767021250.671905,-6.21461792333116,-2.19177351585966,0.32363323531615507,2.0100523990538206,2.6372956312193274,2.224915973993835,2.0100523990538206,2
