step,time_s,rx,ry,speed_mps,d1_lower,d2_upper,dmin,goals
1,1758797341.9793062,-7.031619930926193,0.8279559497127106,nan,2.7411038373561945,5.117628274454949,2.7411038373561945,0
2,1758797342.9861703,-6.958173974585351,0.9103920888311606,0.10965576372435788,2.018848456006995,5.899507690899368,2.018848456006995,0
3,1758797343.9793015,-7.005070488224461,0.8835390935370517,0.05441417625328287,1.6183105940418288,6.510406403554224,1.6183105940418288,0
4,1758797344.9827316,-7.218042111569753,1.2531572585095132,0.4251264547159787,2.0439340167434237,7.419941137053936,2.0439340167434237,0
5,1758797345.9859285,-7.253727058932252,1.4460448898785578,0.1955356669156768,2.5884639862228704,7.537933041147867,2.5884639862228704,0
6,1758797346.981167,-7.263932867868406,1.3344954195925451,0.112551276958859,3.0320289374251863,6.723857112226161,3.0320289374251863,0
7,1758797347.9836483,-7.259951101182604,1.1678233167953649,0.16630701321411787,3.5984030537487635,5.885049093939687,3.5984030537487635,0
8,1758797348.984656,-7.185321659039357,1.0486771055176298,0.1404478356467504,3.762429435127193,5.183540573140883,3.762429435127193,0
9,1758797349.985536,-7.1148871862108285,1.1390616602036359,0.11448713292640869,3.4436296880437647,4.825934758779914,3.4436296880437647,0
10,1758797350.9856005,-7.181922138608635,0.9910742042370686,0.16245175953293706,2.6424046627370372,4.324977256986262,2.6424046627370372,0
11,1758797351.9838684,-7.1180879436212585,0.8567558341083789,0.1489732997902282,1.8755247578169263,3.9592767665483675,1.8755247578169263,0
12,1758797352.9806821,-7.078096089246174,0.8171419626289876,0.056470310268198924,1.578238355064768,3.863852049047371,1.578238355064768,0
13,1758797353.9827616,-6.964465731766188,0.612545307370588,0.2335477771486553,1.913243080444368,3.8823605179976877,1.913243080444368,0
14,1758797354.98737,-7.011198684630535,0.6906590347476724,0.09060838939156428,2.6671394791732315,4.250352722568759,2.6671394791732315,0
15,1758797355.9845521,-7.113802723413993,0.7863062808773442,0.14066749318713068,3.567243913086674,4.7594356188983635,3.567243913086674,0
16,1758797356.9797642,-7.222271568108608,0.9565229430833391,0.20281058733414908,4.396859855775005,5.338004028437317,4.396859855775005,0
17,1758797357.9868524,-7.219793188365148,1.2919580530381714,0.3330833097430566,4.984809293007811,5.749033857479536,4.984809293007811,0
18,1758797358.986485,-7.177717351509753,1.138293462020416,0.1593795613628704,5.333761156362632,5.374210238411662,5.333761156362632,0
19,1758797359.9790778,-7.135372632884073,1.0970092695175775,0.05958064997041969,4.48295137705318,4.879167924030153,4.48295137705318,0
