step,time_s,rx,ry,speed_mps,d1_lower,d2_upper,dmin,goals
1,1758719794.665026,-6.013859648610729,0.7313388992823393,nan,1.2191543224393235,6.182540852129243,1.2191543224393235,0
2,1758719795.6657164,-5.708507156901268,1.2605198342788553,0.610538843778342,1.6984518437642806,7.370582177912714,1.6984518437642806,0
3,1758719796.6669717,-5.46847884365536,1.7863443688332727,0.5772935322870328,2.201100309315673,8.042035288141518,2.201100309315673,0
4,1758719797.6650848,-5.175249772444434,2.208112992098309,0.5146558620475992,2.548813539017147,7.671834706823391,2.548813539017147,1
5,1758719798.6679082,-5.014169247643347,2.4590491720799736,0.2973481769334551,2.85882852189973,7.152084697223042,2.85882852189973,1
6,1758719799.6637104,-5.010958823425498,2.8160347056602766,0.3585049140069784,2.3234092807207682,6.696483667235175,2.3234092807207682,1
7,1758719800.668903,-5.04230431162715,2.728935742741236,0.09208944729516831,1.7830761991844317,5.8286538253237605,1.7830761991844317,1
8,1758719801.6700466,-5.1017763801834874,2.643975540003742,0.10358865289934359,1.5411973220263753,5.02657456733605,1.5411973220263753,1
9,1758719802.6702178,-5.099043556536859,2.5441723653586417,0.09982349466357028,1.6219882737689226,4.281164865801149,1.6219882737689226,1
10,1758719803.6667814,-5.075936929445131,2.554272593389267,0.02530462380355032,2.1735786761344356,3.716582786721813,2.1735786761344356,1
11,1758719804.6638262,-5.055898979703161,2.6909932093836786,0.13859077129477912,3.0345965550688594,3.3623470696079467,3.0345965550688594,1
12,1758719805.6666954,-5.085433860768143,2.6536903435276007,0.04744342262184343,3.8199655496024523,3.0887944038656574,3.0887944038656574,1
13,1758719806.6664052,-5.088503419392801,2.6028700874184634,0.050927649776346784,4.569680778777139,3.073461537268062,3.073461537268062,1
14,1758719807.6663716,-5.037320733634649,2.643917137521948,0.06561110476886362,5.506430787695752,3.294339499044888,3.294339499044888,1
15,1758719808.663759,-5.030492069987973,2.6455786195963764,0.0070462942477889185,6.242578775857211,3.3378615746294518,3.3378615746294518,1
16,1758719809.6667008,-5.020373663796056,2.7262444615425423,0.08105950703378847,5.928832399625069,3.1324423687954353,3.1324423687954353,1
17,1758719810.6659315,-5.0052130815482165,2.7148262657806823,0.01899403528195517,5.177823645977716,3.0240180751041112,3.0240180751041112,1
18,1758719811.6699655,-4.972553135129124,2.8053523713095334,0.09585078956886882,4.346070071507434,3.2516835467478185,3.2516835467478185,1
19,1758719812.6668549,-4.939549166504592,2.6509187032389456,0.15841369800760716,3.2395633211263974,3.5963733857065794,3.2395633211263974,1
20,1758719813.6680088,-4.952663922301366,2.5570233911681846,0.0946975090185639,2.2273140936311036,4.253479177342958,2.2273140936311036,1
21,1758719814.6682622,-4.932038650922313,2.764337040366281,0.20828432158467486,1.6832586489936734,5.345972930730934,1.6832586489936734,1
22,1758719815.6676188,-4.921956688635534,2.84474888167221,0.08109359337239982,1.5732457434258493,6.321078751010614,1.5732457434258493,1
23,1758719816.6671848,-5.056766795796873,2.515648476481627,0.3557958386039078,2.051389455290778,6.935479336971875,2.051389455290778,1
24,1758719817.6638472,-5.224115531365011,2.405064505892682,0.20125689792141832,2.829670722387217,7.643873956243849,2.829670722387217,1
25,1758719818.6704032,-5.393772881231648,2.318694128175921,0.18913715842109236,3.1278933394892645,8.243511092137242,3.1278933394892645,1
26,1758719819.6647148,-5.657656764367553,1.9382434412662306,0.4656579646609888,2.730066439004056,8.348285496529742,2.730066439004056,1
27,1758719820.6669962,-5.824995306218691,1.8521641037250467,0.18775199633268688,2.154046423053003,7.54765155096466,2.154046423053003,1
28,1758719821.6647122,-5.859611989846486,2.0248431347649456,0.17651780448479973,1.7228276397026157,6.896809217622786,1.7228276397026157,1
29,1758719822.6718156,-5.8196970947192,2.238018914606334,0.21535067806163308,1.8035241685615058,6.357600280998819,1.8035241685615058,1
30,1758719823.6664402,-5.796979186518513,2.112381418342419,0.12836492554104278,2.06692247710026,5.524326534173867,2.06692247710026,1
31,1758719824.6687279,-5.785036071489545,2.2387610596396,0.12665297575469311,2.8366792217025907,4.977666582012758,2.8366792217025907,1
32,1758719825.6637855,-5.739310210745762,2.351186430455127,0.12197135619252335,3.7385401781295635,4.444963941852244,3.7385401781295635,1
33,1758719826.671086,-5.720716458849085,2.44721101039964,0.09709933339996152,4.639161414822097,4.02258820202182,4.02258820202182,1
34,1758719827.6658423,-5.724335995436871,2.220937134036248,0.2274957613631046,5.296778501594226,3.507399749527455,3.507399749527455,1
35,1758719828.669781,-5.624662173358074,2.4298358809879357,0.23055155581382702,5.596041734864103,3.4224499374850694,3.4224499374850694,1
36,1758719829.667883,-5.620485817737806,2.3903489546166528,0.039782678910325484,4.90836613203162,3.453099624748037,3.453099624748037,1
37,1758719830.663977,-5.6104405393788666,2.3664242519775875,0.0260497566182909,4.100928933219572,3.7011501661229667,3.7011501661229667,1
38,1758719831.6679192,-5.619678519422366,2.4995496711644236,0.1329215499540395,3.323584140938012,3.9931243193505033,3.323584140938012,1
39,1758719832.669127,-5.613877149952209,2.3762747217230014,0.12326250138840206,2.3725294973039155,3.719935162311272,2.3725294973039155,1
40,1758719833.6643527,-5.59085907626985,2.535038136269462,0.16119294578182358,1.9128992637619473,3.4964339142133363,1.9128992637619473,1
41,1758719834.669605,-5.5781049302235095,2.3604338032884833,0.17415480888568735,1.7332109682331172,3.34002721827712,1.7332109682331172,1
42,1758719835.6731513,-5.575372982871048,2.2830116715162463,0.07719655968508146,2.229859633416876,3.4633692679941515,2.229859633416876,1
43,1758719836.6665092,-5.566089475427359,2.319838779013416,0.038233144865703436,2.825131269862243,3.9029643500944173,2.825131269862243,1
44,1758719837.6640546,-5.59157912757139,2.479125136261354,0.16170986419444583,3.3734188311637268,4.783065409849558,3.3734188311637268,1
45,1758719838.6686268,-5.53889389879266,2.5842615068988746,0.11706319500065693,2.9296754302264185,5.755458624011246,2.9296754302264185,1
46,1758719839.6644845,-5.535851694248687,2.404959102250001,0.18007412942574616,2.2693644081473225,6.41926609902606,2.2693644081473225,1
47,1758719840.6664267,-5.520071283589936,2.594375551452366,0.18970421530693882,1.8590994495013295,7.457762349751931,1.8590994495013295,1
48,1758719841.6667318,-5.531379388776436,2.4771493523433175,0.11773441886894645,1.7370091348929833,8.068472213186475,1.7370091348929833,1
49,1758719842.669566,-5.535187303331842,2.477108174383039,0.0037973751225010245,2.0692144426851513,8.689583226495014,2.0692144426851513,1
50,1758719843.665078,-5.494461190461845,2.598628138571047,0.12874064409524413,2.80330472851763,8.680806474625802,2.80330472851763,1
51,1758719844.6683483,-5.504349241782939,2.384717370075549,0.213441149432008,3.343732680199747,7.652344833677168,3.343732680199747,1
52,1758719845.670598,-5.473369205970302,2.5004617383573366,0.11954974905797565,4.266730439515214,6.977177809745741,4.266730439515214,1
53,1758719846.6707616,-5.497854363360052,2.289247328713946,0.2125941306838335,4.863012885220007,6.027822117821474,4.863012885220007,1
54,1758719847.665766,-5.424930033494641,2.439389600405015,0.16775315208463656,5.88482664136008,5.431296165817594,5.431296165817594,1
55,1758719848.6640217,-5.411953783892062,2.508492277832099,0.07043333109637598,5.5455869567540095,4.807665429622046,4.807665429622046,1
56,1758719849.6694813,-5.385554576765226,2.58031856031428,0.07610854984966907,4.926255450208911,4.279908902379402,4.279908902379402,1
57,1758719850.6649563,-5.424861245904113,2.552197305755198,0.04854999957216255,3.9847902217414144,3.7643561840473034,3.7643561840473034,1
58,1758719851.6651213,-5.441183466649704,2.586862803427839,0.038309624170712535,3.150389167799647,3.472549375155161,3.150389167799647,1
59,1758719852.670175,-5.373442662997593,2.7899963372854533,0.21305419124048683,2.494573756713206,3.3894612463597737,2.494573756713206,1
60,1758719853.666284,-5.4075017535825705,2.680939356099057,0.1146979706079648,1.842581666545991,3.4248917712920606,1.842581666545991,1
61,1758719854.6660137,-5.4027868023962515,2.4444128919945816,0.23663743255511596,1.757920531703128,3.69549907379519,1.757920531703128,1
62,1758719855.668503,-5.332242722217329,2.4817549256377904,0.07961968520100984,2.1783173811765417,3.6095134745900173,2.1783173811765417,1
63,1758719856.66484,-5.33360608516807,2.3971580189156256,0.0849189554691164,2.7810816456330603,3.3428988639653943,2.7810816456330603,1
64,1758719857.663932,-5.338871897889682,2.4004312579764697,0.006205866350967799,3.2697620226592115,3.1661654420832246,3.1661654420832246,1
65,1758719858.6699479,-5.320016107507823,2.4772510080489765,0.07862702783257491,2.51911223513484,3.251877928131059,2.51911223513484,1
66,1758719859.6693892,-5.315719257023093,2.462832174704174,0.015053863078611743,1.879103711355886,3.6155363896835593,1.879103711355886,1
67,1758719860.6654944,-5.3196155530428,2.4130345299520406,0.050145145905910904,1.5378038073639604,4.219074724317568,1.5378038073639604,1
68,1758719861.6720684,-5.378530493351783,2.361547636985906,0.07773138244799511,1.6340586384778046,5.004482044367819,1.6340586384778046,1
69,1758719862.669805,-5.389805650474355,2.4090136699788576,0.048897486469585465,2.161777559947499,5.9299431187358485,2.161777559947499,1
70,1758719863.6685603,-5.368610613412755,2.631379583568701,0.22365214160980848,3.051068691796623,7.0078864973894115,3.051068691796623,1
71,1758719864.663828,-5.403121621232653,2.4122323882390337,0.2229027859182395,3.540111362226108,7.584375223526965,3.540111362226108,1
72,1758719865.6687233,-5.3392391341564505,2.591022652758235,0.18893536955108536,4.604374047892535,8.503029343164062,4.604374047892535,1
73,1758719866.6652923,-5.345760049168787,2.6358386838224273,0.045443877818558395,5.29508474803268,9.004130215926924,5.29508474803268,1
74,1758719867.669459,-5.369275793560346,2.513309521292327,0.12424760325551688,5.901848109519748,8.602369419818773,5.901848109519748,1
75,1758719868.6687794,-5.29022117759607,2.5216142693677646,0.07954369751811896,5.788300183956466,7.924798438668401,5.788300183956466,1
76,1758719869.665072,-5.457225461282422,2.572374308986967,0.1751975521325659,5.101645877014723,7.19067959990362,5.101645877014723,1
77,1758719870.6646624,-5.449492986238227,2.526303957550045,0.04673389860419805,4.261093635206297,6.364462448195018,4.261093635206297,1
78,1758719871.6648626,-5.525425775786388,2.5491472864640508,0.07927855008014277,3.2764131585981113,5.650607873042732,3.2764131585981113,1
79,1758719872.6646452,-5.5735702160160265,2.361755662023314,0.1935194880668714,2.2402316123065775,4.787289237185048,2.2402316123065775,1
80,1758719873.6667159,-5.733489009000542,2.020294047762803,0.37627530458712455,1.5200079992475792,3.959803475418333,1.5200079992475792,1
81,1758719874.6657062,-5.90247729259285,1.9980735536001564,0.17061519465091624,1.9693599053053799,3.6481455788612993,1.9693599053053799,1
82,1758719875.6689591,-5.937190106687392,2.2202394586806387,0.22413234492626044,2.6774673064299237,3.613026652579,2.6774673064299237,1
83,1758719876.6638415,-5.897988034211185,2.3896019690197887,0.1747345671220697,3.2468601383371083,3.63390730454005,3.2468601383371083,1
84,1758719877.6699457,-5.869021900122229,2.0059698259957504,0.3823899359888866,3.843168439142073,3.683649463544678,3.683649463544678,1
85,1758719878.6658247,-5.852059486421529,2.2234476678119712,0.21904102181868698,3.168691889682418,4.100369458493836,3.168691889682418,1
86,1758719879.665711,-5.82379699690521,2.187362474297023,0.04584089267073274,2.4446196259238806,4.110793071949368,2.4446196259238806,1
87,1758719880.672611,-5.768427147407617,2.409246998102927,0.22712163318914885,1.9340730734692553,3.7622226151848985,1.9340730734692553,1
88,1758719881.664937,-5.759657460089348,2.4400582387261305,0.032282717212329615,1.8548440598642415,3.5714498828349392,1.8548440598642415,1
89,1758719882.6668382,-5.703960479896226,2.4373139646614606,0.055658730885644596,2.14048009712792,3.5205054753779215,2.14048009712792,1
90,1758719883.6739044,-5.594000634292696,2.588217333869068,0.18540622097894946,2.897514982660423,3.87231910896553,2.897514982660423,1
91,1758719884.6649933,-5.575765925772443,2.612585945954785,0.030709388547631587,3.64040114234549,4.520293544362228,3.64040114234549,1
92,1758719885.6639175,-5.585430819045525,2.5439040810898796,0.0694332443514737,4.364358653840991,5.201067935594184,4.364358653840991,1
93,1758719886.6639652,-5.6217897996883,2.190221877241783,0.3555292139388888,4.859517993176825,5.774119635097513,4.859517993176825,1
94,1758719887.6656528,-5.522225222199359,2.4354182017888446,0.26419418992844296,5.855520039550774,6.873789137793699,5.855520039550774,1
95,1758719888.6684475,-5.496053871002126,2.3914347865914123,0.051038221363834194,5.252018794137626,7.669922549185344,5.252018794137626,1
96,1758719889.6671252,-5.498241182167047,2.423599697526154,0.03228188238324504,4.477856609203236,8.410640616218743,4.477856609203236,1
97,1758719890.6699388,-5.474659291445471,2.5039799667882146,0.0835330653494811,3.6656617223291286,8.950328802656786,3.6656617223291286,1
98,1758719891.66806,-5.4689086891145715,2.4267447058530993,0.07759482788450617,2.6754898061711954,8.062328372548155,2.6754898061711954,1
99,1758719892.6698823,-5.449472046386231,2.5149059314589537,0.09011416480425162,2.0295841415386144,7.38286465323322,2.0295841415386144,1
100,1758719893.6726716,-5.444579717000682,2.5300822431031116,0.01590103350003082,1.696808325757019,6.685065681376383,1.696808325757019,1
101,1758719894.6709318,-5.432941203454771,2.6531506560982043,0.12383294918759698,1.9344130348507305,6.073187720661124,1.9344130348507305,1
102,1758719895.6641335,-5.4273285488930245,2.653072656108146,0.005651617733363858,2.448442823661167,5.361858521730872,2.448442823661167,1
103,1758719896.6642241,-5.431570170025234,2.4240355439504593,0.22905563262370984,3.0292973798405325,4.494108947953988,3.0292973798405325,1
104,1758719897.6643817,-5.405413158831353,2.43349115382945,0.027809243438349233,3.0749157307211643,3.905539129597577,3.0749157307211643,1
105,1758719898.670039,-5.40329356923097,2.6129778558297656,0.17848946695811835,2.371067783677229,3.6280711763452747,2.371067783677229,1
106,1758719899.66638,-5.409657041965028,2.482601990379719,0.13101043788740602,1.8159268503304844,3.283061271189093,1.8159268503304844,1
107,1758719900.6678872,-5.387484790061498,2.5043380962485116,0.031002699367909517,1.6331515694014869,3.258862526403865,1.6331515694014869,1
108,1758719901.672592,-5.405175284473547,2.3921600606765137,0.11303258020010717,1.7756820212877094,3.469596642842832,1.7756820212877094,1
109,1758719902.6640122,-5.39625338585222,2.5443917866472363,0.15381261716391972,2.406798639091964,3.7918505205476207,2.406798639091964,1
110,1758719903.6721935,-5.40819705752681,2.488449074426615,0.056739278953067476,3.0782961355151777,3.564128663763879,3.0782961355151777,1
111,1758719904.6641858,-5.40084218550568,2.601893626969901,0.11460041234767555,3.9414130684095747,3.3665474493632908,3.3665474493632908,1
112,1758719905.666413,-5.3792640450400215,2.719968799657222,0.11976392242916195,4.876287968471111,3.369600677084669,3.369600677084669,1
113,1758719906.6718848,-5.356852937936932,2.772779853125695,0.057057347403513314,5.744125983540191,3.6399895510122042,3.6399895510122042,1
114,1758719907.6658623,-5.363407870843393,2.5897264260753285,0.1842805729058302,5.979201810145086,3.993172663235941,3.993172663235941,1
115,1758719908.6655638,-5.382994750306566,2.362767012942085,0.22787105079496411,5.184535725216086,4.456855377689083,4.456855377689083,1
116,1758719909.6638262,-5.348812743054045,2.4646842753953653,0.10768379913634826,4.5556389329414,5.360350110226476,4.5556389329414,1
117,1758719910.665827,-5.327398961142306,2.6127559248150773,0.14931329568002202,3.784384515975293,6.440180789943843,3.784384515975293,1
118,1758719911.6674902,-5.328678864046542,2.5068221793826453,0.10576556697460057,2.8896711221119924,7.05168253812072,2.8896711221119924,1
119,1758719912.6652792,-5.3574285951784315,2.4620073635396276,0.05336190576384231,2.0600360509410978,7.733556424240774,2.0600360509410978,1
120,1758719913.6654634,-5.351166282322815,2.480968439025939,0.01996476930216139,1.6201287453364084,8.421326539072297,1.6201287453364084,1
121,1758719914.6683762,-5.305677261032942,2.5632720802525535,0.09376485876234748,1.7637744410938525,9.059209729843246,1.7637744410938525,1
122,1758719915.665236,-5.264728829520552,2.6770177117580487,0.12127268562122202,2.1780123645803475,8.504410346154733,2.1780123645803475,1
123,1758719916.6733947,-5.26914196370546,2.595475759762712,0.08100042946150234,2.6524882253178053,7.757293469904091,2.6524882253178053,1
124,1758719917.6654437,-5.325963520676045,2.34413555604782,0.25974837905974635,3.2477229405835577,6.731465460456905,3.2477229405835577,1
125,1758719918.6714327,-5.337286449161746,2.280982667633927,0.06377795444416721,2.554246789553315,5.8328559145221215,2.554246789553315,1
126,1758719919.6659307,-5.3043548322453296,2.450341752677151,0.1734856462733613,1.8982054037527762,5.292273278048002,1.8982054037527762,1
127,1758719920.6644416,-5.287267475920593,2.516280218045425,0.06821809802572577,1.5818004013980262,4.681938217798057,1.5818004013980262,1
128,1758719921.6657913,-5.284534513761783,2.4661092072087327,0.05017766775857894,1.6592271896911817,4.048092709069251,1.6592271896911817,1
129,1758719922.6737084,-5.285182213829087,2.3749944574300588,0.09040132956543317,2.0899435446527264,3.4639336972294403,2.0899435446527264,1
130,1758719923.6672869,-5.282564650224762,2.533454023857634,0.15950545930779153,2.950766889712563,3.270751634343544,2.950766889712563,1
131,1758719924.664257,-5.289335090833923,2.446073015893269,0.08790925806756056,3.6515509237684753,3.1356788089084913,3.1356788089084913,1
