step,time_s,rx,ry,speed_mps,d1_lower,d2_upper,dmin,goals
1,1759432919.1367795,-4.454431052454983,-3.2397050192591204,nan,3.454788601049855,5.3825073245686825,3.454788601049855,0
2,1759432920.1400893,-4.409960504051775,-3.5488801013196247,0.3113265391604599,3.95616308386293,4.904982516784678,3.95616308386293,0
3,1759432921.140155,-4.475165433557913,-3.4246253947875167,0.14031508728469805,3.9723357702547033,3.9946340834083824,3.9723357702547033,0
4,1759432922.1378,-4.516425795303013,-3.2843593237951043,0.1465538630671463,3.5648415969462843,2.7959880791855394,2.7959880791855394,0
5,1759432923.1395862,-4.531298220498093,-3.2353452324522025,0.05112946923414593,3.214940002650818,1.6600510265463548,1.6600510265463548,0
6,1759432924.137224,-4.413276821443806,-3.5656760588166887,0.35161187429355256,3.4722877111682413,0.9638678557267538,0.9638678557267538,0
7,1759432925.1363661,-4.28374342479477,-3.8644665413131047,0.32593993528036547,4.0489216857488985,0.9224731651763793,0.9224731651763793,0
8,1759432926.1388023,-4.229022425730221,-4.0133420775771205,0.15822825321837042,4.754615641379041,1.4602458532002678,1.4602458532002678,0
9,1759432927.1373029,-4.11076234906475,-4.253669543972599,0.2682505654856894,5.722801897360157,2.2229997901887497,2.2229997901887497,0
10,1759432928.1375031,-4.1724135295208775,-4.018493818684296,0.2430736954557022,6.202924805536332,2.9272140134734688,2.9272140134734688,0
11,1759432929.142022,-4.167014567248051,-4.05464447647818,0.036387167240743236,6.948236471904799,3.478694574301601,3.478694574301601,0
12,1759432930.1387546,-4.247080572212545,-3.7627944389299715,0.30362548943081236,7.21340068858595,2.903810540606705,2.903810540606705,0
13,1759432931.1366866,-4.26219200799264,-3.7205458900994866,0.04496274495875122,6.7918270686420055,2.0473372083009225,2.0473372083009225,0
14,1759432932.1408176,-4.235761448475898,-3.821409471576606,0.10384008685154787,6.115872594865133,1.3004197121375067,1.3004197121375067,0
15,1759432933.1389194,-4.173434561006089,-4.069455479062447,0.2562430708148618,5.674628596589071,1.1389666332929334,1.1389666332929334,0
16,1759432934.1385448,-4.135747205004021,-4.294786586897714,0.22854663940006584,5.285820473164086,1.8363129126056068,1.8363129126056068,0
17,1759432935.1382575,-4.263144573862919,-4.06373275269049,0.2639241968634062,4.547640476939842,2.293692877046603,2.293692877046603,0
18,1759432936.142974,-4.185106838224883,-4.225218173256324,0.17851087855705583,4.335235654906123,3.2792232531322187,3.2792232531322187,0
19,1759432937.1390631,-4.129040315906954,-4.284084501833007,0.08161307932971713,4.197484590156422,4.228440820352222,4.197484590156422,0
20,1759432938.145806,-4.285671041144118,-3.8453411154966997,0.462743395405786,3.7842877393403085,4.715312011929618,3.7842877393403085,0
21,1759432939.1365345,-4.316667619852517,-3.6703092900245124,0.1794187497283137,3.919487522100382,5.441712133599325,3.919487522100382,0
22,1759432940.1423078,-4.344568312870646,-3.521934351445592,0.15010877501197684,4.212002402827473,6.202787365607505,4.212002402827473,0
23,1759432941.1379514,-4.237733129705611,-3.8944716796492886,0.3892493512255425,4.159616408242777,6.870458827166448,4.159616408242777,0
24,1759432942.1406863,-4.142573786615429,-4.202583450600549,0.3215924354361256,4.197489306591946,6.650654265765675,4.197489306591946,0
25,1759432943.1377213,-4.124600932715913,-4.296718752605287,0.0961206804815767,4.178696952218556,6.107988366803052,4.178696952218556,0
26,1759432944.1376672,-4.219589954741614,-4.0987997680631585,0.21954511126084164,4.066772721225558,5.076756633039817,4.066772721225558,0
27,1759432945.1364803,-4.130355184636437,-4.299387747384728,0.21980216996231342,4.666900590870347,4.270133153456539,4.270133153456539,0
28,1759432946.1438377,-4.176700100520488,-4.065676508261842,0.23652185295302217,5.05245071265865,2.948804578859587,2.948804578859587,0
29,1759432947.1387007,-4.164570388963128,-4.1030100842320705,0.03945731864904517,5.785999024610607,2.0983424246146516,2.0983424246146516,0
30,1759432948.1440852,-4.131907742050979,-4.299370823379891,0.19799267539601334,6.707480810922659,1.4771668762111168,1.4771668762111168,0
31,1759432949.1456432,-4.1278687022349345,-4.273897573484219,0.025751355034714887,7.317385232131227,1.3017639360319684,1.3017639360319684,0
32,1759432950.138896,-4.209885568153426,-4.141408159341476,0.15687959217117617,7.68029439848439,1.757247435759767,1.757247435759767,0
33,1759432951.1429777,-4.0845250035752505,-4.28107987296383,0.18691619701093734,7.173872558622747,2.4292023014562885,2.4292023014562885,0
34,1759432952.1377487,-4.082164762281486,-4.182215335367258,0.0994125349539317,6.452462678385863,3.0414977912763366,3.0414977912763366,0
35,1759432953.1441462,-4.09074658014006,-4.134633458225721,0.04804223815965528,5.741538503929163,3.399595684491107,3.399595684491107,0
36,1759432954.1363993,-4.121481983785578,-4.026153121861936,0.11363067040168014,5.002728251672166,2.594539308172847,2.594539308172847,0
37,1759432955.1420717,-4.089884144956534,-4.136377215048514,0.11401698756695187,4.63304813545877,1.825486479151474,1.825486479151474,0
38,1759432956.137321,-4.046285890003301,-4.280899564273554,0.15167591969608768,4.436653082703575,1.3921169048728002,1.3921169048728002,0
39,1759432957.1387005,-4.113162688044827,-4.045110010015916,0.24475259457862195,4.016478274262053,1.2228837745585055,1.2228837745585055,0
40,1759432958.1383564,-4.046527327707838,-4.215700041095875,0.18320567890376832,4.201948348224836,1.9122373242668838,1.9122373242668838,0
41,1759432959.1423032,-4.153664829984018,-4.060871008019638,0.18754277198087876,4.241562788800884,2.5372329977056522,2.5372329977056522,0
42,1759432960.137222,-4.413942097468332,-3.9025600164554266,0.30619764387852955,4.2173472630031155,3.2652223896147183,3.2652223896147183,0
43,1759432961.1368,-4.901373638875675,-3.786666189052982,0.501231366781808,3.4887848822604304,4.118914276218633,3.4887848822604304,0
44,1759432962.1418564,-5.30968131684781,-3.576529032984025,0.45689861420942307,2.8482549487319013,5.080939188084035,2.8482549487319013,0
45,1759432963.1437716,-5.77510937239336,-3.2448617864273293,0.570419934585352,2.431456614989139,5.969003795198638,2.431456614989139,0
46,1759432964.1424532,-6.225925793349916,-2.9744375943794004,0.5263980257273772,2.770716063486917,6.913468072632305,2.770716063486917,0
47,1759432965.1370869,-6.353616147445913,-2.6658530577728614,0.3357617486449186,3.4103302444865435,6.822181636627907,3.4103302444865435,0
48,1759432966.1381116,-6.475663876030305,-2.7376839532404036,0.14147185719727992,4.510248419432834,6.346909672184167,4.510248419432834,0
49,1759432967.138572,-6.614921448013456,-2.9398644182290443,0.24538572793321026,5.760476553848377,5.77825557602256,5.760476553848377,0
50,1759432968.1375668,-6.67871913342863,-3.123647779462857,0.19473743317062187,6.850154313836142,5.002422954481382,5.002422954481382,0
51,1759432969.1442478,-6.818957343885052,-3.3836169787813293,0.29342202044886245,7.869984999181347,4.238455673332968,4.238455673332968,0
52,1759432970.1376336,-6.817465705716507,-3.4055676638286427,0.022147798257527645,7.789529544283175,3.3232769234792006,3.3232769234792006,0
53,1759432971.1379778,-6.817653700619037,-3.4197722106302795,0.014200901752648607,6.967929022499135,2.4028747648303592,2.4028747648303592,0
54,1759432972.1402946,-6.89978142947523,-3.55991508678202,0.16205912562320413,6.27704368077627,1.770778255409766,1.770778255409766,0
55,1759432973.1449275,-6.82638137948422,-3.464595936151058,0.11975026450415317,5.300300856948113,1.4935896731668135,1.4935896731668135,0
56,1759432974.1368597,-8.479705112570697,-0.486200349055148,3.4342181029002528,3.904893026443778,5.0847185948100355,3.904893026443778,0
57,1759432975.138307,-8.478252267335638,-0.48733535346901563,0.0018409714673908535,3.2291674767931084,5.515791637247344,3.2291674767931084,0
58,1759432976.1396186,-8.30211382416894,-0.7075618886418787,0.2816314763209792,2.3682412813100346,5.644154512571987,2.3682412813100346,0
59,1759432977.141225,-8.247325864293282,-1.2811538821473436,0.5752784870683718,1.6721749696042014,5.063219635903415,1.6721749696042014,0
60,1759432978.1368701,-8.206956437547891,-1.8872642162379671,0.6101102327361833,0.9852906042546526,3.9674913877098246,0.9852906042546526,0
61,1759432979.1457005,-8.229213179748195,-2.515591152436799,0.6232177986791784,0.47040632009832634,3.200595973029493,0.47040632009832634,0
62,1759432980.140474,-8.324737575023557,-3.1365904587845237,0.631604309514051,0.5191988241543336,3.1184415004736996,0.5191988241543336,1
63,1759432981.140932,-8.51921660985345,-3.4332653459756433,0.35457424414183664,1.350991532719919,3.7374957615363407,1.350991532719919,1
64,1759432982.140845,-8.495077062811529,-3.3728448519509553,0.06506989105734165,2.0902474524062233,4.3488277171967225,2.0902474524062233,1
65,1759432983.1378946,-8.406641579507363,-3.058572691952514,0.32744400989727085,2.7580204692273305,4.808527866749988,2.7580204692273305,1
66,1759432984.13668,-8.204879367885816,-2.8031847649359665,0.32586624674714226,3.5526268557397667,5.263889612831275,3.5526268557397667,1
67,1759432985.1423216,-8.06126949447504,-2.3986260251349134,0.4268835912713486,4.203188790319422,5.671696345000771,4.203188790319422,1
68,1759432986.1398382,-7.908105450202478,-1.909908071688113,0.5134317175236195,4.874059155753446,6.065437918091509,4.874059155753446,1
69,1759432987.1408417,-7.607090425614592,-1.3461012417682712,0.6384900782436755,5.32914240186979,6.2911736048037445,5.32914240186979,1
70,1759432988.137201,-7.414153110799011,-0.8773754581151149,0.5087334364622549,5.80026349850657,6.664715600512236,5.80026349850657,1
71,1759432989.1365874,-7.463496499268936,-0.47115160861448785,0.40946099081664267,6.2751661401710725,6.251671082558278,6.251671082558278,1
72,1759432990.1420956,-7.7200213277589675,-0.3191808094636716,0.29652788688301707,6.105154871689036,5.864215188567583,5.864215188567583,1
73,1759432991.137701,-8.037142549200638,-0.37005157927390153,0.3225931495836119,5.560253884331939,5.5522580917073405,5.5522580917073405,1
74,1759432992.1376574,-8.05199929908438,-0.4107714949718649,0.043347416435645214,4.796463908492273,5.014953444535827,4.796463908492273,1
