step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,dmin,goals
1,1756402835.3159661,-20.90558071320825,-18.848942212949012,nan,3.7076204731653153,nan,3.7076204731653153,0
2,1756402836.3118844,-20.461727529766414,-18.620202189199823,0.5013736642067712,4.639646617020233,nan,4.639646617020233,0
3,1756402837.3137567,-20.117896356096708,-18.43749098268717,0.3886349925539217,5.602874947752705,nan,5.602874947752705,0
4,1756402838.3089468,-19.729199880910578,-18.176062821274538,0.47069715428112663,6.7392418910853955,nan,6.7392418910853955,0
5,1756402839.3110535,-19.400565810956103,-17.876835212368473,0.44351758159894067,7.35612978006156,nan,7.35612978006156,0
6,1756402840.3111017,-19.134333682566762,-17.66627718504912,0.33941586924452627,7.031446466535316,nan,7.031446466535316,0
7,1756402841.3156383,-18.71042920563622,-17.61625521274399,0.4249179484132533,6.804848430926918,nan,6.804848430926918,0
8,1756402842.3111305,-18.202080216352346,-17.5352268311568,0.5170972118581448,7.2472156682653095,nan,7.2472156682653095,0
9,1756402843.3082893,-17.75963049128056,-17.555286628015097,0.4441662076423496,8.163201692686151,nan,8.163201692686151,0
10,1756402844.3157177,-17.285238061288016,-17.626349121155762,0.4761483473963192,9.359500867317212,nan,9.359500867317212,0
11,1756402845.3086185,-16.862176595385137,-17.77442141070763,0.45143061799253675,10.444409132287014,nan,10.444409132287014,0
12,1756402846.314325,-16.422995753584367,-17.997225015395998,0.4896701473751377,10.578653761511083,nan,10.578653761511083,0
13,1756402847.3097417,-16.110271700154136,-18.250624413919954,0.4043549669418501,10.337726253853873,nan,10.337726253853873,1
14,1756402848.3090436,-16.12274930564164,-18.308571938848733,0.05931708901922248,10.091042310355771,nan,10.091042310355771,1
15,1756402849.313876,-16.2178989986367,-18.30612046076573,0.09472353872744121,9.545040522341287,nan,9.545040522341287,1
16,1756402850.3106332,-16.571943472738432,-18.170229960331188,0.3804615257937957,8.180091080089827,nan,8.180091080089827,1
17,1756402851.3162396,-17.076561689393348,-18.02589443962332,0.5219283929400956,6.8820352246949605,nan,6.8820352246949605,1
18,1756402852.309154,-17.44350430480136,-17.90731153121661,0.3883796739470904,5.988153632758406,nan,5.988153632758406,1
