step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,dmin,goals
1,1757635773.0427146,-16.798532365085386,-18.231055449124998,nan,8.229987701193265,10.277345757841422,8.229987701193265,0
2,1757635774.0426385,-16.905466790723132,-18.071436951429384,0.19214226946336047,8.529671223421143,10.23339975862182,8.529671223421143,0
3,1757635775.0360422,-16.73878336229374,-18.369958889592848,0.3441748273147614,7.657365010635727,9.90124675635661,7.657365010635727,0
4,1757635776.0347545,-16.824580473988966,-18.115397760868888,0.26897717259372805,7.082029621733327,9.64160887532364,7.082029621733327,0
5,1757635777.0347505,-16.948580865371135,-17.99636762257808,0.17188516625532405,6.205815351136601,9.368249500620777,6.205815351136601,0
6,1757635778.0417068,-16.77373330515249,-18.04177082948521,0.1793984399997993,5.231550132996347,9.45591705081441,5.231550132996347,0
7,1757635779.0368812,-17.225195713329484,-18.031499064935858,0.45376894952792146,4.01170673242077,8.24883017348161,4.01170673242077,0
8,1757635780.0356402,-17.878039547226454,-18.186358842334872,0.6717931530203346,2.4999234289433514,6.919853845633868,2.4999234289433514,0
9,1757635781.0385623,-18.48930556447596,-18.266835600463885,0.6147445572224104,1.0386445828784538,5.725805652319462,1.0386445828784538,0
10,1757635782.038261,-19.132558942716575,-18.33573989066673,0.647128331025606,0.7097835822557987,4.714902884591728,0.7097835822557987,0
11,1757635783.0412183,-19.687293119772068,-18.35702838503808,0.5535056041916987,1.9818022079485806,4.178152169827607,1.9818022079485806,0
12,1757635784.0434494,-19.589584614140982,-18.358618032882106,0.09750389300558417,2.9974425031501353,4.287913621056376,2.9974425031501353,0
13,1757635785.0369515,-19.651385582795587,-18.279566352440796,0.1009983275175879,3.982015006241283,4.623523682596024,3.982015006241283,0
14,1757635786.035685,-19.897072602766897,-17.948105919057085,0.4131103146404098,4.766734734345897,5.434546111990716,4.766734734345897,0
15,1757635787.0393667,-20.27244740412399,-17.644930955940456,0.4807456534511003,5.53141658531325,6.42488819474077,5.53141658531325,0
16,1757635788.0366237,-20.841893338972902,-17.331822599978548,0.6516378254597646,6.27069590473305,7.613900580445766,6.27069590473305,0
17,1757635789.034799,-21.43305140058938,-17.10167285186968,0.6355386501235628,6.942353405512425,9.01379001181882,6.942353405512425,0
18,1757635790.0368943,-21.91515766827338,-17.003570790698255,0.49095758215792795,6.878244635585727,9.255580126078266,6.878244635585727,0
19,1757635791.0382679,-22.453242874835563,-16.919715899161716,0.5438329889435891,6.341479557783446,9.125421775644611,6.341479557783446,0
20,1757635792.0418367,-22.729345678791955,-16.846781601573785,0.28455785081307716,5.786445085288032,8.724300394035,5.786445085288032,0
21,1757635793.0418231,-22.985883254456166,-16.754261787948035,0.2727149887283195,5.372823881925086,8.32333723137311,5.372823881925086,0
22,1757635794.0363407,-23.394428149314066,-16.76986042175165,0.41109638105030216,5.354036294001224,7.909113294554752,5.354036294001224,0
23,1757635795.0380116,-23.941088952985748,-16.822355937192878,0.5482595236069332,5.657426552680135,7.586207839033521,5.657426552680135,0
24,1757635796.0354946,-24.39033620408522,-17.01536241298464,0.49018633770947057,6.0401781177483675,7.153605074800349,6.0401781177483675,0
25,1757635797.0358584,-24.826624155132613,-17.295156942103656,0.5181088594593232,6.489268207364203,6.732949595657722,6.489268207364203,0
26,1757635798.0356379,-25.134914543441283,-17.633769921276603,0.4580330095591017,6.872886757865876,6.314186230877219,6.314186230877219,0
27,1757635799.0357723,-25.28196674071134,-17.755908323100638,0.19113427845837638,7.217064158590186,5.869848952998601,5.869848952998601,0
28,1757635800.040726,-25.419944407902015,-17.830673520416777,0.15615850938108392,7.645213635756425,4.839861583886685,4.839861583886685,0
29,1757635801.0379093,-25.186812163261223,-17.859790913978042,0.23560716742028467,7.886997728669899,3.9065315032968764,3.9065315032968764,0
30,1757635802.0374665,-24.999352259786722,-18.158935177344503,0.35318399726035943,8.068734392889725,2.7427335434863203,2.7427335434863203,0
31,1757635803.0359461,-25.042981507590863,-18.26558129301103,0.11540090900247169,8.57848491973036,1.8376772336517901,1.8376772336517901,0
32,1757635804.0425854,-25.398146351678314,-18.23210808850988,0.3543858769198791,9.465406650342528,1.9341030727038542,1.9341030727038542,0
33,1757635805.0346448,-25.433298281709682,-18.243960581858893,0.03739328058502935,10.148283054699588,2.491702267818519,2.491702267818519,1
34,1757635806.0389404,-25.119221775526544,-18.484988207718125,0.3942086102759273,10.037820360804956,2.908993055555157,2.908993055555157,1
35,1757635807.036691,-24.994587153928194,-18.78122215178083,0.32210961046700315,9.255348860017408,3.453489199226753,3.453489199226753,1
36,1757635808.0428753,-24.913603895617282,-18.67443283340571,0.13319955507960324,8.725912634377739,4.407631549397404,4.407631549397404,1
37,1757635809.0351274,-24.857300631445597,-18.755620501219454,0.0995717489596211,8.004873337695296,5.227707802305387,5.227707802305387,1
38,1757635810.0395594,-24.758502575866277,-19.00980667674012,0.27150837813037243,7.209121401157018,5.935900292781259,5.935900292781259,1
39,1757635811.0366533,-24.661789174360592,-19.22000997837925,0.23205914964206856,6.536593711899675,6.725467408383156,6.536593711899675,1
40,1757635812.0345728,-24.41159783164326,-19.573084058000106,0.4336341846155595,5.896153291141741,7.233305267322889,5.896153291141741,1
41,1757635813.043446,-24.074399175358906,-19.871132523420844,0.4460816177190792,5.53943735592319,7.764218206658156,5.53943735592319,1
42,1757635814.0343611,-23.759506374561475,-20.086599272248755,0.38505209777943744,5.594477581210658,8.346135480199107,5.594477581210658,1
43,1757635815.0354114,-23.47922407074503,-20.22789594033461,0.31355430086815156,6.007102115981686,8.32866532335912,6.007102115981686,1
44,1757635816.0384219,-23.17311771090735,-20.393245618416305,0.3468661170086987,6.691377720395862,7.3198207948966925,6.691377720395862,1
45,1757635817.037507,-22.825805720971026,-20.6090616742741,0.4092780543631397,7.488220506103897,6.056489231091524,6.056489231091524,1
46,1757635818.0390198,-22.37245552340715,-20.92706236210209,0.5529241885389211,8.432540655801168,4.628815512454733,4.628815512454733,1
47,1757635819.0412247,-22.02855039233133,-21.14489610574143,0.4061943974430289,9.366765786167383,3.5005362273032303,3.5005362273032303,1
48,1757635820.0367572,-21.717043944889753,-21.370105294338376,0.3861146675382861,10.214246307752171,2.839858634343155,2.839858634343155,1
