step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1759346098.2812157,-14.955205972887258,-22.517300396202906,nan,7.002272220394409,10.162725927941244,0.7272704615915127,0.7272704615915127,0
2,1759346099.276349,-14.95694056619082,-22.57711241833302,0.06012979676545854,6.236395234116875,10.707140515274789,0.3974372320482607,0.3974372320482607,0
3,1759346100.28048,-14.968321642213823,-22.667139279719624,0.09037009567146319,5.541581611933444,10.78546425151437,1.0534364608135014,1.0534364608135014,0
4,1759346101.2763436,-15.00632847622229,-22.88434550108225,0.221422250546325,4.959788027615651,10.886381951024312,1.504384551975984,1.504384551975984,0
5,1759346102.2806916,-15.052036372304912,-22.959725007632205,0.08777323229259675,4.358831068865177,11.095437785273903,0.5558532201506552,0.5558532201506552,0
6,1759346103.2746985,-14.885858514000816,-22.9535356771623,0.16729570437914656,4.035106129256019,11.567764858072158,0.5871980809909196,0.5871980809909196,0
7,1759346104.273352,-14.396775198319617,-23.23028934498352,0.5627142215502183,4.322653849044825,11.645405351766382,2.119544191144774,2.119544191144774,1
8,1759346105.2788439,-14.248920449709615,-23.767457005865968,0.5541015055665252,4.466410287541638,11.004280378957136,3.4725229840859493,3.4725229840859493,1
9,1759346106.2762835,-14.339559378589215,-24.23880335028382,0.4812141642188431,4.4344981696610475,10.102174699047765,4.643771556737152,4.4344981696610475,1
10,1759346107.2804716,-14.433262217473413,-24.39346481541085,0.18007831486538442,4.493073236594317,9.047390105913097,5.566545467402588,4.493073236594317,1
11,1759346108.2765439,-14.653345196994033,-24.502608275321098,0.2466286386191971,4.599727841493095,7.92257490384529,6.408066280103455,4.599727841493095,1
12,1759346109.275799,-15.248381373205042,-24.638001325534226,0.6107001638314332,4.129720447423793,6.439081676837182,6.928330423269957,4.129720447423793,1
13,1759346110.2725475,-15.844442011176358,-24.78215761064139,0.6152454120200795,3.249303661096819,4.9585647470711836,7.479162236922111,3.249303661096819,1
14,1759346111.2720876,-16.431093753168504,-25.050407440201845,0.6453690843709919,2.4656463136807627,3.592909129694691,8.106772846925573,2.4656463136807627,1
15,1759346112.2798495,-17.041518334146403,-25.27430142352115,0.6451818571595273,2.2047006248273076,2.342680901535616,8.70649217834663,2.2047006248273076,1
16,1759346113.2732277,-17.676850572655848,-25.36126484721317,0.6455309385242826,2.616206184574995,1.4560803997726839,9.151904443747197,1.4560803997726839,1
17,1759346114.2789822,-18.348147635613934,-25.391489408782412,0.6681323873359478,3.6139498446510037,1.8927416690299337,9.6279386572288,1.8927416690299337,1
18,1759346115.2740428,-19.017147184521576,-25.4501053342511,0.6748960496454588,4.830894028942424,2.857174196941308,9.97320386324157,2.857174196941308,1
19,1759346116.2811944,-19.60534077983287,-25.345656068751563,0.5931534773001931,6.0292453081621336,2.735026253160901,9.029018894259224,2.735026253160901,1
20,1759346117.2763205,-20.194357210498357,-25.071791068255553,0.652752440289081,7.1188160490083545,2.3406248952012434,7.764886950443106,2.3406248952012434,1
21,1759346118.2772245,-20.617240071132915,-24.691611857047366,0.5681392774576276,8.079576499042293,1.5973637558767793,6.380516085527293,1.5973637558767793,1
