step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1757878415.3070993,-20.31293504131735,-23.06194842443432,nan,2.5905996094981103,5.585356957040193,2.245795005830773,2.245795005830773,0
2,1757878416.3052537,-20.70422018490148,-23.55834534897478,0.6332398814119371,3.1693232154841287,4.590995735296323,3.139620320875197,3.139620320875197,0
3,1757878417.3058162,-21.17475676869877,-23.741560437077656,0.5046641249085141,3.402417811841536,3.409055135663136,3.7549453642481003,3.402417811841536,1
4,1757878418.3037744,-21.610042286999846,-23.529049620703407,0.48538173915066807,3.425994259793618,2.148044815682544,4.068610974677447,2.148044815682544,1
5,1757878419.3033347,-21.898105136644684,-23.091148192608372,0.5243849722369444,3.489279578361663,1.0748289955253838,4.270167825496068,1.0748289955253838,1
6,1757878420.3044226,-22.234065096142764,-22.612980693730766,0.5837562804310485,3.634706961221774,1.4878729666291932,4.4847116613346705,1.4878729666291932,1
7,1757878421.3083956,-22.274090891251163,-22.531671164940008,0.0902686412988993,3.5265708771520434,2.441368000937977,5.306348240115797,2.441368000937977,1
8,1757878422.305353,-22.13426709106806,-22.04208328340955,0.5107169852632414,3.4580914280176547,3.3771782807360045,5.1854855948613725,3.3771782807360045,1
9,1757878423.3045118,-21.78573166374048,-21.490009394663005,0.6534374660765105,3.3251347857335927,4.273054205152171,4.491321594475311,3.3251347857335927,1
10,1757878424.3081932,-21.490013270567385,-20.907206877311136,0.6511379984681718,3.3659480703471436,5.352195632617005,3.5947811519661355,3.3659480703471436,1
11,1757878425.3051834,-21.318394759391126,-20.24373583452774,0.6873766323458779,3.593831055963373,6.595726937776196,2.5304479669309363,2.5304479669309363,1
12,1757878426.3019357,-21.082934584236156,-19.68287828667853,0.6102604243900998,3.92139262431367,6.651301883111878,1.711645003187377,1.711645003187377,2
13,1757878427.3021574,-20.625312929629995,-19.386761247133517,0.5449506132359053,4.387636013810999,6.059091172332577,1.455854380195048,1.455854380195048,2
14,1757878428.304156,-20.0330535065364,-19.147171653566396,0.6376109080323185,4.928847432187487,5.551954901072087,1.7778622058353781,1.7778622058353781,2
