step,time_s,rx,ry,speed_mps,d1_triangle,d2_triangle2,d3_triangle3,dmin,goals
1,1759008947.3504791,-3.6321807883024277,-4.069012510985271,nan,2.773550392859197,3.7407604947521254,5.5735258702944925,2.773550392859197,1
2,1759008948.3527217,-3.4482161472368746,-4.350792353185627,0.3357628077148793,2.2140323648198765,3.2322371789460003,6.29422338069643,2.2140323648198765,1
3,1759008949.3553643,-3.676655426861317,-4.711877159926875,0.42615213282226416,1.7071523503078805,2.682678281294707,6.750207292311864,1.7071523503078805,1
4,1759008950.353284,-4.139695722423902,-4.920557273990544,0.5089502714106615,1.5731390589361738,2.2654931144247588,6.325398821113959,1.5731390589361738,1
5,1759008951.3515515,-4.676563110378688,-4.863904581441572,0.540785066452238,2.1978431201460538,2.3332633950343853,5.431506320571505,2.1978431201460538,2
6,1759008952.3547943,-4.463072367258681,-4.995580934962588,0.2500217793294652,3.3901881932273144,3.3825382648416835,4.358342723270241,3.3825382648416835,2
7,1759008953.3516092,-4.332350054540203,-4.907409675320024,0.15818226737416263,4.434400715919419,4.292666216218548,3.100885386887722,3.100885386887722,2
8,1759008954.3552353,-3.8668364879522077,-4.490660090443139,0.6225490176890615,5.032466274908227,4.890876614877704,1.8233339967983544,1.8233339967983544,2
9,1759008955.3539011,-3.5178253810628473,-4.0626315594985165,0.5530214369664979,5.455515326974338,5.338375938733684,1.5461550532516515,1.5461550532516515,2
10,1759008956.3572445,-3.3212849949358896,-3.54120672580862,0.5553791951750807,5.618454064471701,5.461608536394596,2.1744893408458896,2.1744893408458896,2
11,1759008957.3521705,-3.1653665783475247,-2.9110421530137334,0.6524778018008203,4.7996895435615325,4.7312422582221485,2.7935584152902955,2.7935584152902955,2
12,1759008958.3514473,-2.9771740755744642,-2.2949889558817853,0.6446229240174072,3.754022807571514,3.9281936643823783,3.5504349187128663,3.5504349187128663,2
13,1759008959.352076,-2.8539450009865157,-1.670809447206203,0.6358277740927136,2.9616574290936386,3.5164841048868793,4.414417199972618,2.9616574290936386,2
14,1759008960.3552527,-2.8600034676978523,-1.0469796726021752,0.6218836619285151,2.825134249368326,3.705434136768628,5.088454038697589,2.825134249368326,2
15,1759008961.3526409,-2.856086317373766,-0.3851920651695127,0.6635322639109097,3.477559956167231,4.4733225078161,6.1520639955539815,3.477559956167231,2
16,1759008962.3560429,-2.793879872211965,0.2552173182294296,0.6412420134618667,4.529500248536402,5.518978528654934,5.167976107732817,4.529500248536402,2
17,1759008963.3549278,-2.713591427431138,0.7596081328805846,0.5113111147338822,5.565397526388229,6.554718274036318,4.448749723123517,4.448749723123517,3
18,1759008964.356435,-2.482760312049491,0.85052160376088,0.247715846201298,6.14330709384772,7.086703155092167,3.5458858658077266,3.5458858658077266,3
19,1759008965.3510826,-2.2440770679902537,0.4603311752973976,0.45986525499607084,5.915622584297127,6.838449543615375,2.672728218260592,2.672728218260592,3
20,1759008966.3594868,-2.028183644818198,-0.17988979270916133,0.6700116036665333,5.493849493238789,6.403895216391876,2.2246785476638005,2.2246785476638005,3
21,1759008967.3501542,-2.0011461385999034,-0.7943724150031117,0.6208715468648214,4.984038616738355,5.840533312694206,2.5345186158952355,2.5345186158952355,3
22,1759008968.3573165,-2.1039489047987767,-1.4521549416622113,0.6610328853493601,4.425298347981828,5.241295742551155,3.3668187723883123,3.3668187723883123,3
23,1759008969.355646,-2.185171033493977,-2.101665812791492,0.655664987376182,3.6821626164649723,4.5500178523136325,3.8333678975010357,3.6821626164649723,3
24,1759008970.3515265,-2.303565417638682,-2.743207115628657,0.6550729938592653,2.6539260243330767,3.630706563360676,3.7577077742999285,2.6539260243330767,3
25,1759008971.356193,-2.384189064516193,-3.339576970757027,0.5989996901139717,2.172759964323698,3.115954233861312,3.47540171712022,2.172759964323698,3
26,1759008972.356337,-2.457416870806068,-3.788188238887232,0.45448309916267265,2.722430430225638,3.3384255882541143,3.0354370203328065,2.722430430225638,4
27,1759008973.3509727,-2.4357002289557785,-3.6863731568937617,0.10466682446768755,3.4167128745430384,3.802649599470804,2.3773964079745316,2.3773964079745316,4
28,1759008974.3510902,-2.7261967719475764,-3.4781538074544285,0.35737027607499733,4.099068114400153,4.196323455521869,1.9861761448392625,1.9861761448392625,4
29,1759008975.35502,-2.858721932496156,-3.0615591254513617,0.43545465348550266,4.570989372793431,4.539763553816268,2.389834751177019,2.389834751177019,4
30,1759008976.3543074,-2.6950198948148483,-2.478475096930362,0.6060599537785961,5.231989292616645,5.0753002047588796,3.7247917504316703,3.7247917504316703,4
31,1759008977.3560455,-2.6344436752585465,-1.9584699156885332,0.5226132619866817,3.7090070213927,3.8100446852840366,3.7494767336490447,3.7090070213927,4
32,1759008978.350456,-2.6876344226059463,-1.503267876375074,0.4608752504432581,2.9318642075195114,3.3239287961764172,4.203024164745272,2.9318642075195114,4
33,1759008979.3507125,-2.9858789032336452,-0.991521758399478,0.5921603870774775,2.350496041728927,3.061611599550675,4.559713724600391,2.350496041728927,4
34,1759008980.3536203,-3.4219230692986953,-0.7232488221319934,0.5104774561205677,2.36272848852904,3.265919806428014,4.708254770194244,2.36272848852904,4
35,1759008981.350322,-3.9778790217963405,-0.6881045456809162,0.5589090927289533,2.640742877145732,3.624784040967197,4.347014739510182,2.640742877145732,4
36,1759008982.3532503,-4.3154013162822356,-0.6941320265433479,0.33659048619784265,3.1825638269437806,4.182040719845352,3.3468160878086812,3.1825638269437806,4
37,1759008983.349913,-4.473752981525876,-0.6775388285331337,0.1597518206325985,3.737401913892626,4.741986214882877,2.329580693316505,2.329580693316505,4
38,1759008984.3566077,-4.54109863138088,-0.6853308350957332,0.0673440708175932,3.6892551099966733,4.67247325113931,1.5051228119810638,1.5051228119810638,4
39,1759008985.354061,-4.824756347410331,-0.5293751339090844,0.3245298922599524,3.0721246494118386,3.980753251438852,1.3183294057935453,1.3183294057935453,4
40,1759008986.3512964,-5.153614053367545,-0.09774692489581037,0.5441369970205968,3.2066778447914897,3.796764658850321,2.081275452679921,2.081275452679921,4
41,1759008987.356992,-5.34817423998512,0.5206355514823263,0.6445959980933839,4.313602648468382,4.550714460197999,2.8711988263833748,2.8711988263833748,4
42,1759008988.351988,-5.423462698885715,1.1505907842246215,0.6376289427926358,5.507932559204651,5.5880723498802105,3.4546260171279037,3.4546260171279037,4
43,1759008989.350943,-5.359837306629933,1.7954680046442215,0.6486862184016509,5.764705178028335,5.841108281086279,3.147639953980753,3.147639953980753,4
44,1759008990.3573136,-5.266975295416703,2.240180605143792,0.45142873184123,5.438997724689001,5.435641207566924,2.9985607653254975,2.9985607653254975,5
45,1759008991.3587081,-5.063796799361446,2.42297969514598,0.2729269353611198,4.700830307674653,4.629996607538783,3.2339756851764103,3.2339756851764103,5
46,1759008992.3523602,-4.630623559607721,2.294321636095686,0.45476282236972915,3.5718095768772002,3.4408597260820204,3.6609097840409355,3.4408597260820204,5
47,1759008993.3528984,-4.56776584049939,2.246808895904442,0.0787519964385122,2.755932648106777,2.3653725727103287,4.562101643863568,2.3653725727103287,5
48,1759008994.3511198,-4.5706277457763065,2.1709619057560263,0.07603620271655925,2.3617327480658026,1.620598116459269,5.4076544102922535,1.620598116459269,5
49,1759008995.3518896,-4.66986638901076,2.338782949201148,0.19481722402569365,2.5731441554899304,1.6341316307676197,6.368430441072631,1.6341316307676197,5
50,1759008996.3541975,-4.958622734756926,2.706991509826514,0.4668517940717737,2.9711106322417864,2.018784139708971,7.053443184490604,2.018784139708971,5
51,1759008997.3531005,-4.804052200051655,2.59188321546874,0.19293416158351417,2.2528399240463215,1.4072415830240572,6.381764222097176,1.4072415830240572,5
52,1759008998.3521347,-4.274657426005653,2.393101151797268,0.5660315600594488,1.3226879067236568,1.245292121520618,5.793386667014834,1.245292121520618,5
53,1759008999.3562088,-3.858090214914286,2.121236957703685,0.495413423478041,1.6244960904079775,2.3351637203815203,5.497252523886657,1.6244960904079775,5
54,1759009000.355532,-3.6199918420671775,1.5633282635214436,0.6070021130656762,2.5487212607892533,3.4399189640632883,5.370886214357299,2.5487212607892533,5
55,1759009001.3554335,-3.3649989953208204,0.9494605355053409,0.6647871602204836,3.70422697079833,4.621686210252381,5.147901857537599,3.70422697079833,5
56,1759009002.3528159,-3.2737058681437348,0.32533962043052944,0.6324179317371637,4.581844774364115,5.531930491216129,4.2570135180517985,4.2570135180517985,5
57,1759009003.3510199,-3.311484453491349,-0.3073013961267672,0.6349082994688394,5.083439408468909,6.076154952298373,3.18404798234006,3.18404798234006,5
58,1759009004.3538675,-3.4452919449812103,-0.930813442213701,0.6358973481861268,4.609897640773511,5.605249740739508,2.379028757246123,2.379028757246123,5
59,1759009005.352531,-3.7814382669117146,-1.309428465520854,0.5069815645462736,3.645723004783821,4.611070786966192,2.2842431115375117,2.2842431115375117,6
60,1759009006.3555036,-4.311637487022883,-1.3596658674431688,0.5309955087429324,2.829131656576818,3.6614035552550726,2.940789959203396,2.829131656576818,6
61,1759009007.3511882,-4.929172359513429,-1.2127370367930768,0.6375246617311829,2.8692974636768334,3.3127712291935856,3.8562783260903446,2.8692974636768334,6
62,1759009008.352409,-5.550914693507265,-1.0832407644268531,0.6343105826729337,3.2970399969492177,3.397554884528942,4.67758014878836,3.2970399969492177,6
63,1759009009.3500428,-6.206115873282679,-1.0526315768806949,0.6574713990998609,2.950868712484455,2.7260909890371403,4.572084287328804,2.7260909890371403,6
64,1759009010.3563032,-6.850175768955453,-1.095132886758653,0.6414449972817544,2.8916737040759077,2.2081933132263143,4.379459215632064,2.2081933132263143,6
65,1759009011.3513627,-7.502436280464781,-1.0889177396350196,0.6555287680467757,3.518168167250097,2.557847403946169,4.232125023802225,2.557847403946169,6
66,1759009012.3555968,-8.013464146884656,-0.9230538028612648,0.5350059290584271,4.4949469666546715,3.495076587444892,4.178346210784457,3.495076587444892,6
67,1759009013.3543928,-8.13849055907047,-0.814234042863828,0.16595065578037868,5.273632056885779,4.26058068288037,4.10469634722022,4.10469634722022,7
68,1759009014.3513918,-7.972293658655322,-1.1036474380224073,0.3347432607264186,5.887647282983722,4.971457792585561,3.87193331738228,3.87193331738228,7
69,1759009015.3505423,-8.082054900378125,-1.1885686838899272,0.13889532265510987,6.674666649184812,5.778170417790338,4.0941105537994105,4.0941105537994105,7
70,1759009016.354052,-8.067446739780246,-1.2067789602427499,0.02326385268916634,6.592609811786951,5.723156691407509,3.884769444302349,3.884769444302349,7
71,1759009017.351523,-7.929403541413132,-1.4349695720418683,0.2673724550779908,5.776985234040784,4.963356627263688,2.644948830667618,2.644948830667618,7
72,1759009018.356315,-8.329162081672655,-1.3641300128166869,0.4040504180785482,5.0455960582119745,4.175450372332826,1.7566486125035032,1.7566486125035032,7
73,1759009019.35212,-8.754471360224466,-1.1227893911684428,0.4910725913069597,4.14175799967507,3.2225058173028485,1.1420467074326064,1.1420467074326064,7
74,1759009020.3546426,-8.984410115225398,-0.693673674062808,0.4856138541132115,2.974178221263641,2.0661984054929405,0.7352225271557596,0.7352225271557596,7
75,1759009021.356991,-9.192170905423932,-0.2965706317033557,0.4471188860620577,2.0728965971603595,1.112605825241638,1.2972855507717016,1.112605825241638,7
76,1759009022.3521273,-9.529657972827547,0.02966007254806493,0.4716809597663941,1.803898995332106,1.0110082827404294,2.3744324746311087,1.0110082827404294,7
77,1759009023.3510766,-9.90091801968339,0.31556675285542835,0.46908293888765656,2.0386505184228705,1.4345515749618258,3.7028885975266848,1.4345515749618258,7
78,1759009024.3504062,-10.179590004643092,0.5869085580184393,0.38921396018203486,3.217753422930691,2.566016928142924,5.055599114182752,2.566016928142924,7
79,1759009025.3517907,-9.787536680000565,0.14647315994014498,0.5888364764444556,3.7554549262906836,3.1047305656576953,5.824569183294436,3.1047305656576953,7
80,1759009026.3595183,-9.357754559954378,-0.340937928554979,0.6448493182270738,4.300012860429419,3.61378589554221,6.551823303921329,3.61378589554221,7
