step,time_s,rx,ry,speed_mps,d1_triangle,d2_triangle2,d3_triangle3,dmin,goals
1,1759256440.798634,-4.089226801885784,-3.348388530039589,nan,2.754156067040477,3.703846691307372,4.619318584051303,2.754156067040477,0
2,1759256441.7983627,-4.250470911006963,-3.593433325380124,0.2934166420867003,1.7785070059539057,2.754856549057479,5.476183630073138,1.7785070059539057,0
3,1759256442.803614,-4.683242829912112,-3.213834908555972,0.5726546793719236,1.3643426519938509,2.097463831511244,5.80396825201803,1.3643426519938509,1
4,1759256443.800537,-5.060097419974263,-2.7783024008029065,0.5777184428451998,1.2405313643446203,1.7002813998902613,5.23597554762516,1.2405313643446203,1
5,1759256444.799708,-5.281510709239352,-2.2046124305076393,0.6154445032882299,1.1469854500545211,1.1382644356032847,4.01072534126325,1.1382644356032847,1
6,1759256445.8037739,-5.347198669408597,-1.6351967117719934,0.570870931468061,1.254751469544428,0.6440167445581063,2.683244019564646,0.6440167445581063,1
7,1759256446.7999625,-5.177954703657961,-1.0117394082132694,0.6484921699217198,1.4806923987320832,0.5113760211689691,1.499516625984434,0.5113760211689691,1
8,1759256447.798907,-5.074205420800917,-0.3851946696748702,0.6357475672331826,1.9128451608921178,0.9483631657757092,2.0237266823103366,0.9483631657757092,1
9,1759256448.8075497,-5.017565425579377,0.26471462928231954,0.6467828028424445,2.4389783124557405,1.4796147866530878,3.4733911786118963,1.4796147866530878,1
10,1759256449.805089,-5.053837700926113,0.8635081229559073,0.6013708994270373,2.922639274504251,1.9885075050252101,4.848609600826491,1.9885075050252101,1
11,1759256450.7976894,-5.409887602072854,1.219525362589075,0.5072610122343392,3.4284667975579084,2.452876630383419,5.564119616845307,2.452876630383419,1
12,1759256451.80748,-5.6403760913077985,1.3564439187335837,0.265489538427835,2.9184387155399127,1.9457040395442826,5.084944509634047,1.9457040395442826,1
13,1759256452.7983503,-5.802586520135477,1.1084138090717448,0.2990938766955878,2.2372248772756715,1.2415787779301484,4.10777986387784,1.2415787779301484,2
14,1759256453.7987692,-6.036082613727573,0.6124475089446418,0.5479519982749568,1.3948442649148727,0.41376575324621395,2.987665935971099,0.41376575324621395,2
15,1759256454.8056278,-6.101560419724638,0.004739085642978657,0.6070621233048455,0.4316919567055361,0.6852541124226292,2.4312886938730363,0.4316919567055361,2
16,1759256455.8076372,-6.051364156515578,-0.5826260683814026,0.5883239665738761,0.8106645920826845,1.7693714226023656,2.1663337192979544,0.8106645920826845,2
17,1759256456.802784,-5.865129134292613,-1.1778486567886244,0.6267189539228543,1.8902332799718755,2.8655504867954864,1.7196912073676751,1.7196912073676751,2
18,1759256457.80354,-5.666677869318575,-1.7917295675161626,0.6446735803871949,2.7900116430655997,3.7430547949338298,1.8783342457234395,1.8783342457234395,2
19,1759256458.7994773,-5.56100825105966,-2.2550326053961802,0.47713922228851546,2.661236918776867,3.6198450656998737,2.6160598375855906,2.6160598375855906,3
20,1759256459.8001182,-5.348431188264076,-2.3785569375415743,0.24570279830911768,2.042106724433811,3.0381645655735947,3.3843083730449095,2.042106724433811,3
21,1759256460.8068795,-4.878680945707414,-2.6175707898586325,0.5235209453615621,1.756471510297778,2.7352559699229895,4.238490888677878,1.756471510297778,3
22,1759256461.806036,-4.393111998864675,-2.54303212112634,0.49167150840105,1.984218901281363,2.8012519750327116,4.673379791962996,1.984218901281363,3
23,1759256462.8009193,-3.9137112160859067,-2.170081400488473,0.6105094631667785,3.21921376786843,3.729090269502524,5.055166431003368,3.21921376786843,3
24,1759256463.8068764,-3.4680169541827492,-1.6705895684243253,0.6654649496840994,2.701869116299762,3.425984381493957,3.309118000482887,2.701869116299762,3
25,1759256464.7991226,-3.1697185592220847,-1.1924611853823877,0.5679539003154216,2.331241951404605,3.101295103135027,1.8716556331724798,1.8716556331724798,3
26,1759256465.7990792,-3.193992057017123,-0.8104712723415045,0.38277697367258107,1.5155834778015695,2.3033739119096373,0.4508596461101502,0.4508596461101502,3
27,1759256466.798624,-3.7047655855536314,-0.6827231908183926,0.5267463153363793,0.29961003815665854,0.9215625085457192,0.7795513084522666,0.29961003815665854,4
28,1759256467.8009906,-4.065110610371393,-0.7307331041721467,0.362670936681939,1.3291935799806704,0.8033831114995283,1.7841576563319657,0.8033831114995283,4
