step,time_s,robot_x,robot_y,speed_mps,lower_actor_dist,upper_actor_dist,dmin,goals_count
1,4.35,-7.00,0.82,nan,4.05,6.00,4.05,0
2,4.35,-7.00,0.82,nan,4.05,6.00,4.05,0
3,4.35,-7.00,0.82,nan,1.79,6.00,1.79,0
4,4.35,-7.00,0.82,nan,1.79,4.18,1.79,0
5,5.00,-7.00,0.80,0.02,1.50,3.87,1.50,0
6,6.00,-6.99,0.77,0.04,1.77,3.76,1.77,0
7,7.00,-6.96,0.73,0.05,2.45,3.90,2.45,0
8,8.00,-6.72,0.22,0.56,2.95,4.10,2.95,0
9,9.00,-6.81,-0.37,0.60,2.25,5.07,2.25,0
10,10.00,-6.95,-0.66,0.32,1.01,6.19,1.01,0
11,11.00,-7.01,-0.72,0.09,0.44,5.54,0.44,0
12,12.00,-7.52,-1.14,0.66,1.88,5.35,1.88,0
13,13.00,-7.49,-1.11,0.04,2.81,4.57,2.81,0
14,14.00,-7.44,-1.07,0.07,3.76,3.88,3.76,0
15,15.00,-7.37,-1.61,0.54,5.04,3.30,3.30,0
16,16.00,-7.17,-2.27,0.70,6.41,2.62,2.62,0
17,17.00,-6.85,-2.89,0.70,7.66,1.84,1.84,0
18,18.00,-6.49,-3.44,0.66,7.21,1.22,1.22,0
19,19.00,-6.34,-3.71,0.30,6.42,1.43,1.43,0
20,20.00,-6.15,-4.09,0.42,5.78,1.97,1.97,0
21,21.00,-5.87,-4.45,0.46,5.20,1.70,1.70,0
22,22.00,-5.83,-4.49,0.06,4.49,0.66,0.66,1
23,23.00,-5.89,-4.43,0.09,3.77,0.34,0.34,1
24,24.00,-5.95,-4.30,0.14,3.14,1.24,1.24,1
25,25.00,-5.84,-4.47,0.20,3.13,2.30,2.30,1
26,26.00,-5.84,-4.47,0.01,3.16,3.30,3.16,1
27,27.00,-5.86,-4.47,0.01,3.16,4.32,3.16,1
28,28.00,-5.91,-4.47,0.05,3.44,5.34,3.44,1
29,29.00,-6.01,-4.63,0.19,4.14,6.56,4.14,1
30,30.00,-6.41,-5.09,0.61,5.37,8.14,5.37,1
31,31.00,-6.99,-5.39,0.66,6.68,9.52,6.68,1
32,32.00,-7.62,-5.38,0.63,7.84,8.90,7.84,1
33,33.00,-8.03,-5.18,0.46,8.85,8.03,8.03,1
34,34.00,-8.16,-5.05,0.19,9.78,7.03,7.03,1
35,35.00,-8.19,-4.99,0.06,9.84,6.07,6.07,1
36,36.00,-8.29,-4.74,0.27,8.68,5.06,5.06,2
37,37.00,-8.25,-4.13,0.61,7.21,3.85,3.85,2
38,38.00,-8.01,-3.45,0.72,5.53,2.84,2.84,2
39,39.00,-7.75,-2.82,0.68,3.89,2.62,2.62,2
40,40.00,-7.47,-2.18,0.70,2.23,3.37,2.23,2
41,41.00,-7.27,-1.78,0.45,0.79,4.40,0.79,2
42,42.00,-7.31,-1.86,0.09,0.25,4.06,0.25,2
43,43.00,-7.31,-1.87,0.01,1.18,3.38,1.18,2
44,44.00,-7.19,-1.66,0.23,0.86,2.97,0.86,2
45,45.00,-7.09,-1.53,0.16,0.13,2.71,0.13,2
46,46.00,-7.06,-1.49,0.06,0.96,2.73,0.96,2
47,47.00,-7.10,-1.52,0.05,1.98,3.12,1.98,2
48,48.00,-7.04,-1.49,0.07,2.92,3.66,2.92,2
49,49.00,-7.03,-1.49,0.01,3.90,4.42,3.90,2
50,50.00,-7.03,-1.48,0.01,4.92,5.22,4.92,2
51,51.00,-7.00,-1.45,0.04,5.86,6.06,5.86,2
52,52.00,-6.98,-1.45,0.01,6.75,6.48,6.48,2
53,53.00,-6.97,-1.45,0.01,5.72,5.57,5.57,2
54,54.00,-6.96,-1.45,0.02,4.71,4.68,4.68,2
55,55.00,-6.96,-1.45,0.01,3.70,3.91,3.70,2
56,56.00,-6.94,-1.44,0.02,2.71,3.20,2.71,2
57,57.00,-6.94,-1.45,0.01,1.72,2.74,1.72,2
58,58.00,-6.95,-1.47,0.02,0.75,2.59,0.75,2
59,59.00,-7.07,-1.47,0.13,0.20,2.89,0.20,2
60,60.00,-7.04,-1.47,0.03,1.23,3.35,1.23,2
61,61.00,-7.04,-1.44,0.03,1.52,4.08,1.52,2
62,62.00,-7.04,-1.48,0.04,0.49,4.82,0.49,2
63,63.00,-7.06,-1.52,0.05,0.59,4.20,0.59,2
64,64.00,-7.06,-1.52,0.00,1.57,3.49,1.57,2
65,65.00,-7.06,-1.52,0.00,2.56,2.95,2.56,2
66,66.00,-7.06,-1.52,0.00,3.55,2.67,2.67,2
67,67.00,-7.06,-1.52,0.00,4.57,2.76,2.76,2
68,68.00,-7.04,-1.49,0.04,5.52,3.17,3.17,2
69,69.00,-7.00,-1.43,0.07,6.44,3.73,3.73,2
70,70.00,-6.98,-1.42,0.02,6.11,4.47,4.47,2
71,71.00,-6.96,-1.41,0.02,5.09,5.29,5.09,2
72,72.00,-6.94,-1.40,0.02,4.05,6.14,4.05,2
73,73.00,-6.93,-1.40,0.01,3.05,6.22,3.05,2
74,74.00,-6.91,-1.40,0.02,2.06,5.32,2.06,2
75,75.00,-6.90,-1.40,0.01,1.06,4.48,1.06,2
76,76.00,-6.98,-1.44,0.09,0.20,3.78,0.20,2
77,77.00,-7.05,-1.44,0.07,0.83,3.21,0.83,2
78,78.00,-6.84,-1.40,0.21,2.01,2.61,2.01,2
79,79.00,-6.90,-1.41,0.06,1.03,2.60,1.03,2
80,80.00,-6.78,-1.34,0.15,0.26,2.90,0.26,2
81,81.00,-6.59,-1.20,0.23,0.64,3.60,0.64,2
82,82.00,-6.63,-1.29,0.09,1.72,4.31,1.72,2
83,83.00,-6.74,-1.21,0.14,2.70,5.17,2.70,2
84,84.00,-6.89,-0.91,0.33,3.62,4.65,3.62,2
85,85.00,-6.91,-0.70,0.22,4.49,4.10,4.10,2
86,86.00,-6.86,-0.59,0.12,5.37,3.56,3.56,2
87,87.00,-6.81,-0.54,0.07,5.79,3.13,3.13,2
88,88.00,-6.81,-0.54,0.00,4.80,2.94,2.94,2
89,89.00,-6.80,-0.54,0.01,3.78,3.07,3.07,2
90,90.00,-6.78,-0.54,0.02,2.78,3.50,2.78,2
91,91.00,-6.77,-0.54,0.02,1.79,4.12,1.79,2
92,92.00,-6.81,-0.57,0.05,0.88,4.93,0.88,2
93,93.00,-6.86,-0.57,0.05,0.43,5.82,0.43,2
94,94.00,-6.93,-0.61,0.08,1.16,5.66,1.16,2
95,95.00,-6.46,-0.62,0.47,2.41,4.40,2.41,2
96,96.00,-6.24,-0.44,0.29,2.60,3.40,2.60,2
97,97.00,-6.16,-0.40,0.08,1.66,2.74,1.66,2
98,98.00,-6.15,-0.44,0.04,0.65,2.44,0.65,2
99,99.00,-5.76,-0.41,0.40,0.24,2.30,0.24,2
100,100.00,-5.54,-0.27,0.26,0.85,2.96,0.85,2
101,101.00,-5.63,-0.35,0.12,1.96,3.67,1.96,2
102,102.00,-5.70,-0.44,0.11,3.03,4.47,3.03,2
103,103.00,-5.77,-0.42,0.08,4.05,5.39,4.05,2
104,104.00,-5.77,-0.42,0.00,5.06,5.89,5.06,2
105,105.00,-5.77,-0.44,0.02,4.37,4.93,4.37,2
106,106.00,-5.77,-0.45,0.02,3.37,4.06,3.37,2
107,107.00,-5.81,-0.39,0.08,2.36,3.30,2.36,2
108,108.00,-5.84,-0.47,0.08,1.46,2.58,1.46,2
109,109.00,-6.10,-1.02,0.61,1.07,2.09,1.07,2
110,110.00,-6.26,-1.18,0.22,0.50,2.55,0.50,2
111,111.00,-6.30,-1.20,0.05,0.84,3.26,0.84,2
112,112.02,-6.33,-1.20,0.03,1.75,4.11,1.75,3
113,113.00,-6.65,-1.29,0.33,2.11,5.28,2.11,3
114,114.00,-7.25,-1.23,0.60,0.74,6.67,0.74,3
115,115.00,-7.89,-0.95,0.70,1.01,6.53,1.01,3
116,116.00,-8.42,-0.54,0.67,2.26,6.12,2.26,3
117,117.00,-8.79,-0.01,0.64,3.35,5.78,3.35,3
118,118.00,-8.92,0.49,0.52,4.24,5.54,4.24,3
119,119.00,-8.85,0.66,0.19,4.95,5.33,4.95,3
120,120.00,-8.75,0.79,0.16,5.67,5.33,5.33,3
121,121.00,-8.64,0.86,0.13,6.45,5.52,5.52,3
122,122.00,-8.55,0.89,0.10,6.44,5.91,5.91,3
123,123.00,-8.51,0.88,0.04,5.50,6.42,5.50,4
124,124.00,-8.06,1.02,0.48,4.17,7.09,4.17,4
125,125.00,-7.57,1.40,0.62,2.95,7.54,2.95,4
126,126.00,-7.24,1.91,0.61,2.48,7.22,2.48,4
127,127.00,-7.19,2.50,0.59,3.12,7.02,3.12,4
128,128.00,-7.45,3.08,0.63,4.25,6.97,4.25,4
129,129.00,-7.76,3.39,0.44,5.18,6.77,5.18,4
130,130.00,-7.97,3.43,0.21,5.92,6.46,5.92,4
131,131.00,-8.08,3.37,0.12,5.51,6.18,5.51,5
132,132.00,-8.08,3.35,0.03,4.88,6.01,4.88,5
133,133.00,-8.21,3.15,0.24,4.28,6.06,4.28,5
134,134.00,-8.28,2.91,0.25,3.92,6.30,3.92,5
135,135.00,-8.29,2.49,0.42,3.79,6.69,3.79,5
136,136.00,-8.31,2.29,0.20,4.15,6.24,4.15,5
137,137.00,-8.30,2.27,0.02,4.75,5.88,4.75,5
138,138.00,-8.30,2.28,0.01,5.51,5.69,5.51,5
139,139.00,-8.30,2.24,0.04,6.21,5.64,5.64,5
140,140.00,-8.30,2.29,0.04,5.40,5.82,5.40,5
141,141.00,-8.30,2.26,0.03,4.68,6.12,4.68,5
142,142.00,-8.30,2.26,0.00,4.07,6.55,4.07,5
143,143.00,-8.31,2.30,0.05,3.67,7.16,3.67,5
144,144.00,-8.30,2.27,0.03,3.47,7.77,3.47,5
145,145.00,-8.31,2.30,0.03,3.60,8.52,3.60,5
146,146.00,-8.30,2.25,0.05,3.91,8.35,3.91,5
147,147.00,-8.31,2.20,0.05,4.44,7.60,4.44,5
148,148.00,-8.32,2.19,0.01,4.60,6.94,4.60,5
149,149.00,-8.32,2.19,0.00,4.00,6.41,4.00,5
150,150.00,-8.30,2.24,0.05,3.62,6.03,3.62,5
151,151.00,-8.30,2.34,0.10,3.52,5.81,3.52,5
152,152.00,-8.30,2.34,0.01,3.61,5.68,3.61,5
153,153.00,-8.30,2.34,0.00,3.95,5.73,3.95,5
154,154.00,-8.30,2.34,0.00,4.49,5.94,4.49,5
155,155.00,-8.30,2.34,0.00,5.19,6.30,5.19,5
156,156.00,-8.30,2.34,0.00,5.95,6.61,5.95,5
157,157.00,-8.31,2.20,0.14,5.73,6.16,5.73,5
158,158.00,-8.32,2.17,0.03,4.98,5.82,4.98,5
159,159.00,-8.32,2.19,0.02,4.30,5.64,4.30,5
160,160.00,-8.32,2.19,0.00,3.77,5.63,3.77,5
161,161.00,-8.32,2.19,0.00,3.47,5.80,3.47,5
162,162.00,-8.32,2.19,0.00,3.44,6.12,3.44,5
163,163.00,-8.32,2.18,0.00,3.69,6.59,3.69,5
164,164.00,-8.32,2.19,0.01,4.19,7.16,4.19,5
165,165.00,-8.32,2.19,0.00,4.82,7.84,4.82,5
166,166.00,-8.32,2.19,0.00,4.22,8.56,4.22,5
167,167.00,-8.32,2.19,0.00,3.72,8.17,3.72,5
168,168.00,-8.28,2.20,0.04,3.44,7.46,3.44,5
169,169.00,-8.23,2.21,0.05,3.41,6.84,3.41,5
170,170.00,-8.10,2.25,0.14,3.56,6.27,3.56,5
171,171.00,-8.06,2.20,0.06,3.99,5.79,3.99,5
172,172.00,-8.31,1.85,0.42,4.92,5.48,4.92,5
173,173.00,-8.36,1.45,0.41,5.84,5.33,5.33,5
174,174.00,-8.22,0.90,0.57,6.28,5.32,5.32,5
175,175.00,-8.22,0.87,0.02,5.40,5.80,5.40,5
176,176.00,-8.23,0.88,0.02,4.54,6.41,4.54,5
177,177.00,-8.24,0.89,0.01,3.74,6.62,3.74,5
178,178.00,-8.26,0.89,0.02,3.06,6.00,3.06,5
179,179.00,-8.27,0.88,0.02,2.58,5.51,2.58,5
