step,time_s,robot_x,robot_y,speed_mps,lower_actor_dist,upper_actor_dist,dmin,goals_count
1,2.74,-7.00,0.82,nan,1.74,5.19,1.74,0
2,2.74,-7.00,0.82,nan,1.74,5.19,1.74,0
3,3.00,-6.99,0.82,0.03,3.54,3.83,3.54,0
4,4.00,-6.56,0.62,0.48,2.57,3.32,2.57,0
5,5.00,-6.10,0.18,0.64,1.43,3.08,1.43,0
6,6.00,-6.21,0.18,0.11,0.61,3.78,0.61,0
7,7.00,-6.82,0.34,0.63,1.48,5.01,1.48,0
8,8.00,-7.35,0.12,0.57,2.82,6.11,2.82,0
9,9.00,-7.72,-0.36,0.61,4.34,5.86,4.34,0
10,10.00,-7.90,-0.98,0.64,5.80,5.47,5.47,0
11,11.00,-7.80,-1.65,0.67,7.13,4.84,4.84,0
12,12.00,-7.53,-2.27,0.68,7.16,4.06,4.06,0
13,13.00,-7.13,-2.84,0.70,6.39,3.07,3.07,0
14,14.00,-6.71,-3.22,0.57,5.45,2.09,2.09,0
15,15.00,-6.23,-3.51,0.56,4.59,1.02,1.02,0
16,16.00,-6.17,-3.56,0.07,3.78,1.04,1.04,0
17,17.00,-6.14,-3.54,0.04,3.01,1.78,1.78,0
18,18.00,-5.60,-3.67,0.55,2.81,2.79,2.79,0
19,19.00,-5.06,-3.54,0.56,3.08,2.68,2.68,0
20,20.00,-4.73,-3.13,0.53,3.68,2.16,2.16,0
21,21.00,-4.64,-2.83,0.31,3.27,1.45,1.45,0
22,22.00,-4.77,-2.69,0.19,2.68,0.52,0.52,0
23,23.00,-4.91,-2.59,0.17,2.41,0.54,0.54,0
24,24.00,-4.96,-2.57,0.05,2.68,1.46,1.46,0
25,25.00,-5.03,-2.56,0.07,3.24,2.54,2.54,1
26,26.00,-5.12,-2.83,0.28,4.33,3.80,3.80,1
27,27.00,-5.38,-3.48,0.70,5.89,5.48,5.48,1
28,28.00,-5.75,-4.07,0.70,7.49,7.18,7.18,1
29,29.00,-6.18,-4.62,0.70,8.72,8.23,8.23,1
30,30.00,-6.68,-5.11,0.69,8.48,7.86,7.86,1
31,31.00,-7.25,-5.45,0.67,8.07,7.52,7.52,1
32,32.00,-7.85,-5.63,0.62,7.55,7.00,7.00,1
33,33.00,-8.15,-5.62,0.31,6.74,6.22,6.22,1
