step,time_s,robot_x,robot_y,speed_mps,lower_actor_dist,upper_actor_dist,dmin,goals_count
1,3.53,-7.00,0.82,nan,3.37,5.33,3.37,0
2,3.53,-7.00,0.82,nan,3.37,5.33,3.37,0
3,3.53,-7.00,0.82,nan,1.63,5.33,1.63,0
4,4.00,-6.89,0.83,0.23,1.45,6.60,1.45,0
5,5.00,-6.44,1.04,0.50,1.44,5.95,1.44,0
6,6.00,-6.14,1.43,0.49,1.79,5.51,1.79,0
7,7.00,-6.20,1.97,0.53,2.56,5.29,2.56,0
8,8.00,-6.54,2.25,0.45,3.65,5.01,3.65,0
9,9.00,-7.00,2.28,0.45,4.92,4.82,4.82,0
10,10.00,-7.30,2.05,0.38,4.51,4.68,4.51,0
11,11.00,-7.37,1.93,0.14,3.81,4.74,3.81,0
12,12.00,-7.29,1.78,0.16,3.04,4.91,3.04,0
13,13.00,-6.96,1.46,0.47,2.12,5.07,2.12,1
14,14.00,-6.58,0.97,0.62,1.34,4.97,1.34,1
15,15.00,-6.41,0.34,0.66,1.10,4.26,1.10,1
16,16.00,-6.46,0.04,0.30,1.66,3.71,1.66,1
17,17.00,-6.81,-0.49,0.63,1.99,3.53,1.99,1
18,18.00,-7.33,-0.94,0.69,1.81,3.54,1.81,1
19,19.00,-7.65,-1.17,0.39,0.64,3.46,0.64,1
20,20.00,-7.68,-1.21,0.06,0.86,3.35,0.86,1
21,21.00,-8.00,-1.46,0.40,2.16,3.56,2.16,1
22,22.00,-8.34,-1.90,0.55,3.67,3.74,3.67,1
23,23.00,-8.47,-2.38,0.50,5.07,3.80,3.80,1
24,24.00,-8.31,-3.01,0.65,6.39,3.69,3.69,1
25,25.00,-7.98,-3.62,0.69,7.63,2.56,2.56,1
26,26.00,-7.54,-4.10,0.65,8.74,1.80,1.80,1
27,27.00,-7.03,-4.42,0.60,8.62,1.77,1.77,1
28,28.00,-6.82,-4.59,0.28,7.71,2.52,2.52,1
29,29.00,-6.34,-5.01,0.63,6.99,3.49,3.49,1
30,30.00,-5.89,-5.21,0.50,6.20,4.43,4.43,1
31,31.00,-5.34,-5.12,0.55,5.32,5.11,5.11,1
