step,time_s,robot_x,robot_y,speed_mps,lower_actor_dist,upper_actor_dist,dmin,goals_count
1,3.00,-7.00,0.82,nan,1.52,5.05,1.52,0
2,3.00,-7.00,0.82,nan,1.52,5.05,1.52,0
3,3.00,-7.00,0.82,nan,3.10,5.05,3.10,0
4,4.00,-7.08,0.84,0.08,3.27,3.91,3.27,0
5,5.00,-7.28,0.80,0.21,2.42,4.27,2.42,0
6,6.00,-7.23,0.73,0.09,1.74,4.62,1.74,0
7,7.00,-6.84,0.43,0.49,1.15,4.81,1.15,0
8,8.00,-6.79,0.05,0.39,1.68,5.17,1.68,0
9,9.00,-6.98,-0.16,0.28,2.86,5.75,2.86,0
10,10.00,-7.04,-0.10,0.08,3.86,5.96,3.86,1
11,11.00,-7.37,0.12,0.40,5.01,5.46,5.01,1
12,12.00,-7.46,0.29,0.19,5.97,4.96,4.96,1
13,13.00,-7.44,0.37,0.08,5.25,4.48,4.48,1
14,14.00,-7.40,0.70,0.34,4.14,4.32,4.14,1
15,15.00,-7.28,1.10,0.42,3.08,4.26,3.08,1
16,16.00,-7.19,1.28,0.20,2.33,4.18,2.33,2
17,17.00,-6.94,1.65,0.45,2.09,4.18,2.09,2
18,18.00,-6.60,2.15,0.61,2.85,4.21,2.85,2
19,19.00,-6.42,2.40,0.31,3.85,4.39,3.85,2
20,20.00,-6.36,2.50,0.11,4.80,4.76,4.76,3
21,21.00,-6.69,1.91,0.67,4.77,4.58,4.58,3
22,22.00,-6.72,1.82,0.09,3.84,4.22,3.84,3
23,23.00,-6.70,1.80,0.02,2.99,4.03,2.99,3
24,24.00,-7.00,1.49,0.43,2.14,4.14,2.14,3
25,25.00,-7.34,0.92,0.67,2.02,4.19,2.02,3
26,26.00,-7.45,0.61,0.33,2.73,4.28,2.73,3
27,27.00,-7.43,0.62,0.02,3.56,4.71,3.56,3
28,28.00,-7.31,0.73,0.16,4.32,5.36,4.32,3
29,29.00,-7.16,0.71,0.15,5.13,6.02,5.13,3
30,30.00,-6.73,0.43,0.51,4.97,6.52,4.97,3
31,31.00,-6.37,-0.05,0.59,3.96,5.86,3.96,3
32,32.00,-6.21,-0.68,0.66,3.26,4.35,3.26,3
33,33.00,-6.21,-0.77,0.09,2.32,3.47,2.32,3
34,34.00,-6.20,-0.61,0.16,1.20,2.94,1.20,3
35,35.00,-6.50,-0.33,0.41,0.40,2.89,0.40,3
36,36.00,-7.07,-0.15,0.60,0.98,3.37,0.98,3
37,37.00,-7.47,-0.28,0.42,1.52,3.98,1.52,3
38,38.00,-7.90,-0.71,0.61,1.81,4.97,1.81,3
39,39.00,-8.19,-1.05,0.44,1.15,6.05,1.15,3
40,40.00,-7.78,-0.80,0.48,0.87,6.37,0.87,3
41,41.00,-8.31,-1.06,0.60,1.87,7.47,1.87,3
42,42.00,-8.67,-1.51,0.57,3.26,7.14,3.26,3
43,43.00,-8.83,-2.03,0.54,4.63,6.73,4.63,3
44,44.00,-8.73,-2.64,0.62,5.93,6.04,5.93,3
45,45.00,-8.37,-3.21,0.67,7.07,5.12,5.12,3
46,46.00,-7.95,-3.64,0.60,8.12,4.11,4.11,3
47,47.00,-7.68,-3.81,0.32,8.97,3.12,3.12,4
48,48.00,-7.15,-3.99,0.56,7.84,1.95,1.95,4
49,49.00,-6.56,-4.03,0.60,6.63,0.96,0.96,4
50,50.00,-6.23,-3.90,0.35,5.46,1.48,1.48,4
51,51.00,-6.27,-3.95,0.06,4.64,2.35,2.35,5
52,52.00,-6.00,-3.51,0.52,3.36,2.28,2.28,5
53,53.00,-6.03,-3.50,0.03,2.71,1.38,1.38,5
54,54.00,-6.44,-3.81,0.52,2.44,1.02,1.02,5
55,55.00,-6.90,-3.93,0.48,2.05,2.12,2.05,5
56,56.00,-7.46,-3.78,0.58,1.55,3.38,1.55,5
57,57.00,-7.89,-3.43,0.56,1.75,4.44,1.75,5
58,58.00,-8.13,-2.87,0.61,2.28,5.25,2.28,5
59,59.00,-8.34,-2.20,0.70,2.95,5.98,2.95,5
60,60.00,-8.46,-1.52,0.69,3.65,6.58,3.65,5
61,61.00,-8.53,-0.85,0.67,4.37,7.23,4.37,5
62,62.00,-8.55,-0.48,0.37,5.18,7.29,5.18,5
63,63.00,-8.57,0.14,0.62,5.89,6.40,5.89,5
64,64.00,-8.51,0.82,0.68,6.51,5.72,5.72,5
65,65.00,-8.28,1.48,0.69,5.84,5.31,5.31,5
66,66.00,-8.07,1.88,0.46,4.74,5.27,4.74,5
67,67.00,-7.95,2.04,0.20,3.92,5.51,3.92,6
68,68.00,-8.14,1.74,0.36,3.47,5.74,3.47,6
69,69.00,-8.26,1.32,0.44,2.98,5.91,2.98,6
70,70.00,-8.24,1.19,0.13,2.65,6.34,2.65,6
71,71.00,-8.24,1.19,0.00,2.74,6.99,2.74,6
72,72.00,-8.17,1.19,0.07,3.15,7.63,3.15,6
73,73.00,-8.16,1.11,0.08,3.70,6.93,3.70,6
74,74.00,-7.83,1.28,0.37,3.28,6.32,3.28,6
75,75.00,-7.29,1.45,0.57,2.77,5.65,2.77,6
76,76.00,-6.69,1.29,0.62,1.95,4.67,1.95,6
77,77.00,-6.27,1.01,0.50,1.17,3.72,1.17,6
78,78.00,-6.24,0.97,0.05,1.39,3.29,1.39,6
79,79.00,-6.24,0.97,0.00,2.15,3.22,2.15,6
80,80.00,-6.24,0.97,0.00,3.05,3.45,3.05,6
81,81.00,-6.24,0.97,0.00,3.99,3.93,3.93,6
82,82.00,-6.24,0.97,0.00,4.48,4.59,4.48,6
83,83.00,-6.04,0.64,0.38,3.50,4.40,3.50,6
84,84.00,-5.88,0.35,0.33,2.54,3.61,2.54,6
85,85.00,-5.80,0.20,0.17,1.58,2.92,1.58,6
86,86.00,-5.76,0.10,0.10,0.60,2.44,0.60,7
87,87.00,-5.69,-0.01,0.13,0.38,2.26,0.38,8
88,88.00,-5.80,-0.24,0.25,1.15,2.44,1.15,8
89,89.00,-5.99,-0.60,0.41,1.77,2.72,1.77,8
90,90.00,-6.44,-1.04,0.63,2.09,3.10,2.09,8
91,91.00,-7.00,-1.34,0.64,1.42,3.65,1.42,8
92,92.00,-7.09,-1.37,0.09,0.33,4.37,0.33,8
93,93.00,-6.71,-1.00,0.53,0.13,5.29,0.13,8
94,94.00,-6.98,-1.16,0.31,1.44,4.37,1.44,8
95,95.00,-7.53,-1.57,0.69,3.12,3.47,3.12,8
96,96.00,-7.96,-2.08,0.67,4.79,3.16,3.16,8
97,97.00,-8.26,-2.69,0.68,6.43,3.52,3.52,8
98,98.00,-8.48,-3.36,0.71,8.06,4.46,4.46,8
99,99.00,-8.54,-3.96,0.60,9.54,5.58,5.58,8
100,100.00,-8.42,-4.25,0.32,9.00,6.55,6.55,8
