step,time_s,rx,ry,speed_mps,d1_lower,d2_upper,dmin,goals
1,1759438630.2806604,-5.986750164862289,-5.242736232091281,nan,9.06991320095585,5.349393636313949,5.349393636313949,0
2,1759438631.280425,-5.636115308932696,-5.079334845801986,0.38693057346163146,8.681334314305966,5.958842831026526,5.958842831026526,0
3,1759438632.2819054,-5.307547850306378,-4.6534166980505685,0.5371294357080421,7.408457411217508,6.272036693338709,6.272036693338709,0
4,1759438633.2869148,-5.033244419935393,-4.110840856392889,0.6049423859319172,6.023107797230573,6.611081794432516,6.023107797230573,0
5,1759438634.2828255,-4.860989363686818,-3.598489623314764,0.5427521980393937,4.766160228465005,6.961858188755707,4.766160228465005,0
6,1759438635.2796466,-4.910622723861254,-3.6140720589193878,0.05218784133991811,4.177496628716345,6.539524559081354,4.177496628716345,0
7,1759438636.2797897,-5.156987876302145,-3.3575189184430663,0.35563902158309807,3.3524100567908404,5.67474564155435,3.3524100567908404,1
8,1759438637.279486,-5.365750976968235,-3.1207144344993436,0.31578309793780873,2.635803437400246,4.687209758849152,2.635803437400246,1
9,1759438638.2895868,-5.360924438902987,-2.8400042469058024,0.2779442079396116,2.270332079657028,3.6612824883950728,2.270332079657028,1
10,1759438639.2814503,-5.151596914965852,-2.500227885512916,0.40235519776780565,2.511260730155944,2.211281568847096,2.211281568847096,1
11,1759438640.2847772,-5.292754571965386,-2.6043379099016524,0.17481618550678363,2.8625781592211075,1.443014840989298,1.443014840989298,1
12,1759438641.2866526,-5.240138447066224,-2.519646055715144,0.09951876233765944,3.1482255226245446,0.6430071093131648,0.6430071093131648,1
13,1759438642.2816703,-5.1555814050143205,-2.257306994127883,0.2770097273790186,2.8853805524057923,1.077200297077206,1.077200297077206,1
14,1759438643.2860043,-5.23688181053132,-2.0405066729096673,0.23054377417411104,2.286021958979071,2.141293532391911,2.141293532391911,1
15,1759438644.2845166,-5.352907883820832,-2.0699739448106778,0.1198878836126499,1.77415802680266,2.8904561394529416,1.77415802680266,1
16,1759438645.2895122,-5.490333972769106,-2.220797591176138,0.20302913400485129,1.8262552728411159,3.3970104251069495,1.8262552728411159,1
17,1759438646.2868702,-5.540968900908584,-2.4749085329245317,0.25979302184762254,2.6855351691645732,3.799469947245303,2.6855351691645732,1
18,1759438647.2815223,-5.511972394387108,-2.572885266844057,0.10272686164702421,3.6177410772917793,3.7122749654851495,3.6177410772917793,1
19,1759438648.285443,-5.551585170367154,-2.6203150260609065,0.06155472511690389,4.535918261966815,2.9058541658251773,2.9058541658251773,1
20,1759438649.284455,-5.528725301191093,-2.4799785437887776,0.14232677198124283,5.2968268435231725,2.1906332712887253,2.1906332712887253,1
21,1759438650.2880073,-5.461016382481489,-2.5061509895746084,0.07233433861784455,6.034028769766961,1.410819845087355,1.410819845087355,1
22,1759438651.2796085,-5.429921680872257,-2.9033608836568416,0.401799749441443,6.968814747692006,0.5598840189096687,0.5598840189096687,1
23,1759438652.2838025,-5.557011527280485,-3.2922182181487636,0.4073902303214996,6.620728137288873,1.4168698990581763,1.4168698990581763,1
24,1759438653.287996,-5.808482188697709,-3.351317929274329,0.2572432655127842,5.920245806387356,2.5585021545351845,2.5585021545351845,1
25,1759438654.2795482,-6.2336663439155675,-3.0085719813031275,0.5507814497880651,4.934348141750406,3.5193992451463343,3.5193992451463343,1
26,1759438655.2869024,-6.641314763835617,-2.572097296343927,0.5928729660129876,3.9021274782138278,4.375224083421299,3.9021274782138278,1
27,1759438656.2889528,-6.843257103282516,-2.1264127159107895,0.48829977501885596,2.7486970302647777,5.1242520461958225,2.7486970302647777,1
28,1759438657.2825322,-6.868298109272292,-1.6013159135416588,0.5290906313903728,1.4523789224566797,5.622994969633296,1.4523789224566797,1
29,1759438658.2829552,-6.89305074209947,-1.7054778596133908,0.10701735297360286,0.7019403686755724,6.604041507861156,0.7019403686755724,1
30,1759438659.2846587,-6.960011536888727,-1.9340707739916192,0.2377932995831313,0.5410899203970383,6.683491054012473,0.5410899203970383,1
31,1759438660.280337,-6.87819192171377,-1.3869547203707697,0.5556012402337258,1.4823630976017184,5.656689446084303,1.4823630976017184,1
32,1759438661.2807188,-6.880510935965642,-0.7587458508286133,0.627973447233707,2.3276586558108048,4.62747369988382,2.3276586558108048,1
33,1759438662.2868614,-6.841822447446396,-0.14827174837017168,0.6079643142282475,2.2179283349457304,3.7866737610934087,2.2179283349457304,1
34,1759438663.2801814,-6.617494721035464,0.39962175555852,0.5960204599592215,1.9883022950388891,3.274134069109746,1.9883022950388891,2
35,1759438664.2797337,-6.669129912818159,0.31883838756204336,0.09591862527771147,1.1044360594464846,3.314482739551038,1.1044360594464846,2
36,1759438665.2832823,-6.676375845526139,0.19161513620846543,0.1269788285323298,0.9995189119968008,3.6159302636518724,0.9995189119968008,2
37,1759438666.2795167,-6.863490708562525,0.10625560762822518,0.20644269037815127,2.127240973484099,4.209663559621017,2.127240973484099,2
38,1759438667.2877991,-7.322342352565105,-0.27874037859314704,0.5940512186758392,3.754195176536685,4.685513317317354,3.754195176536685,3
39,1759438668.2837694,-7.690979233178462,-0.6997328847690544,0.5618423544660635,5.261169898268921,4.954082667960746,4.954082667960746,3
40,1759438669.280028,-7.875532165923135,-1.123285146932254,0.4637483206308115,6.490982933874592,5.069775883756371,5.069775883756371,3
41,1759438670.280282,-7.875338606224973,-1.6141126771636451,0.49070297116590944,7.387489330412904,4.744743175755703,4.744743175755703,3
42,1759438671.280277,-7.688859807733464,-2.1444989096082954,0.5622162066402371,7.136584522087275,3.6139187020922177,3.6139187020922177,3
43,1759438672.288456,-7.424008216337227,-2.7320432097092846,0.6392517472230894,6.481424160193844,2.5369572119548867,2.5369572119548867,3
44,1759438673.2866447,-7.12189572726295,-3.292821937630212,0.6381367909958133,5.837956404086855,1.8531925399952554,1.8531925399952554,3
45,1759438674.2820516,-6.7774752478418385,-3.7883233037048685,0.6062304941299312,5.262852311142844,1.9350028098787697,1.9350028098787697,3
46,1759438675.2811522,-6.371974819262862,-4.280691497626431,0.6384276070781472,4.8041159913732585,2.6883811707502066,2.6883811707502066,3
47,1759438676.2858043,-5.910971232563026,-4.671907064167442,0.6018273820097434,4.421222840836022,3.6386658125685885,3.6386658125685885,3
48,1759438677.2809372,-5.517157749367794,-4.9562748295719805,0.4881268037365308,4.214894617673566,4.624284698048211,4.214894617673566,4
49,1759438678.282541,-5.88584628047455,-4.725003869088288,0.43452428857785064,3.4908547187930377,5.485093787894508,3.4908547187930377,4
50,1759438679.2891057,-6.09256082911835,-4.6942563693632655,0.2076258037292694,3.1467311485698057,6.452950110099679,3.1467311485698057,4
51,1759438680.2806327,-6.146257709180036,-4.7452889441246136,0.07471189540687295,3.1240596479153915,7.477690253859879,3.1240596479153915,4
52,1759438681.2839231,-6.2447651780029245,-4.342763794613226,0.4130443603439457,2.7609821240770818,8.087034931086102,2.7609821240770818,4
53,1759438682.2807722,-6.4703538304482136,-3.743173551033701,0.6426486279568271,2.299275876120723,7.633969493375747,2.299275876120723,4
54,1759438683.2818217,-6.7835528240157865,-3.2178869705661346,0.6109302368962918,2.2577930977556835,6.773009728306511,2.2577930977556835,4
55,1759438684.284448,-7.145257216141006,-2.7505933871732573,0.5893780369438282,2.82467344703257,5.922312031952871,2.82467344703257,4
56,1759438685.2841368,-7.481700584653601,-2.2990571483753177,0.5632730393852937,3.6897675250255855,5.068460302444222,3.6897675250255855,4
57,1759438686.2805786,-7.690084375615426,-1.9264112376004099,0.42847749138017943,4.724437548282092,4.246424811572826,4.246424811572826,4
58,1759438687.282953,-8.058169959929423,-1.6615574780928295,0.4523952439876582,5.69958456355289,3.994359451851141,3.994359451851141,4
59,1759438688.2836323,-8.338239083368373,-1.543629367237994,0.3036781658212108,6.757419536211692,3.8641138431086235,3.8641138431086235,5
60,1759438689.282627,-8.150448266777131,-1.6077043869310492,0.19862091468887966,7.35824225244916,3.5654407377255612,3.5654407377255612,5
61,1759438690.28821,-8.188420132971109,-1.5527962043638484,0.06638841893994236,7.398797206472288,3.829323578093214,3.829323578093214,5
62,1759438691.2887669,-8.440174041399397,-1.2706779704453957,0.3779042304203472,6.546326651691386,4.598968228211295,4.598968228211295,5
63,1759438692.2798934,-8.452897166751004,-0.7832778366287659,0.49193130223976783,5.4237382886702115,5.458922043239444,5.4237382886702115,5
64,1759438693.2872224,-8.410362324670054,-0.2393669248889356,0.5416021334305235,4.377469771224948,6.318524500929368,4.377469771224948,5
65,1759438694.2887049,-8.442081795835486,0.2752483991624966,0.5148287210199993,3.6417100536638443,6.375871300798987,3.6417100536638443,5
66,1759438695.283882,-8.405599511801174,0.8219318759757441,0.5505547345281081,3.0319925570716637,6.34839011966275,3.0319925570716637,5
67,1759438696.2825828,-8.225137633255855,1.2988773217153633,0.5106079062763539,2.7384034266226953,6.2428022126815605,2.7384034266226953,6
68,1759438697.2877905,-7.9140564185800715,1.530458068494459,0.38580669458827715,2.792102477370341,5.817122647377485,2.792102477370341,6
69,1759438698.2804034,-7.79461336661813,1.4883189076243435,0.12760101420377115,3.10985468173991,5.298137320628397,3.10985468173991,6
70,1759438699.2870414,-7.961062747065265,1.6127449357352708,0.2064449891661884,3.8008309060678025,5.195664515014876,3.8008309060678025,6
71,1759438700.285488,-7.803109864850551,1.4191541518489477,0.2502417253675894,4.078014820106022,4.799014361430803,4.078014820106022,6
72,1759438701.2814124,-7.81154932092912,1.4257179634591792,0.010735245683017631,3.619122791576844,4.8222727883662175,3.619122791576844,6
73,1759438702.2807343,-7.645859086981454,1.0216836445691375,0.4369849615934778,2.676128901791793,4.740904724699236,2.676128901791793,6
74,1759438703.2894094,-7.505075767691019,0.47545801835076273,0.5592252368342735,1.6604415530345051,5.022953219613205,1.6604415530345051,6
75,1759438704.28863,-7.342468878270256,0.1616043537203946,0.3537514851733489,1.43448483030019,5.448607927380649,1.43448483030019,6
76,1759438705.2803512,-7.163919658258173,-0.09966765959241372,0.31909535410045364,2.0684699544344336,6.04521339011088,2.0684699544344336,6
77,1759438706.2832146,-7.19465118352136,-0.05254560392223047,0.056096946874963666,3.140740467188509,5.8843403439371995,3.140740467188509,6
78,1759438707.2857242,-7.219675476911756,-0.08077210139260999,0.03762758508564699,4.172005366330877,5.351086347699301,4.172005366330877,6
79,1759438708.2795224,-7.3692501556799055,-0.6333038509510837,0.5759915076387616,5.539272070163617,4.96364523363383,4.96364523363383,6
80,1759438709.2817295,-7.491200567302392,-1.1857295499639158,0.5644803004207404,6.662647606935205,4.51121708990496,4.51121708990496,6
81,1759438710.2852042,-7.355806866132623,-1.7573073462785531,0.5853608228988707,6.75504917798374,3.7199790560324604,3.7199790560324604,6
82,1759438711.2811975,-7.050733900849625,-2.183785500428386,0.526469097334951,5.931094953436417,2.8046200441968097,2.8046200441968097,6
