step,time_s,rx,ry,speed_mps,d1_lower,d2_upper,dmin,goals
1,1767406353.07046,-6.003174457763041,-3.2762075448964048,nan,2.3732764560494894,3.4397822104302995,2.3732764560494894,1
2,1767406354.0660782,-6.3779918109255425,-3.387970682858815,0.39284677334241225,1.9831478001030594,4.646610865190785,1.9831478001030594,1
3,1767406355.0649824,-6.629046559388812,-3.273507196908254,0.2762200101611194,2.105526854762157,5.608329745992363,2.105526854762157,1
4,1767406356.0633082,-6.491883677706907,-3.4053022294125155,0.19053883323116388,2.8166812416196714,6.479665918700638,2.8166812416196714,1
5,1767406357.0668743,-6.609482111442736,-3.3323454598314988,0.1378992942740537,3.455881379278482,7.311695186219398,3.455881379278482,1
6,1767406358.0624475,-6.557624990104895,-3.176320399077602,0.16514815772694086,4.02119108331004,7.210637889578311,4.02119108331004,1
7,1767406359.063265,-6.527329189107738,-3.4521433875918555,0.27725514658332273,5.0190373585312695,6.620557659224241,5.0190373585312695,1
8,1767406360.065504,-6.517829186938461,-3.5245762526259563,0.07288999974563586,5.786784181328995,5.887094182329543,5.786784181328995,2
9,1767406361.0639322,-6.843796777500706,-3.320277723078435,0.38530392724326457,6.626725256076178,5.1115323041527745,5.1115323041527745,2
10,1767406362.070751,-7.053001759381858,-3.3572010722790258,0.2109996051373545,7.6452959081979674,4.461225192665589,4.461225192665589,2
11,1767406363.0684829,-7.1281199969574365,-3.215340780842077,0.16088621507857806,8.020985394418638,3.675896975809564,3.675896975809564,2
12,1767406364.0691335,-7.263412874771222,-2.7511190632459726,0.483220460571948,7.02478151487658,3.0612788653335508,3.0612788653335508,2
13,1767406365.0702689,-7.252325434767824,-2.7472584131278097,0.011727041122834654,6.130928248840114,2.5176176800485743,2.5176176800485743,2
14,1767406366.064042,-7.23107787362994,-2.638259444443077,0.11174641230816501,5.18672403762203,2.2564645054214285,2.2564645054214285,2
15,1767406367.06294,-7.117608200453428,-2.240369752097589,0.4142095806063196,4.1799997427242275,2.4725926288963587,2.4725926288963587,2
16,1767406368.0635736,-6.8940170273559715,-1.7887014772390422,0.5036622126242609,2.841975134345263,3.2022928575638447,2.841975134345263,2
17,1767406369.062652,-7.035052711895523,-2.096228244762572,0.3386370076542227,2.295997459293856,3.5765342794245902,2.295997459293856,2
18,1767406370.0654156,-7.187861622567337,-2.454504959345508,0.3884298020114273,1.9350952388317004,3.8315116533692,1.9350952388317004,2
19,1767406371.0638902,-7.236880183818244,-2.8500930038483103,0.39922247217404433,1.6608449603288804,3.1079529318577492,1.6608449603288804,2
20,1767406372.0648386,-7.135827853895577,-3.2222041911477666,0.385222907072954,1.500016149654651,2.2133839351294786,1.500016149654651,2
21,1767406373.0633893,-7.056471030565201,-3.4847955036974123,0.27471860069303095,1.5783149387785067,1.6667381429203996,1.5783149387785067,2
22,1767406374.0639045,-7.0912439355795,-3.394056786064343,0.09712336054029153,1.4854449435433779,1.8961049245512496,1.4854449435433779,2
23,1767406375.064012,-7.167988037680946,-3.100795742423486,0.30310384107624916,1.401427352934531,2.3816605939120747,1.401427352934531,2
24,1767406376.0669448,-7.225378689747424,-2.802633455768539,0.3027474732210934,1.694152763859858,2.9132941401792003,1.694152763859858,2
25,1767406377.065075,-7.228748610624803,-2.6353504909319416,0.1676303598229273,2.2047123780022257,3.416697228938242,2.2047123780022257,2
26,1767406378.0638466,-7.19194442212686,-2.244902898906338,0.3926606834418592,2.694792098660728,3.9358144708194907,2.694792098660728,2
27,1767406379.0686224,-7.129795252433261,-1.9336423869153485,0.31589587050415524,3.2212998975337253,4.446578661294308,3.2212998975337253,2
28,1767406380.0686545,-6.943322908490673,-1.4453179691499447,0.5226998030220059,3.6208792333535444,4.781597547322968,3.6208792333535444,2
29,1767406381.065274,-6.639045190902106,-1.0309139381121868,0.5158602434329732,3.970528727991968,5.047835182214782,3.970528727991968,3
30,1767406382.0673614,-6.406020204416567,-0.7312866624452401,0.3787843007055363,4.3543338761765975,5.357104554558208,4.3543338761765975,3
31,1767406383.069241,-6.319688630017297,-0.511556841053223,0.23563827715876975,4.670420806960874,5.63568143725258,4.670420806960874,3
32,1767406384.0653968,-6.362834886517959,-0.26961599371600836,0.24670635992992085,5.138720683064249,5.038012369412368,5.038012369412368,3
33,1767406385.0636206,-6.578353051686423,0.012660166620839783,0.35577685177849466,5.276175745470433,4.597507535071403,4.597507535071403,3
34,1767406386.0637753,-7.05516962405798,0.361898333363671,0.5909426895614476,4.650391780525185,4.413189888875022,4.413189888875022,3
35,1767406387.0637853,-7.394203862440057,0.7203852456627233,0.49340876097226477,4.016433063591754,4.3644093174092315,4.016433063591754,3
