step,time_s,rx,ry,speed_mps,d1_lower,d2_upper,dmin,goals
1,1770581498.27,nan,nan,nan,nan,nan,nan,-1
2,1770581498.28,-0.42048057308681197,-2.4243816490859347,nan,nan,nan,nan,-1
3,1770581498.28,-0.42048057308681197,-2.4243816490859347,0.0,nan,nan,nan,-1
4,1770581498.28,-0.42048057308681197,-2.4243816490859347,0.0,nan,nan,nan,-1
5,1770581498.28,-0.42048057308681197,-2.4243816490859347,0.0,nan,nan,nan,-1
6,1770581499.27,-0.8109067055483331,-2.6140496011548464,0.4369273707709935,nan,nan,nan,-1
7,1770581500.27,-1.333232259693569,-2.7128216470220994,0.5315710441084008,nan,nan,nan,-1
8,1770581501.27,-1.8802907349114868,-2.616303608291765,0.5554698683203835,nan,nan,nan,-1
9,1770581502.27,-2.432878515436914,-2.2860348793609186,0.6443266966668079,nan,nan,nan,-1
10,1770581503.27,-2.875309040572306,-1.8195444813377786,0.6427438585934361,nan,nan,nan,-1
11,1770581504.27,-3.221349476358758,-1.257677563177807,0.6601782088365891,nan,nan,nan,-1
12,1770581505.27,-3.3991482425057273,-0.63583752024336,0.6467485429872109,nan,nan,nan,-1
13,1770581506.27,-3.4536030748256414,-0.07727800835860595,0.5606899389432204,nan,nan,nan,-1
14,1770581507.27,-3.6201568228520506,0.5323306650256862,0.631967770183367,nan,nan,nan,-1
15,1770581508.27,-3.9644447815082553,1.067314536430149,0.6367451567380475,nan,nan,nan,-1
16,1770581509.27,-4.427855891556276,1.402526531379328,0.5719147875340044,nan,nan,nan,-1
17,1770581510.27,-4.990332560232562,1.5652234577294253,0.5855111607991178,nan,nan,nan,-1
18,1770581511.27,-5.587711137808038,1.4458169423817346,0.6087001242675856,nan,nan,nan,-1
19,1770581512.27,-6.163290091089172,1.1319914154743738,0.6555773726317315,nan,nan,nan,-1
20,1770581513.27,-6.463779315800857,0.7943946050861186,0.45236495870920845,nan,nan,nan,-1
21,1770581514.27,-6.534969967938791,0.5835976668199482,0.22229524361696557,nan,nan,nan,-1
22,1770581515.27,-6.423189945975574,0.29045943621427034,0.3137058721190154,nan,nan,nan,0
23,1770581516.27,-6.419821968610137,-0.3731119492993893,0.6639277016562182,nan,nan,nan,0
