step,time_s,robot_x,robot_y,speed_mps,lower_actor_dist,upper_actor_dist,dmin,goals_count
1,3.29,-7.00,0.82,nan,2.79,5.20,2.79,0
2,3.29,-7.00,0.82,nan,2.79,5.20,2.79,0
3,3.29,-7.00,0.82,nan,4.84,5.20,4.84,0
4,4.00,-6.75,0.80,0.36,4.96,3.57,3.57,0
5,5.00,-6.24,0.52,0.58,3.63,3.09,3.09,0
6,6.00,-6.06,0.10,0.46,2.78,3.01,2.78,0
7,7.00,-6.22,-0.18,0.32,2.03,3.42,2.03,0
8,8.00,-6.70,-0.37,0.52,1.56,4.03,1.56,1
9,9.00,-7.33,-0.47,0.63,1.34,4.83,1.34,1
10,10.00,-7.66,-0.44,0.34,1.08,5.66,1.08,1
11,11.00,-7.69,-0.42,0.03,1.29,5.67,1.29,2
12,12.00,-7.47,-0.62,0.30,1.94,4.71,1.94,2
13,13.00,-7.31,-0.98,0.40,1.41,3.73,1.41,2
14,14.00,-7.29,-1.13,0.15,0.39,3.17,0.39,2
15,15.00,-7.37,-0.92,0.22,0.83,3.23,0.83,2
16,16.00,-7.10,-1.33,0.49,1.70,3.06,1.70,2
17,17.00,-7.00,-1.58,0.27,2.85,3.52,2.85,2
18,18.00,-6.98,-1.71,0.13,3.94,4.27,3.94,2
19,19.00,-7.17,-2.33,0.65,5.52,5.66,5.52,2
20,20.00,-7.10,-2.95,0.62,6.95,6.88,6.88,2
21,21.00,-6.76,-3.55,0.68,8.18,7.90,7.90,2
22,22.00,-6.34,-4.10,0.70,7.62,7.09,7.09,2
23,23.00,-5.92,-4.66,0.70,7.09,6.37,6.37,2
24,24.00,-5.58,-5.24,0.67,6.66,5.67,5.67,2
25,25.00,-5.44,-5.56,0.34,6.18,4.97,4.97,2
26,26.00,-5.39,-5.70,0.15,5.66,4.05,4.05,3
27,27.00,-5.57,-5.23,0.50,4.56,2.68,2.68,3
28,28.00,-5.93,-4.64,0.70,3.45,1.30,1.30,3
29,29.00,-6.35,-4.09,0.70,2.50,0.76,0.76,3
30,30.00,-6.83,-3.57,0.70,1.82,1.80,1.80,3
31,31.00,-6.65,-3.65,0.19,2.06,2.51,2.06,3
32,32.00,-6.39,-3.75,0.28,2.68,2.08,2.08,3
33,33.00,-7.01,-3.46,0.69,3.13,1.81,1.81,3
34,34.00,-7.55,-3.07,0.67,3.98,2.31,2.31,3
35,35.00,-7.88,-2.54,0.63,4.76,2.97,2.97,3
36,36.00,-7.95,-1.91,0.64,5.37,3.50,3.50,3
37,37.00,-7.80,-1.24,0.69,5.82,3.81,3.81,3
38,38.00,-7.57,-0.58,0.69,6.19,4.10,4.10,3
39,39.00,-7.37,-0.01,0.60,5.66,4.41,4.41,3
40,40.00,-7.28,0.34,0.36,4.49,4.85,4.49,3
41,41.00,-7.27,0.44,0.10,3.46,5.52,3.46,4
42,42.00,-7.43,-0.23,0.68,2.92,6.28,2.92,4
43,43.00,-7.66,-0.89,0.70,2.50,5.90,2.50,4
44,44.00,-7.85,-1.57,0.71,1.99,5.54,1.99,4
45,45.00,-7.96,-2.26,0.70,1.56,5.11,1.56,4
46,46.00,-8.02,-2.95,0.69,1.16,4.64,1.16,4
47,47.00,-8.05,-3.66,0.71,1.15,4.18,1.15,4
48,48.00,-8.08,-4.23,0.57,2.17,3.59,2.17,4
49,49.00,-8.10,-4.49,0.26,3.26,2.93,2.93,4
50,50.00,-8.06,-4.25,0.24,3.88,2.31,2.31,5
51,51.00,-8.14,-3.93,0.33,4.63,2.40,2.40,5
