step,time_s,robot_x,robot_y,speed_mps,lower_actor_dist,upper_actor_dist,dmin,goals_count
1,3.27,-7.00,0.82,nan,2.06,4.55,2.06,0
2,3.27,-7.00,0.82,nan,2.06,4.55,2.06,0
3,3.27,-7.00,0.82,nan,4.51,4.55,4.51,0
4,4.00,-6.95,0.77,0.10,5.39,4.22,4.22,0
5,5.00,-6.45,0.44,0.59,4.15,3.30,3.30,0
6,6.00,-6.21,-0.07,0.57,3.25,2.68,2.68,0
7,7.00,-6.33,-0.68,0.62,2.75,2.46,2.46,0
8,8.00,-6.57,-1.10,0.48,2.21,2.52,2.21,0
9,9.00,-6.93,-1.41,0.47,1.68,2.83,1.68,0
10,10.00,-7.36,-1.89,0.65,1.33,3.12,1.33,0
11,11.00,-7.65,-2.46,0.64,1.01,3.27,1.01,0
12,12.00,-7.73,-3.12,0.67,0.95,3.30,0.95,0
13,13.00,-7.62,-3.80,0.69,1.51,2.25,1.51,0
14,14.00,-7.45,-4.48,0.70,2.75,1.57,1.57,0
15,15.00,-7.32,-4.92,0.46,3.92,2.13,2.13,0
16,16.00,-7.26,-5.13,0.22,4.93,3.10,3.10,1
17,17.00,-7.23,-5.15,0.03,5.81,4.05,4.05,1
18,18.00,-7.05,-5.24,0.20,6.69,4.97,4.97,1
19,19.00,-6.53,-5.09,0.54,7.30,5.48,5.48,1
20,20.00,-6.11,-4.69,0.58,7.68,5.96,5.96,1
21,21.00,-5.96,-4.18,0.53,8.08,6.46,6.46,1
22,22.00,-6.18,-3.65,0.57,7.44,7.15,7.15,1
23,23.00,-6.55,-3.43,0.43,6.47,7.37,6.47,1
24,24.00,-6.97,-3.58,0.44,5.85,6.77,5.85,1
25,25.00,-7.05,-3.83,0.27,5.16,6.04,5.16,1
26,26.00,-7.00,-3.92,0.10,4.30,5.10,4.30,2
27,27.00,-7.10,-3.92,0.11,3.47,4.23,3.47,2
28,28.00,-7.20,-3.91,0.10,2.67,3.39,2.67,2
29,29.00,-7.71,-3.67,0.56,1.73,2.95,1.73,2
30,30.00,-8.08,-3.37,0.47,0.83,2.78,0.83,2
31,31.00,-8.03,-3.35,0.05,1.38,2.57,1.38,2
32,32.00,-7.80,-2.93,0.48,1.78,3.02,1.78,2
33,33.00,-7.56,-2.63,0.39,2.35,3.80,2.35,2
34,34.00,-7.35,-2.06,0.61,2.75,3.64,2.75,2
35,35.00,-7.25,-1.39,0.68,3.14,3.59,3.14,2
36,36.00,-7.20,-0.69,0.70,3.72,3.67,3.67,2
37,37.00,-7.19,-0.03,0.66,4.34,3.77,3.77,2
38,38.00,-7.27,0.64,0.68,5.06,4.03,4.03,2
39,39.00,-7.51,1.20,0.61,5.53,4.42,4.42,2
40,40.00,-7.70,1.44,0.31,4.76,4.76,4.76,2
41,41.00,-7.76,1.46,0.06,3.99,5.05,3.99,3
42,42.00,-7.77,1.37,0.09,3.28,5.47,3.28,3
43,43.00,-7.76,1.37,0.01,2.71,6.03,2.71,3
44,44.00,-7.70,1.32,0.08,2.37,5.85,2.37,3
45,45.00,-7.58,1.01,0.33,2.18,5.19,2.18,3
46,46.00,-7.42,0.74,0.32,2.39,4.54,2.39,3
47,47.00,-7.23,0.15,0.61,2.66,3.89,2.66,3
48,48.00,-7.37,-0.46,0.64,1.94,3.58,1.94,3
49,49.00,-7.66,-0.85,0.48,0.81,3.54,0.81,3
50,50.00,-7.88,-0.90,0.23,1.27,3.71,1.27,4
51,51.00,-7.92,-0.91,0.04,2.14,3.97,2.14,4
52,52.00,-7.92,-0.83,0.08,3.00,4.50,3.00,4
53,53.00,-8.08,-0.48,0.38,3.99,5.46,3.99,4
54,54.00,-7.93,-0.15,0.36,4.67,6.22,4.67,4
55,55.00,-7.47,0.09,0.52,5.11,5.62,5.11,4
56,56.00,-6.84,0.41,0.70,5.38,5.06,5.06,4
57,57.00,-6.32,0.68,0.59,4.11,4.48,4.11,4
58,58.00,-6.04,0.79,0.30,2.84,3.83,2.84,4
59,59.00,-5.92,0.80,0.12,1.80,3.22,1.80,5
60,60.00,-5.88,0.68,0.13,0.93,2.78,0.93,5
61,61.00,-5.80,0.43,0.26,0.46,2.66,0.46,5
62,62.00,-5.91,0.02,0.43,0.87,3.26,0.87,5
63,63.00,-5.92,0.02,0.01,1.85,4.00,1.85,5
64,64.00,-6.36,-0.31,0.55,2.31,5.38,2.31,5
65,65.00,-6.98,-0.63,0.70,2.37,5.59,2.37,5
66,66.00,-7.42,-0.85,0.49,1.04,5.27,1.04,5
67,67.00,-7.62,-0.92,0.22,0.76,4.75,0.76,6
68,68.00,-7.75,-0.89,0.13,1.62,4.25,1.62,6
69,69.00,-8.03,-0.62,0.39,2.66,4.13,2.66,6
70,70.00,-7.99,-0.27,0.36,3.47,4.10,3.47,6
71,71.00,-7.84,-0.09,0.24,4.18,4.27,4.18,6
72,72.00,-7.35,0.26,0.60,4.54,4.78,4.54,6
73,73.00,-6.98,0.76,0.61,4.95,5.85,4.95,6
74,74.00,-6.86,1.36,0.62,4.69,7.25,4.69,6
