step,time_s,rx,ry,speed_mps,d1_lower,d2_upper,dmin,goals
1,1759435239.1624303,-5.738714819867703,-3.836394641883884,nan,2.735608444751959,5.663370515813581,2.735608444751959,0
2,1759435240.1613963,-5.83392996086249,-3.579091055985731,0.27463969838768276,2.638620831279938,6.414574403051419,2.638620831279938,0
3,1759435241.1584792,-6.154229904515506,-3.1372902388138053,0.547288704803012,2.6771406333954326,7.105307999297003,2.6771406333954326,0
4,1759435242.156163,-6.537624496868496,-2.682957039397387,0.5958631871838862,3.1845619283575104,6.910806252343176,3.1845619283575104,0
5,1759435243.1586857,-6.603614269845177,-2.5870354278249494,0.11613556733256977,4.134657093720185,6.262294001687947,4.134657093720185,0
6,1759435244.1578877,-6.530312260461675,-2.8713240831961016,0.29382129114305733,5.291644821358808,5.62762684228834,5.291644821358808,0
7,1759435245.1607,-6.516041141488066,-3.247865121094964,0.37575461574728614,6.579163348894607,4.907829114574149,4.907829114574149,0
8,1759435246.1601703,-6.712132449340492,-3.385107779773129,0.23947462168702882,7.502362314531869,4.20973094830464,4.20973094830464,0
9,1759435247.1574836,-6.288451080576704,-3.536134552719875,0.45100612028095977,7.898821605141404,2.8812362949615142,2.8812362949615142,0
10,1759435248.1575673,-5.816150888905408,-3.831488440321966,0.5570004141813392,7.06250061885165,1.637199655002615,1.637199655002615,0
11,1759435249.1578944,-5.755285793585741,-3.878055873031057,0.0766109992648669,6.256663556821491,0.5779072983744324,0.5779072983744324,0
12,1759435250.1582067,-5.486384310941643,-4.011578220186471,0.3001332149740604,5.5650558179386,0.5362018463831542,0.5362018463831542,0
13,1759435251.1571004,-5.140459372547148,-3.972234474860469,0.3485407056210898,4.898855400753131,1.5043973345948505,1.5043973345948505,0
14,1759435252.1620984,-5.062936841884213,-3.9528434137610517,0.0795135194001319,4.257186488531031,2.3388873125182843,2.3388873125182843,0
15,1759435253.1582193,-5.025288401962068,-3.7777311251943244,0.17981120338832166,3.6156614641663265,3.0551838121551596,3.0551838121551596,0
16,1759435254.161661,-5.073110730582996,-3.6500556136241986,0.1358702501586975,3.1743115107965054,2.6087433742363197,2.6087433742363197,0
17,1759435255.1588564,-4.989317475671449,-3.8106503089110877,0.18165017571798758,3.230947143512738,1.648438319115805,1.648438319115805,0
18,1759435256.1573982,-4.877431323714534,-3.446519166925134,0.3814893399730949,3.2983648369229925,1.0854807982527728,1.0854807982527728,0
19,1759435257.1648822,-4.929025726816975,-3.6316193155139724,0.1907289025874445,3.653249040428914,0.2499444281768685,0.2499444281768685,0
20,1759435258.1610224,-4.906220730800573,-3.812761475515018,0.18327945491369152,3.503203143617305,1.170699214372488,1.170699214372488,0
21,1759435259.1613085,-5.0224997871526,-3.54990585203363,0.28734412464788917,3.065635252813496,1.7715166252491703,1.7715166252491703,0
22,1759435260.1616778,-4.987961809134873,-3.1395637849512883,0.41164098775269886,2.744184112950329,2.1539051224572834,2.1539051224572834,0
23,1759435261.1636505,-5.01731998493189,-2.7060375767984794,0.43366365391349515,2.535626377614963,2.7373324696643584,2.535626377614963,0
24,1759435262.156515,-5.237336229746339,-2.158072332469069,0.59472920917896,2.515707533913187,3.3667651660185256,2.515707533913187,0
25,1759435263.1648383,-5.433130130594414,-1.602578799380246,0.584127290071202,2.8908317435749953,3.9471622999841847,2.8908317435749953,0
26,1759435264.1603909,-5.3168014922873805,-1.6471858605699163,0.12514446366856474,3.7801973226239034,4.659700170280441,3.7801973226239034,0
27,1759435265.162486,-5.000592634640134,-1.6934070995955894,0.31890098611829093,4.565078303431022,5.362945792936546,4.565078303431022,0
28,1759435266.1606157,-5.083412064427807,-1.8922645828461149,0.21581804817433034,5.488952299283537,5.2359515529525975,5.2359515529525975,0
29,1759435267.1573524,-5.253916412826497,-2.469626016593109,0.6039825298992876,6.374793065633965,5.06777940720812,5.06777940720812,0
30,1759435268.1641958,-5.281583831498916,-3.0662450824848935,0.5932007735575765,6.096114221835757,4.689487099107085,4.689487099107085,0
31,1759435269.158314,-5.281109717902324,-3.279077818172181,0.2140925101657597,5.6459420122858734,4.031737557688612,4.031737557688612,0
32,1759435270.1624353,-5.125375001019878,-3.4878988965178115,0.2594294589009719,5.016942962194162,3.084180476292207,3.084180476292207,0
33,1759435271.1660979,-5.06474449012345,-3.4874070557926484,0.060411244403200746,4.310378381334281,1.8558582556269911,1.8558582556269911,0
34,1759435272.1571202,-5.259537720237367,-3.64232328701837,0.25113903196503234,3.8447999145217424,1.008882835059202,1.008882835059202,0
35,1759435273.156491,-5.353989053091171,-4.027356575044125,0.3966984429416719,3.680563318276051,0.28677119044624827,0.28677119044624827,0
