step,time_s,rx,ry,speed_mps,d1_lower,d2_upper,dmin,goals
1,1758799717.9951682,-9.619598053487971,0.19264898711568496,nan,6.5649517241594255,6.125505672286712,6.125505672286712,0
2,1758799718.9997244,-9.615628926287664,0.1994876351006614,0.007871164628886177,5.869718870682405,6.443550489742502,5.869718870682405,0
3,1758799719.998563,-9.528499386005548,0.3334857632363365,0.16002029913636748,5.076304824724803,6.747816518303447,5.076304824724803,0
4,1758799720.9988246,-9.414057850291352,0.3796592165993621,0.12337297090550421,4.328373032613383,7.061050941017859,4.328373032613383,0
5,1758799721.9970176,-9.38132635759739,0.3780865597082152,0.032828572192042764,3.7807590402158495,7.508758309816721,3.7807590402158495,0
6,1758799722.9992297,-9.372838768116788,0.37585886995168005,0.008755697612124184,3.3176337157010716,8.039898604067218,3.3176337157010716,0
7,1758799724.0041351,-9.413696276041096,0.3834730740111996,0.04135806347289215,3.019968354827724,7.8627752749775945,3.019968354827724,0
8,1758799724.9963136,-9.398356537869464,0.39332543056665625,0.018374916213923547,2.8623708089796422,7.452191786075354,2.8623708089796422,0
9,1758799725.9960394,-9.391783904071682,0.39350497622950636,0.0065768889392875006,2.890525366306243,7.029374011550225,2.890525366306243,0
10,1758799726.9974139,-9.391971396318453,0.39350026172723046,0.00018729407806104958,3.1262468919062485,6.577882741657856,3.1262468919062485,0
11,1758799728.0017557,-9.392251243870867,0.3934758665067417,0.0002796944565243479,3.072893801999169,6.185105264914467,3.072893801999169,0
12,1758799728.997165,-9.390993134828822,0.39331587274533597,0.0012740904765290587,2.9035739648817867,5.867921602533863,2.9035739648817867,0
13,1758799729.9960828,-9.39109453424261,0.39340980618684435,0.00013837178419852774,2.85495548942839,5.684050456156843,2.85495548942839,0
14,1758799730.9954765,-9.391093575969267,0.3934094471530493,1.0239453331918664e-06,3.0263576426996863,5.645612484122294,3.0263576426996863,0
15,1758799731.9997015,-9.391085198896787,0.39340845808254515,8.399770395162584e-06,3.4147309521418827,5.754269712573526,3.4147309521418827,0
16,1758799732.9960341,-9.39108517952762,0.39340796441257914,4.958683200188206e-07,4.0493136282720075,5.993132538008325,4.0493136282720075,0
17,1758799733.9955714,-9.391084454316694,0.3934075367122224,8.423271428318283e-07,4.711683084068569,6.314835986331604,4.711683084068569,0
18,1758799735.002245,-9.391082590394765,0.3934067769971516,1.999458478467976e-06,5.540460587165182,6.672267815255259,5.540460587165182,0
19,1758799736.0046825,-9.3910831206201,0.3934065508021427,5.75055609910608e-07,6.313547614259005,7.022852923661237,6.313547614259005,0
20,1758799736.999955,-9.391082172527506,0.3934062140275669,1.0109087298776804e-06,6.95722395928435,7.163085726455532,6.95722395928435,0
21,1758799738.0010557,-9.39108173547957,0.3934061227218922,4.459926823108437e-07,7.496878875852837,6.730835771958695,6.730835771958695,0
22,1758799739.0017061,-9.391080013823679,0.39340619461524085,1.7220362857468544e-06,7.490315931728319,6.3442320033652795,6.3442320033652795,0
23,1758799740.0032704,-9.391078520770835,0.3934054010918688,1.6881833350605595e-06,6.834601213822402,6.03421922649289,6.03421922649289,0
24,1758799741.0015879,-9.391078634383037,0.3934042743279114,1.134385888480675e-06,6.084880173294826,5.790721508082909,5.790721508082909,0
25,1758799741.9953115,-9.391077009556879,0.3934049809049181,1.7830008942390428e-06,5.404247863091546,5.660915069905196,5.404247863091546,0
26,1758799742.997383,-9.391077055185848,0.39340321160025965,1.766233964283514e-06,4.776794630542933,5.642022917411169,4.776794630542933,0
27,1758799744.0035932,-9.391076752188104,0.3934030212560846,3.5561632189310455e-07,4.214570283564672,5.716653488868909,4.214570283564672,0
28,1758799744.9991212,-9.391076356876255,0.39340289000985174,4.1840084460581917e-07,3.6735091119477747,5.897928678990837,3.6735091119477747,0
29,1758799746.000243,-9.391075862531379,0.3934028037696187,5.012486743838115e-07,3.247392653078852,6.160097151189566,3.247392653078852,0
30,1758799746.9985063,-9.391075862531379,0.3934028037696187,0.0,2.9658852201070895,6.496093521237919,2.9658852201070895,0
31,1758799747.9997277,-9.391075370410796,0.39340271618418965,4.992440678737923e-07,2.8480159214234653,6.927638927526274,2.8480159214234653,0
32,1758799748.9970977,-9.391074855495647,0.3934026392184622,5.220083889938071e-07,2.94569033088198,7.426120686581331,2.94569033088198,0
33,1758799749.9979703,-9.391193093787177,0.3934132993529454,0.000118614363129532,3.1830662137975794,7.9242636228734105,3.1830662137975794,0
34,1758799750.9991708,-9.391192647936496,0.39341283533195764,6.427331450089749e-07,3.0017276258058745,7.940867826090132,3.0017276258058745,0
35,1758799752.000437,-9.391176506374592,0.39341084610839966,1.624310444128624e-05,2.8607691974966665,7.552301197964253,2.8607691974966665,0
36,1758799753.0004854,-9.391308658215484,0.3934677108572957,0.00014386002004764778,2.893798596146184,7.100092988290158,2.893798596146184,0
37,1758799754.0015936,-9.391266309511378,0.3934292524860975,5.7142087939056396e-05,3.1914148526727044,6.6128155684986005,3.1914148526727044,0
38,1758799754.9998488,-9.391331457254486,0.393425812367324,6.535253105401208e-05,3.7318942937521933,6.218325332417191,3.7318942937521933,0
39,1758799756.0040948,-9.39140187405793,0.39345442743389925,7.568750063736405e-05,4.4183037640336975,5.866295683903409,4.4183037640336975,0
40,1758799756.9979982,-9.391516936484592,0.39347176815158985,0.0001170755371990863,5.214763136344206,5.678707674404297,5.214763136344206,0
41,1758799758.0000823,-9.392603448957162,0.39350838791773907,0.0010848685286288307,5.965766202105225,5.649491625928029,5.649491625928029,0
42,1758799758.998824,-9.393188698301136,0.39351545266714616,0.0005860294267109545,6.6966461698967485,5.773145519293103,5.773145519293103,0
