environment,metric,condition_a,condition_b,mean_a,mean_b,mean_diff,ci_low,ci_high,t_stat,p_value,p_corrected,cohen_d,significant
construct,risk_secs_per_goal,With Attention,No Attention,0.050000,0.130769,-0.080769,-0.175597,0.014059,47.500000,0.255230,0.262502,-0.684148,
construct,risk_secs_per_goal,With Attention,No Social Nav,0.050000,0.260714,-0.210714,-0.298680,-0.122749,37.500000,0.000560,0.002238,-1.139141,**
construct,risk_secs_per_goal,With Attention,Nav2 (w/reverse),0.050000,0.351613,-0.301613,-0.420288,-0.182937,57.500000,0.002673,0.008019,-1.098070,**
construct,risk_secs_per_goal,Active Vision,With Attention,0.020000,0.050000,-0.030000,-0.071940,0.011940,52.500000,0.131251,0.262502,-0.649961,
construct,risk_secs_per_goal,Active Vision,No Social Nav,0.020000,0.260714,-0.240714,-0.325100,-0.156329,40.500000,0.000008,0.000050,-1.389321,***
construct,risk_secs_per_goal,Active Vision,Nav2 (w/reverse),0.020000,0.351613,-0.331613,-0.447740,-0.215486,66.000000,0.000051,0.000256,-1.282565,***
construct,secs_per_goal,With Attention,No Attention,52.620000,40.146154,12.473846,-17.769678,42.717370,76.000000,0.514825,0.691186,0.366374,
construct,secs_per_goal,With Attention,No Social Nav,52.620000,19.185714,33.434286,8.063869,58.804702,210.500000,0.020288,0.060863,1.687738,
construct,secs_per_goal,With Attention,Nav2 (w/reverse),52.620000,17.109677,35.510323,10.240180,60.780466,238.000000,0.012248,0.048990,1.975700,*
construct,secs_per_goal,Active Vision,With Attention,34.620000,52.620000,-18.000000,-44.382980,8.382980,57.500000,0.345593,0.691186,-0.679366,
construct,secs_per_goal,Active Vision,No Social Nav,34.620000,19.185714,15.434286,4.433679,26.434893,335.500000,0.001444,0.007218,1.110363,**
construct,secs_per_goal,Active Vision,Nav2 (w/reverse),34.620000,17.109677,17.510323,6.860321,28.160324,392.000000,0.000194,0.001167,1.452689,**
