step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1766594178.9164498,-20.744587496514228,-20.129972533502293,nan,3.80391757313516,3.7814184491409066,3.1714651859221084,3.1714651859221084,0
2,1766594179.9195244,-20.98914381257663,-20.534753222536942,0.47147236807530346,2.9945764463919637,2.6551897862825706,4.186175509120427,2.6551897862825706,0
3,1766594180.9129887,-20.90664974875299,-20.333261234113365,0.21915763071308741,2.573234596242233,2.1525404792352587,5.209996109511527,2.1525404792352587,0
4,1766594181.9129064,-21.329671224946168,-20.504303159457695,0.4563296669313262,2.828532796700903,1.5423472023864302,6.4970280357547425,1.5423472023864302,0
5,1766594182.9159894,-21.76942057415112,-20.74144499274227,0.4980800154211312,3.569304332683904,1.8617897045566287,7.849542480809766,1.8617897045566287,0
6,1766594183.914848,-22.199287097138694,-21.090556738400043,0.5544054802244004,4.650380388732605,2.8024921511595706,8.89236043012399,2.8024921511595706,0
7,1766594184.915556,-22.6638023376259,-21.42219578627694,0.5703491645486678,5.880194983563818,3.980524027950485,8.320651502069765,3.980524027950485,0
8,1766594185.9127116,-23.041159075254114,-21.837793847337853,0.5629566103157435,7.172970082689552,5.113340234065051,7.628151370606573,5.113340234065051,0
9,1766594186.913017,-23.28788260298745,-22.342874796900777,0.5619487023079123,8.526696849203926,6.164749650942391,6.894323916538591,6.164749650942391,0
10,1766594187.916746,-23.443170818602614,-22.901566227561215,0.5777169155290895,9.967521552151997,7.141405788172328,6.161895408266748,6.161895408266748,0
11,1766594188.9178152,-23.61863077311653,-23.237238730487867,0.3783594928819187,11.213492089310954,7.2180496391115625,5.608349647226524,5.608349647226524,0
12,1766594189.9197445,-23.958870830025194,-23.585366573949855,0.4858442335970111,12.578378293389262,6.724554626728807,5.279068348367525,5.279068348367525,0
13,1766594190.912483,-24.32785050377894,-23.867160956780033,0.46767403538576663,13.898111106485276,6.008001731897954,5.105047842452934,5.105047842452934,1
14,1766594191.9179258,-24.431101217310395,-23.9163927472694,0.11376818365733134,14.381026739035436,4.946531251218317,4.7222112108561705,4.7222112108561705,1
15,1766594192.912454,-24.04636873325989,-23.41671134221316,0.6341048562442573,12.818037261919429,3.42096604898586,3.7243653880114778,3.42096604898586,1
16,1766594193.9166577,-23.823318993385744,-22.898466832089426,0.561844252580562,11.393644802977756,2.2542447756436865,3.045661975498498,2.2542447756436865,1
17,1766594194.9139187,-23.883806226529103,-22.616976139479576,0.2887069149308677,10.293846717341001,1.6529768148774109,2.9701080481422424,1.6529768148774109,1
18,1766594195.9126775,-23.619382442627465,-22.293863831176786,0.41803713526392344,9.038380445478584,1.8311952288981572,3.160229534369215,1.8311952288981572,1
19,1766594196.915595,-23.437253535060773,-21.647360277497146,0.6697140024554482,7.625607013893282,2.834507209678822,3.4729265041733415,2.834507209678822,1
20,1766594197.9147646,-23.1188196432919,-21.069512975088248,0.6603268275499542,6.275732833602968,3.636250156293846,3.920606472280764,3.636250156293846,1
21,1766594198.9178927,-22.748871446371098,-20.5052206949163,0.6726458425626665,5.019743371785104,3.7585773798292537,2.927596369207992,2.927596369207992,1
22,1766594199.9175458,-22.26676621121895,-20.02461088411231,0.6809793897072599,3.9624216810978767,3.9806240224664804,2.251060161942906,2.251060161942906,1
23,1766594200.9201934,-21.781529549954133,-19.553774412857745,0.6743370735085747,3.3219141238788694,4.360088930806112,1.7399240557139997,1.7399240557139997,1
24,1766594201.9151726,-21.283561490650502,-19.091479594834233,0.6829055453231516,3.3233002529096494,4.824398561597372,1.6468140562703881,1.6468140562703881,1
25,1766594202.9187136,-20.733865717428095,-19.06126289637916,0.5485831217463158,3.5939914921970795,4.8723978435389395,1.6556014459193924,1.6556014459193924,1
26,1766594203.9132862,-20.084983099551224,-19.15966733220552,0.6598832487491963,4.028626257119964,4.719427856785813,1.727050854457978,1.727050854457978,1
27,1766594204.9151437,-19.465230551313653,-19.3172996749793,0.6382994336099849,4.628239054418486,4.592162626472214,1.8230604972511986,1.8230604972511986,1
28,1766594205.9145675,-18.814762990402578,-19.567740086278096,0.6974158419089899,5.318148676102754,4.434802668505099,1.882180196426612,1.882180196426612,1
29,1766594206.9129918,-18.21055411883064,-19.815459158175013,0.6540490428818009,6.097572262559766,4.2708510175127685,1.9773699465971764,1.9773699465971764,1
30,1766594207.9172819,-17.566607468995993,-20.003620940355887,0.6680083389487617,6.506004992485258,4.216346384976729,2.1916186624308778,2.1916186624308778,1
31,1766594208.9158998,-16.987783060365835,-20.296842336012794,0.6497558652002818,5.41657224774308,4.024704350168146,2.3512595617276735,2.3512595617276735,1
32,1766594209.9123714,-16.551299241275686,-20.648443107006674,0.5624676159170858,4.365022469405211,3.723693650914128,2.599470993249682,2.599470993249682,1
33,1766594210.9195616,-16.397831074689105,-21.100258422449464,0.4737618142772856,3.302546545400313,3.178416524576014,2.9893196740855243,2.9893196740855243,1
34,1766594211.9124374,-16.37130387299223,-21.546068712990838,0.4498033039470202,2.434005841838976,2.6983789668747242,3.213825008111573,2.434005841838976,1
35,1766594212.914435,-16.370988743388146,-21.63491402804804,0.08866876066417309,2.1973145433971872,2.8048772751809734,2.202735627435838,2.1973145433971872,1
36,1766594213.9201503,-16.315232426906334,-22.12708572976172,0.4925049985813913,2.7474946481514504,2.490234968610392,0.9198649490067341,0.9198649490067341,1
37,1766594214.915076,-16.312502679257925,-22.677083402975168,0.5528095481370494,3.8065141678733463,2.0709505102003734,0.4096301413742286,0.4096301413742286,1
38,1766594215.9202871,-16.270400983399288,-23.028203733297964,0.35180217926287727,4.96402336508539,2.3872757562172704,1.5567879734171624,1.5567879734171624,2
39,1766594216.913233,-16.202549080887074,-23.413070574605527,0.39357854724753005,6.280665029705446,3.25001432173882,2.811510987692764,2.811510987692764,2
40,1766594217.9149559,-16.328853524665167,-23.669348818576147,0.28522062513511903,7.429569901292814,4.285361738093698,3.7624311576038822,3.7624311576038822,2
41,1766594218.9143426,-16.761624027874877,-23.80476935263279,0.45374161178788375,8.380985215652775,5.020619427454934,4.473769555723769,4.473769555723769,2
42,1766594219.9138188,-17.154955834129886,-23.52614251640696,0.4822721430985223,9.05056439853394,5.875038381658786,4.927093705938247,4.927093705938247,2
43,1766594220.9198823,-17.57934175697936,-23.16692257144525,0.5526547371014556,9.635768729465255,6.551515708996498,5.296766963805852,5.296766963805852,2
44,1766594221.9123893,-17.870759853238674,-22.801863182786477,0.470637687453005,10.209743424525705,7.1848669591940375,5.860144880352478,5.860144880352478,3
45,1766594222.9128149,-17.801174999453153,-22.317731173359455,0.4888991370580371,10.745979832751946,7.935692879017749,6.68032777130137,6.68032777130137,3
46,1766594223.917117,-17.27184156277723,-22.097472063425478,0.5708745350742072,11.15099681617062,8.507633844391385,8.081116609985424,8.081116609985424,3
47,1766594224.9184034,-16.624879762558574,-21.91648632464287,0.6709371203673768,10.064759028064614,9.214715670638517,9.575011338658335,9.214715670638517,3
48,1766594225.9121594,-16.079098515239373,-22.002986142079187,0.5560653711141528,9.308614046754547,9.927500292336896,10.602848722376255,9.308614046754547,3
49,1766594226.9159245,-15.606807989831681,-21.99626358180571,0.47056663393039544,8.462703483983224,10.63382160783082,10.067913867439358,8.462703483983224,3
50,1766594227.917886,-15.086246515123394,-21.619196348830645,0.6415199812805592,7.404339694248879,10.66213188675983,9.468993225875462,7.404339694248879,3
