step,time_s,robot_x,robot_y,speed_mps,diag_actor_dist,linear_actor_dist,triangle_actor_dist,dmin,goals_count
1,6.03,-19.51,-22.08,nan,2.51,1.13,4.13,1.13,0
2,6.03,-19.52,-22.08,nan,2.51,1.13,4.13,1.13,0
3,6.03,-19.52,-22.08,nan,2.51,4.28,4.13,2.51,0
4,6.03,-19.52,-22.08,nan,6.54,4.28,4.13,4.13,0
5,6.03,-19.52,-22.08,nan,6.54,4.28,0.90,0.90,0
6,6.03,-19.52,-22.08,nan,6.54,4.28,0.90,0.90,0
7,7.00,-19.53,-22.07,0.02,7.61,3.04,1.64,1.64,0
8,8.00,-19.56,-22.05,0.04,6.56,2.19,2.53,2.19,0
9,9.00,-19.61,-22.02,0.06,5.54,1.43,3.56,1.43,0
10,10.00,-19.64,-22.00,0.04,4.53,1.05,4.29,1.05,0
11,11.01,-19.67,-21.98,0.03,3.52,1.43,3.77,1.43,0
12,12.00,-19.70,-21.74,0.25,2.40,2.02,3.32,2.02,0
13,13.00,-19.93,-21.43,0.38,1.08,2.74,3.14,1.08,0
14,14.00,-19.94,-21.45,0.02,0.37,3.66,2.89,0.37,0
15,15.01,-20.08,-21.41,0.14,1.18,4.61,3.13,1.18,0
16,16.00,-20.24,-21.39,0.17,2.30,5.58,3.68,2.30,0
17,17.00,-20.28,-21.38,0.04,3.32,6.57,4.44,3.32,0
18,18.00,-20.30,-21.37,0.02,4.35,7.52,5.16,4.35,0
19,19.00,-20.27,-21.36,0.03,5.31,8.48,5.79,5.31,0
20,20.00,-20.46,-21.39,0.19,6.47,9.52,5.53,5.53,1
21,21.00,-20.72,-21.51,0.29,7.31,10.71,5.14,5.14,1
22,22.00,-21.24,-21.75,0.58,6.75,10.88,4.72,4.72,1
23,23.00,-21.87,-21.89,0.64,6.35,10.25,4.49,4.49,1
24,24.00,-22.09,-21.95,0.22,5.61,9.44,4.23,4.23,1
25,25.00,-21.97,-21.96,0.11,4.55,8.49,3.35,3.35,1
26,26.00,-21.85,-21.97,0.12,3.52,7.54,2.48,2.48,1
27,27.00,-21.86,-21.96,0.01,2.65,6.65,1.48,1.48,1
28,28.00,-22.07,-22.01,0.22,2.16,5.96,0.35,0.35,1
29,29.00,-22.37,-22.09,0.31,1.92,5.47,0.99,0.99,1
30,30.00,-23.01,-22.30,0.67,2.21,5.44,2.54,2.21,1
31,31.00,-23.45,-22.49,0.47,2.57,5.40,3.90,2.57,1
32,32.00,-23.63,-22.59,0.20,2.98,5.24,5.00,2.98,1
33,33.00,-23.72,-22.65,0.11,3.56,5.12,6.03,3.56,2
34,34.00,-23.70,-22.65,0.03,4.28,5.05,6.95,4.28,2
35,35.00,-23.67,-22.65,0.03,4.60,5.15,7.71,4.60,2
36,36.00,-23.66,-22.63,0.02,3.82,5.45,7.02,3.82,2
37,37.00,-23.64,-22.62,0.02,3.19,5.92,6.12,3.19,2
38,38.01,-23.63,-22.60,0.02,2.79,5.78,5.04,2.79,2
39,39.00,-23.62,-22.60,0.01,2.71,5.34,3.89,2.71,2
40,40.00,-23.61,-22.59,0.01,2.98,5.06,2.76,2.76,2
41,41.00,-23.60,-22.58,0.01,3.53,4.96,1.86,1.86,2
42,42.00,-23.59,-22.58,0.01,4.18,5.02,1.48,1.48,2
43,43.00,-23.58,-22.65,0.07,5.01,5.29,1.76,1.76,2
44,44.00,-23.57,-22.64,0.01,5.86,5.69,2.27,2.27,2
45,45.00,-23.56,-22.63,0.01,6.74,6.22,2.21,2.21,2
46,46.00,-23.55,-22.64,0.02,7.64,6.88,2.31,2.31,2
47,47.00,-23.55,-22.61,0.03,8.59,7.60,2.76,2.76,2
48,48.01,-23.53,-22.59,0.03,9.53,8.23,3.41,3.41,2
49,49.00,-23.50,-22.68,0.09,9.64,9.22,3.62,3.62,2
50,50.00,-23.47,-22.75,0.08,8.65,10.15,2.80,2.80,2
51,51.01,-23.43,-22.81,0.06,7.68,11.05,2.10,2.10,2
52,52.00,-23.42,-22.82,0.02,6.76,11.97,1.57,1.57,2
53,53.00,-23.43,-22.82,0.00,5.86,12.90,1.56,1.56,2
54,54.00,-23.26,-22.97,0.23,4.91,12.67,2.01,2.01,2
55,55.00,-22.99,-23.14,0.31,4.00,11.82,2.49,2.49,2
56,56.00,-23.03,-23.08,0.07,3.43,10.84,3.39,3.39,2
57,57.00,-23.06,-23.03,0.06,3.02,9.94,4.35,3.02,2
58,58.01,-23.04,-23.07,0.04,2.96,9.02,5.24,2.96,2
59,59.00,-23.05,-23.05,0.02,3.18,8.17,6.21,3.18,2
60,60.00,-23.06,-23.04,0.02,3.67,7.35,7.05,3.67,2
61,61.01,-23.10,-22.94,0.10,4.23,6.55,6.46,4.23,2
62,62.00,-23.11,-22.92,0.02,4.99,5.88,5.61,4.99,2
63,63.00,-23.11,-22.87,0.06,4.90,5.24,4.52,4.52,2
64,64.00,-22.84,-22.54,0.42,3.95,4.45,3.28,3.28,2
65,65.00,-22.29,-22.32,0.59,3.29,3.68,2.15,2.15,2
66,66.00,-21.91,-22.34,0.38,2.75,3.37,1.92,1.92,2
67,67.00,-21.55,-22.49,0.40,2.35,3.30,2.66,2.35,2
68,68.00,-21.44,-22.61,0.16,2.05,3.71,3.51,2.05,2
69,69.00,-21.56,-22.60,0.12,2.08,4.50,4.07,2.08,2
70,70.00,-21.15,-22.75,0.44,2.28,3.88,4.56,2.28,2
71,71.00,-20.51,-23.00,0.69,2.47,2.55,5.35,2.47,2
72,72.00,-19.87,-23.22,0.67,2.65,1.34,6.35,1.34,2
73,73.00,-19.53,-23.31,0.36,3.09,0.93,7.17,0.93,2
74,74.00,-19.51,-23.31,0.02,3.89,1.59,7.25,1.59,2
75,75.00,-19.50,-23.29,0.02,4.76,2.47,6.26,2.47,2
76,76.00,-19.47,-23.28,0.04,5.64,3.39,5.31,3.39,2
77,77.00,-19.37,-23.20,0.12,5.30,4.29,4.35,4.29,2
78,78.00,-19.09,-23.08,0.31,4.07,5.06,3.59,3.59,2
79,79.00,-18.85,-22.98,0.26,2.91,5.95,2.76,2.76,2
80,80.00,-18.74,-22.95,0.12,2.00,6.87,1.87,1.87,2
81,81.00,-18.73,-22.95,0.01,1.44,7.91,0.95,0.95,2
82,82.00,-18.51,-22.97,0.21,1.51,8.92,0.52,0.52,2
83,83.00,-18.60,-22.94,0.09,2.10,9.88,1.09,1.09,2
84,84.00,-18.72,-22.89,0.13,2.80,10.87,2.19,2.19,2
85,85.00,-18.74,-22.87,0.03,3.70,11.83,3.09,3.09,2
86,86.00,-18.68,-22.86,0.07,4.71,11.41,2.54,2.54,2
87,87.00,-18.62,-22.86,0.06,5.70,10.41,1.88,1.88,2
88,88.00,-18.63,-22.86,0.01,6.62,9.41,1.59,1.59,2
89,89.00,-18.62,-22.85,0.02,7.62,8.41,2.04,2.04,2
90,90.00,-18.61,-22.85,0.01,8.63,7.43,2.98,2.98,2
91,91.00,-18.59,-22.85,0.02,8.17,6.40,4.13,4.13,2
92,92.00,-18.41,-22.95,0.20,7.36,5.50,5.38,5.38,2
93,93.01,-18.24,-23.19,0.29,6.66,4.78,6.43,4.78,2
94,94.00,-18.09,-23.39,0.25,5.94,3.97,7.31,3.97,2
95,95.00,-18.05,-23.45,0.07,5.07,3.07,7.63,3.07,2
96,96.00,-18.05,-23.45,0.01,4.14,2.11,7.84,2.11,2
97,97.00,-18.05,-23.45,0.00,3.24,1.22,8.14,1.22,2
98,98.00,-18.04,-23.46,0.01,2.47,0.66,8.56,0.66,2
99,99.00,-17.97,-23.57,0.14,1.95,1.15,8.77,1.15,2
100,100.00,-17.98,-23.57,0.01,1.70,1.98,7.80,1.70,2
101,101.00,-18.01,-23.56,0.03,2.01,2.94,6.78,2.01,2
102,102.00,-18.01,-23.57,0.01,2.67,2.49,5.80,2.49,2
103,103.00,-18.01,-23.57,0.00,3.50,1.55,4.79,1.55,2
104,104.00,-18.02,-23.55,0.02,4.41,0.83,3.82,0.83,2
