step,time_s,robot_x,robot_y,speed_mps,diag_actor_dist,linear_actor_dist,triangle_actor_dist,dmin,goals_count
1,5.98,-19.51,-22.08,nan,5.45,1.26,1.54,1.26,0
2,5.98,-19.52,-22.08,nan,5.45,1.26,1.55,1.26,0
3,5.98,-19.52,-22.08,nan,5.45,4.92,1.55,1.55,0
4,5.98,-19.52,-22.08,nan,1.60,4.92,1.55,1.55,0
5,5.98,-19.52,-22.08,nan,1.60,4.92,3.63,1.60,0
6,6.00,-19.52,-22.08,0.00,1.34,5.23,3.42,1.34,0
7,7.00,-19.65,-22.08,0.14,0.89,6.23,2.84,0.89,0
8,8.00,-19.80,-22.05,0.15,1.11,7.24,2.39,1.11,0
9,9.00,-19.88,-22.04,0.09,1.81,8.21,2.35,1.81,0
10,10.00,-19.81,-21.95,0.12,2.74,9.09,2.99,2.74,0
11,11.01,-19.74,-21.68,0.27,3.60,9.84,4.07,3.60,0
12,12.00,-19.68,-21.07,0.62,4.42,10.21,5.30,4.42,0
13,13.00,-19.85,-20.48,0.62,5.04,9.17,6.16,5.04,0
14,14.00,-20.34,-20.06,0.64,5.48,7.87,6.48,5.48,0
15,15.00,-20.97,-19.75,0.70,5.37,6.83,5.71,5.37,0
16,16.00,-21.59,-19.59,0.65,3.75,6.10,4.84,3.75,0
17,17.00,-22.27,-19.54,0.68,2.09,5.69,3.92,2.09,0
18,18.02,-22.77,-19.59,0.49,0.73,5.41,3.30,0.73,0
19,19.00,-22.71,-19.59,0.06,0.57,4.82,2.93,0.57,0
20,20.00,-22.74,-19.59,0.03,1.42,4.46,2.20,1.42,0
21,21.02,-22.80,-19.60,0.07,2.46,4.35,1.71,1.71,0
22,22.00,-22.90,-19.63,0.11,3.51,4.48,1.77,1.77,0
23,23.00,-22.95,-19.65,0.05,4.49,4.75,2.36,2.36,0
24,24.00,-23.01,-19.69,0.07,5.56,5.19,3.19,3.19,0
25,25.00,-23.03,-19.71,0.02,6.57,5.69,4.05,4.05,0
26,26.00,-23.07,-19.74,0.05,7.59,6.33,5.04,5.04,1
27,27.00,-23.48,-20.11,0.56,8.85,7.01,6.09,6.09,1
28,28.00,-23.85,-20.67,0.67,10.06,7.51,7.07,7.07,1
29,29.00,-24.21,-21.25,0.69,10.63,6.99,8.15,6.99,1
30,30.00,-24.60,-21.84,0.71,9.95,6.49,8.68,6.49,1
31,31.01,-25.04,-22.37,0.68,9.38,6.47,8.23,6.47,1
32,32.00,-25.50,-22.81,0.64,8.91,6.84,7.63,6.84,1
33,33.00,-25.83,-23.09,0.43,8.42,7.34,6.74,6.74,1
34,34.00,-26.01,-23.21,0.21,7.73,7.83,5.64,5.64,1
35,35.00,-26.10,-23.26,0.10,7.00,8.32,4.49,4.49,2
36,36.00,-26.41,-23.43,0.36,6.60,9.16,3.56,3.56,2
37,37.00,-26.43,-23.44,0.02,5.92,9.76,2.47,2.47,2
38,38.01,-26.38,-23.37,0.09,5.22,10.30,1.56,1.56,2
39,39.00,-26.45,-22.89,0.49,4.46,10.69,1.36,1.36,2
40,40.00,-26.25,-22.28,0.64,3.48,10.86,0.85,0.85,2
41,41.00,-25.92,-21.67,0.70,2.61,10.93,0.28,0.28,2
42,42.00,-25.51,-21.11,0.69,2.26,10.99,0.45,0.45,2
43,43.00,-25.02,-20.67,0.66,2.09,11.14,1.23,1.23,2
44,44.02,-24.44,-20.32,0.67,1.30,11.37,1.24,1.24,2
