step,time_s,robot_x,robot_y,speed_mps,diag_actor_dist,linear_actor_dist,triangle_actor_dist,dmin,goals_count
1,6.17,-18.95,-22.18,nan,5.75,7.57,3.27,3.27,0
2,6.17,-18.38,-22.91,nan,6.59,8.27,3.98,3.98,0
3,6.17,-18.38,-22.91,nan,6.59,4.13,3.98,3.98,0
4,6.17,-18.38,-22.91,nan,7.48,4.13,3.98,3.98,0
5,6.17,-18.38,-22.91,nan,7.48,4.13,0.66,0.66,0
6,6.17,-18.38,-22.91,nan,7.48,4.13,0.66,0.66,0
7,7.00,-18.38,-22.94,0.04,6.43,3.03,1.47,1.47,0
8,8.00,-18.41,-22.40,0.54,5.13,1.51,2.77,1.51,0
9,9.00,-18.55,-21.94,0.48,3.84,0.09,3.40,0.09,0
10,10.00,-18.53,-21.88,0.06,2.85,0.99,2.96,0.99,0
11,11.02,-18.72,-21.96,0.20,1.72,1.90,2.54,1.72,0
12,12.01,-18.98,-22.14,0.32,0.85,2.66,2.29,0.85,0
13,13.00,-19.14,-22.11,0.17,0.99,3.70,2.66,0.99,0
14,14.01,-19.76,-22.06,0.62,2.39,4.43,3.06,2.39,0
15,15.00,-20.31,-21.81,0.61,3.95,3.86,3.64,3.64,0
16,16.00,-20.46,-21.62,0.24,5.09,3.24,4.45,3.24,0
17,17.00,-20.42,-21.64,0.04,6.03,2.51,5.18,2.51,0
18,18.00,-20.48,-21.66,0.07,7.07,2.03,5.53,2.03,0
19,19.00,-20.52,-21.63,0.05,6.40,1.96,5.37,1.96,0
20,20.00,-20.52,-21.62,0.01,5.39,2.30,5.33,2.30,0
21,21.00,-20.56,-21.55,0.08,4.49,2.85,5.46,2.85,0
22,22.00,-20.60,-21.50,0.07,3.57,3.63,5.71,3.57,0
23,23.00,-20.61,-21.51,0.02,2.58,4.62,5.06,2.58,0
24,24.00,-20.61,-21.50,0.02,1.63,5.46,4.22,1.63,0
25,25.00,-20.62,-21.49,0.01,0.85,6.43,3.14,0.85,0
26,26.00,-20.61,-21.46,0.03,0.76,7.32,2.23,0.76,0
27,27.00,-20.61,-21.43,0.03,1.58,8.26,1.42,1.42,0
28,28.01,-20.66,-21.36,0.08,2.40,9.17,1.06,1.06,0
29,29.00,-20.70,-21.33,0.05,3.37,10.14,1.55,1.55,0
30,30.00,-20.72,-21.36,0.04,4.31,10.70,2.37,2.37,0
31,31.02,-20.72,-21.37,0.01,5.27,9.78,3.22,3.22,0
32,32.01,-20.72,-21.37,0.00,6.26,8.91,4.16,4.16,0
33,33.00,-20.72,-21.37,0.00,5.34,7.82,5.19,5.19,0
34,34.01,-20.72,-21.37,0.00,4.37,6.84,5.38,4.37,0
35,35.00,-20.72,-21.37,0.00,3.39,5.95,4.72,3.39,0
36,36.00,-20.72,-21.37,0.00,2.40,5.01,3.99,2.40,0
37,37.01,-20.72,-21.37,0.00,1.49,4.12,3.29,1.49,0
38,38.00,-20.72,-21.37,0.00,0.67,3.32,2.93,0.67,0
39,39.00,-20.72,-21.36,0.01,0.84,2.63,3.06,0.84,0
40,40.00,-20.76,-21.27,0.11,1.74,2.26,3.67,1.74,0
41,41.00,-20.77,-21.15,0.12,2.77,2.32,4.44,2.32,0
42,42.00,-20.78,-21.13,0.03,3.75,2.77,5.11,2.77,0
43,43.00,-20.78,-21.12,0.00,4.77,3.43,5.51,3.43,0
44,44.00,-20.78,-21.12,0.00,5.73,4.24,5.25,4.24,0
45,45.00,-20.78,-21.12,0.00,6.75,5.10,5.12,5.10,0
46,46.00,-20.78,-21.12,0.00,7.54,5.51,5.18,5.18,0
47,47.00,-20.78,-21.12,0.00,6.59,4.66,5.42,4.66,0
48,48.00,-20.78,-21.12,0.00,5.59,3.81,4.86,3.81,0
49,49.01,-20.78,-21.12,0.00,4.57,3.13,3.89,3.13,0
50,50.00,-20.78,-21.12,0.00,3.56,2.53,3.01,2.53,0
51,51.01,-20.78,-21.12,0.00,2.67,2.24,2.11,2.11,0
52,52.00,-20.78,-21.12,0.00,1.62,2.38,1.42,1.42,0
53,53.00,-20.78,-21.12,0.00,0.67,2.88,1.24,0.67,0
54,54.00,-20.78,-21.12,0.00,0.54,3.48,1.72,0.54,0
55,55.01,-20.78,-21.12,0.00,1.42,4.37,2.53,1.42,0
56,56.00,-20.78,-21.11,0.01,2.40,5.24,3.41,2.40,0
57,57.00,-20.79,-21.10,0.01,3.37,6.15,4.35,3.37,0
58,58.00,-20.79,-21.10,0.00,4.32,7.13,5.35,4.32,0
59,59.00,-20.79,-21.10,0.00,5.33,8.06,5.62,5.33,0
60,60.00,-20.79,-21.10,0.00,5.92,9.05,5.01,5.01,0
61,61.01,-20.79,-21.10,0.00,4.93,9.97,4.26,4.26,0
62,62.00,-20.79,-21.10,0.00,3.94,10.44,3.61,3.61,0
63,63.00,-20.79,-21.10,0.00,3.01,9.44,3.21,3.01,0
64,64.00,-20.79,-21.10,0.00,2.03,8.47,3.26,2.03,0
65,65.00,-20.79,-21.10,0.00,1.04,7.56,3.76,1.04,0
66,66.00,-20.75,-21.15,0.06,0.37,6.62,4.41,0.37,0
67,67.02,-20.76,-21.18,0.03,1.01,5.72,5.05,1.01,0
68,68.00,-20.79,-21.11,0.07,2.02,4.79,5.53,2.02,0
69,69.00,-20.79,-21.11,0.00,3.02,3.92,5.26,3.02,0
70,70.00,-20.79,-21.11,0.00,3.97,3.17,5.11,3.17,0
71,71.01,-20.79,-21.11,0.00,5.00,2.55,5.17,2.55,0
72,72.00,-20.79,-21.11,0.00,5.98,2.25,5.40,2.25,0
73,73.00,-20.79,-21.11,0.00,6.96,2.36,4.91,2.36,0
74,74.01,-20.79,-21.11,0.00,7.33,2.84,3.94,2.84,0
75,75.00,-20.79,-21.11,0.00,6.35,3.49,3.06,3.06,0
76,76.00,-20.79,-21.11,0.00,5.34,4.27,2.16,2.16,0
77,77.00,-20.79,-21.11,0.00,4.38,5.13,1.44,1.44,0
78,78.00,-20.79,-21.11,0.00,3.35,5.50,1.24,1.24,0
79,79.00,-20.79,-21.11,0.00,2.40,4.59,1.73,1.73,0
80,80.00,-20.79,-21.11,0.00,1.40,3.80,2.49,1.40,0
