step,time_s,robot_x,robot_y,speed_mps,diag_actor_dist,linear_actor_dist,triangle_actor_dist,dmin,goals_count
1,5.37,-19.50,-22.10,nan,nan,nan,nan,nan,0
2,5.37,-19.51,-22.09,nan,nan,nan,nan,nan,0
3,5.37,-19.51,-22.09,0.00,nan,nan,nan,nan,0
4,5.37,-19.51,-22.09,nan,nan,nan,nan,nan,0
5,5.37,-19.51,-22.09,nan,nan,nan,nan,nan,0
6,6.00,-19.79,-22.07,0.44,nan,nan,nan,nan,0
7,7.00,-20.40,-21.85,0.65,nan,nan,nan,nan,0
8,8.00,-20.94,-21.55,0.61,nan,nan,nan,nan,0
9,9.00,-21.04,-21.45,0.15,nan,nan,nan,nan,0
10,10.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
11,11.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
12,12.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
13,13.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
14,14.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
15,15.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
16,16.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
17,17.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
18,18.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
19,19.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
20,20.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
21,21.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
22,22.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
23,23.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
24,24.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
25,25.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
26,26.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
27,27.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
28,28.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
29,29.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
30,30.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
31,31.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
32,32.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
33,33.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
34,34.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
35,35.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
36,36.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
37,37.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
38,38.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
39,39.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
40,40.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
41,41.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
42,42.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
43,43.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
44,44.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
45,45.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
46,46.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
47,47.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
48,48.00,-21.04,-21.45,0.00,nan,nan,nan,nan,0
49,49.00,-19.64,-22.09,1.54,nan,nan,nan,nan,0
50,50.00,-19.95,-22.03,0.32,nan,nan,nan,nan,0
51,51.00,-19.39,-22.38,0.67,nan,nan,nan,nan,0
52,52.00,-18.98,-22.87,0.64,nan,nan,nan,nan,0
53,53.00,-18.85,-23.38,0.53,nan,nan,nan,nan,0
54,54.00,-18.88,-23.66,0.28,nan,nan,nan,nan,0
55,55.00,-18.87,-23.75,0.09,nan,nan,nan,nan,1
56,56.00,-18.87,-23.75,0.00,nan,nan,nan,nan,1
57,57.00,-18.87,-23.75,0.00,nan,nan,nan,nan,1
58,58.00,-18.87,-23.75,0.00,nan,nan,nan,nan,1
59,59.00,-18.87,-23.75,0.00,nan,nan,nan,nan,1
60,60.00,-18.87,-23.75,0.00,nan,nan,nan,nan,1
61,61.00,-18.87,-23.75,0.00,nan,nan,nan,nan,1
62,62.00,-18.87,-23.75,0.00,nan,nan,nan,nan,1
63,63.00,-18.87,-23.75,0.00,nan,nan,nan,nan,1
64,64.00,-18.87,-23.75,0.00,nan,nan,nan,nan,1
65,65.00,-18.87,-23.75,0.00,nan,nan,nan,nan,1
66,66.00,-18.87,-23.75,0.00,nan,nan,nan,nan,1
67,67.00,-18.87,-23.75,0.00,nan,nan,nan,nan,1
68,68.00,-18.87,-23.75,0.00,nan,nan,nan,nan,1
69,69.00,-18.87,-23.75,0.00,nan,nan,nan,nan,1
70,70.00,-18.87,-23.75,0.00,nan,nan,nan,nan,1
71,71.00,-18.87,-23.75,0.00,nan,nan,nan,nan,1
