step,time_s,robot_x,robot_y,speed_mps,diag_actor_dist,linear_actor_dist,triangle_actor_dist,dmin,goals_count
1,7.37,-19.51,-22.09,nan,5.47,1.17,3.80,1.17,0
2,7.37,-19.51,-22.09,nan,5.47,1.17,3.80,1.17,0
3,7.37,-19.51,-22.09,nan,5.47,3.69,3.80,3.69,0
4,7.37,-19.51,-22.09,nan,1.14,3.69,3.80,1.14,0
5,7.37,-19.51,-22.09,nan,1.14,3.69,1.31,1.14,0
6,7.37,-19.51,-22.09,nan,1.14,3.64,1.31,1.14,0
7,7.37,-19.51,-22.09,nan,1.10,3.64,1.31,1.10,0
8,8.00,-19.50,-22.09,0.02,0.84,2.78,2.07,0.84,0
9,9.00,-19.46,-22.07,0.05,1.43,1.90,2.99,1.43,0
10,10.00,-19.40,-22.31,0.25,2.54,0.92,3.75,0.92,0
11,11.00,-19.54,-22.42,0.18,3.42,1.11,3.67,1.11,0
12,12.00,-20.08,-22.68,0.60,4.11,2.39,3.24,2.39,0
13,13.00,-20.65,-23.07,0.69,4.88,3.87,2.59,2.59,0
14,14.00,-21.19,-23.51,0.69,5.70,5.39,1.76,1.76,0
15,15.00,-21.69,-23.98,0.69,6.60,6.84,0.85,0.85,0
16,16.00,-22.17,-24.47,0.69,6.83,8.49,0.29,0.29,0
17,17.00,-22.64,-24.97,0.69,6.29,10.07,1.11,1.11,0
18,18.00,-23.11,-25.46,0.67,6.03,11.63,1.91,1.91,0
19,19.00,-23.45,-25.84,0.52,5.99,13.05,2.57,2.57,0
20,20.00,-23.62,-25.92,0.19,5.87,14.12,3.09,3.09,0
21,21.00,-24.12,-25.94,0.49,6.06,15.28,3.72,3.72,0
22,22.00,-24.63,-25.78,0.54,6.45,16.28,4.35,4.35,0
23,23.00,-25.07,-25.30,0.65,6.89,15.38,4.76,4.76,0
24,24.00,-25.46,-24.78,0.65,7.59,14.22,5.08,5.08,0
25,25.00,-25.57,-24.31,0.48,8.27,13.01,4.11,4.11,0
26,26.00,-25.57,-24.12,0.19,9.04,12.03,3.64,3.64,0
27,27.00,-25.85,-23.99,0.31,10.16,11.31,3.69,3.69,0
28,28.00,-26.39,-23.63,0.65,11.56,10.70,4.26,4.26,0
