step,time_s,robot_x,robot_y,speed_mps,diag_actor_dist,linear_actor_dist,triangle_actor_dist,dmin,goals_count
1,6.67,-19.52,-22.08,nan,0.85,3.34,5.01,0.85,0
2,6.67,-19.52,-22.08,nan,0.85,3.34,5.01,0.85,0
3,6.67,-19.52,-22.08,nan,0.85,1.70,5.01,0.85,0
4,6.67,-19.52,-22.08,nan,4.51,1.70,5.01,1.70,0
5,6.67,-19.52,-22.08,nan,4.51,1.70,0.95,0.95,0
6,6.67,-19.52,-22.08,nan,4.51,1.70,0.95,0.95,0
7,7.00,-19.53,-22.08,0.03,5.15,2.21,0.96,0.96,0
8,8.00,-20.17,-22.08,0.64,6.76,3.32,2.00,2.00,0
9,9.00,-20.82,-22.00,0.66,6.53,4.52,3.52,3.52,0
10,10.00,-21.38,-21.84,0.59,6.13,4.98,5.08,4.98,0
11,11.00,-21.97,-21.58,0.64,5.78,4.69,6.51,4.69,0
12,12.00,-22.05,-21.53,0.09,4.89,4.17,5.98,4.17,0
13,13.00,-22.04,-21.51,0.02,3.93,3.74,5.18,3.74,0
14,14.00,-21.97,-21.46,0.09,2.93,3.44,4.25,2.93,0
15,15.00,-21.86,-21.38,0.13,1.92,3.33,3.41,1.92,0
16,16.00,-21.98,-20.83,0.57,1.08,3.55,3.46,1.08,0
17,17.00,-22.16,-20.64,0.26,0.41,3.99,3.54,0.41,0
18,18.00,-22.56,-20.39,0.47,0.42,4.71,3.86,0.42,0
19,19.00,-22.70,-20.38,0.14,1.23,5.40,4.13,1.23,0
20,20.00,-23.22,-20.38,0.52,1.74,6.45,4.18,1.74,0
21,21.00,-23.80,-20.45,0.58,2.26,7.64,3.33,2.26,0
22,22.00,-24.42,-20.67,0.66,2.77,8.97,2.07,2.07,0
23,23.00,-24.75,-20.91,0.41,1.97,10.15,1.21,1.21,0
24,24.00,-24.83,-21.11,0.21,1.74,11.16,1.48,1.48,1
25,25.00,-24.74,-21.11,0.09,1.78,11.96,1.63,1.63,1
26,26.00,-24.28,-20.64,0.65,1.71,11.23,0.75,0.75,1
27,27.00,-23.92,-20.37,0.46,2.18,9.94,0.49,0.49,1
28,28.00,-23.71,-20.26,0.23,2.96,8.91,1.12,1.12,2
29,29.00,-23.67,-20.25,0.05,3.90,8.07,1.98,1.98,2
30,30.00,-23.77,-20.30,0.12,4.97,7.45,2.99,2.99,2
31,31.00,-23.79,-20.31,0.02,5.97,6.79,3.97,3.97,2
32,32.00,-23.79,-20.31,0.00,6.95,6.21,4.95,4.95,2
33,33.00,-23.78,-20.32,0.01,7.94,5.75,5.91,5.75,2
34,34.00,-23.77,-20.32,0.02,8.92,5.41,6.86,5.41,2
35,35.00,-23.77,-20.40,0.07,9.90,5.27,7.82,5.27,2
36,36.00,-23.78,-20.40,0.01,10.56,5.30,8.69,5.30,2
37,37.00,-23.78,-20.41,0.00,9.56,5.49,8.08,5.49,2
38,38.00,-23.77,-20.41,0.01,8.55,5.82,7.27,5.82,2
39,39.00,-23.78,-20.44,0.03,7.56,6.26,6.33,6.26,2
40,40.00,-23.78,-20.45,0.01,6.57,6.83,5.37,5.37,2
41,41.00,-23.79,-20.45,0.01,5.60,7.49,4.51,4.51,2
42,42.00,-23.79,-20.46,0.01,4.62,7.39,3.89,3.89,2
43,43.00,-23.78,-20.46,0.01,3.64,6.72,3.60,3.60,2
44,44.00,-23.78,-20.48,0.02,2.66,6.16,3.62,2.66,2
45,45.00,-23.77,-20.51,0.03,1.73,5.72,3.79,1.73,2
46,46.00,-23.75,-20.53,0.03,0.95,5.39,3.33,0.95,2
