step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1757849765.9230986,-18.56490915185598,-19.323968935524952,nan,3.278694209637654,3.813248904163033,3.786667727721673,3.278694209637654,0
2,1757849766.9221547,-19.04106659509912,-18.91700832188069,0.6269645651674917,4.64572644161137,4.149609189963301,3.6146006678770632,3.6146006678770632,0
3,1757849767.9224832,-19.676595631729516,-18.75415347919111,0.6558476768209038,5.817025765985605,4.762461033985959,3.3217788510560537,3.3217788510560537,0
4,1757849768.9289668,-20.26391084717635,-18.585758783402515,0.6070436878664199,7.012631901910941,5.764301043194236,3.058004810064367,3.058004810064367,0
5,1757849769.924065,-20.872758610596303,-18.351105812848537,0.6557151309212051,8.24753693456224,7.068529330567275,2.8214209992798778,2.8214209992798778,0
6,1757849770.930803,-21.48684549975227,-18.221803340473144,0.6233521442195843,8.344560425540521,8.302050081633976,2.5460356803407502,2.5460356803407502,0
7,1757849771.9239619,-22.138835779207394,-18.106722319808686,0.666629234127733,8.030868334791483,8.38503518304576,2.2920751736562135,2.2920751736562135,0
8,1757849772.9246151,-22.70973696570568,-18.071604014914577,0.571606885075009,7.589482074177896,8.144105786607387,1.9726160345823855,1.9726160345823855,0
9,1757849773.925387,-23.208088914083728,-18.25904531170099,0.5320261637329868,6.942980279671352,7.580405905025497,1.5256739553808745,1.5256739553808745,0
10,1757849774.9263473,-23.47673132706191,-18.40790315978094,0.30683300178584433,6.293374018132508,6.899761050776978,1.4772821480615725,1.4772821480615725,0
11,1757849775.9246023,-23.475506075077117,-18.425178855636844,0.01734936529600941,5.669982543264323,6.233408464953032,2.0978502649464867,2.0978502649464867,0
12,1757849776.9242585,-23.68967120836286,-18.608006997196973,0.28168667607627507,5.343842954700211,5.677861832853753,2.7452508184775475,2.7452508184775475,0
13,1757849777.9272242,-23.825838516668064,-18.788282202473827,0.22525382431801227,5.312400555050488,5.2840329871699145,2.1096755780249303,2.1096755780249303,1
14,1757849778.9265902,-23.37981112647513,-18.610471033930082,0.4804683636985668,5.019563338892267,5.509705596560796,1.9294007365217816,1.9294007365217816,1
15,1757849779.926466,-23.313528843811643,-18.615903309545786,0.06651277769375463,5.3623134436883095,5.693005346041233,1.3442062604636622,1.3442062604636622,1
16,1757849780.9232566,-23.699048212005856,-18.739396668839394,0.40611913141630157,6.374154819115042,5.015964938032511,1.1146875890223362,1.1146875890223362,1
17,1757849781.9247499,-24.027573081363066,-18.95781606770679,0.3939186051811055,7.4958934613748855,3.871835464726909,2.159760129829124,2.159760129829124,1
18,1757849782.922636,-24.012065320572304,-18.94766358885374,0.01857472885547872,8.200649809978065,3.1216027609727544,3.3219168198655837,3.1216027609727544,1
19,1757849783.924323,-23.702803129764202,-18.663443773057477,0.4193211623108398,8.465443095169494,2.9093533684131123,4.393358463679639,2.9093533684131123,1
20,1757849784.925478,-23.98659618143182,-18.752217282074348,0.29701069789122536,9.342091925975476,2.362758670354197,5.860736736444953,2.362758670354197,1
21,1757849785.9291968,-24.490082750025735,-18.77357576469111,0.5020722578142074,10.198121952676287,1.6632805271450564,7.470873183156431,1.6632805271450564,1
22,1757849786.9317548,-24.86341136870272,-18.881837138255264,0.3877173450609801,9.958440771984453,1.8950253555807264,8.92786628100739,1.8950253555807264,1
23,1757849787.9247823,-25.13320231363883,-19.007928024162045,0.29989307742601257,9.519368430981244,2.7443436012951947,10.16973298682062,2.7443436012951947,1
24,1757849788.9241467,-25.365492884847047,-19.485689435943232,0.5315768838722383,9.315014110128438,3.483248966789417,11.188487419130745,3.483248966789417,1
25,1757849789.925253,-25.48932345929739,-20.133855409741034,0.6591595303426828,9.155115243932952,4.239624334627996,11.86242585469563,4.239624334627996,1
26,1757849790.9237306,-25.529108974507757,-20.356643444103675,0.22665764718104595,8.704966910194887,5.169486265317705,12.2799661711245,5.169486265317705,2
27,1757849791.9254985,-25.364067561452526,-20.522954436681243,0.23388976522623223,8.095357789865073,5.895211824620261,11.105387961159032,5.895211824620261,2
28,1757849792.9260764,-24.89812027551066,-20.85768068645315,0.5733833078346507,7.3395281383541535,6.326248325754969,9.623189227255114,6.326248325754969,2
29,1757849793.930073,-24.51205983800381,-20.7379326482586,0.4025966854065988,6.504307112598762,7.002017519900533,8.26122961633446,6.504307112598762,2
30,1757849794.922622,-24.17011126180029,-20.32698277398212,0.538624044297774,5.796916787240219,7.86834098963279,7.042006257486636,5.796916787240219,2
31,1757849795.929527,-24.38283745666144,-19.862433798263655,0.5074346569733257,5.904447168470851,9.228971332312069,6.395857826613,5.904447168470851,2
32,1757849796.922883,-24.774159925322422,-19.399536033122526,0.6101957272138664,6.533520548662828,9.728118195435078,5.963565692081049,5.963565692081049,2
33,1757849797.9271812,-24.636364020360936,-19.519167425163346,0.18170019528599748,6.674981124062797,8.806489700009713,4.803095885071557,4.803095885071557,2
34,1757849798.9270313,-24.915557346458694,-19.720638089643273,0.3443470684578578,7.208702014614224,8.049892446578847,4.010716568424976,4.010716568424976,2
35,1757849799.9320204,-25.243704024378594,-20.090079966871055,0.49168005844921076,7.7378359109445265,7.127622829451918,3.3071103149768892,3.3071103149768892,3
36,1757849800.9239802,-25.15690987557241,-20.183918939799515,0.12886006773155312,8.094946299962784,5.994960180584112,2.323036283026262,2.323036283026262,3
37,1757849801.92257,-24.97482254818953,-19.919383128564967,0.3215999037840246,8.749420980739192,5.164479429059978,1.2313682332166482,1.2313682332166482,3
38,1757849802.9225917,-24.608010281134025,-19.32418501546511,0.6991357687673279,8.944517404924937,4.974246871385003,0.09117762958644281,0.09117762958644281,3
