step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1766489711.864831,-23.464072184570416,-22.330629313961058,nan,6.789103250615522,5.9493072429539415,6.706155676618762,5.9493072429539415,0
2,1766489712.8653142,-23.10892464457776,-21.74926059232715,0.6809339884065662,6.818357532583771,4.871416499226891,7.350669125965226,4.871416499226891,0
3,1766489713.8655562,-22.677089655834692,-21.209646539713916,0.6909657606054359,6.942943661662416,3.9237216680173823,7.954442855160374,3.9237216680173823,0
4,1766489714.867804,-22.261018102209746,-20.671589725051554,0.6786367937835143,7.0906044107364306,3.640489065265954,8.703776719749722,3.640489065265954,0
5,1766489715.8666506,-21.7712532348998,-20.207062084930794,0.6758021488683102,7.290376304489141,4.042967227014989,8.394123327587428,4.042967227014989,0
6,1766489716.8697603,-21.21010923216145,-19.82067166997031,0.6791955823755571,7.632331534584497,4.980654568356781,7.0106634288459295,4.980654568356781,0
7,1766489717.869249,-20.59267643042953,-19.55932935315667,0.670807713680353,8.109712041394008,6.101707530967168,5.652498451373475,5.652498451373475,0
8,1766489718.8713927,-19.98571132442933,-19.32637873276031,0.6487421223317124,8.687468864151365,7.16128625839954,4.323462079137988,4.323462079137988,0
9,1766489719.866823,-19.371199738583297,-19.251363416107896,0.6219153385312967,7.7163661670258765,7.418361323129332,3.114233500631042,3.114233500631042,0
10,1766489720.8683589,-19.677577721855556,-19.264506365408586,0.3061894815502435,6.8120058445597005,6.77573788577353,2.5135028621687177,2.5135028621687177,0
11,1766489721.8733063,-20.10714854470496,-19.299028060004673,0.4288341035962317,5.997746520416897,6.1049525534633995,1.9919754973595356,1.9919754973595356,0
12,1766489722.869296,-20.44289665954585,-19.27282042837455,0.33812536207463345,5.1698567645732405,5.650414032857723,1.591809050479373,1.591809050479373,0
13,1766489723.866178,-20.462372356141707,-19.266729419756246,0.020469784107007477,4.274200565370229,5.419926757720042,1.5756047715647852,1.5756047715647852,0
14,1766489724.8676682,-20.362726858510968,-19.76259626709503,0.5050272008053281,3.7481750153949602,4.609882993842336,1.9914133538895693,1.9914133538895693,0
15,1766489725.8669636,-20.363332941573113,-20.259582969817505,0.49733745990572675,3.359205477625082,3.7684549081045904,2.9280348863185566,2.9280348863185566,0
16,1766489726.8682485,-20.429046539447377,-19.967117093819496,0.29937286572907446,2.508989922914464,3.1097544947386426,3.7750411597359217,2.508989922914464,0
17,1766489727.8646889,-20.773187565632483,-19.62527299498705,0.4868002618911155,2.306484327101921,2.5933757822657855,4.298947144853443,2.306484327101921,0
18,1766489728.8736145,-21.055921611209687,-19.505887416943676,0.30419115528106144,2.7137684622289933,2.6855895594036574,4.994899089283882,2.6855895594036574,0
19,1766489729.8668063,-20.438301635102977,-19.522804297756576,0.6220869558124287,2.7425576737170925,3.0777174415612985,5.534746758160204,2.7425576737170925,0
20,1766489730.8678765,-19.790870698339145,-19.431089348531362,0.6531957409052286,3.296111610994223,3.593616720671891,5.224313976237675,3.296111610994223,0
21,1766489731.8713906,-19.200425995139586,-19.229853802862344,0.6216110199412398,4.3184193466515515,4.219768675880693,4.91553658159465,4.219768675880693,0
22,1766489732.865243,-19.336928514619103,-19.26815719106321,0.1426517460883614,5.197949234838171,4.783276786599071,3.9119389745016573,3.9119389745016573,0
23,1766489733.868952,-18.767251933065204,-19.150294924504628,0.5795915338362704,6.263473393519995,5.330393180800445,3.6351808083334514,3.6351808083334514,0
24,1766489734.8689377,-18.101609443905843,-19.18603744107328,0.6666109542352087,7.30074924651072,5.770245287653442,3.514571551887278,3.514571551887278,0
