step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1759357560.1960886,-14.225730212824928,-22.97547056641806,nan,4.774566127049689,3.799017395011856,2.1481620931505923,2.1481620931505923,0
2,1759357561.1934574,-14.794275378339973,-22.736724378798527,0.618265521933472,4.668811017690292,2.694926144229842,2.5008639743763026,2.5008639743763026,0
3,1759357562.1944215,-15.39582990158477,-22.522369156866148,0.6379896063875407,4.870428711575856,2.251456001340761,2.847605252696414,2.251456001340761,0
4,1759357563.1949327,-16.05925234007351,-22.378291299959443,0.6785402996917439,5.388901737828009,2.321246723059756,3.1424800248636857,2.321246723059756,0
5,1759357564.194814,-16.736598490782406,-22.221263453795945,0.6953922465251118,6.120164794097182,2.4658017986331062,3.438156434685854,2.4658017986331062,0
6,1759357565.1938243,-17.388939598244797,-22.121984252796658,0.6605061553124166,7.02841843187543,2.6617024023365357,3.7757786214959292,2.6617024023365357,0
7,1759357566.2004082,-18.050336499557705,-22.012364866317267,0.6660343509611608,7.994524633297983,2.9837472791646906,4.142317001736871,2.9837472791646906,0
8,1759357567.2020152,-18.69635074223814,-21.950495827628856,0.647928907853484,8.917336593177625,3.3634144673025292,4.468703004415056,3.3634144673025292,0
9,1759357568.2013724,-19.31171552266258,-21.886296993792516,0.6191024808308945,9.803021218858495,3.7820081827418432,4.866286958268503,3.7820081827418432,0
10,1759357569.196602,-19.94564439815771,-21.756873323877986,0.6501068366090287,10.525042474076942,4.231389885858725,5.203288375555806,4.231389885858725,0
11,1759357570.195994,-20.542472089240192,-21.665571652835368,0.6041383307375254,11.122625635170413,4.582058352290005,5.563165763241442,4.582058352290005,0
12,1759357571.2018955,-21.10579157106615,-21.679861658217078,0.5601946725875065,10.351298173229644,4.750145426757589,6.083550211421566,4.750145426757589,0
13,1759357572.1938846,-21.610802436610903,-21.81524521763485,0.5270651323100665,9.692688372532535,4.367274920365201,5.244687279916662,4.367274920365201,0
14,1759357573.1963835,-21.883118784666873,-21.868773165651533,0.27683558357258686,8.916260764451346,3.955613354713021,4.323619879665268,3.955613354713021,1
15,1759357574.1994884,-21.542798046620995,-21.89392438943079,0.34019259383186284,7.875716741496029,4.34949153759195,3.759770681782202,3.759770681782202,1
16,1759357575.198554,-21.64431690811579,-21.42245727870519,0.48272411101442053,6.595801752678251,4.422792702789039,2.39636049197517,2.39636049197517,1
17,1759357576.1933455,-21.323724317251937,-21.058022654547717,0.487919740017832,5.273512651986618,4.886443466950149,1.3299892268187505,1.3299892268187505,1
18,1759357577.2002451,-20.896297716250654,-20.780012338651023,0.5063916144647689,3.9944254367190437,4.423363049337926,0.32941945395066025,0.32941945395066025,1
19,1759357578.200184,-20.439189451009216,-20.942844651379836,0.4852742253740138,3.0534815552774215,3.984887871467146,0.41784571845736423,0.41784571845736423,1
20,1759357579.1946049,-19.993000039493346,-21.414824461142874,0.6531437965556126,2.342391781616315,3.5856276419653708,1.1303392218696515,1.1303392218696515,1
21,1759357580.194509,-19.54475573376754,-21.887840280043655,0.6517271960198975,1.6343873251980654,3.2056618246030246,1.8144768874550656,1.6343873251980654,1
22,1759357581.1939418,-19.0399464122427,-22.287170994733838,0.6440247263721517,0.8288189898578355,2.745147095150171,2.4010920231055377,0.8288189898578355,1
23,1759357582.196162,-18.573519587839325,-22.588403207003118,0.554013041120989,0.05612687671349366,2.323504749665461,2.9223589202377624,0.05612687671349366,1
24,1759357583.198301,-18.018443984340756,-22.6815339996204,0.5616327570215068,1.116918878568068,2.0034343049620293,3.253231052511323,1.116918878568068,1
25,1759357584.2013166,-17.38683296372403,-22.77926130788815,0.6372053283398241,2.236006084667604,1.783719131660564,3.3669868775297944,1.783719131660564,1
26,1759357585.19634,-16.77175398199241,-22.717363649719502,0.6212774245174805,3.4478134997315273,1.8261641948887173,3.27285535388122,1.8261641948887173,1
27,1759357586.2002103,-16.15726049378844,-22.658024419571728,0.6149718245406143,4.669260184002983,1.8520928916280404,1.6691311177158386,1.6691311177158386,1
28,1759357587.1962135,-16.0622305472614,-22.65036561050244,0.095720653637079,4.589261012973853,1.8714645064989057,0.6390296770398444,0.6390296770398444,1
29,1759357588.1958869,-16.242251617179985,-22.4652803971132,0.258278323985957,4.025073431873796,2.1586671635084547,0.1651962503867823,0.1651962503867823,1
30,1759357589.1948955,-16.344320143512913,-22.236673673676997,0.25060621720583304,3.465853231532924,2.496547960264666,0.9931541128296385,0.9931541128296385,2
31,1759357590.1947956,-16.758196866290668,-22.030600057673418,0.46238835566626346,2.6010559114107825,2.890005551098157,1.4620399668758632,1.4620399668758632,2
32,1759357591.1978612,-17.410902782328293,-21.883397578421686,0.6670541709054258,1.509982236929793,3.2310095345783836,1.7881670003057402,1.509982236929793,2
33,1759357592.201446,-18.043224495647625,-21.83776463286799,0.6317016150449982,0.7452723880882699,3.5759765990146377,2.2099552816179857,0.7452723880882699,2
34,1759357593.1978817,-18.710429665776193,-21.792820152919827,0.6711093123759299,1.604066017350659,3.991233603058336,2.5485241241003167,1.604066017350659,2
35,1759357594.2019238,-19.370565449656358,-21.786855853712506,0.6575049940426737,2.9343859959123164,4.399146907318547,2.92731590071828,2.92731590071828,2
36,1759357595.2020588,-19.849541536207525,-21.894071038333113,0.4907628556037824,4.36108901501822,4.8105562501510954,3.511262517488498,3.511262517488498,2
37,1759357596.202117,-20.367758753426816,-22.281171641747182,0.6467977164374477,6.074105507373812,4.933838940263913,4.256881797909832,4.256881797909832,2
38,1759357597.1945958,-20.955050651207458,-22.58678477864053,0.6670678441074779,7.694429402550397,4.796785457873855,4.907489819775699,4.796785457873855,2
39,1759357598.2025895,-21.519815689937655,-22.89018780511289,0.6360187712460844,9.25460449276888,4.2321517006729135,5.608653182523588,4.2321517006729135,2
40,1759357599.2010825,-22.09356823336622,-23.0326650451189,0.592070544651097,10.564580408944849,3.9305307622494072,6.101519070284816,3.9305307622494072,2
41,1759357600.1973057,-22.69400311478474,-22.934257511342395,0.6107523164497027,11.57054320121178,3.8409846889040047,5.158074786152425,3.8409846889040047,2
42,1759357601.1933796,-23.290779112806213,-22.908195223488427,0.5996992631113202,12.51459160342132,4.064232562155267,4.197844851901051,4.064232562155267,2
43,1759357602.198081,-23.818068337383103,-23.142382185711018,0.5742555446921386,13.535081729353887,3.577609880570828,3.7073228071292195,3.577609880570828,2
44,1759357603.194826,-24.284510211538656,-23.501635323774146,0.5906763596491522,13.420790893165453,3.018006698361595,3.792807729340105,3.018006698361595,2
45,1759357604.1937056,-24.682325810517646,-23.77612929228221,0.48386826463479055,12.97567100748338,2.946980707045565,4.3214413097302,2.946980707045565,2
46,1759357605.199209,-24.647405959623246,-23.8090886717075,0.04775506275953403,12.126434296253235,2.9422612694901606,4.764401419215434,2.9422612694901606,3
47,1759357606.1941524,-24.336838196353142,-23.585927507674892,0.38437433535416965,10.896719682000064,2.84468473604192,5.07610221479277,2.84468473604192,3
48,1759357607.2021475,-24.10394565662705,-23.07604591748765,0.5561055314715024,9.519324487462328,3.0084621404306624,5.599690845692276,3.0084621404306624,3
49,1759357608.2003012,-23.623753818661516,-22.86413078454117,0.5258444058286204,8.277706788530573,3.310762080180937,6.070477272871587,3.310762080180937,3
50,1759357609.1937263,-22.94382806327816,-22.82415387351435,0.6856077639040674,7.034498673561206,3.498298501194296,6.4103066552524215,3.498298501194296,3
51,1759357610.193887,-22.302332548021656,-22.782132833705212,0.6427670432036288,5.7910430554386645,3.7963162290762704,6.732221215252081,3.7963162290762704,3
52,1759357611.1990333,-21.662079307080194,-22.913336073457845,0.6502121749606011,4.697719700122391,4.110520370336257,6.978956855613124,4.110520370336257,3
53,1759357612.1973453,-21.129218025368804,-23.147817591035178,0.5831550709968305,3.7748133476672177,4.511414257104051,7.136399416891937,3.7748133476672177,4
54,1759357613.1952224,-20.745969426110573,-23.453225223453945,0.49109693511313546,2.991562684987273,4.618624516649026,7.0664401510642465,2.991562684987273,4
55,1759357614.1999357,-20.182793467885507,-23.546847160981926,0.5682265240307056,1.9348825172512296,3.365188862613414,5.597278632148358,1.9348825172512296,4
56,1759357615.195299,-19.579237597789795,-23.43298443860102,0.6170634310594235,0.8911125626274494,1.9783166246963992,4.146999313847384,0.8911125626274494,4
57,1759357616.1993184,-19.20608663275275,-23.017480238053,0.5562312232460815,1.378691855668624,1.4068772306072406,2.8256581659775417,1.378691855668624,4
58,1759357617.1964488,-18.992694115353075,-22.642537697659346,0.4326558249106246,2.6298386665621822,2.0743990341993648,1.759785471256079,1.759785471256079,4
59,1759357618.193812,-18.48060976622361,-22.560384055431964,0.5200036364805243,3.754842708198815,3.4264609299563697,0.9302834706106264,0.9302834706106264,4
60,1759357619.194064,-17.92806547976846,-22.63478283823406,0.5573901306881806,3.824553529356189,4.9495086359940705,1.8257081494572063,1.8257081494572063,4
61,1759357620.1977105,-17.477208168606698,-22.769649895646555,0.46888704644948437,3.1849416447165972,6.412580522013104,3.1882525435551257,3.1849416447165972,4
62,1759357621.2021308,-17.021450305189415,-23.049184663129946,0.5323010953789608,2.5404071281070895,7.7758304883050515,4.7176211874259035,2.5404071281070895,4
63,1759357622.196997,-16.822945200377983,-23.447167369381486,0.4470359716594308,2.039786053191448,8.642095728628776,6.043205483861461,2.039786053191448,5
64,1759357623.1964605,-16.855921654948986,-23.832779464876023,0.3872272783430571,2.183399006913107,8.862488370738765,7.159845011738355,2.183399006913107,5
65,1759357624.2008197,-17.346282604373652,-23.89053834240807,0.4916078581256298,2.637714081251335,8.633158427749176,7.775501433039821,2.637714081251335,5
66,1759357625.1938004,-17.97601075003093,-23.740376011491605,0.6519604635552474,3.3375076021482273,8.327330102922536,8.064318827695693,3.3375076021482273,5
67,1759357626.1995816,-18.596916063269084,-23.623122298402166,0.62824760125479,4.3941991543673655,8.133525023388463,8.43877013721872,4.3941991543673655,5
68,1759357627.1940587,-19.22725619615473,-23.580539601050877,0.6352854954340216,5.679854571454392,7.6265030166231265,8.685527181717223,5.679854571454392,5
69,1759357628.2000184,-19.880679389416425,-23.47887557361804,0.6573669499019289,6.914795339380982,6.015287623860284,7.483754772002574,6.015287623860284,5
70,1759357629.1969328,-20.520549323002893,-23.386918085048116,0.6484447464261949,8.111059480593928,4.453261522456774,6.209896701479004,4.453261522456774,5
71,1759357630.1992836,-21.155976527408964,-23.37772532173997,0.63400327759153,9.38733581139373,3.0445072356493688,4.923515222802998,3.0445072356493688,5
72,1759357631.19901,-21.76894820791171,-23.18168891915076,0.6437323689081347,10.444861891252463,1.6529190831411236,3.574247609957644,1.6529190831411236,5
73,1759357632.1962183,-22.292962633449378,-22.899665633228604,0.5967526805677523,11.244065977308523,1.1103628963812653,2.62904472148485,1.1103628963812653,5
74,1759357633.1979306,-22.82815031146224,-22.593567975114638,0.615486134334645,11.918816546565779,2.2072700600285353,2.665535346662806,2.2072700600285353,5
75,1759357634.1992297,-23.326300404829837,-22.22207235495984,0.6206134889579061,12.415739156130332,3.644109950176416,3.701394344983291,3.644109950176416,5
76,1759357635.1949904,-23.903880541823977,-21.985450219282527,0.6268278537069526,12.049806614049633,5.211307888236821,5.292424795142458,5.211307888236821,5
77,1759357636.2029798,-24.501925906549435,-21.75303230623565,0.636534560241788,11.327342796135527,6.834097252155531,7.009616024127478,6.834097252155531,5
78,1759357637.1933827,-25.06041746531856,-21.527529153210548,0.6081356547999123,10.659668398838374,8.396977733261602,8.679187323979532,8.396977733261602,5
79,1759357638.1942644,-25.527168163945174,-21.362248219849153,0.4947143080871119,10.164815358675519,9.860727564862517,10.151120799015006,9.860727564862517,5
80,1759357639.1974328,-25.966050517626808,-21.212657485889792,0.46221120530073484,9.677554650846204,9.852772863755368,11.490703522030708,9.677554650846204,6
81,1759357640.1936617,-25.897317434287142,-20.82644233902309,0.39376846798446546,8.80500050722429,9.108113443734783,12.220671443584948,8.80500050722429,6
82,1759357641.1995018,-25.45207159373941,-20.64992879140257,0.4761772257147941,7.826033019270221,7.8010966759774005,11.957922311248062,7.8010966759774005,6
83,1759357642.1996748,-24.783440429111298,-20.568478703550475,0.6734572946428649,6.7514835037796095,6.249366253365168,10.34379848420409,6.249366253365168,6
84,1759357643.1941502,-24.12125537696497,-20.44436624526876,0.6774584861533877,5.774936560837736,4.8677906776464175,8.727302531012056,4.8677906776464175,6
85,1759357644.2006407,-23.435735296156157,-20.370936509446864,0.6849956479199125,4.935742989025417,3.967964981156803,7.119610652887895,3.967964981156803,6
86,1759357645.2011454,-22.75754486279879,-20.412884615346936,0.6791437171427691,4.300192953594236,3.734263564217584,5.4426072834597665,3.734263564217584,6
87,1759357646.1937733,-22.104742609538604,-20.5357965815789,0.6692061165420815,3.895023621321278,4.198128992299482,3.833451361761998,3.833451361761998,6
88,1759357647.193698,-21.590779695553227,-20.595714031921933,0.5174826825876978,3.929773487964695,4.958659600030122,2.338001582539949,2.338001582539949,7
89,1759357648.195921,-21.22003037673561,-20.375279868234724,0.43037409390992365,4.555714243301562,5.418922740570243,1.1103408765272882,1.1103408765272882,7
90,1759357649.1946847,-20.953668962479842,-19.87192784914324,0.5701885440556784,5.634373862775027,5.518990111507794,0.7675804391773885,0.7675804391773885,7
91,1759357650.1969655,-20.60175873640314,-19.43950320606162,0.5562543293263702,6.893644691923836,5.685930909303201,1.707775970924713,1.707775970924713,7
92,1759357651.194596,-20.122389506189364,-19.250300319263605,0.5165807495470551,7.219006123039639,6.008507793321398,3.008229183635535,3.008229183635535,7
93,1759357652.200145,-19.53081822550779,-19.16777315411136,0.5940039189219636,6.5841404778416,6.5361214938430985,4.454633709248912,4.454633709248912,8
94,1759357653.1981769,-18.93073470243154,-19.317267454113907,0.6196439833017686,5.620887030833246,6.451586922400319,5.916168061730344,5.620887030833246,8
95,1759357654.197775,-18.41573685818919,-19.650826062586162,0.6138297654153855,4.360457462064577,6.126584382224397,7.385804477865762,4.360457462064577,8
96,1759357655.1987405,-17.990785647966177,-20.073976676470032,0.5991213937656286,2.9593337489175093,5.703100288802723,8.454571834137429,2.9593337489175093,8
97,1759357656.1977162,-17.627173155888908,-20.6318375505175,0.6665827367270221,1.5832507297696181,5.133729821600019,8.281236439376137,1.5832507297696181,8
98,1759357657.1947196,-17.25095429753233,-21.110053348665115,0.6102949475284769,1.4461044347783183,4.635053098195409,7.971007667607253,1.4461044347783183,8
99,1759357658.2016459,-16.850274740408967,-21.57839244631502,0.6121089679601839,2.7701678820790123,4.127447096302163,7.481134553204898,2.7701678820790123,8
100,1759357659.2030582,-16.423236251784928,-21.890818356525916,0.5283773583000689,4.2639324146855975,3.7233667854513333,6.895282033573151,3.7233667854513333,8
101,1759357660.196068,-16.36930714909935,-21.865333432497405,0.060067426682906225,5.33579698847985,3.099193115751672,5.77896825665266,3.099193115751672,8
102,1759357661.194108,-16.34745438867095,-21.72761361494153,0.13971663865651526,6.3200320370226635,2.720989932306307,4.587715642984907,2.720989932306307,9
103,1759357662.197294,-15.960306479868018,-21.447565753682227,0.476300790793737,7.226107317127151,2.9674231153437742,3.665916274383975,2.9674231153437742,9
104,1759357663.1952772,-15.717858069315817,-20.939931214018237,0.5636971248717938,7.800903751626502,3.613840873497776,2.8177800149935535,2.8177800149935535,9
105,1759357664.1982791,-15.660286339589172,-20.464590952634346,0.47738095908915684,8.252535077344842,4.22835994491625,2.2894540915759904,2.2894540915759904,10
106,1759357665.1979637,-15.6141318622686,-20.157495756295813,0.31064217750415485,8.744496585772193,4.700138997419289,2.338418304340713,2.338418304340713,10
107,1759357666.2034087,-15.899119130380132,-19.80492380074022,0.45089323517364194,8.97084870388208,5.24830696746372,2.9997715133418845,2.9997715133418845,10
108,1759357667.2011006,-16.49173876833247,-19.72084142603727,0.5999395657498506,8.60133479210423,5.520258029647172,3.8562726239087604,3.8562726239087604,10
109,1759357668.2013996,-17.17431658646696,-19.750785712775954,0.6830301113066588,7.519970819806054,5.749855929579735,4.870651008500954,4.870651008500954,10
110,1759357669.1937048,-17.84034780001924,-19.791334097057845,0.6724386046621279,6.5257679597143206,5.988417838672907,5.2247616443050235,5.2247616443050235,10
111,1759357670.1968336,-18.47692835639792,-19.823436024609368,0.6354014485117581,5.573098693563461,6.300084816250288,4.753261678469013,4.753261678469013,10
112,1759357671.1999502,-19.00879792515711,-19.605070470441415,0.5731647581701592,4.461168239861882,6.785473208610764,4.411437105036723,4.411437105036723,10
113,1759357672.2022493,-19.537876698483803,-19.245792434393305,0.638068067381495,3.236069655066269,7.241649225243193,4.090546196532937,3.236069655066269,10
114,1759357673.1936364,-20.07337277885994,-18.973960486711384,0.6057576189552568,2.4632579107558175,7.328316789251537,3.8024955946100887,2.4632579107558175,10
115,1759357674.1936493,-20.53246871545146,-18.622429881816892,0.5782164268469124,2.177991123900215,6.706589837050476,3.5467196564399996,2.177991123900215,10
116,1759357675.1970637,-20.953176113604034,-18.346906702812916,0.5011880781084384,2.6369773001682537,6.020067617010141,3.2562241991242646,2.6369773001682537,10
117,1759357676.193509,-21.236844707260044,-18.24361559709255,0.30296584295728446,3.3482101337125356,5.398685337608341,2.7645761008729313,2.7645761008729313,10
118,1759357677.200523,-20.92558138266005,-18.170013598279862,0.3176192951012344,3.8124812773118966,5.404680522421951,2.4167850919937326,2.4167850919937326,10
119,1759357678.194915,-21.14600229236109,-18.564743065871784,0.4546521840668593,4.3576663490827166,4.690452181764768,2.002632964576951,2.002632964576951,11
120,1759357679.197745,-21.412578521329223,-19.176804164912408,0.6657099663572672,4.794183766145203,3.572812383288576,1.8900923048752252,1.8900923048752252,11
121,1759357680.2018437,-21.5692520034582,-19.81740122829737,0.6567860198915169,5.0949323053343525,2.5405075101020897,2.5450691302927435,2.5405075101020897,11
122,1759357681.1946445,-21.69646113201606,-20.470178095806467,0.6698788897433643,5.34493063949941,1.5609939419236614,3.503634305779358,1.5609939419236614,11
123,1759357682.1933286,-21.853046135029192,-21.104141881942066,0.6538756624844814,5.685340625877233,0.7587027642099018,4.610568935116289,0.7587027642099018,11
124,1759357683.1945794,-21.966289721238336,-21.773333185440773,0.6778576403902236,5.5547655734760895,0.9051627535718525,5.260034483124879,0.9051627535718525,11
