step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1757856465.1589425,-17.217328943586338,-23.046129440421023,nan,4.349353292891806,5.750708516506837,1.3908384072031266,1.3908384072031266,0
2,1757856466.1582873,-16.82850853362946,-22.766910089633242,0.47900450090364755,3.331677807601247,5.204381293061618,1.8340096181873549,1.8340096181873549,0
3,1757856467.1599958,-16.469891245737006,-22.383601175076873,0.5240162146535279,2.561192995999854,4.546567468451776,2.36997043933529,2.36997043933529,0
4,1757856468.1660771,-15.964837616518732,-21.964081720971247,0.6525949312846412,2.6224652784705444,4.24262539178327,2.7097672917915085,2.6224652784705444,0
5,1757856469.1617053,-15.406030075384558,-21.599760382052814,0.6700093360423317,3.453835008416283,4.13045887739579,1.920468692758658,1.920468692758658,0
6,1757856470.1588635,-14.86020810043787,-21.301081764476518,0.6239713018200352,4.596343605995649,4.173882956736379,1.5212066048513224,1.5212066048513224,0
7,1757856471.1572483,-14.255964741639522,-21.01759968496539,0.6685168286243964,5.878294759786918,4.388538165967528,2.3597376649698263,2.3597376649698263,0
8,1757856472.1576314,-14.183638377035107,-20.917328175097403,0.12358710499323781,6.7200039742367785,4.2607132740105165,3.0870887014095723,3.0870887014095723,0
9,1757856473.1634793,-14.062316238080319,-20.552753272284683,0.38199770216874834,7.794065515466833,4.699536432864779,4.08383288830331,4.08383288830331,1
10,1757856474.157436,-14.352798837587308,-20.097419758073706,0.5433845938616338,7.5171532693405645,5.272521665053065,4.717931808365096,4.717931808365096,1
11,1757856475.1564605,-14.837258687264985,-19.653345788110993,0.6578349351503734,6.981628446799551,5.87746120339349,5.176880404504972,5.176880404504972,1
12,1757856476.1579082,-15.388282713787145,-19.265063928254797,0.6731103257372485,6.185016822397528,6.45841941257382,5.534443041618287,5.534443041618287,1
13,1757856477.1625538,-15.74730189373856,-19.007237639441783,0.43996196358603956,5.353047771840547,7.165688261358748,6.07417130243917,5.353047771840547,1
14,1757856478.162026,-16.194683123345033,-18.89531232099661,0.46141298908385137,4.252538206134623,7.706105683189145,6.523562223337143,4.252538206134623,1
15,1757856479.1590652,-16.861167863411254,-18.802044920324114,0.6749773801933353,2.945622098633501,8.101314367523754,6.717059933339688,2.945622098633501,1
16,1757856480.1622763,-17.52038078557634,-18.88671977775792,0.6625015433352139,1.4736135667756893,8.316089834364776,6.926129930285294,1.4736135667756893,1
17,1757856481.1627522,-17.448507612238735,-18.92139632895721,0.0797631463435181,1.0744509585232598,9.016316017279905,7.871017805529937,1.0744509585232598,1
18,1757856482.1587343,-17.578315229517006,-18.953943255201168,0.13436556519895773,1.6460861030518763,9.411492665631762,8.65245215747753,1.6460861030518763,1
19,1757856483.1603823,-18.254416138522362,-19.065024615978988,0.6840380542865772,2.779449743424707,8.437155820942724,7.829928771752484,2.779449743424707,1
20,1757856484.161167,-18.933067503379583,-19.036546113844008,0.6787160843156108,3.9708311575259976,7.506743855928392,6.463297179189163,3.9708311575259976,1
21,1757856485.156899,-19.56440149214988,-19.13300142846578,0.6413971549901598,5.286484530475784,6.647605930651022,5.0030765605003475,5.0030765605003475,1
22,1757856486.160567,-20.199859287435892,-19.237391863127257,0.6416216204863322,6.552766073326117,5.8931006645942565,3.423272637128244,3.423272637128244,1
23,1757856487.1639514,-20.80512245514222,-19.31260642730512,0.6078614112343342,7.687617986192816,4.955279552054752,1.9051022785674117,1.9051022785674117,1
24,1757856488.1593528,-21.16778428186905,-19.39396388154167,0.3733925337994885,8.595224095538892,3.803742079245353,1.1586975289831438,1.1586975289831438,1
25,1757856489.1584346,-21.798507332144805,-19.574099172675744,0.6565450979534124,9.54774383339123,2.533703920877823,2.0778653793335202,2.0778653793335202,1
26,1757856490.1582723,-22.348931119493535,-19.652328606427062,0.5560454862583952,8.962251529076191,1.8348101714273821,3.7019528518161664,1.8348101714273821,1
27,1757856491.1622672,-22.72982527293997,-19.999629228230745,0.5134080591636406,8.542024200242874,1.8292645953360787,5.13310531537892,1.8292645953360787,1
28,1757856492.1645753,-22.935292897140734,-20.57886273327906,0.6131808246761848,8.2909753459724,2.2678602811332507,6.271490786185069,2.2678602811332507,1
29,1757856493.1600528,-22.990719691433558,-21.26187045710824,0.68836618337807,8.067671078453907,2.9180155389167557,7.258813651797256,2.9180155389167557,1
30,1757856494.1564512,-23.14708411471639,-21.822430403192964,0.5840634004904037,7.798380961486492,3.8205232774711697,8.291365992296864,3.8205232774711697,1
31,1757856495.1653118,-23.461562131875166,-22.316360927325984,0.5804030044201303,7.611041838549564,4.9101949439964105,9.332563365394698,4.9101949439964105,1
32,1757856496.164101,-23.83145697453,-22.668687235185295,0.5114578863724664,7.385086149062418,6.180786198063192,10.256060755744965,6.180786198063192,1
33,1757856497.1649518,-24.24729360114401,-22.916199625196587,0.4835126183981231,7.203945516749658,7.488184351205042,9.87539010167638,7.203945516749658,1
34,1757856498.1569934,-24.619526696785684,-23.15947453570871,0.44824717518203055,7.0553033487122665,8.528744183194537,9.337590020543368,7.0553033487122665,1
35,1757856499.1640332,-24.964316864550113,-23.408007653132895,0.4220570085902965,7.000100278194594,8.153589451354211,8.814424583229416,7.000100278194594,1
36,1757856500.1564896,-25.14757248561175,-23.551230918038833,0.23435230128676737,6.852662637479159,7.419644923145272,8.170791547542553,6.852662637479159,2
37,1757856501.1628814,-24.75605197823492,-23.197536200115188,0.5242740782312166,6.15290389122828,6.003913701022218,6.873429188739199,6.003913701022218,2
38,1757856502.1587896,-24.463049522199928,-22.77984614900744,0.5123073788609501,5.802459903698664,4.687772588037496,5.679622599020985,4.687772588037496,2
39,1757856503.1607535,-24.235679326290132,-22.636156971264988,0.26844082288114385,5.74551751889636,3.3143829431902585,4.655956255060675,3.3143829431902585,2
40,1757856504.1577237,-23.804538619622836,-22.311150344159962,0.5415589853575516,5.846830258576802,2.228850297173151,3.4152932918178367,2.228850297173151,2
41,1757856505.1590793,-23.422527088627934,-21.928922554968775,0.5396672285675956,6.351070155971916,2.146052999499833,2.2739074023772368,2.146052999499833,2
42,1757856506.1614354,-22.882883688377078,-21.736464828826545,0.5715887098530581,5.9043560121038245,2.8396511076194186,1.667461208839311,1.667461208839311,2
43,1757856507.1595304,-22.836467907439776,-21.668531742378065,0.08243296367039084,5.450832839299322,3.4038671365605326,2.0379939126548248,2.0379939126548248,2
44,1757856508.159752,-23.162964946130288,-21.695885833298505,0.32756835150422287,5.167415905735487,2.9833312967633865,2.6451262881586475,2.6451262881586475,2
45,1757856509.1609337,-22.94899826506134,-21.74609702810753,0.21951978060735938,4.547186285559177,2.9166568290366235,3.6191338250749396,2.9166568290366235,2
46,1757856510.1615252,-22.84208322441654,-21.84354464323243,0.1445756839468263,4.158748338498899,3.0959123445033656,4.647636587484683,3.0959123445033656,2
47,1757856511.1612349,-22.359902077450002,-22.250358193300393,0.6310524343154432,3.7853108451662583,4.089031915629837,5.008748585450797,3.7853108451662583,2
48,1757856512.1564198,-21.812809425912903,-22.574580264695122,0.6390253353566797,4.0000891342945435,5.0221481502611995,4.9471255295839045,4.0000891342945435,2
49,1757856513.165789,-21.193208064675993,-22.786189863311478,0.6486625937774312,4.696158979567232,4.677952049778665,4.71367015361779,4.677952049778665,2
50,1757856514.1651824,-20.553850874764233,-22.786821093700777,0.6397455307639047,5.48199657020664,4.258925011922759,4.225948145349529,4.225948145349529,2
51,1757856515.160252,-19.8978032733932,-22.748137201495044,0.6604432665006525,6.435744814011788,3.821944306333235,3.6324145867769344,3.6324145867769344,2
52,1757856516.1614413,-19.263429965560352,-22.762947019022683,0.6337924300713562,7.492634049934289,3.4364056637686566,2.968975012739543,2.968975012739543,2
53,1757856517.161053,-18.60232611914832,-22.87981175426035,0.671614448572431,8.665305205253505,3.142102900586374,2.438990253987014,2.438990253987014,2
54,1757856518.1576173,-17.971176009486133,-22.979573445265,0.6411886779353226,9.780365921280357,2.8233863604723846,1.858299380207366,1.858299380207366,2
55,1757856519.1583474,-17.324648202405697,-23.004798657317103,0.6465477147049334,10.74139720417655,2.5726417616303925,1.2772145327332964,1.2772145327332964,2
56,1757856520.161451,-16.701710785539586,-22.89086311242807,0.6313117145616068,11.4285724326708,2.308013035115111,0.6581507500954469,0.6581507500954469,2
57,1757856521.1622696,-16.492958892497654,-22.768669500486972,0.2416877562775465,11.973129888786415,1.8665916767267785,0.7705703658233978,0.7705703658233978,2
58,1757856522.1617033,-16.808176778074497,-22.778933159030373,0.3155636223937727,11.21587826331266,1.4005769812864668,1.959001080183974,1.4005769812864668,2
59,1757856523.1568604,-16.70011457997212,-22.893121846348834,0.15797990131227224,10.370140104878171,1.713279401778744,2.599578095048888,1.713279401778744,2
60,1757856524.1640608,-16.660452728009094,-22.948835055430628,0.06789986067611889,9.494818222132656,1.6508798552747312,3.15163353606466,1.6508798552747312,2
61,1757856525.15796,-16.34088384879919,-23.3309584656632,0.50119685467446,8.931273745876569,1.6465368071235318,1.911640584262185,1.6465368071235318,2
62,1757856526.1639767,-15.920232830088569,-23.440908032813923,0.43218259271887394,8.2008649150912,2.742764840900905,0.907589481079403,0.907589481079403,2
63,1757856527.1568305,-15.374958830332544,-23.189317690157683,0.6048398980161919,7.263146323721991,4.431715284737221,1.2108741537627912,1.2108741537627912,2
64,1757856528.1578248,-14.848568415518343,-23.00485620826929,0.5572209688532571,6.527478961969659,6.147815996450552,2.527166223881824,2.527166223881824,2
65,1757856529.1576807,-14.702984575665155,-22.965596511843366,0.15080625910602896,5.821249872523549,7.495681385229966,3.6351470726401427,3.6351470726401427,2
66,1757856530.1580994,-14.773507957699291,-22.708423052734325,0.26655624012079665,4.94343824987575,8.60701084986348,4.457655497477741,4.457655497477741,2
67,1757856531.1619034,-14.880682535915161,-22.668689688494947,0.11386964504730629,4.243581947192181,9.523066754042272,5.32944191211249,4.243581947192181,2
68,1757856532.1568432,-15.003719224462996,-22.74119041905231,0.14353521892381318,3.7830094890226116,10.205344057678682,6.212516528156217,3.7830094890226116,2
69,1757856533.1624975,-14.882775187415135,-22.741891229317034,0.12026604295484584,3.7520069343522393,10.776889679382984,7.352687713453045,3.7520069343522393,2
