step,time_s,rx,ry,speed_mps,d1_triangle,d2_triangle2,d3_triangle3,dmin,goals
1,1770571828.34,nan,nan,nan,nan,nan,nan,nan,0
2,1770571828.34,-7.690912676131265,0.5293181733964063,nan,nan,nan,nan,nan,0
3,1770571828.34,-7.690912676131265,0.5293181733964063,0.0,1.7779259897774973,nan,nan,1.7779259897774973,0
4,1770571828.34,-7.690912676131265,0.5293181733964063,0.0,1.7779259897774973,2.3039656446358316,nan,1.7779259897774973,0
5,1770571828.34,-7.690912676131265,0.5293181733964063,0.0,1.7779259897774973,2.3039656446358316,1.824914346930772,1.7779259897774973,0
6,1770571829.34,-8.143074736605366,0.23657750103880157,0.5418730139016126,2.4441245921192594,2.354778328651854,3.7162869804014385,2.354778328651854,0
7,1770571830.34,-8.75278585302142,-0.055139313953163065,0.6758433476233152,3.6911740396294768,3.2100785403885848,5.526046772923801,3.2100785403885848,0
8,1770571831.34,-8.992812516717615,-0.2089128442647998,0.28505641647997726,4.8170649477516605,4.28561007833767,6.721397640707748,4.28561007833767,0
9,1770571832.34,-9.31128102968344,-0.5858287059183603,0.4934694967173029,5.463151284172713,4.78753851637947,7.755084808779358,4.78753851637947,0
10,1770571833.34,-9.368876225475235,-1.1376426541765743,0.5547202792539115,5.0456497439339785,4.2266283237580335,7.477987313165166,4.2266283237580335,0
11,1770571834.34,-9.14226323355996,-1.7063013032970775,0.6124039852504972,4.695079043258366,3.7274236416885245,6.712893981721588,3.7274236416885245,0
12,1770571835.34,-8.750302790521976,-2.2077457421218334,0.6362959446874193,4.691504227276809,3.694329641069964,5.680738981805663,3.694329641069964,0
13,1770571836.34,-8.298914431695604,-2.6459984383483968,0.6294307725269076,5.169344713023607,4.2519963238542475,4.495465209462692,4.2519963238542475,0
14,1770571837.34,-7.754036505046871,-3.0393717440883274,0.6715225299516848,5.882119375125056,5.035702991752542,3.2792594282187184,3.2792594282187184,0
15,1770571838.34,-7.145854713505248,-3.343872591660724,0.6807115890271276,6.53227173182601,5.85223775103479,2.1936572237503897,2.1936572237503897,0
16,1770571839.34,-6.528914554335887,-3.621402851892198,0.6761328780935821,7.081692815078947,6.497969260291157,1.3623677288262936,1.3623677288262936,0
17,1770571840.34,-6.021683920801794,-3.902685926015912,0.5802379735954264,6.787779868808756,6.307458222289235,0.34765458674397653,0.34765458674397653,0
18,1770571841.34,-5.5596489600994135,-3.9592115556087673,0.4654152272237541,5.881221051616938,5.591273093329523,1.130683768684165,1.130683768684165,0
19,1770571842.34,-4.8883287008815115,-4.055235368067433,0.6779658003444502,5.07252902191336,5.034732550392332,2.901995118625418,2.901995118625418,0
20,1770571843.34,-4.213607745990483,-4.1630233739223135,0.6833400892054653,4.735128214921345,5.065387917060316,4.627711567288702,4.627711567288702,0
21,1770571844.34,-3.527932860689104,-4.295458585842172,0.698714587234555,5.124971685884361,5.754703237522657,5.863288861834042,5.124971685884361,0
22,1770571845.34,-3.052831088244971,-4.414719747270331,0.48968458295251843,5.830784754025056,6.6105851856090485,5.989557349124232,5.830784754025056,0
23,1770571846.34,-2.834746139616467,-4.485026648140517,0.22910453204856626,6.434328031690875,7.2855004295587005,5.809187416666494,5.809187416666494,1
24,1770571847.34,-2.79658166093209,-4.516637191002934,0.04958025705812961,6.309542029883967,7.18290133814074,5.59850079449392,5.59850079449392,1
25,1770571848.34,-2.800315869962464,-4.550130950525568,0.033684374346599814,5.349490344692835,6.301776965150219,5.628344058823727,5.349490344692835,1
26,1770571849.34,-2.9759276358196542,-4.790073190584179,0.2972821989878018,4.189974990922781,5.103011420635868,6.087856840810927,4.189974990922781,1
27,1770571850.34,-3.3818381867278338,-5.215850157463156,0.5882966661546606,2.920251203942082,3.8250461735926433,6.9567734361220435,2.920251203942082,1
28,1770571851.34,-3.9663004573676486,-5.495880688393261,0.64805524018908,1.804563343786386,2.6690537549855016,7.749488033623335,1.804563343786386,1
29,1770571852.34,-4.622479495311674,-5.5635342237155925,0.6599892933124403,1.7447878307207914,2.2499779562607114,7.399306923031746,1.7447878307207914,1
30,1770571853.34,-5.308100380091722,-5.627482859421068,0.6882491619964565,2.6630008023844884,2.6135381710927192,6.780094437218218,2.6135381710927192,1
31,1770571854.34,-5.986429374820454,-5.579319681790122,0.6801545939208465,4.029294009019745,3.676567726788912,5.851241254150905,3.676567726788912,1
32,1770571855.34,-6.646944771726998,-5.481264636193909,0.6677417242226524,5.543339070268095,4.987505511726993,4.851909608785672,4.851909608785672,1
33,1770571856.34,-7.330525685700811,-5.358984765945974,0.6942834401737611,7.0050678043376395,6.433337216047787,4.059409500942538,4.059409500942538,1
34,1770571857.34,-7.74950046178505,-5.268382664064023,0.42888649051855293,8.263305040721686,7.6643996972565045,3.3383521732177788,3.3383521732177788,1
35,1770571858.34,-7.941660358633121,-5.194507359893547,0.20577517653552985,9.13245779134073,8.52693038759011,2.810639793930111,2.810639793930111,2
36,1770571859.34,-8.081058025354302,-4.972910201683267,0.2617723991512318,8.940726166412315,8.361400931125564,2.5775234236559292,2.5775234236559292,2
37,1770571860.34,-8.272975248333925,-4.421059948858713,0.5844200463284286,7.8815904253826,7.260337877368474,2.228200760064842,2.228200760064842,2
38,1770571861.34,-8.255633254797539,-3.8306902831721117,0.5905271726716929,6.396631061046619,5.794879582626615,1.7923751104196197,1.7923751104196197,2
39,1770571862.34,-8.066190652027755,-3.21250910361239,0.6468218768504658,4.6732772580566,4.190120526138152,1.634254088701097,1.634254088701097,2
40,1770571863.34,-7.907162517318168,-2.9585652146279444,0.2995914193567818,3.3615489079954126,3.0111333771271167,2.269103354827987,2.269103354827987,2
41,1770571864.34,-7.372981671846203,-2.559698664796335,0.666509266130196,2.094382410194733,2.2727537554093002,1.876440217626022,1.876440217626022,2
42,1770571865.34,-6.8145095068800785,-2.1595780725491305,0.6869578850709455,1.820259803760852,2.6361489358373977,1.8349437412766547,1.820259803760852,2
43,1770571866.34,-6.261959869659395,-1.7580863773893445,0.6832256840489954,2.0918361024748364,3.062828881785067,1.962652416085233,1.962652416085233,2
44,1770571867.34,-5.713955696401182,-1.3507855046884876,0.6825701024197276,1.9826783622225197,2.9586435131341813,2.26816111704802,1.9826783622225197,2
