step,time_s,rx,ry,speed_mps,d1_triangle,d2_triangle2,d3_triangle3,dmin,goals
1,1759005744.0899663,-7.801907341490916,-5.157811341594822,nan,2.495615826440068,2.277589710890438,7.702694379360713,2.277589710890438,1
2,1759005745.0940394,-7.817397420400826,-4.966552342739842,0.1911068393548835,2.212310529296469,1.4836329852437353,8.403471518497538,1.4836329852437353,1
3,1759005746.0934403,-7.755635577073174,-4.519541532280295,0.45152787445492343,2.3250616720306043,1.3292395235869967,8.648176648398852,1.3292395235869967,1
4,1759005747.0911813,-7.764638450220745,-3.8995641408170525,0.6214466125594788,2.5828120661365888,1.596537982524217,7.778172168900212,1.596537982524217,1
5,1759005748.0909114,-7.5671911385474875,-3.409093986407351,0.5288642243821612,2.8056376894143193,1.8293123285572959,6.46174277412615,1.8293123285572959,1
6,1759005749.0870564,-7.1558030860898425,-3.101792090299638,0.5154797056279194,3.0230712039254675,2.1062939932975024,4.942873051378027,2.1062939932975024,1
7,1759005750.0888596,-7.00839847980851,-3.022830030880069,0.16692079835342089,3.78687850943837,2.970353040788044,3.7339549689416596,2.970353040788044,1
8,1759005751.0945501,-6.738510843235155,-3.1405134009133775,0.29276347614710213,4.728897241101322,3.987548899504718,2.6150813623427926,2.6150813623427926,1
9,1759005752.087198,-6.927929519795541,-2.8248001111944925,0.3709039456517323,5.647111276394949,4.927296304950624,2.1877050830519673,2.1877050830519673,1
10,1759005753.0915618,-7.109289841383134,-2.5299443755209463,0.34466279456850063,6.409472065744015,5.681909571774984,2.420216040798272,2.420216040798272,1
11,1759005754.0899792,-6.603720816225043,-2.7507160290351216,0.5525448081926211,6.533946725507827,5.885825211107808,1.9510793641177433,1.9510793641177433,1
12,1759005755.0889444,-5.98572279217831,-2.9616578904653568,0.6536833016832919,5.662063835716203,5.13747034887561,0.7397995084614313,0.7397995084614313,1
13,1759005756.0896988,-5.406040395792203,-3.178840284213379,0.6185647806167047,4.775796540831881,4.495969061745599,1.4180605401468163,1.4180605401468163,1
14,1759005757.0899026,-4.893976185488509,-3.5375866898966795,0.6250995248305138,4.304693821325048,4.362729214967489,3.0843650511662504,3.0843650511662504,1
15,1759005758.0867403,-4.460088296045743,-3.7515043698699335,0.4852902678679059,4.193171752258612,4.602599683133576,4.5001991112683415,4.193171752258612,1
16,1759005759.0934827,-3.9935338870904222,-3.6546427527497887,0.47331179028411996,4.407877695825355,5.100028418608238,5.022555805307185,4.407877695825355,1
17,1759005760.090208,-3.5396164225361817,-3.283819877488416,0.5880576558233376,4.901029356604946,5.77086772805233,4.782671012666369,4.782671012666369,2
18,1759005761.090625,-3.3167696203039636,-2.8857332327835383,0.45602653589962683,5.368078958865077,6.325767764467511,4.238194965513631,4.238194965513631,2
