step,time_s,rx,ry,speed_mps,d1_triangle,d2_triangle2,d3_triangle3,dmin,goals
1,1759253782.002858,-4.426940152163577,-3.338208768219437,nan,5.460091567342303,5.156778485432062,1.0533246090839268,1.0533246090839268,0
2,1759253783.0012693,-4.599131334315826,-2.866172568464012,0.5032613885424942,5.4201396571919105,5.027147998411128,1.6886287441201342,1.6886287441201342,0
3,1759253784.0028858,-4.883905320264817,-2.324066502595851,0.6113639378510046,4.480646117561619,4.093089946934965,1.7698533612608525,1.7698533612608525,0
4,1759253785.003628,-4.997070743731549,-1.891232319375208,0.44705152886504035,3.344833098880032,3.1014746636885624,2.0429481071997073,2.0429481071997073,0
5,1759253786.0073886,-5.035308551245796,-1.950622702548252,0.07037067936234535,2.671562765907056,2.7540878826269477,2.590942219197754,2.590942219197754,2
6,1759253787.0024168,-5.061960461586359,-2.1637750236932645,0.21588542216628503,2.493559006993392,2.9590035464753717,3.3265760398862327,2.493559006993392,2
7,1759253788.0048008,-5.0627196849025475,-2.2512638373308866,0.08728402729804435,2.674679719552869,3.4326266490581765,3.3697400401292583,2.674679719552869,2
8,1759253789.0068412,-5.108508333429648,-2.366632257399067,0.12387007012139098,3.128796675046649,4.010278749432056,2.932866014204404,2.932866014204404,2
9,1759253790.0039473,-5.100243056753211,-2.311716117058629,0.05569582879534693,3.5325160744167046,4.468322837524271,2.601255861471256,2.601255861471256,2
10,1759253791.0057738,-4.990477154017983,-2.0354273215914755,0.29675252827792764,3.061512588965586,4.029389263076032,2.4789854340814275,2.4789854340814275,2
11,1759253792.0034099,-4.906427769014536,-1.943741814281158,0.12467531330288015,2.418301431637375,3.4129985228776447,2.923672212587947,2.418301431637375,2
12,1759253793.0025842,-4.514631191325638,-1.5192626344262532,0.5781339194615545,2.571622009837133,3.3932342211666278,3.1520198604501877,2.571622009837133,2
13,1759253794.0083067,-4.100077857738825,-1.3433132976172832,0.4477847802329728,3.1125795690817,3.7530202003551656,3.518873417207086,3.1125795690817,2
14,1759253795.0018635,-3.676184232100334,-1.3020046466941961,0.4286636363214633,3.4908719698668826,4.072191453929483,3.648659797216274,3.4908719698668826,2
15,1759253796.001509,-3.2076348138386948,-1.187489238425061,0.4825115414017694,3.1424891700258004,3.8149558262024037,2.6637515106709233,2.6637515106709233,2
16,1759253797.0018973,-2.7754295792521706,-1.1381145957891734,0.43484745694459626,2.513897607636048,3.3256387830572254,1.6154659758332002,1.6154659758332002,2
17,1759253798.0015357,-2.458441523431887,-1.0821850927429901,0.32200081478526743,1.779949055582793,2.7343994494399424,1.0460043757843611,1.0460043757843611,2
18,1759253799.0056648,-2.5865532977764105,-1.0856123131333237,0.1276305996821767,0.9535727017250677,1.9366128376987373,1.3908186351936715,0.9535727017250677,2
19,1759253800.0070357,-2.7842033286292875,-1.432235435009223,0.3984689280600658,1.637007541623903,2.0071678384867537,2.0246335871384287,1.637007541623903,2
20,1759253801.009679,-2.8290257539366133,-1.8996449746133883,0.46831583245300856,3.0274173933122968,3.07507491363144,2.641748637092959,2.641748637092959,2
21,1759253802.006155,-2.827870338278671,-2.385626038009631,0.48770112737159244,4.250809577866501,4.197945922287156,3.0647143411407147,3.0647143411407147,2
22,1759253803.0060341,-2.8287906767670936,-2.4380731268099756,0.052461504655433665,4.3527577163498545,4.3432576193407915,3.2720127324198933,3.2720127324198933,2
23,1759253804.0012891,-2.883982781639808,-2.025709651406723,0.41802415552936745,3.5549473050617335,3.7312289040964632,3.639631571288946,3.5549473050617335,2
24,1759253805.0091655,-2.918845537329861,-1.8324798456739537,0.1948151690830661,3.092255715044165,3.561174489995066,4.194725180246053,3.092255715044165,2
25,1759253806.0022388,-2.9010553917541815,-1.9776063498146241,0.14723267703199727,3.3202854698117967,4.048284075082347,4.919003427246876,3.3202854698117967,2
26,1759253807.0086315,-2.652558748243465,-2.3484215286602703,0.4435438486754353,4.232140475536428,5.085782771153299,5.846659330297895,4.232140475536428,2
27,1759253808.0053766,-2.388437027990189,-2.4906057658492675,0.30094059349236874,5.1819724433553445,6.110737027072501,5.8292970015663075,5.1819724433553445,2
28,1759253809.0113115,-2.576404880286076,-1.8831656710043663,0.6321064665098076,5.48476810184664,6.467762203440923,4.806077275292856,4.806077275292856,2
29,1759253810.0017161,-2.6299703609135894,-1.6261016768626835,0.26512954723471344,5.761559478046373,6.767588965892367,3.902778297010393,3.902778297010393,3
30,1759253811.002988,-2.661895316213059,-1.6503931077817489,0.04006482627210239,5.1605202248126805,6.14845529868398,3.2831768996024198,3.2831768996024198,3
31,1759253812.0036993,-2.9642635650927165,-1.9842363726680885,0.4500995628038929,4.158918305178523,5.120518077336802,3.2148747835790035,3.2148747835790035,3
32,1759253813.0033054,-3.2787113128868457,-2.307724283706964,0.45131167800375377,3.2042728532543823,4.159815378472289,3.818435820364109,3.2042728532543823,3
