step,time_s,rx,ry,speed_mps,d1_triangle,d2_triangle2,d3_triangle3,dmin,goals
1,1770517279.92,nan,nan,nan,nan,nan,nan,nan,0
2,1770517279.92,-6.6212251595073806,-0.6262357703655355,nan,nan,nan,nan,nan,0
3,1770517279.92,-6.6212251595073806,-0.6262357703655355,0.0,2.228025113568502,nan,nan,2.228025113568502,0
4,1770517279.92,-6.6212251595073806,-0.6262357703655355,0.0,2.228025113568502,1.4819374231972655,nan,1.4819374231972655,0
5,1770517279.92,-6.6212251595073806,-0.6262357703655355,0.0,2.228025113568502,1.4819374231972655,1.5891728788407438,1.4819374231972655,0
6,1770517280.91,-6.741135463507201,-0.6041941146117721,0.12271510517227828,0.7446973661928457,0.8084190923279219,1.9663192650494694,0.7446973661928457,0
7,1770517281.91,-7.242500969905046,-0.6623808426268881,0.5045253549353569,0.18586519046923738,1.0832779063101554,0.5865491194477991,0.18586519046923738,0
8,1770517282.91,-6.685305107227159,-0.7750629393250057,0.5689568651365476,1.4279721673029993,2.4268226013640004,0.5291921115213347,0.5291921115213347,0
9,1770517283.91,-6.089279225664886,-1.0608053466418101,0.6608506235796073,2.1772273377841547,3.1531345556335406,1.2462144934465025,1.2462144934465025,0
10,1770517284.91,-5.516210997780334,-1.4553567345031249,0.6959597356119616,2.1509684188627753,3.1376284811896262,2.2906952157478875,2.1509684188627753,0
11,1770517285.91,-4.996225858095527,-1.9094649895154048,0.6903176133796534,2.0186163874798666,2.9736928594711793,3.404076282431934,2.0186163874798666,0
12,1770517286.91,-4.5030152151916365,-2.3889582177718673,0.6879276909596881,2.003142546445792,2.8309927002516115,4.392801738808783,2.003142546445792,0
13,1770517287.91,-4.085995572827977,-2.8318367143264993,0.6083214924797584,2.0349781803624243,2.8072781808116214,5.20261157523756,2.0349781803624243,0
14,1770517288.91,-3.8995997107590377,-3.0703331477212927,0.30239444415386485,1.5891011638497343,2.47018050479965,4.927707853108697,1.5891011638497343,1
15,1770517289.91,-4.249996553019625,-2.668956580150731,0.532805821682416,0.7189729715461678,1.5884963351410675,3.805612026520659,0.7189729715461678,1
16,1770517290.91,-4.737115435880784,-2.2898112294919537,0.6178523961524639,0.5373948741049569,0.49224931554531476,2.576283665375756,0.49224931554531476,1
17,1770517291.91,-4.745067621178953,-2.2853784203580365,0.009104885816188466,1.6595392421639816,1.2310037327156833,1.4156002609807958,1.2310037327156833,1
18,1770517292.91,-5.159942244112484,-2.0852777204279604,0.46034261056726244,2.9371445678611017,2.334967357420992,0.8834899123719423,0.8834899123719423,1
19,1770517293.91,-5.623366978221704,-1.9957174938698068,0.47190745538245316,4.267866846757931,3.6148825199917294,1.5726627801484552,1.5726627801484552,1
20,1770517294.91,-5.859168618499883,-2.0535499098642926,0.2429769195159349,5.304601347346616,4.658945720654322,2.1378488722874005,2.1378488722874005,1
21,1770517295.91,-5.574635454860907,-1.9339958445704448,0.3086096196402563,5.128417920772592,4.502143510500322,2.3017240989210572,2.3017240989210572,2
22,1770517296.91,-4.974076942029933,-1.899075470364743,0.6016205261192346,4.018255378219172,3.6145673780265013,2.0140156522102894,2.0140156522102894,2
23,1770517297.91,-4.363644940586338,-2.1102616087607986,0.6452960251969545,3.2378229348124767,3.256689543182082,2.690222694371089,2.690222694371089,2
24,1770517298.91,-3.777503256555419,-2.4468479875618026,0.6765623904985643,3.274740484099009,3.763698680186352,4.06440291629967,3.274740484099009,2
25,1770517299.91,-3.2313495936251617,-2.858914273541435,0.6839323329164969,4.114770869510359,4.87022089709169,5.429544087614609,4.114770869510359,2
26,1770517300.91,-2.790903582758159,-3.251250524228095,0.5899942285741347,5.184793864619725,6.045170156596526,5.708092260912308,5.184793864619725,2
27,1770517301.91,-2.5903796193676563,-3.4783452264161325,0.30270067554167884,6.012959425407245,6.922646288161536,5.477719403767839,5.477719403767839,2
28,1770517302.91,-2.6138827051085594,-3.320200008961868,0.1599799176585029,6.142117076010468,7.0824772799173035,4.856706873308779,4.856706873308779,3
29,1770517303.91,-2.8606000856580347,-2.6817787463958664,0.6843982167181176,4.96540036377086,5.950608403860272,3.9023166588711713,3.9023166588711713,3
30,1770517304.91,-3.1494667117286306,-2.0565920752681746,0.6882822294831903,3.863541358322719,4.85508817761155,3.2733744486836893,3.2733744486836893,3
31,1770517305.91,-3.4721193073525916,-1.4492259436200932,0.6877708667386436,3.403736935458474,4.236149043708434,3.087882485263954,3.087882485263954,3
32,1770517306.91,-3.8082874006033727,-0.8486608841734402,0.6888954798743585,3.819548968574988,4.360613546091491,3.2310240066850944,3.2310240066850944,3
33,1770517307.91,-4.1354549348147485,-0.256415803695525,0.6760529695414742,3.999267058883756,4.382285793651678,2.7457756559512996,2.7457756559512996,3
34,1770517308.91,-4.317029248267818,0.065736607316982,0.3697878594081756,3.424183097800022,3.7072680401185427,1.9416517777901001,1.9416517777901001,3
35,1770517309.91,-4.400333887093653,0.21166012282477542,0.16801800681791199,2.5416688979588735,2.6940509878314147,1.3301802860480074,1.3301802860480074,4
36,1770517310.91,-4.3332618895529516,0.09508149444427497,0.13454242963214028,1.4604419889330738,1.376984754082656,1.3879497183674234,1.376984754082656,4
37,1770517311.91,-4.133119732903807,-0.2617242280426523,0.4092262589961171,0.9790931642624349,0.08635551986323799,1.9624318327328887,0.08635551986323799,4
38,1770517312.91,-4.136748432810886,-0.361019771173605,0.09938611329270368,1.9261673550062461,1.2964821488374403,2.9387180678903437,1.2964821488374403,4
39,1770517313.91,-4.145356172988387,-1.0389971228986858,0.6774992716365069,3.309857370206924,2.837732008883547,3.139833637817684,2.837732008883547,4
40,1770517314.91,-4.000525487456369,-1.7077472530068356,0.6842339494698052,4.12517338083565,3.751451805700257,2.9945054834682763,2.9945054834682763,4
41,1770517315.91,-3.7840976432185425,-2.3557185491533383,0.6831140746012432,4.098592110484114,3.9794369334234814,2.624494847535102,2.624494847535102,4
42,1770517316.91,-3.588476008615296,-3.0267727198568717,0.6994388197442352,4.203047105801994,4.3610866512373905,3.3135841016482703,3.3135841016482703,4
43,1770517317.91,-3.389229065433705,-3.684978786487052,0.6872432730476417,4.584945270514372,4.99423803373964,4.657254845173437,4.584945270514372,4
44,1770517318.91,-3.248985662949939,-4.114531670097345,0.4518418014097774,5.047702196006908,5.647720933294509,5.8580663303521865,5.047702196006908,4
45,1770517319.91,-3.1792930396022903,-4.314875897308382,0.21225840410490837,5.519204257887162,6.233478220988489,5.9822476403575635,5.519204257887162,5
46,1770517320.91,-3.424493321911067,-3.774623298778678,0.593224235536112,5.372318636019701,6.224124149162498,5.068000289739169,5.068000289739169,5
47,1770517321.91,-3.688228375115002,-3.3537135932953506,0.4969384093207748,5.252433202322859,6.163673489890522,4.223108982848933,4.223108982848933,5
48,1770517322.91,-3.847672599994345,-3.172745747390343,0.2409874307715752,4.285981252365728,5.23121948095046,3.924474745229585,3.924474745229585,6
49,1770517323.91,-3.890466710632755,-3.130714385014312,0.0599743553326279,3.274329956940972,4.258786577787261,4.204077879787842,3.274329956940972,6
50,1770517324.91,-4.42246684829978,-3.0392318230967197,0.5403138539951103,1.8835590160749016,2.870298193097628,4.76921509407876,1.8835590160749016,6
51,1770517325.91,-5.047468402179856,-2.775113722770909,0.6782121941055146,1.5064238946110313,2.0894244004315397,5.438107355506235,1.5064238946110313,6
52,1770517326.91,-5.573381838084541,-2.3495595847582638,0.6768511325126911,1.864231392529171,1.9767783159639774,5.398584427481534,1.864231392529171,6
53,1770517327.91,-6.01866452779094,-1.8387834845271762,0.6773424219687489,1.965929900432567,1.6191985404804135,4.552536943324858,1.6191985404804135,6
54,1770517328.91,-6.398645963034696,-1.2601262428134827,0.6920559099036112,2.359009700518518,1.5919513245529346,3.6853776853613045,1.5919513245529346,6
55,1770517329.91,-6.758012475095787,-0.6739458046405672,0.6880542372719957,3.040938071057878,2.0830798490733686,3.203430781128471,2.0830798490733686,6
56,1770517330.91,-7.092111251463162,-0.06689974596353049,0.6923079550098199,3.858195894853396,2.861605135267115,3.547841495107619,2.861605135267115,6
57,1770517331.91,-7.380204906504906,0.5050576537173896,0.6408639767863605,4.686832150660551,3.6878018473829854,4.480838275686595,3.6878018473829854,6
58,1770517332.91,-7.514282776417084,0.8148139507233308,0.3372903435683378,5.313441277107383,4.3246595948692566,5.277936177154754,4.3246595948692566,6
59,1770517333.91,-7.569254020550153,0.9805822429566098,0.1748014960288969,5.636745362299598,4.62999974313414,5.776477416341306,4.62999974313414,7
60,1770517334.91,-7.443722133808246,0.761865709936034,0.2519822853398037,4.85371892301343,3.8764986372537313,4.7524897905531205,3.8764986372537313,7
61,1770517335.91,-6.919417462791229,0.36092873072881176,0.6604991279914768,3.426860086762875,2.47429204521258,3.2229699527165425,2.47429204521258,7
62,1770517336.91,-6.306245349529598,0.09905382114702224,0.6668038773985376,1.7248208760198043,0.9345375484187,2.409391056295411,0.9345375484187,7
63,1770517337.91,-5.641148308752568,-0.06836831125329637,0.6852850686958178,0.3275278176114814,1.1840709235774878,2.8154268841287826,0.3275278176114814,7
64,1770517338.91,-4.973348822677594,-0.20633177019107762,0.681760714933474,1.8495036175047939,2.8492267852236983,3.2398458643033057,1.8495036175047939,7
65,1770517339.91,-4.2999757498699935,-0.268020305235984,0.6767185032049212,3.4723659670052953,4.466510967032258,3.115038451623867,3.115038451623867,7
66,1770517340.91,-3.882917231074902,-0.2842476083569043,0.41741688652497866,4.563612839704247,5.5535759187409175,2.526402136241536,2.526402136241536,7
67,1770517341.91,-3.826861981154848,-0.29761731621057524,0.057595356424410375,4.296396776721936,5.2631981971654245,1.6363308884476742,1.6363308884476742,8
68,1770517342.91,-4.477948058291173,-0.4145240734866975,0.6617998732875082,3.349702671241714,4.208619644980017,1.4497265180755743,1.4497265180755743,8
69,1770517343.91,-5.095621079852146,-0.7165270113006004,0.687739590714727,2.871384508581988,3.4392533766384097,2.9068297125550697,2.871384508581988,8
70,1770517344.91,-5.660645964092404,-1.0806556347005258,0.6714916121236492,3.0040404209736784,3.1716678143350454,4.383808208320713,3.0040404209736784,8
71,1770517345.91,-5.951002467348361,-1.3267974643696838,0.38074041836817824,3.0135919398605595,2.9746715711278107,5.035768395377551,2.9746715711278107,8
72,1770517346.91,-6.08349562916525,-1.4710911957366222,0.19587069948719804,2.3883048124760102,2.1135719707952996,4.51082930579512,2.1135719707952996,9
73,1770517347.91,-6.084358884088451,-1.4766782522096524,0.005655281895511878,1.9941736161227774,1.319056607640109,3.637029375407586,1.319056607640109,9
74,1770517348.91,-5.882178045159589,-1.2099791713347192,0.3347323090358303,2.0204021726294243,1.05042556501134,2.4424946905588762,1.05042556501134,9
