step,time_s,rx,ry,speed_mps,d1_triangle,d2_triangle2,d3_triangle3,dmin,goals
1,1767639614.6504023,-1.8806525525601714,-0.3211109566913607,nan,6.064766787285925,7.042464170399309,3.227415942781756,3.227415942781756,0
2,1767639615.649582,-2.017207829363867,-0.18321667032286756,0.1942268002642933,5.5307124720117065,6.4457167792822405,2.2851161890005525,2.2851161890005525,0
3,1767639616.648267,-2.363983940334216,0.21287034141159242,0.5271326579714843,5.3352690970448755,6.091013993798405,1.4652631387465893,1.4652631387465893,0
4,1767639617.6501455,-2.4145754652354623,0.31585355120145564,0.11452389201225341,5.5242537862938335,6.143668814467659,1.6147531568827496,1.6147531568827496,0
5,1767639618.6512427,-2.2472819591796664,-0.10279831757826317,0.4503456565715897,5.02339667693678,5.6788496659987615,1.832116762802534,1.832116762802534,0
6,1767639619.6545267,-2.0256301548264095,-0.5272083961639699,0.47723693877131096,3.974056247593947,4.764439404536763,1.5831709559898042,1.5831709559898042,0
7,1767639620.6540506,-2.0267874347194126,-0.42806533036682565,0.09919704981937093,2.9944034608082606,3.847421729847968,1.1213925238743996,1.1213925238743996,0
8,1767639621.6551454,-2.049311596746185,0.16135287556277014,0.5892033501596847,2.214761124055645,3.0814937453851354,2.064967093008136,2.064967093008136,0
9,1767639622.6553397,-2.0686864381063854,0.25600056664288906,0.0965916338417614,1.2024950656421571,2.158763756831128,3.296842774945343,1.2024950656421571,0
10,1767639623.6485448,-1.865532618568449,-0.17884025641884266,0.4832398451408835,1.2420804629804976,2.024196861457462,4.174725022063499,1.2420804629804976,0
11,1767639624.6513398,-1.8119851071672364,-0.3209977570488094,0.1514847691623772,1.9617267223146915,2.3769956951553795,4.992181497676307,1.9617267223146915,0
12,1767639625.6492484,-2.191350006034444,0.20633125471312116,0.6509718023470019,1.7527464787106308,1.968071133234868,5.589059579270862,1.7527464787106308,0
13,1767639626.6485631,-2.2259161691683436,0.5978672734119916,0.3933283823265915,1.1755615141614513,1.8546535546462057,5.723659333311286,1.1755615141614513,0
14,1767639627.6480548,-2.141176968376604,1.0948626867444338,0.5044242055132651,1.5931218762543409,2.558180100677857,6.082420402244237,1.5931218762543409,1
15,1767639628.649632,-2.2584095008276988,1.5903853529499625,0.5083996946375571,2.7250528165978167,3.6415074213774417,6.40031279062235,2.7250528165978167,1
16,1767639629.6509469,-2.3738024700837963,1.7646334364562932,0.2087182209672474,3.9304837316102526,4.859221329195264,6.582849042868618,3.9304837316102526,1
17,1767639630.6527407,-2.3074789791788426,1.6127623223189258,0.16542482680011283,5.0609359243517185,5.996348406194877,6.245083986136203,5.0609359243517185,1
18,1767639631.652153,-2.507782255547759,1.1567475139368666,0.49836005926703286,5.680281472126098,6.630937031239224,5.032445988291385,5.032445988291385,1
19,1767639632.6478899,-2.50271015369273,0.5695053104533782,0.5897784286866752,6.099112609038645,7.061504600793335,3.7915120617360203,3.7915120617360203,1
20,1767639633.6485887,-2.477109209830043,-0.10347692730893894,0.6729987102147625,5.59233462587693,6.577296224646876,2.729111979402641,2.729111979402641,1
21,1767639634.6501439,-2.542866841737171,-0.7925853757955262,0.6911638726937012,4.849519686417222,5.796881328452036,2.3631677705770007,2.3631677705770007,1
22,1767639635.6482875,-2.7753832743392555,-1.4076214597297723,0.6587433949356988,4.027804430974432,4.919383866317432,2.9400762719723392,2.9400762719723392,1
23,1767639636.6564891,-2.874762418058145,-1.9986084416217402,0.5944093221346575,3.4864682124042417,4.313061922145407,3.9326094334814017,3.4864682124042417,1
24,1767639637.6478884,-2.830120906047191,-2.6782643400288735,0.6870293454794897,2.86762925722604,3.757656127994792,4.505554586112019,2.86762925722604,1
25,1767639638.6493893,-2.831272704221256,-3.2887891245414047,0.6096109394826059,2.0592127909366456,3.0743406395160453,4.331971840697444,2.0592127909366456,1
26,1767639639.651024,-2.9416778805035446,-3.7740470076245316,0.49684677284291445,1.9280915669010241,2.760445915194676,3.879687356714003,1.9280915669010241,1
27,1767639640.6526732,-3.0264726252941823,-4.17255008307969,0.4067538608823011,2.858100214982705,3.3001295643706334,3.2469643161972828,2.858100214982705,1
28,1767639641.6519897,-3.0030586899916747,-4.456700147021523,0.28530810617452074,4.135332517633262,4.338051662878832,2.6519334482685593,2.6519334482685593,2
29,1767639642.6575453,-3.0343405800009493,-4.439884606313582,0.03531883550396646,5.141037981658168,5.172374840028155,2.147127466502301,2.147127466502301,2
30,1767639643.6556993,-3.1178843333200765,-4.475442505671201,0.09096397759552938,6.06256393266107,6.001964923811257,2.103087777610919,2.103087777610919,2
31,1767639644.6512806,-3.0751057188295774,-4.402172857233546,0.08522024223982842,6.467446655031709,6.384010143511113,2.354447938216792,2.354447938216792,2
32,1767639645.6487541,-3.1477172931513717,-4.076952911043777,0.3340713695584448,5.768432887362347,5.776791882549165,2.856423586978435,2.856423586978435,2
33,1767639646.6511986,-2.987178426840021,-3.5029164120721235,0.5946090802800197,4.7851756438871815,5.016562843349245,3.8399271832032174,3.8399271832032174,2
34,1767639647.6484377,-2.7912952475792476,-2.914065863577687,0.6222945819113734,4.116128942945542,4.667184294775555,4.8989198803029455,4.116128942945542,2
35,1767639648.6557465,-2.6940570689066385,-2.392020264565556,0.5271714108831719,4.056866884221978,4.887151299617195,5.651455805536702,4.056866884221978,2
36,1767639649.6523821,-2.982291816335218,-1.8775051521186885,0.5917408149974076,4.20366083463264,5.170042698425066,5.256459905904044,4.20366083463264,2
37,1767639650.6511345,-3.2812956683887937,-1.3786780440170618,0.5823034908451323,4.545723049491974,5.536747979569949,4.176901658275435,4.176901658275435,2
38,1767639651.653266,-3.565141990716908,-0.8827053538062158,0.5702367857469554,5.442663604654985,6.088259967573603,2.9247162093895316,2.9247162093895316,2
39,1767639652.6502426,-3.835834210080946,-0.5066800607145957,0.4647292390011762,4.224484463914893,5.200509507362391,1.7239404808792507,1.7239404808792507,2
40,1767639653.6487534,-3.925590651969797,-0.3956175777724951,0.14301035350128855,3.8047553347284206,4.693341623437434,1.4232693222600885,1.4232693222600885,2
41,1767639654.6573868,-4.230973838223421,0.16844684105946564,0.6359359180560017,4.097411567590585,4.6823255528194325,1.7181234627605104,1.7181234627605104,2
42,1767639655.656603,-4.400388771798285,0.8059362257934958,0.6601339929322934,5.07360187073145,5.419917683684189,2.3555899351154443,2.3555899351154443,2
43,1767639656.6548645,-4.433944635117796,1.4393484083987833,0.6354050757760196,5.739852292294905,5.975000726101935,2.378070478007434,2.378070478007434,2
44,1767639657.654876,-4.215280669280071,1.9735366231258666,0.5772030432712243,5.543505846487574,5.759188347043155,1.9451859145537218,1.9451859145537218,2
45,1767639658.6523044,-4.072546502769762,2.529695510160244,0.5756630450990641,5.123412510107592,5.326403262860251,2.5961778034602014,2.5961778034602014,2
46,1767639659.6492994,-4.126362637142265,2.4903699289063836,0.06685431353310409,4.007419721921262,4.1059795745981305,3.4330442024101404,3.4330442024101404,3
47,1767639660.6497247,-4.422064011210928,2.4148839502888686,0.3050545134802327,3.045069303959139,2.8260005950279212,4.417661238585864,2.8260005950279212,3
48,1767639661.6485271,-4.4829189090995225,2.188998115694918,0.23422008026656557,2.350235467359231,1.7389880769353636,5.212187246898446,1.7389880769353636,3
49,1767639662.6488504,-4.414577611767996,2.000995275128578,0.19997434782726645,2.1986442007435976,1.2502524841866265,5.91507319599119,1.2502524841866265,3
50,1767639663.6494508,-4.276654238824397,2.5126298572353325,0.5295809330008142,2.3300367593050293,1.8022036329442543,7.000373397245132,1.8022036329442543,3
51,1767639664.6531246,-4.2956627456626695,2.7173423688749434,0.2048405898858718,1.9611052315525084,1.2150445561471621,6.7356959930624445,1.2150445561471621,3
52,1767639665.6486351,-4.22801665271234,2.6195961711193516,0.11940706205264608,1.5089961903331743,1.3815234330344281,6.083973826234592,1.3815234330344281,3
53,1767639666.647723,-4.048117885245512,1.9873391264976816,0.6579528509067951,1.3131879494415204,1.9888035992220938,5.287980825660049,1.3131879494415204,3
54,1767639667.6548421,-3.80788279613949,1.4121238160530378,0.6189598203474733,2.2298429166111537,3.128619545452081,5.118720250379278,2.2298429166111537,4
55,1767639668.65408,-3.706845498351936,0.8713851612420564,0.5505167252790885,3.2872828680183606,4.241145829627906,4.819209421818637,3.2872828680183606,4
56,1767639669.65271,-3.972915989536709,0.4789909715777285,0.4747460520128563,3.921181234626007,4.885410394333959,3.6104334506470748,3.6104334506470748,4
57,1767639670.649735,-4.491891572860571,0.06534637496498999,0.6656349157334233,4.017870522948482,4.98990233905557,1.9609523932111959,1.9609523932111959,4
58,1767639671.6479137,-4.806559683549089,-0.3549194983334626,0.5259716785491596,3.3675202345891315,4.323621919645107,0.9520673032048158,0.9520673032048158,4
59,1767639672.6569536,-5.008850751396185,-0.5385803147438596,0.27077914919573204,2.85371811748911,3.6856532683870613,1.6993413264284227,1.6993413264284227,5
60,1767639673.6575887,-4.564024887531833,-0.3334348147797724,0.4895408076768164,3.4463140746724004,4.079219188948013,2.2183635556600523,2.2183635556600523,5
61,1767639674.6519566,-4.487828547017667,-0.19390258797091967,0.15988200427148874,4.037955885442189,4.455209490563585,2.907627602143482,2.907627602143482,5
62,1767639675.6522508,-4.175364358766161,-0.5244546330204133,0.4547272088979411,3.9431680893082635,4.345352487435629,3.2122290767397748,3.2122290767397748,5
63,1767639676.6480744,-3.694768840233634,-0.6714559541717898,0.5046825564530638,3.209774379415746,3.7250418416057984,2.275148481379093,2.275148481379093,5
64,1767639677.6554475,-3.366511422179738,-0.4597660114394141,0.38773759538250063,2.4978063032131925,3.0804247905704187,0.8784950198684377,0.8784950198684377,6
65,1767639678.6503596,-3.0232454170619536,-0.20573044956663036,0.42922671707240423,1.6835542852966956,2.375069065623474,0.7246540257462757,0.7246540257462757,6
66,1767639679.6495574,-2.5035727910977084,-0.1582183323000186,0.5222590488254854,0.913407312892681,1.8731127408327322,2.317815664323296,0.913407312892681,7
67,1767639680.6478124,-2.1055106803792722,-0.41258258072393633,0.4732181962793425,1.1373668978842475,1.9220651594155898,3.5428413087243884,1.1373668978842475,7
68,1767639681.6499298,-2.0819945276715757,-0.7781481036172778,0.3655471095130871,2.1598940448493633,2.5000284996989293,4.221519953377493,2.1598940448493633,7
69,1767639682.6522224,-2.325541736859731,-0.7750627882726643,0.2430096192808934,2.7797537584237326,2.933758096526772,4.738114354791771,2.7797537584237326,7
70,1767639683.6502943,-6.189361242389248,-1.6339607179974132,3.965778115451456,4.986337441110654,4.306131340504213,2.2956079160524685,2.2956079160524685,7
71,1767639684.6547174,-6.194880065131369,-1.7223833064584468,0.08820450642663445,4.109077557649007,3.5474004045556247,1.3842809862811234,1.3842809862811234,7
72,1767639685.6518269,-6.290612453415736,-1.374411150388257,0.36194693393134575,2.8366833128942646,2.367752375006217,1.3483197208536293,1.3483197208536293,7
73,1767639686.6523492,-6.091033801789071,-1.1310915882067534,0.3145356269338737,1.5284938532864003,1.5312214558156607,2.0390540900603313,1.5284938532864003,7
74,1767639687.6489158,-6.043607804842045,-1.0740322553579633,0.07445126356452181,1.0957703388947457,1.8629640718094522,2.1934564374416743,1.0957703388947457,7
75,1767639688.6543672,-5.792049057922386,-1.491689473988271,0.48492119999779487,2.0465702563613073,2.964114153192472,1.936467546156979,1.936467546156979,7
76,1767639689.6505466,-5.706056995074116,-1.593731792862774,0.1339556810742545,2.685920382809869,3.6653404615120735,1.6882096978388805,1.6882096978388805,7
77,1767639690.657114,-5.792900815413486,-0.9441637690956514,0.6510716930846215,2.3021764321570406,3.2885636318376177,1.3649251626567078,1.3649251626567078,7
78,1767639691.6510108,-5.767994932004082,-0.343946550032318,0.6044226881576463,2.4371754900585967,3.16675965268838,1.906058123994829,1.906058123994829,7
79,1767639692.6485343,-5.722540072062988,0.28959398388429625,0.6367459457803509,3.535482734132702,3.8783147600845647,2.6744595784359912,2.6744595784359912,7
80,1767639693.6545913,-5.766197674087276,0.9071453050761344,0.6153652959438555,4.896714680037328,4.996970242623388,3.442014751923169,3.442014751923169,7
81,1767639694.654278,-5.822948233174104,1.4915491852842844,0.5873368962779633,5.838465000133089,5.845170826355581,3.810231206608897,3.810231206608897,7
82,1767639695.6484091,-5.787799471805058,1.8491655858975515,0.3614609508126143,5.574943004541477,5.552519077650809,3.4495631612495132,3.4495631612495132,7
83,1767639696.6511374,-5.897433927721443,1.983562258486239,0.17297024882617834,4.940290407561769,4.761649264243395,3.4341866346385697,3.4341866346385697,7
84,1767639697.648573,-6.059313391463591,2.219120230112855,0.2865538789503634,4.471286203869019,4.105088479093342,3.9228744772402018,3.9228744772402018,7
85,1767639698.6509237,-6.296603423370405,2.5538292558531563,0.40932629900721385,4.310238756471901,3.6922446067245698,4.887911671815566,3.6922446067245698,9
86,1767639699.6524172,-6.353807360398973,2.6313373717299022,0.09618805801254623,4.152998167463585,3.3422691917150558,5.7318118362642965,3.3422691917150558,9
87,1767639700.6480715,-5.881082297560225,2.5246945759688066,0.48671977067277516,3.7183983783144843,2.792514297692353,6.291455677051181,2.792514297692353,9
88,1767639701.6517434,-5.259620616165116,2.389221736898307,0.6337292367170028,3.263513014435104,2.276477843380508,6.742128909989982,2.276477843380508,9
89,1767639702.6490445,-4.770846311366076,2.457028993475697,0.4947907019290413,2.394757210007397,1.4636148210578543,6.493864424073137,1.4636148210578543,9
90,1767639703.651485,-4.235037964817855,2.753310254872639,0.6107782952830187,1.646992609302955,1.3820490041618387,6.303666331846991,1.3820490041618387,9
91,1767639704.649191,-3.6809380747521554,3.03459239038032,0.6228355574488526,2.263185461662932,2.743340637121798,6.3802070011184915,2.263185461662932,9
92,1767639705.6503818,-3.1837652566379737,2.98967080398573,0.4986043286842091,3.4785186089449462,4.245413324791758,6.551034123852379,3.4785186089449462,9
93,1767639706.6568449,-2.9743224826011434,2.892376583975187,0.22945519478113757,4.7109468644519135,5.551428045719711,6.5786346468137715,4.7109468644519135,10
94,1767639707.6531758,-3.3097795961283074,3.1698369323508793,0.4369371653301544,5.664598261157352,6.476808732333481,5.748097812230637,5.664598261157352,10
95,1767639708.6525278,-3.340264248834491,3.241414548007863,0.07784934981946057,6.451525035765692,7.242852098402935,4.783452046911532,4.783452046911532,10
96,1767639709.6495106,-3.327584199670691,2.9446607738117048,0.2979234455693561,6.4134559011820205,7.190586292868298,3.456444744232174,3.456444744232174,10
97,1767639710.6530156,-3.3562641524530186,2.6859863877362415,0.25935042202945924,6.288986174775393,6.9754928889151495,2.1348441969266596,2.1348441969266596,10
98,1767639711.6522853,-3.3320085334589136,2.8981709954692025,0.21372255983169672,6.787756489016408,7.319271164162035,1.5518654165323256,1.5518654165323256,10
99,1767639712.6506383,-3.3189475474877868,2.905448135986202,0.014976124691348956,7.281451372625377,7.669218380542251,1.4048128749859992,1.4048128749859992,10
100,1767639713.6485462,-3.0748619618209645,3.2335955329051154,0.40982989191224506,7.9403272056458825,8.303722918833754,1.6510117228403962,1.6510117228403962,10
101,1767639714.6574116,-3.0547246951828657,3.2004535863036354,0.03843934696690026,7.238916604450478,7.5768079831394175,1.9774593481531877,1.9774593481531877,10
102,1767639715.65225,-3.199516163006452,2.581274940769274,0.6391818176425164,5.625187543305277,5.951313977946955,2.1463468003181334,2.1463468003181334,10
