step,time_s,rx,ry,speed_mps,d1_triangle,d2_triangle2,d3_triangle3,dmin,goals
1,1767100267.1224988,-5.170315651390982,-2.154702996199126,nan,1.9164761416447493,2.426218875018695,4.760615784371881,1.9164761416447493,0
2,1767100268.1213665,-4.963695870578778,-1.9429168821911889,0.2962155886266605,2.464437223566985,2.8306872630908098,4.889302099928676,2.464437223566985,0
3,1767100269.1193285,-4.5200374830933745,-1.5680097403148214,0.5820374048302246,2.615456109746017,3.283395584017389,3.7116249871502056,2.615456109746017,0
4,1767100270.1153462,-4.175537782072512,-1.1415662802301523,0.5504017443723319,3.1062565871395753,3.981163317207318,2.4375562818150156,2.4375562818150156,0
5,1767100271.1152916,-3.8385018366098196,-0.7055929389007134,0.5510890532591541,3.943427049651629,4.904746013563013,1.680001520527134,1.680001520527134,0
6,1767100272.1162498,-3.5831885509353634,-0.2643497513481183,0.5092966741079977,4.7439929893256565,5.728281056678524,2.3115931129207574,2.3115931129207574,0
7,1767100273.1134236,-3.431665296374473,0.034218877064539695,0.33576609470821017,4.775439385544101,5.760490305213971,3.5015337551334818,3.5015337551334818,1
8,1767100274.1210048,-3.712688260367036,0.005556390167552722,0.2803554343339944,3.6588434949814945,4.651263270633949,4.136046109486192,3.6588434949814945,1
9,1767100275.1172628,-3.87641871508742,-0.5250227451768636,0.5573529991968876,2.5033968533410214,3.489250424705597,5.018706794214022,2.5033968533410214,1
10,1767100276.1175663,-4.155744760536844,-1.1156309076585653,0.6531324986594332,1.9321537849355115,2.6313233979028063,3.796674763724046,1.9321537849355115,1
11,1767100277.1150513,-4.562942192212004,-1.6393901670821918,0.6650983615188282,2.675641130302755,2.700921283912696,2.7135216985770154,2.675641130302755,1
12,1767100278.1176252,-4.93953260070337,-2.177278545812698,0.6549299823028837,4.084071773568716,3.7459502913811367,1.8170546172496145,1.8170546172496145,1
13,1767100279.1207762,-5.185061740554769,-2.4899788541352534,0.3963264014324334,5.204436473233451,4.727307295821417,1.6879636454196896,1.6879636454196896,1
14,1767100280.1158147,-5.403783870447523,-2.8134203168729153,0.3924001518258061,5.730619381799383,5.232315388695279,1.4390859249938022,1.4390859249938022,2
15,1767100281.1125937,-5.088654648175552,-2.5723825236286895,0.39802585731501755,4.686170694006418,4.312380033598644,1.4426583558820758,1.4426583558820758,2
16,1767100282.1172044,-5.353960262623002,-2.4249030078712255,0.3021480897920554,3.836319326046207,3.573999814593157,1.612992011558432,1.612992011558432,2
17,1767100283.1161141,-5.907660030451961,-2.219134022332469,0.591342887442771,2.964919707226137,2.8197501605287756,1.9048977875070334,1.9048977875070334,2
18,1767100284.1197495,-6.327005283858597,-1.8944878789996076,0.5284049330154851,1.9988602124064516,2.1177081644093785,2.168928554552452,1.9988602124064516,2
19,1767100285.1150618,-6.592254753237927,-1.49742086343543,0.4797628956384318,1.2177117211762343,1.8805014461481189,1.549135241552005,1.2177117211762343,2
20,1767100286.1195579,-6.394769653644409,-1.8754556523246948,0.4246008197300213,1.905281690567095,2.787480017231331,1.6444331821838092,1.6444331821838092,2
21,1767100287.1140869,-6.428406085138928,-1.5172003598164163,0.36181034386874406,1.9652920554643036,2.9475758127983833,1.6319542564218534,1.6319542564218534,2
22,1767100288.1200678,-6.524676177009379,-0.9984365673301493,0.5244839673748075,1.433904274047352,2.3517616906312044,2.2371589953628654,1.433904274047352,2
23,1767100289.1147528,-6.413061493704606,-1.1130750544093297,0.16085438987671097,1.6100428481048903,2.1675184913740426,3.3931224660558956,1.6100428481048903,3
24,1767100290.1152515,-6.166779151210168,-1.231942349919522,0.27333108355354924,2.313370060063654,2.5152446453670563,4.286751156747418,2.313370060063654,3
25,1767100291.112431,-6.294413955205253,-1.4143887934083608,0.22328949951325852,2.9429512102672017,2.8507736153484435,5.2912951030190225,2.8507736153484435,3
26,1767100292.1124573,-6.522396595825259,-1.62077132689461,0.3075140230333831,2.649822340453786,2.483696680809923,5.442800525999026,2.483696680809923,3
27,1767100293.1147995,-6.247353041873491,-1.474942634021214,0.3105842255581385,1.8710622853338437,2.160905797414604,4.286618432171668,1.8710622853338437,3
28,1767100294.1162045,-6.192098086334822,-1.527786206758693,0.07634894780916938,1.3064923263635038,2.15280727873686,3.2435524913052296,1.3064923263635038,3
29,1767100295.1151578,-6.765740454318163,-1.846937292832628,0.6571350377819619,1.2194347700100188,2.1738964301481642,2.7543493349355175,1.2194347700100188,3
30,1767100296.11495,-7.350033358120718,-1.973027538213124,0.5978675091884152,1.8688259110313203,2.789342577436408,2.1463048674098673,1.8688259110313203,3
31,1767100297.1136725,-7.762929477902358,-1.9825021054008596,0.41353307656931626,1.2652218714101477,1.63423325117325,1.5079937749276673,1.2652218714101477,4
32,1767100298.1161768,-7.961701136062383,-2.0587007953997207,0.2123447339733682,2.088948019445784,1.7634967753939772,1.189890295695669,1.189890295695669,4
33,1767100299.1164107,-7.585006502769738,-2.019096496961581,0.3786822678475018,2.871197680655864,2.3495223722325544,1.0460951408853847,1.0460951408853847,4
34,1767100300.121562,-7.526722075234051,-1.9206460418884626,0.11382330900818048,3.9203616976275963,3.261178425833851,0.05267323227313811,0.05267323227313811,4
35,1767100301.1182988,-7.2176960412341105,-1.4055565172258502,0.6026447783742706,4.4718260433432455,3.713649330925057,1.521225745763838,1.521225745763838,4
36,1767100302.1166005,-6.832962816062522,-1.2104594490386287,0.43210665996739683,5.0486285524507295,4.266686600198348,2.674777923901923,2.674777923901923,4
37,1767100303.114667,-6.214875151932324,-1.3014428586620967,0.6259585600079145,5.315181372525824,4.570934590661117,3.167536339064394,3.167536339064394,4
38,1767100304.114521,-5.786852336393244,-1.1233766418490752,0.4636527129370248,4.3819200858478125,3.690044928372846,2.813241583010243,2.813241583010243,4
39,1767100305.1223576,-5.775496513091715,-1.3489103034783168,0.22406347720890887,3.6309291558002537,3.058331590933696,1.908857379637056,1.908857379637056,5
40,1767100306.1202009,-5.833856288022088,-1.7136549006876614,0.3701823105910209,2.947508854589041,2.616551444916965,1.6104085764475093,1.6104085764475093,5
41,1767100307.1169107,-5.444763302347983,-1.7090132184442852,0.3904051730316833,2.050721005176427,2.3240674947304303,2.652407969806936,2.050721005176427,5
42,1767100308.1174557,-4.946707242828466,-1.917940274935148,0.5398079606053353,2.4296781575433366,3.207480083479074,3.46982562603272,2.4296781575433366,5
43,1767100309.1156573,-4.363178054403773,-2.2033076166750467,0.6507400147027244,3.57612718744434,4.515112180701307,3.5985705360425255,3.57612718744434,5
44,1767100310.112501,-3.9265901876543974,-2.5049914213024174,0.5323611307244803,4.619980811764847,5.57121935038584,3.562797254020034,3.562797254020034,5
45,1767100311.1148627,-3.7135023425312195,-2.7787045977587908,0.34606210036327867,4.6135812552962845,5.572592550621603,3.6119233565503306,3.6119233565503306,5
