step,time_s,rx,ry,speed_mps,d1_triangle,d2_triangle2,d3_triangle3,dmin,goals
1,1759112679.1359158,-5.261759285580915,-2.1939721391064464,nan,2.045356441881321,3.0451924477967345,3.2236609672576217,2.045356441881321,0
2,1759112680.1309018,-5.8239996997042915,-1.9885154436597217,0.6016204807402998,1.3307860081063212,2.0424902669431404,4.181041204141446,1.3307860081063212,0
3,1759112681.1315854,-6.454420251895724,-1.9421372330114735,0.6316924145315458,2.1166683596043074,2.0395813611272056,5.418788532710394,2.0395813611272056,1
4,1759112682.1330016,-7.0479686082553625,-1.9938151489964127,0.594951231501508,2.9083645422237834,2.491904664003731,6.420810082956396,2.491904664003731,1
5,1759112683.1319892,-7.636520520892904,-2.154905111642324,0.6108177644382491,3.0405091605971997,2.269394703637787,6.385691873140488,2.269394703637787,1
6,1759112684.1330347,-7.889117371861049,-2.2723929649955545,0.2782921931694739,3.3203251347038907,2.352804412027947,5.838758481395935,2.352804412027947,2
7,1759112685.1324098,-7.5770898410582035,-2.00302555506017,0.4124712657441763,3.461940186334289,2.4619671588133505,4.5487306943120815,2.4619671588133505,2
8,1759112686.1309497,-7.331187983572498,-2.3869171349981833,0.4565618534131003,4.056994092711403,3.145847602463866,3.577729043314036,3.145847602463866,2
9,1759112687.1358278,-6.970820229726695,-2.945233880179476,0.6612909397999875,5.021262294024707,4.309945051160612,2.5918937077817956,2.5918937077817956,2
10,1759112688.1333365,-6.7174596252443886,-3.530038383595748,0.638920425932359,6.22661803545566,5.622730046044753,1.821945303028712,1.821945303028712,2
11,1759112689.1333306,-6.7285667838783185,-3.481407428429279,0.049883548760060424,6.998625113500846,6.361689935778988,1.606303904186693,1.606303904186693,2
12,1759112690.132142,-6.645456548990604,-3.305152991298822,0.19509833894772527,6.832074794267593,6.230709973829093,1.399335146007563,1.399335146007563,2
13,1759112691.1354437,-6.869569812530467,-3.297157335821007,0.2235178768857961,6.253713526078523,5.6671031681163795,0.6975599344083873,0.6975599344083873,2
