step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,dmin,goals
1,1757675784.2794526,-21.290516949529383,-20.24680858867786,nan,9.863430731586334,3.985647081006141,3.985647081006141,0
2,1757675785.278723,-20.663108042605735,-20.301852631103298,0.6302786760750342,9.142620644989227,4.363943089911739,4.363943089911739,0
3,1757675786.2784648,-20.09391123343184,-20.1782504839498,0.5826128786396201,7.909858468683447,5.375202007308795,5.375202007308795,0
4,1757675787.2780101,-19.519853598579303,-20.047877496299655,0.5889436451093972,6.672955767225441,6.552007821038492,6.552007821038492,0
5,1757675788.2842467,-19.022390513662984,-20.021589243271357,0.49506966885587134,5.571778297121667,7.53533085978076,5.571778297121667,0
6,1757675789.2777162,-18.42800864021601,-20.235944782197052,0.6360063712914998,4.733683104826429,7.829788453983933,4.733683104826429,0
7,1757675790.277531,-17.782590641173826,-20.392295114620467,0.6642087477442072,3.9181106144586995,8.22648240279204,3.9181106144586995,0
8,1757675791.2849178,-17.140871414637665,-20.42870183431733,0.6380379924501014,3.223805110295918,8.811630114165702,3.223805110295918,0
9,1757675792.2771032,-16.520107165367342,-20.422782138710904,0.6256819570125803,2.752949803848174,9.498520238457438,2.752949803848174,0
10,1757675793.2803013,-15.899695178706043,-20.4383712951295,0.6186293434652452,2.7557081602074254,9.983070064247633,2.7557081602074254,0
11,1757675794.277481,-15.251918790088055,-20.43534864719288,0.649615521068848,3.2559808473193983,9.738693623479264,3.2559808473193983,0
12,1757675795.2838962,-14.646558794658164,-20.495283222604186,0.6044421422900293,4.013821988738337,9.460949622635162,4.013821988738337,0
13,1757675796.2859962,-14.388479722865476,-20.55373237097349,0.2640604980790446,4.599666240838735,8.85898318491206,4.599666240838735,1
14,1757675797.2796397,-14.235366725312412,-20.092683815327987,0.48891572823610674,5.53501156075038,8.33269607014866,5.53501156075038,1
15,1757675798.2865164,-14.47369493780718,-20.106659370094967,0.23710710764203716,6.01578091177337,7.2894558914200855,6.01578091177337,1
16,1757675799.2828314,-15.103755267913536,-20.13803334246412,0.6331742283934934,6.383614348374956,6.0359306759503095,6.0359306759503095,1
17,1757675800.278161,-15.706875936430329,-19.933748854177814,0.6397663231802836,7.1172657746775725,5.0410403183191725,5.0410403183191725,1
18,1757675801.285525,-16.354170325539254,-19.758250080530495,0.6657610477820539,7.060174450289537,4.393648521201267,4.393648521201267,1
19,1757675802.2823856,-17.019597221028192,-19.69242226476745,0.6707809131024475,6.244921184598519,4.19601300942667,4.19601300942667,1
20,1757675803.279035,-17.663467612333747,-19.67095626138027,0.6463938598446523,5.276475171698887,4.579233079621184,4.579233079621184,1
21,1757675804.2815313,-18.28718213622255,-19.80181599743068,0.6357074615970627,4.088228124078348,5.222054793334725,4.088228124078348,1
22,1757675805.280315,-18.90711025598618,-20.026744569697822,0.6602754833008445,2.801588838107485,5.04396779592678,2.801588838107485,1
23,1757675806.2869544,-19.56409856180803,-20.12921463235923,0.660545705339807,1.7632468877935574,4.798582544998137,1.7632468877935574,1
24,1757675807.2855418,-20.232825080461673,-20.131789690530624,0.6696774830672387,1.6553139001053105,4.576315243002507,1.6553139001053105,1
25,1757675808.2828727,-20.90992913561913,-20.125176493851523,0.6789485283458172,2.537507009418637,4.345613715568386,2.537507009418637,1
26,1757675809.2785335,-21.504304592030604,-20.114914329372215,0.5970547912759142,3.6852811342679725,4.1580233692789585,3.6852811342679725,1
27,1757675810.2783253,-22.121549396295105,-20.239126064073083,0.629749772606765,5.102214545439302,3.929872535609858,3.929872535609858,1
28,1757675811.2804985,-22.651759138990712,-20.529702042175053,0.6033018227892087,6.585293593202824,3.6424959122223703,3.6424959122223703,1
29,1757675812.27887,-23.191356830670184,-20.849809109971666,0.6284260727533145,8.08637516115291,3.409022504561058,3.409022504561058,1
30,1757675813.2774563,-23.683847366267344,-21.197675267610123,0.6038112185718637,9.511505217876321,3.173374000591359,3.173374000591359,2
31,1757675814.284723,-24.03897437047086,-21.227414018573718,0.35379903511828115,10.571495147519924,2.770084605182608,2.770084605182608,2
32,1757675815.2857194,-24.21459323991638,-20.889314520481822,0.3806106177866259,11.085817089897416,2.2380033610267196,2.2380033610267196,2
33,1757675816.2785358,-24.047839850540285,-20.357008452959946,0.5618500645084464,11.108878643177457,2.1779370243650367,2.1779370243650367,2
34,1757675817.2817862,-23.826534304903852,-19.735258411292094,0.657823395437162,10.165336179915228,2.299216452865143,2.299216452865143,2
35,1757675818.2770917,-23.76858551431971,-19.111462897661752,0.629436232927333,8.778909222214814,2.3695393652962786,2.3695393652962786,2
36,1757675819.2829566,-23.655494596976784,-18.469041188864182,0.6484965959220615,7.511441988762459,2.4065592507132236,2.4065592507132236,2
37,1757675820.2771375,-23.385911333147448,-18.21207838226743,0.37461112163229326,6.458232828975254,2.6671857496231404,2.6671857496231404,3
38,1757675821.2806385,-22.835787795403572,-18.257650712818712,0.5500821167020493,5.434016497442039,2.936177992097733,2.936177992097733,3
39,1757675822.2822564,-22.191191716072762,-18.425830699248678,0.6650985431664203,4.397298725581706,3.1492039160007868,3.1492039160007868,3
40,1757675823.2810555,-21.567352255941326,-18.66402920854073,0.6685709713883528,3.533810395529268,3.323305157691416,3.323305157691416,3
41,1757675824.2843134,-21.073937328413734,-19.061225877743162,0.6313650621523251,2.78219751506984,3.3849852975958576,2.78219751506984,3
42,1757675825.2773905,-20.568883678858757,-19.39372420911003,0.6088923832317763,2.1157219548059794,3.4463944796313086,2.1157219548059794,3
43,1757675826.2856433,-20.042831107993536,-19.597278279752278,0.5594446515983509,1.6810309333594264,3.7785846040209234,1.6810309333594264,3
44,1757675827.2846313,-19.429671701302176,-19.731842949697104,0.6283876124077041,1.738225312424587,4.114310200700413,1.738225312424587,3
