step,time_s,rx,ry,speed_mps,d1_triangle,d2_triangle2,d3_triangle3,dmin,goals
1,1766971168.9051163,-6.266583645850532,-0.2291774438888136,nan,4.718630872643703,3.860682993808364,4.173620909745053,3.860682993808364,0
2,1766971169.9032967,-6.574129827980069,0.367222060585299,0.6722500756548955,4.392682998410514,3.4629697620702546,4.451851555796517,3.4629697620702546,0
3,1766971170.9003494,-6.827128822931844,0.9750285852317051,0.6603056630092629,3.589745615982786,2.5998317426971216,4.174179172476532,2.5998317426971216,0
4,1766971171.9071412,-7.001093928896202,1.5831727155810595,0.6282699643602302,2.7786532192517988,1.8231503531878281,3.838852180191781,1.8231503531878281,0
5,1766971172.903922,-6.983725347974671,1.4805721066057005,0.10439639670014414,1.897337024761546,1.2211654880594642,3.0794381526713455,1.2211654880594642,1
6,1766971173.904533,-7.255539449964757,1.5476478936923987,0.2797970674129443,1.8219264515720908,1.6959783290162151,2.73420046020161,1.6959783290162151,1
7,1766971174.899328,-7.606009243059651,1.2993030262729872,0.4317869930019987,1.8830373181676558,2.060036963741349,1.9628832318070502,1.8830373181676558,1
8,1766971175.8976235,-7.806207894400725,0.7902914987619519,0.5479002640887035,1.7667521828115271,2.2319775990383164,1.4670265826078508,1.4670265826078508,1
9,1766971176.9038732,-7.891173852162969,0.6851642050174872,0.13433060053621984,1.9808657040651247,2.334674784418137,2.2656985505492457,1.9808657040651247,1
10,1766971177.899344,-8.129072929389784,0.15590528214742408,0.5829081524924863,2.309980350804565,2.2387932175597327,3.6586725601302446,2.2387932175597327,1
11,1766971178.9062438,-8.232770946332469,0.32334197554912436,0.19559792527608852,3.6788700092434596,3.3690930313809004,4.870441988300579,3.3690930313809004,2
12,1766971179.9069588,-7.9105144700786205,0.3062039207185606,0.3224812877719438,4.634905351101675,4.291395136453076,5.524111626817331,4.291395136453076,2
13,1766971180.9032652,-7.387027586279618,0.3626396772873506,0.5284721460490535,5.595192231486743,5.2656738348221275,6.336361306951259,5.2656738348221275,2
14,1766971181.9024508,-6.908207519523236,0.6074973407538301,0.5382337946381422,4.546232422579326,4.434330436862734,4.440846122965317,4.434330436862734,2
15,1766971182.8992867,-6.40127919953089,1.0730736650221655,0.6904706985969948,4.0380982617650245,4.2251977423294305,2.935566768155852,2.935566768155852,2
16,1766971183.9012625,-5.883490587652862,1.4911664564805662,0.66419999597524,3.867308618954455,4.379827589813736,1.4799554371859183,1.4799554371859183,2
17,1766971184.900294,-5.371081365167571,1.6005305082615329,0.5244580144797402,4.004174563806022,4.756330245086074,1.382759029171858,1.382759029171858,2
18,1766971185.9006188,-5.638410688546781,1.6962775944533552,0.2838663950031213,3.6682131013168378,4.428414456925569,2.260402905983255,2.260402905983255,2
19,1766971186.901702,-5.679676609916108,1.7725835366349787,0.08665562480924695,2.9491712219757376,3.645474689505891,3.1597593990232005,2.9491712219757376,2
20,1766971187.9007285,-5.803915834554365,1.369254016608017,0.42244213905443334,1.6316629255998463,2.246848247972806,3.463713830335063,1.6316629255998463,3
