step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,dmin,goals
1,1757683292.2287292,-20.705688247523277,-19.979483806331423,nan,2.562278348948062,5.72509641472835,2.562278348948062,0
2,1757683293.2247214,-20.076446653282883,-20.02330762021917,0.6333039788094112,2.7526575709414187,6.0108709630252575,2.7526575709414187,0
3,1757683294.220909,-19.480467670646917,-19.993211508783467,0.5990220643707586,3.457461211711138,6.529072712299108,3.457461211711138,0
4,1757683295.2257123,-19.000273998458262,-20.036412259640876,0.4798283371977794,4.290593015461425,7.077019363420078,4.290593015461425,0
5,1757683296.2302825,-18.351565754110908,-20.248732555641,0.6794650363651025,5.06459002977642,7.025260704973707,5.06459002977642,0
6,1757683297.2207716,-17.730546069218246,-20.323376930608237,0.631495745852207,6.054807020109652,6.782411575591764,6.054807020109652,0
7,1757683298.2212994,-17.084607621521666,-20.216265290793253,0.6544135876658009,6.368836254224383,6.676446493715123,6.368836254224383,0
8,1757683299.2238412,-16.487274804912506,-20.16860725095103,0.5977117406261939,5.9945871554317565,6.423455792574595,5.9945871554317565,0
9,1757683300.220685,-16.02141223312845,-20.402401106098655,0.5228868406910455,5.25145404846491,6.043294038487304,5.25145404846491,0
10,1757683301.2306402,-15.562458406851128,-20.798294629922093,0.6001363379323399,4.4522633577627175,5.646185285066555,4.4522633577627175,0
11,1757683302.2220552,-15.2594123044075,-20.91118817795321,0.3261915858942271,3.9603102827396244,5.209211605576317,3.9603102827396244,0
12,1757683303.2294323,-15.1925899687114,-20.70834188309735,0.2120053008636113,3.624947493790252,4.779033553794575,3.624947493790252,0
13,1757683304.2304118,-15.036060404122935,-20.556028226762447,0.21819177967526537,3.5752706527460987,4.493136200754071,3.5752706527460987,1
14,1757683305.222288,-15.123795068710908,-20.226482311712957,0.34381788543724157,3.557658019425735,4.45199149940776,3.557658019425735,1
15,1757683306.221435,-15.26642727922285,-20.0418830277907,0.2334818723128901,3.7969285680376483,4.595254485562128,3.7969285680376483,1
16,1757683307.2238755,-15.798247249715814,-20.215826020175673,0.5581810329746298,4.292748015295079,4.445383771225579,4.292748015295079,1
17,1757683308.22057,-16.402139682593685,-20.162473451191335,0.6082551910563568,4.993153524888236,4.464935057158088,4.464935057158088,1
18,1757683309.2287729,-17.00847220082475,-20.00153363652486,0.6222242847532196,5.703555110259031,4.642221117126576,4.642221117126576,1
19,1757683310.223591,-17.645324534404,-20.03584547878412,0.6410980122486042,6.647061626790855,4.682454381186785,4.682454381186785,1
20,1757683311.2271135,-18.278815684725753,-20.19754541588014,0.6515077830982918,7.743700711610336,4.707265795763957,4.707265795763957,1
21,1757683312.228559,-18.934697784715098,-20.340042783149645,0.6702143397298435,8.730755193291522,4.8292411773316575,4.8292411773316575,1
22,1757683313.2275202,-19.512230620254826,-20.48815525115555,0.5968426699876911,9.579422443575364,5.052668518930072,5.052668518930072,1
23,1757683314.2216263,-20.023559699163698,-20.831745510628345,0.6196976683805581,9.573590481669486,5.175714432740099,5.175714432740099,1
24,1757683315.2206519,-20.34914829587018,-21.360514064674366,0.621575977714015,9.209407696489542,5.295401709322915,5.295401709322915,1
25,1757683316.2245736,-20.614243523870364,-21.767833512037324,0.4840898060758332,8.707164148032927,5.392068584250419,5.392068584250419,1
26,1757683317.2266927,-20.521677374257038,-21.870846887190037,0.13819991610933471,7.852561051921232,5.3212653554181975,5.3212653554181975,1
27,1757683318.2218573,-20.522598029535676,-22.460268274922157,0.5922860271775756,7.460103995561893,5.343609848245948,5.343609848245948,1
28,1757683319.2221916,-20.78878598338824,-22.995301360910908,0.5973925075018872,7.062846419547578,5.538690004040139,5.538690004040139,1
29,1757683320.2245061,-21.257515090883732,-23.27369442908954,0.5439104842019113,6.60184168611737,5.804999602114219,5.804999602114219,1
30,1757683321.2227592,-21.834895771746602,-23.223983094137495,0.5805308786742195,6.002533427423463,4.954032671726743,4.954032671726743,1
31,1757683322.2277336,-22.41974004997625,-22.9870242932883,0.6279013929931826,5.398539222827326,3.460493367782471,3.460493367782471,1
32,1757683323.2213333,-22.80401606630816,-23.0009526758827,0.3870053242737859,5.077215296705191,2.3663868085541497,2.3663868085541497,1
33,1757683324.2228372,-22.877116093811527,-22.97141526781794,0.07872367710161148,4.655525213554982,1.6260490456816687,1.6260490456816687,1
34,1757683325.2269204,-22.903899133950553,-22.968815672444926,0.026799477920070557,4.353438915079451,1.3959434066194014,1.3959434066194014,1
35,1757683326.2223022,-22.87227513382868,-23.034169078502824,0.07293949877891773,4.194334909781635,1.8022283294412562,1.8022283294412562,1
36,1757683327.2243075,-22.82903086569541,-22.741316446821276,0.29543581095928556,4.299501730502265,2.4456278001682916,2.4456278001682916,1
37,1757683328.223024,-22.77892482480906,-22.72795870093925,0.051922650016215426,4.601880036933209,3.3000735881712497,3.3000735881712497,1
38,1757683329.2218168,-22.801967930655742,-23.155260489304514,0.4284398355560951,4.861031441584478,4.176179316360468,4.176179316360468,1
39,1757683330.2219875,-22.539437136322253,-22.89279452004159,0.37116541367493405,4.984232877452935,4.9100907846623105,4.9100907846623105,1
40,1757683331.221811,-22.382441943179124,-22.93841578882904,0.16351827066142066,4.4197248248731915,5.700654582278624,4.4197248248731915,1
41,1757683332.2279656,-22.352931618642234,-23.51712738024048,0.5759190001510447,3.7349292555523697,6.199585706491431,3.7349292555523697,1
42,1757683333.221493,-22.53198126838714,-23.814129461481162,0.34905753692756003,3.70195598991434,5.667966900068512,3.70195598991434,2
43,1757683334.2235637,-22.598386923248462,-23.722831022696102,0.11266098557439978,3.9010275674164947,4.790045951150409,3.9010275674164947,2
44,1757683335.2213998,-22.84354924920125,-23.548338940412705,0.30157124756033166,4.480424215951878,3.9731728466466305,3.9731728466466305,2
45,1757683336.2228281,-22.694061323979245,-23.958814943105303,0.43622606961969823,5.264446363257211,2.5793364237962995,2.5793364237962995,2
46,1757683337.222978,-23.043644968993046,-23.60014392112931,0.5007778001428548,6.156899766949112,1.764025845234301,1.764025845234301,2
47,1757683338.2299743,-23.554568056127163,-23.12191108165092,0.6949586882926677,7.080100577358108,1.3751090777424533,1.3751090777424533,2
48,1757683339.222584,-23.929138375047383,-22.59562932360738,0.6507780039954869,7.928319291556267,1.4707707299402384,1.4707707299402384,2
49,1757683340.230319,-24.270085478883043,-22.07016739783991,0.6215747120910343,8.694399738102765,1.9568186716811036,1.9568186716811036,2
50,1757683341.223756,-24.47472072933514,-21.57561032111908,0.5387575563634771,9.332684496396771,2.535943797128682,2.535943797128682,2
51,1757683342.226727,-24.356307404650906,-21.217955234596182,0.3756317850645168,9.841123847343633,2.4109383135574913,2.4109383135574913,3
52,1757683343.2299495,-23.852675862621165,-21.02566285349075,0.5373612118579131,10.199850876502348,2.312213050963606,2.312213050963606,3
53,1757683344.2255223,-23.199050690963944,-20.984136806114293,0.6578554114647471,10.550030457589974,2.727627998858207,2.727627998858207,3
54,1757683345.2283173,-22.53845323647884,-20.87267142686201,0.6680682272792524,10.753465045716274,3.5205626835080817,3.5205626835080817,3
55,1757683346.228626,-21.874923846271543,-20.73027427738206,0.6784275503641236,10.197800491677592,4.147201923922554,4.147201923922554,3
56,1757683347.226683,-21.220218665843117,-20.631101157448512,0.6634630124505422,8.920356481397077,3.859073350047509,3.859073350047509,3
57,1757683348.228671,-20.579360019487762,-20.519313655922737,0.6492445463647563,7.651957986328482,3.619339036658388,3.619339036658388,3
58,1757683349.2241569,-19.958839415890314,-20.31947149301588,0.6548631739457021,6.3160031243134345,3.471101048116056,3.471101048116056,3
59,1757683350.2240667,-19.365094375978806,-20.187435604749474,0.608303659087297,5.075264188763627,3.4158088416131305,3.4158088416131305,3
60,1757683351.2284899,-18.801099073167634,-20.118893673551277,0.5656430428644517,3.9221801752392835,3.383582414888884,3.383582414888884,3
61,1757683352.2259927,-18.216547602561615,-20.245789308051,0.5996637792687984,3.046574191270886,3.343921159891961,3.046574191270886,3
62,1757683353.2227628,-17.582840097026573,-20.43137895936018,0.6624643738037622,2.396976094015911,3.3395245504220163,2.396976094015911,3
63,1757683354.2266579,-16.936285149536566,-20.56743635308478,0.6581519256160252,2.058843398625148,3.408730126481758,2.058843398625148,3
64,1757683355.2245605,-16.35744815649099,-20.7106517459557,0.5975442339002365,2.215699935278454,3.464503174330974,2.215699935278454,3
65,1757683356.2213519,-15.819162203911159,-20.92283003002527,0.5804567986165424,2.7291412070268306,3.5054239160604053,2.7291412070268306,3
66,1757683357.2228608,-15.333964827498582,-21.25354983411107,0.5863052827010277,3.3787601623321213,3.4707779532706367,3.3787601623321213,3
67,1757683358.2265935,-15.047947139618161,-21.570610485169045,0.425417408612416,3.933263077895274,3.437466932146077,3.437466932146077,3
68,1757683359.2224727,-15.231898502831736,-22.040956132948985,0.5071275381641214,4.0490285809650635,3.413093310956718,3.413093310956718,4
69,1757683360.2240405,-15.615478318031963,-22.425212752012456,0.5420926455813082,4.1292088959177295,3.621456075378483,3.621456075378483,4
70,1757683361.2288904,-15.554030364761898,-22.297070920248306,0.1414273546727019,4.983993923684375,4.693149484213019,4.693149484213019,4
71,1757683362.2277372,-16.04735638769462,-22.056289111097886,0.5495841087706342,5.300123446538798,5.458231613721242,5.300123446538798,4
72,1757683363.2258706,-16.566756691593383,-21.65391618689422,0.6582527639598643,4.820149694346234,6.2332904241419005,4.820149694346234,4
73,1757683364.2293112,-17.177087690137594,-21.429433588520812,0.6480750454905048,4.015938081018218,6.757078576505189,4.015938081018218,4
74,1757683365.2241724,-17.75968175599689,-21.17624252815203,0.6385147145088412,3.1231893282995156,7.224586088640898,3.1231893282995156,4
75,1757683366.2287095,-18.315748016784674,-20.883222959786327,0.6257071639600782,2.264019483597427,7.564993994980005,2.264019483597427,4
76,1757683367.2206454,-18.9496935351309,-20.759306589498095,0.6511941166474325,1.251675413778631,7.251300329992769,1.251675413778631,4
77,1757683368.2252846,-19.6065612591054,-20.771992195609666,0.6539564054571375,0.9743396237066985,6.433890361237499,0.9743396237066985,4
78,1757683369.229773,-20.210197730169504,-20.67742410864625,0.6082690771517747,1.9827113234937106,5.737820264236186,1.9827113234937106,4
79,1757683370.2296414,-20.80229130191981,-20.37135493708805,0.6666109002023722,3.0826384089573504,5.18282191574867,3.0826384089573504,4
80,1757683371.223655,-21.44357977064688,-20.182160014203813,0.6726414371752852,4.325065013851326,4.651140193110121,4.325065013851326,4
81,1757683372.2229834,-22.09267051761199,-20.01729771438118,0.6701503030926786,5.537990678794721,3.252720496687918,3.252720496687918,4
82,1757683373.2227287,-22.69710139808706,-19.79353588474969,0.6446841684493827,6.709312527446757,1.9751589688360984,1.9751589688360984,4
83,1757683374.2282882,-23.23453374605639,-19.85975928031149,0.5385032816471931,7.966573243299706,1.2659411505666132,1.2659411505666132,4
84,1757683375.224621,-23.72716580479095,-20.191499269574496,0.596103285491715,9.33205594558719,1.6271612854798965,1.6271612854798965,4
85,1757683376.2279954,-24.227377914370027,-20.626404807169738,0.6606094588404883,10.669351753013009,2.7326040857554212,2.7326040857554212,4
86,1757683377.2256927,-24.716016674522113,-21.091916518725466,0.6764420352454729,11.960646507124215,3.9824599492629695,3.9824599492629695,4
87,1757683378.2306652,-25.15666583912862,-21.57308241512922,0.6492227661631093,12.644176550972546,5.219076709851186,5.219076709851186,4
88,1757683379.2275171,-25.5527226473659,-22.072262314641563,0.6392262449253137,12.449061319093369,6.479691972805355,6.479691972805355,4
89,1757683380.2252736,-25.958368376496708,-22.491976292360864,0.5850147106811816,12.236361285733906,7.749275605587345,7.749275605587345,4
90,1757683381.2211778,-26.357756157634483,-22.607289189220857,0.4174110410829778,11.816386393596929,9.017942391269703,9.017942391269703,5
91,1757683382.2223647,-26.179974913615478,-22.50178198857292,0.20648649733179558,10.858789273928217,9.820619083871954,9.820619083871954,5
92,1757683383.2277288,-25.723830173599232,-22.269697778403454,0.5090613554213249,9.692141234443087,9.54423217990839,9.54423217990839,5
93,1757683384.2286997,-25.1033291225712,-22.278529227207056,0.6199620116348648,8.539945838721742,8.172647124113677,8.172647124113677,5
94,1757683385.2207196,-24.41573840312771,-22.26565564916865,0.6932433803985873,7.358863611002168,6.585911096549341,6.585911096549341,5
95,1757683386.2258153,-23.78835536434303,-22.098544249884394,0.6459661420470145,6.189471281037003,4.946700632465538,4.946700632465538,5
96,1757683387.22657,-23.302185644459932,-22.05433894179097,0.4878071850685175,5.22622194792264,3.491187031027186,3.491187031027186,5
