step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,dmin,goals
1,1757098171.8939953,-21.610224902792105,-21.4508873644818,nan,2.9736495054194987,4.7398754112685095,2.9736495054194987,0
2,1757098172.895932,-21.08654119713869,-21.833686006582983,0.647421285706528,2.5962408399688797,5.07814102771503,2.5962408399688797,0
3,1757098173.897413,-20.995536965732843,-21.64488542649176,0.2092787607259855,3.1081703428456766,5.515422718670868,3.1081703428456766,0
4,1757098174.8941019,-20.946118987147475,-21.45279965472617,0.19899973801893212,3.8600388816220406,4.9379071694583665,3.8600388816220406,0
5,1757098175.8986063,-21.00183160165824,-21.53192411264954,0.09633679202888529,4.982566072124735,4.182712230850946,4.182712230850946,0
6,1757098176.8953726,-21.039529360322913,-21.674764762828346,0.14821068426966189,6.223099761956115,3.310074855422021,3.310074855422021,0
7,1757098177.9019961,-20.86845179389369,-21.59203302516518,0.18878137674349985,7.200163619952424,2.7538695643471214,2.7538695643471214,0
8,1757098178.901887,-20.362470614146925,-21.944001473416204,0.6164265755455842,8.410296295946475,2.610535602936534,2.610535602936534,0
9,1757098179.8938003,-20.09826252542522,-22.405194522216725,0.5358451490243034,9.754844810498334,3.229984350120227,3.229984350120227,0
10,1757098180.8988237,-20.059220513063284,-22.74026991474935,0.33565609410045927,10.961141672325377,4.080420277053934,4.080420277053934,1
11,1757098181.897177,-20.04578575242986,-22.870893156552007,0.13152891125431354,11.774366413287215,4.924211355952772,4.924211355952772,1
12,1757098182.8999195,-20.027762162709827,-22.749935233964905,0.12195889615115205,11.910011897186207,5.619330799327419,5.619330799327419,1
13,1757098183.901395,-19.60447694695831,-22.545992591723937,0.4691619238482765,10.635075867302973,6.133848749388037,6.133848749388037,1
14,1757098184.893499,-19.229342844243256,-22.063047449553416,0.6163911407120242,9.112469010451075,6.594558409721432,6.594558409721432,1
15,1757098185.9014719,-18.876698046035678,-21.570919914591936,0.600643064556891,7.631351041510985,7.069064549861155,7.069064549861155,1
16,1757098186.8948925,-18.522670122971636,-21.058355478424932,0.6270688084244415,6.108618370663808,7.561826654388266,6.108618370663808,1
17,1757098187.8987074,-18.106768693724717,-20.549402820968304,0.6547743248389367,4.566417045897505,7.701781451826308,4.566417045897505,1
18,1757098188.8990629,-17.74739688551974,-20.008788631535484,0.648931698507578,3.1217914033905103,7.208068831124731,3.1217914033905103,1
19,1757098189.899192,-17.390716238732157,-19.465359397036224,0.6499440246114029,1.8478587937333992,6.795000171324331,1.8478587937333992,1
20,1757098190.8995883,-17.148602572779097,-18.885151396535356,0.6284483208816009,1.2881885531513155,6.478802978998599,1.2881885531513155,1
21,1757098191.8973362,-17.181542449146054,-19.164129736429942,0.2815503479990539,1.4771448678542352,5.708666575109433,1.4771448678542352,1
22,1757098192.8934886,-17.20197611475625,-19.289577625968743,0.12759209425910742,2.0245561930672915,5.1022557649816305,2.0245561930672915,1
23,1757098193.8985436,-17.226827013685142,-19.458774836085322,0.17015235295955608,2.7433604837728076,4.539252168558054,2.7433604837728076,1
24,1757098194.895135,-17.109410929058818,-18.906254883909714,0.5667902439614867,4.20652557126633,4.8252517924413025,4.20652557126633,1
25,1757098195.8947377,-17.077779029475927,-18.84848726659464,0.06588719625896408,5.197203031071042,4.872492683664204,4.872492683664204,1
26,1757098196.896814,-17.07509569871726,-19.271305869353466,0.421950983566792,5.751442332408552,4.623214609081115,4.623214609081115,1
27,1757098197.8940005,-17.051419393253234,-19.478217366988144,0.20884931281555136,6.5317094979919315,4.774954369439376,4.774954369439376,1
28,1757098198.9015837,-16.85130280644152,-19.062064694390607,0.4582927117792702,7.819599935466872,5.6106602755559125,5.6106602755559125,1
29,1757098199.8961797,-16.48730988824198,-18.74604875289785,0.4846532117185387,7.681209784221452,5.847478201391969,5.847478201391969,1
30,1757098200.9024024,-16.172542183335615,-18.563606102672477,0.3615687327804021,7.244029794663026,6.1528158042658445,6.1528158042658445,1
31,1757098201.8932934,-15.764315710699517,-18.15142236092169,0.5854573170775692,6.954569737862597,6.982870384248104,6.954569737862597,1
32,1757098202.8955367,-15.840574964445226,-18.19428590707764,0.08728423682426512,5.997143239077549,7.406543037160464,5.997143239077549,2
33,1757098203.9012454,-15.441098260662931,-18.224357435255854,0.39833299523196886,5.249093224560023,8.34144019615894,5.249093224560023,2
34,1757098204.8950355,-15.163246993507412,-18.602472852141897,0.47215755469366555,4.295911752942795,9.157883382198346,4.295911752942795,2
35,1757098205.9010842,-15.138378836577981,-19.068150154351905,0.46353704870463514,3.540668887121211,9.83623501285538,3.540668887121211,2
