step,time_s,rx,ry,speed_mps,d1_triangle,d2_triangle2,d3_triangle3,dmin,goals
1,1770576134.96,-8.173439424745476,0.6444980907872094,nan,5.7894965525943975,4.795537945330147,5.32563859822248,4.795537945330147,0
2,1770576134.96,-8.173439424745476,0.6444980907872094,0.0,5.7894965525943975,4.795537945330147,5.32563859822248,4.795537945330147,0
3,1770576134.96,-8.173439424745476,0.6444980907872094,0.0,3.185976449597004,4.795537945330147,5.32563859822248,3.185976449597004,0
4,1770576134.96,-8.173439424745476,0.6444980907872094,0.0,3.185976449597004,2.1861219651025507,5.32563859822248,2.1861219651025507,0
5,1770576134.97,-8.173439424745476,0.6444980907872094,0.0,3.185976449597004,2.1861219651025507,2.387128672825631,2.1861219651025507,0
6,1770576135.00,-8.173439424745476,0.6444980907872094,0.0,2.7938932575683695,1.7993212652878503,2.0895562662262885,1.7993212652878503,0
7,1770576136.00,-8.209279889940708,0.626909211287253,0.03993157946389622,1.8955357673979656,1.019784023189862,1.619084384367255,1.019784023189862,0
8,1770576137.00,-8.217061184735597,0.6574228537305288,0.03150869709126668,1.4346087639319796,1.2334650136256362,1.4267534902615104,1.2334650136256362,0
9,1770576138.00,-8.248312117268068,0.7017177667981583,0.05418510962789402,1.6104674668810781,1.8721776180826681,1.7502722040323262,1.6104674668810781,0
10,1770576139.00,-8.216605860175003,0.8559970418756735,0.15748808452771856,2.0959346180757863,2.326938375659493,2.5574505940905556,2.0959346180757863,0
11,1770576140.00,-7.953582742248775,1.1027740606569296,0.36076289447182264,3.144825744096512,3.199920701549597,3.3795818109314855,3.144825744096512,0
12,1770576141.00,-7.390078237316825,1.17023678587894,0.5674218505186823,4.185056236856574,4.133663988035064,3.885519678634415,3.885519678634415,0
13,1770576142.00,-6.8054359775456135,0.9737549365610074,0.6169042242069757,4.892878354206277,4.770958246097733,4.272736367538784,4.272736367538784,0
14,1770576143.00,-6.306471744959737,0.5725973380535958,0.6401978176873959,5.054544026005517,4.973476834258765,4.536868661253954,4.536868661253954,0
15,1770576144.00,-5.851545437573937,0.05156370990803853,0.6915970537660068,3.9787624037903324,3.918091037552085,3.830985708734329,3.830985708734329,0
16,1770576145.00,-5.482031210187649,-0.5340757475081253,0.6924669315518909,2.59416895492409,2.4636322720800243,2.9567155287789997,2.4636322720800243,0
17,1770576146.00,-5.123862878482987,-1.1063070386580685,0.6751168456256124,1.3415363296954081,0.8982164299938722,1.9830386063434622,0.8982164299938722,0
18,1770576147.00,-5.010261607837376,-1.2926165363771513,0.21819129727599257,1.526841691468016,0.6198275158641928,1.1669169683749705,0.6198275158641928,0
19,1770576148.00,-5.0501591294183426,-1.770333033459605,0.47941772822037854,2.864765082754118,2.242629051428108,1.0229063289469635,1.0229063289469635,0
20,1770576149.00,-5.019713283718192,-2.353156447774947,0.583324646677791,4.331676996283447,3.7778489022964314,1.1886316120231986,1.1886316120231986,0
21,1770576150.00,-4.99645034351,-2.9468053005489367,0.5944141297848734,5.581321251849157,5.1330618027427715,1.311112373307439,1.311112373307439,0
22,1770576151.00,-4.832794807519223,-3.2193894263316163,0.31801828433657287,5.667376361822744,5.298287518414982,1.213667882456334,1.213667882456334,0
23,1770576152.00,-4.305513105245302,-3.5742139101737154,0.6354047991822297,5.18926803716237,5.054647275325548,2.056686320808759,2.056686320808759,0
24,1770576153.00,-3.8006741631838765,-4.0199249116193725,0.6733445434834131,5.049560596106914,5.2030491870613105,3.7582371605392804,3.7582371605392804,0
25,1770576154.00,-3.3706837771970255,-4.5209268414618276,0.6603185978139184,5.3421357508134975,5.7646751845749415,5.4287982376996196,5.3421357508134975,0
